Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,17.35,28.0,6.0
1975,2,21.93,32.0,9.0
1975,3,26.64,39.0,13.0
1975,4,28.66,38.0,20.0
1975,5,27.53,36.0,21.0
1975,6,28.62,35.0,22.0
1975,7,27.23,5537.72,16.0
1975,8,27.26,35.0,11.0
1975,9,27.19,37.0,22.0
1975,10,26.82,35.0,22.0
1975,11,21.94,31.0,12.0
1975,12,17.89,27.0,7.0
1976,1,17.7,29.0,7.0
1976,2,21.73,33.0,11.0
1976,3,27.11,37.0,13.0
1976,4,28.42,39.0,19.0
1976,5,27.52,37.0,20.0
1976,6,26.93,5537.72,21.0
1976,7,27.48,37.0,23.0
1976,8,27.15,34.0,6.0
1976,9,28.23,35.0,23.0
1976,10,26.22,37.0,18.0
1976,11,23.85,34.0,12.0
1976,12,18.94,35.0,4.0
1977,1,17.88,31.0,0.0
1977,2,20.87,32.0,7.0
1977,3,27.7,45.0,13.0
1977,4,26.14,39.0,19.0
1977,5,27.09,39.0,8.0
1977,6,27.12,38.0,22.0
1977,7,27.92,37.0,23.0
1977,8,27.9,33.0,21.0
1977,9,27.94,35.0,9.0
1977,10,25.29,35.0,17.0
1977,11,23.09,32.0,10.0
1977,12,18.72,33.0,8.0
1978,1,16.34,29.0,0.0
1978,2,20.29,33.0,7.0
1978,3,24.57,36.0,12.0
1978,4,27.46,38.0,19.0
1978,5,26.76,35.0,11.0
1978,6,27.46,34.0,12.0
1978,7,27.91,33.0,22.0
1978,8,28.34,35.0,22.0
1978,9,27.68,43.0,23.0
1978,10,27.11,34.0,20.0
1978,11,23.61,33.0,10.0
1978,12,18.39,31.0,7.0
1979,1,18.39,29.0,3.0
1979,2,20.58,32.0,8.0
1979,3,26.12,36.0,9.0
1979,4,29.0,38.0,19.0
1979,5,30.66,40.0,19.0
1979,6,29.12,40.0,24.0
1979,7,28.29,34.0,23.0
1979,8,27.92,38.0,16.0
1979,9,27.58,34.0,23.0
1979,10,26.62,36.0,19.0
1979,11,24.55,34.0,16.0
1979,12,19.0,33.0,9.0
1980,1,17.88,29.0,7.0
1980,2,19.47,31.0,7.0
1980,3,25.99,37.0,13.0
1980,4,29.39,45.0,20.0
1980,5,26.96,37.0,19.0
1980,6,28.24,34.0,20.0
1980,7,28.25,34.0,16.0
1980,8,28.57,34.0,22.0
