Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,2,17.48,29.0,0.0
1975,3,23.14,37.0,8.0
1975,4,29.65,41.0,13.0
1975,5,34.38,43.0,22.0
1975,6,31.55,42.0,22.0
1975,7,30.42,41.0,16.0
1975,8,29.01,36.0,23.0
1975,9,27.78,35.0,22.0
1975,10,27.81,36.0,17.0
1975,11,17.82,31.0,4.0
1975,12,15.08,30.0,0.0
1976,1,15.44,26.0,0.0
1976,2,19.7,31.0,6.0
1976,3,23.47,36.0,9.0
1976,4,28.28,44.0,12.0
1976,5,33.12,44.0,22.0
1976,6,32.64,45.0,23.0
1976,7,29.84,42.0,22.0
1976,8,28.45,35.0,19.0
1976,9,28.72,35.0,21.0
1976,10,27.76,37.0,15.0
1976,11,20.86,40.0,10.0
1976,12,15.48,28.0,3.0
1977,1,14.56,28.0,0.0
1977,2,18.36,31.0,4.0
1977,3,25.07,39.0,6.0
1977,4,29.17,42.0,17.0
1977,5,32.11,44.0,18.0
1977,6,33.02,44.0,22.0
1977,7,27.96,33.0,25.0
1977,8,28.59,35.0,22.0
1977,9,28.08,37.0,21.0
1977,10,25.93,36.0,11.0
1977,11,21.65,34.0,10.0
1977,12,16.22,28.0,4.0
1978,1,13.99,29.0,-2.0
1978,2,16.09,31.0,1.0
1978,3,21.77,36.0,7.0
1978,4,29.5,41.0,14.0
1978,5,35.75,45.0,20.0
1978,6,32.93,45.0,24.0
1978,7,29.36,46.0,24.0
1978,8,28.02,35.0,16.0
1978,9,28.27,36.0,23.0
1978,10,25.33,36.0,14.0
1978,11,20.24,34.0,4.0
1978,12,14.78,28.0,2.0
1979,1,15.3,28.0,3.0
1979,2,16.72,29.0,3.0
1979,3,22.18,36.0,5.0
1979,4,30.06,43.0,16.0
1979,5,31.32,44.0,15.0
1979,6,34.45,45.0,21.0
1979,7,30.56,48.0,24.0
1979,8,30.92,41.0,23.0
1979,9,29.74,41.0,17.0
1979,10,27.72,39.0,16.0
1979,11,22.56,35.0,13.0
1979,12,15.76,27.0,5.0
