Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,19.54,33.0,7.0
1975,2,22.7,39.0,9.0
1975,3,27.17,41.0,10.0
1975,4,32.6,43.0,18.0
1975,5,33.57,47.0,20.0
1975,6,31.45,41.0,21.0
1975,7,28.96,37.0,22.0
1975,8,27.63,35.0,20.0
1975,9,27.72,36.0,23.0
1975,10,27.44,36.0,15.0
1975,11,22.51,35.0,10.0
1975,12,20.34,32.0,9.0
1976,1,20.74,31.0,9.0
1976,2,23.51,35.0,12.0
1976,3,28.11,39.0,16.0
1976,4,30.75,41.0,18.0
1976,5,32.42,43.0,19.0
1976,6,29.99,41.0,16.0
1976,7,28.33,37.0,22.0
1976,8,27.21,37.0,16.0
1976,9,27.61,34.0,22.0
1976,10,29.31,39.0,15.0
1976,11,27.32,38.0,17.0
1976,12,22.15,33.0,10.0
1977,1,19.67,32.0,6.0
1977,2,23.87,35.0,9.0
1977,3,29.16,42.0,16.0
1977,4,31.68,43.0,23.0
1977,5,32.85,45.0,22.0
1977,6,30.87,42.0,23.0
1977,7,28.07,37.0,24.0
1977,8,28.08,38.0,16.0
1977,9,28.0,38.0,20.0
1977,10,28.63,39.0,19.0
1977,11,26.71,37.0,19.0
1977,12,22.17,33.0,7.0
1978,1,19.76,30.0,7.0
1978,2,22.88,36.0,9.0
1978,3,25.98,38.0,15.0
1978,4,31.64,43.0,20.0
1978,5,33.36,44.0,20.0
1978,6,31.31,42.0,24.0
1978,7,28.06,34.0,25.0
1978,8,27.44,34.0,24.0
1978,9,28.21,43.0,23.0
1978,10,27.92,38.0,17.0
1978,11,25.03,36.0,10.0
1978,12,21.82,33.0,11.0
1979,1,20.4,33.0,9.0
1979,2,21.83,33.0,10.0
1979,3,25.92,38.0,10.0
1979,4,31.44,46.0,19.0
1979,5,32.68,44.0,20.0
1979,6,33.08,45.0,23.0
1979,7,29.28,37.0,22.0
1979,8,27.15,37.0,22.0
1979,9,29.38,40.0,20.0
1979,10,28.37,37.0,19.0
1979,11,25.5,37.0,15.0
1979,12,21.74,33.0,12.0
1980,1,20.31,30.0,10.0
1980,2,23.23,36.0,8.0
1980,3,27.48,40.0,13.0
1980,4,33.29,43.0,22.0
1980,5,33.99,45.0,24.0
1980,6,30.81,42.0,16.0
1980,7,28.93,35.0,22.0
1980,8,27.95,34.0,22.0
1980,9,28.92,39.0,20.0
1980,10,28.98,40.0,18.0
1980,11,25.69,39.0,15.0
1980,12,20.72,33.0,6.0
1981,1,20.01,31.0,9.0
1981,2,23.26,37.0,9.0
1981,3,27.81,40.0,17.0
1981,4,31.39,44.0,20.0
1981,5,33.91,44.0,24.0
1981,6,33.06,44.0,25.0
1981,7,28.89,38.0,23.0
1981,8,27.38,39.0,23.0
1981,9,28.81,38.0,22.0
1981,10,27.66,37.0,19.0
1981,11,21.97,33.0,11.0
1981,12,20.72,31.0,8.0
1982,1,20.74,31.0,7.61
1982,2,22.67,38.39,11.0
1982,3,25.95,40.72,11.11
1982,4,30.54,41.39,18.5
1982,5,31.05,41.28,19.39
1982,6,32.14,41.0,18.0
1982,7,29.63,38.61,21.22
1982,8,27.94,34.0,23.22
1982,9,28.79,37.61,19.28
1982,10,28.68,39.61,18.0
1982,11,23.88,35.39,10.78
1982,12,21.74,31.5,9.39
1983,1,19.22,34.11,5.39
1983,2,21.67,33.5,8.39
1983,3,26.08,37.78,13.11
1983,4,29.13,43.22,18.0
1983,5,33.72,43.89,23.89
1983,6,32.02,43.72,22.78
1983,7,28.77,37.39,23.39
1983,8,27.54,33.72,17.22
1983,9,28.67,36.39,23.0
1983,10,26.33,36.39,12.61
1983,11,21.4,32.89,9.22
1983,12,19.56,32.0,3.61
1984,1,18.76,30.89,6.22
1984,2,20.3,33.72,3.5
1984,3,28.51,41.61,14.0
1984,4,32.05,42.78,19.78
1984,5,33.87,44.5,23.22
1984,6,32.26,41.0,22.78
1984,7,28.6,35.22,23.0
1984,8,26.59,37.72,21.22
1984,9,27.59,37.11,20.22
1984,10,26.84,38.78,13.61
1984,11,23.52,34.39,9.22
1984,12,20.91,32.78,6.0
1985,1,19.94,38.78,6.39
1985,2,22.36,37.61,7.78
1985,3,29.04,40.39,12.0
1985,4,31.52,42.11,12.11
1985,5,33.54,44.39,21.39
1985,6,32.82,40.39,18.0
1985,7,29.38,38.89,22.39
1985,8,27.85,33.5,21.39
1985,9,29.56,39.11,22.11
1985,10,26.96,40.22,13.28
1985,11,24.0,34.61,13.39
1985,12,21.18,32.28,10.61
1986,1,20.23,30.89,9.11
1986,2,23.02,34.11,12.0
1986,3,27.39,39.89,15.5
1986,4,31.94,42.22,19.78
1986,5,33.34,45.39,22.39
1986,6,32.27,43.39,23.0
1986,7,29.46,36.39,22.22
1986,8,27.4,34.39,18.0
1986,9,29.35,39.39,21.28
1986,10,29.36,39.89,17.22
1986,11,25.75,36.61,12.78
1986,12,20.52,33.72,4.39
1987,1,20.35,34.0,9.22
1987,2,23.43,34.78,12.28
1987,3,28.63,40.28,14.72
1987,4,31.12,42.78,21.5
1987,5,33.96,43.72,24.5
1987,6,33.36,42.78,25.72
1987,7,31.95,40.0,22.78
1987,8,30.75,40.39,23.89
1987,9,31.77,40.61,25.39
1987,10,31.23,41.0,19.5
1987,11,26.44,37.28,14.61
1987,12,22.11,34.28,13.5
1988,1,21.68,31.61,10.28
1988,2,24.74,35.39,15.0
1988,3,27.64,38.5,16.22
1988,4,32.68,43.89,21.0
1988,5,34.38,45.72,25.0
1988,6,33.05,43.61,23.0
1988,7,28.47,37.39,22.0
1988,8,28.26,34.78,24.22
1988,9,29.68,36.5,24.0
1988,10,28.04,36.61,18.22
1988,11,23.21,35.28,10.39
1988,12,21.68,35.5,11.22
1989,1,18.64,31.39,8.0
1989,2,22.24,35.39,9.0
1989,3,27.11,38.28,12.39
1989,4,31.51,43.0,17.5
1989,5,33.98,45.39,19.89
1989,6,31.71,41.5,24.28
1989,7,28.55,36.61,23.0
1989,8,27.64,34.0,24.0
1989,9,29.19,37.0,24.0
1989,10,28.2,39.0,16.61
1989,11,24.91,36.78,15.22
1989,12,20.88,31.78,10.72
1990,1,21.15,34.39,10.61
1990,2,22.79,35.22,10.78
1990,3,26.32,38.0,12.39
1990,4,31.68,42.78,19.61
1990,5,33.65,44.28,18.39
1990,6,32.53,41.28,23.61
1990,7,28.99,36.0,24.39
1990,8,27.41,34.5,23.39
1990,9,27.89,34.22,23.39
1990,10,27.55,36.39,17.61
1990,11,24.41,34.61,13.39
1990,12,20.47,32.0,4.0
1991,1,18.88,35.61,4.78
1991,2,22.19,35.11,8.22
1991,3,27.86,42.78,15.22
1991,4,31.52,42.78,19.61
1991,5,33.93,45.22,23.22
1991,6,33.92,48.0,22.89
1991,7,29.49,39.78,23.0
1991,8,28.23,34.22,23.61
1991,9,28.78,38.61,22.61
1991,10,26.74,38.22,15.5
1991,11,24.26,36.0,13.0
1991,12,20.5,33.22,7.39
1992,1,19.47,34.11,4.78
1992,2,21.43,38.0,9.0
1992,3,27.01,40.0,9.5
1992,4,30.7,43.0,12.89
1992,5,34.05,44.22,25.0
1992,6,33.88,44.39,24.78
1992,7,29.76,40.0,22.89
1992,8,28.51,37.61,23.22
1992,9,27.82,36.78,21.28
1992,10,27.99,37.22,16.5
1992,11,23.87,34.22,12.11
1992,12,21.89,32.39,11.22
1993,1,20.71,32.5,9.78
1993,2,23.39,37.5,6.89
1993,3,26.75,38.89,14.0
1993,4,31.91,43.5,18.39
1993,5,34.08,44.0,24.61
1993,6,33.49,44.39,22.89
1993,7,29.63,39.39,23.89
1993,8,29.86,35.72,24.61
1993,9,29.47,39.0,22.72
1993,10,29.41,38.11,20.89
1993,11,25.08,35.89,12.39
1993,12,21.56,35.22,10.0
1994,1,21.18,33.78,9.61
1994,2,22.01,37.0,10.39
1994,3,29.39,42.61,15.0
