Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,20.95,30.0,9.0
1975,2,24.38,33.0,17.0
1975,3,27.82,37.0,17.0
1975,4,32.04,40.0,19.0
1975,5,33.02,41.0,24.0
1975,6,28.26,38.0,21.0
1975,7,26.11,35.0,21.0
1975,8,25.91,33.0,20.0
1975,9,24.89,31.0,20.0
1975,10,25.25,32.0,19.0
1975,11,21.34,31.0,12.0
1975,12,19.39,29.0,9.0
1976,1,20.55,33.0,10.0
1976,2,24.61,35.0,13.0
1976,3,28.64,38.0,15.0
1976,4,30.73,40.0,20.0
1976,5,32.6,42.0,20.0
1976,6,28.68,37.0,23.0
1976,7,25.7,38.0,20.0
1976,8,25.19,39.0,19.0
1976,9,26.03,35.0,20.0
1976,10,27.23,35.0,17.0
1976,11,24.64,31.0,18.0
1976,12,22.44,31.0,10.0
1977,1,22.55,31.0,9.0
1977,2,25.03,35.0,11.0
1977,3,28.74,38.0,17.0
1977,4,30.98,40.0,17.0
1977,5,31.35,41.0,21.0
1977,6,29.32,41.0,22.0
1977,7,26.72,38.0,20.0
1977,8,25.84,38.0,20.0
1977,9,26.71,34.0,21.0
1977,10,25.65,37.0,18.0
1977,11,24.77,37.0,17.0
1977,12,21.64,30.0,11.0
1978,1,22.58,31.0,12.0
1978,2,23.99,37.0,17.0
1978,3,28.29,38.0,19.0
1978,4,31.37,41.0,20.0
1978,5,32.35,42.0,11.0
1978,6,28.04,38.0,20.0
1978,7,25.48,33.0,19.0
1978,8,24.45,32.0,15.0
1978,9,25.73,32.0,21.0
1978,10,25.88,34.0,17.0
1978,11,24.2,33.0,15.0
1978,12,22.23,34.0,12.0
1979,1,23.27,33.0,13.0
1979,2,24.68,35.0,17.0
1979,3,28.58,39.0,15.0
1979,4,31.69,49.0,22.0
1979,5,31.96,41.0,19.0
1979,6,30.83,42.0,22.0
1979,7,27.59,35.0,21.0
1979,8,26.29,38.0,21.0
1979,9,26.57,37.0,12.0
1979,10,26.63,33.0,19.0
1979,11,24.14,31.0,5.0
1979,12,22.69,38.0,14.0
1980,1,23.33,32.0,15.0
1980,2,26.91,37.0,19.0
1980,3,29.19,38.0,19.0
1980,4,32.27,42.0,21.0
1980,5,34.08,43.0,24.0
1980,6,27.97,37.0,23.0
1980,7,26.22,34.0,21.0
1980,8,25.1,32.0,18.0
1980,9,26.23,34.0,21.0
1980,10,26.82,36.0,17.0
1980,11,24.32,32.0,14.0
1980,12,22.27,31.0,11.0
1981,1,21.69,33.0,10.0
1981,2,25.83,37.0,13.0
1981,3,27.18,39.0,18.0
1981,4,31.86,42.0,20.0
1981,5,32.61,43.0,22.0
1981,6,28.71,40.0,20.0
1981,7,26.86,38.0,20.0
1981,8,25.21,32.0,20.0
1981,9,25.41,32.0,21.0
1981,10,25.26,33.0,17.0
1981,11,23.08,32.0,11.0
1981,12,21.47,29.0,10.0
1982,1,22.82,32.28,13.78
1982,2,26.54,35.89,15.78
1982,3,29.06,39.0,12.61
1982,4,30.74,40.61,17.78
1982,5,30.7,40.0,17.39
1982,6,29.08,39.78,21.0
1982,7,26.68,35.28,21.28
1982,8,26.29,33.39,21.22
1982,9,25.91,38.61,20.5
1982,10,25.75,38.22,15.89
1982,11,23.28,31.72,15.11
1982,12,22.04,29.89,12.11
1983,1,22.23,33.0,10.5
1983,2,26.01,36.28,15.5
1983,3,29.85,39.61,17.5
1983,4,32.21,41.78,22.5
1983,5,32.93,42.5,21.39
1983,6,30.45,42.89,21.78
1983,7,26.81,35.61,20.28
1983,8,25.43,37.28,21.0
1983,9,25.27,31.39,20.22
1983,10,24.87,32.89,17.22
1983,11,22.11,31.22,12.0
1983,12,21.1,29.11,10.78
1984,1,23.28,32.78,14.39
1984,2,24.49,33.78,14.78
1984,3,28.4,38.22,14.78
1984,4,31.17,40.89,20.72
1984,5,34.68,43.89,20.78
1984,6,29.04,40.61,18.22
1984,7,25.81,33.39,20.22
1984,8,26.18,33.0,9.89
1984,9,26.58,33.22,20.11
1984,10,25.78,37.0,16.78
1984,11,22.34,30.11,11.89
1984,12,22.78,32.89,11.5
1985,1,23.35,31.78,15.78
1985,2,26.03,36.72,14.28
1985,3,29.29,39.78,18.61
1985,4,32.33,41.89,19.89
1985,5,33.19,42.61,25.0
1985,6,27.5,37.39,21.28
1985,7,25.98,38.0,20.78
1985,8,26.43,33.22,21.0
1985,9,27.22,37.0,12.11
1985,10,24.64,31.78,14.5
1985,11,23.8,31.89,12.39
1985,12,22.76,32.22,11.78
1986,1,21.57,31.0,11.39
1986,2,24.79,32.89,17.28
1986,3,29.49,39.61,19.28
1986,4,31.76,41.61,17.89
1986,5,33.65,42.28,20.72
1986,6,28.62,41.39,20.78
1986,7,26.97,36.22,20.78
1986,8,25.75,33.39,20.39
1986,9,27.39,38.39,11.72
1986,10,27.45,37.89,15.28
1986,11,24.83,34.0,14.5
1986,12,22.94,31.0,13.0
1987,1,22.84,31.39,11.5
1987,2,24.65,34.5,13.61
1987,3,28.18,37.39,16.0
1987,4,32.56,40.89,21.0
1987,5,31.88,41.11,21.61
1987,6,29.81,41.61,20.28
1987,7,26.65,34.78,20.0
1987,8,26.31,34.89,20.39
