Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,10.92,21.0,0.0
1975,2,13.19,27.0,0.0
1975,3,18.72,33.0,7.0
1975,4,25.83,38.0,12.0
1975,5,30.6,44.0,17.0
1975,6,32.09,45.0,18.0
1975,7,30.01,40.0,21.0
1975,8,29.38,40.0,22.0
1975,9,27.83,36.0,19.0
1975,10,24.28,37.0,10.0
1975,11,15.39,31.0,2.0
1975,12,12.29,28.0,-1.0
1976,1,12.29,25.0,1.0
1976,2,13.9,28.0,0.0
1976,3,18.06,29.0,4.0
1976,4,24.67,40.0,10.0
1976,5,31.05,44.0,17.0
1976,6,31.8,45.0,19.0
1976,7,30.75,5537.72,22.0
1976,8,28.19,36.0,21.0
1976,9,28.37,36.0,21.0
1976,10,24.31,36.0,11.0
1976,11,17.83,31.0,5.0
1976,12,11.8,26.0,0.0
1977,1,10.93,24.0,1.0
1977,2,14.3,27.0,2.0
1977,3,21.29,34.0,0.0
1977,4,24.6,39.0,13.0
1977,5,29.56,43.0,15.0
1977,6,31.04,44.0,21.0
1977,7,29.41,36.0,23.0
1977,8,29.04,37.0,23.0
1977,9,27.44,36.0,17.0
1977,10,24.09,35.0,13.0
1977,11,18.84,33.0,7.0
1977,12,13.45,25.0,3.0
1978,1,10.91,22.0,-1.0
1978,2,13.4,28.0,0.0
1978,3,17.57,30.0,7.0
1978,4,25.78,40.0,11.0
1978,5,33.24,46.0,16.0
1978,6,32.33,47.0,21.0
1978,7,29.1,40.0,23.0
1978,8,29.46,37.0,22.0
1978,9,28.19,38.0,22.0
1978,10,23.66,35.0,13.0
1978,11,16.88,31.0,0.0
1978,12,12.34,26.0,0.0
1979,1,12.02,24.0,-1.0
1979,2,13.84,32.0,0.0
1979,3,17.93,34.0,3.0
1979,4,26.25,44.0,2.0
1979,5,28.9,41.0,16.0
1979,6,33.19,45.0,18.0
1979,7,29.91,45.0,20.0
1979,8,30.5,39.0,22.0
1979,9,27.13,40.0,17.0
1979,10,23.88,36.0,14.0
1979,11,17.54,32.0,4.0
1979,12,13.2,25.0,3.0
1980,1,11.35,27.0,1.0
1980,2,14.77,30.0,1.0
1980,3,17.98,35.0,7.0
1980,4,27.32,42.0,9.0
1980,5,32.7,44.0,20.0
1980,6,32.67,45.0,18.0
1980,7,29.94,40.0,23.0
1980,8,29.44,38.0,22.0
1980,9,28.0,37.0,19.0
1980,10,23.82,37.0,12.0
1980,11,17.0,29.0,-2.0
1980,12,12.25,25.0,2.0
1981,1,11.42,23.0,1.0
1981,2,15.03,27.0,3.0
1981,3,18.3,31.0,7.0
1981,4,25.84,40.0,10.0
1981,5,31.26,44.0,19.0
1981,6,33.72,44.0,19.0
1981,7,29.7,39.0,23.0
1981,8,30.25,38.0,22.0
1981,9,28.74,38.0,18.0
1981,10,22.77,34.0,9.0
1981,11,16.16,32.0,5.0
1981,12,11.29,23.0,0.0
1982,1,10.93,24.0,1.72
1982,2,12.48,22.89,3.0
1982,3,16.46,30.61,4.22
1982,4,24.19,35.28,11.78
1982,5,27.07,40.72,14.22
1982,6,33.07,44.0,21.22
1982,7,32.47,42.22,22.22
1982,8,29.8,36.61,20.0
1982,9,29.88,37.61,15.5
1982,10,24.4,35.0,9.5
1982,11,17.49,29.78,3.5
1982,12,12.94,25.89,1.89
1983,1,11.37,21.72,0.0
1983,2,14.91,24.0,3.5
1983,3,17.93,29.0,4.61
1983,4,22.59,36.78,11.22
1983,5,28.13,40.22,14.5
1983,6,32.03,42.61,19.72
1983,7,30.8,40.11,22.0
1983,8,29.58,35.78,23.39
1983,9,29.27,36.72,20.89
1983,10,23.31,35.5,10.22
1983,11,16.92,30.11,5.72
1983,12,12.63,25.61,0.72
1984,1,10.66,23.0,-1.5
1984,2,13.23,24.78,0.61
1984,3,21.37,34.0,6.11
1984,4,25.11,38.22,11.11
1984,5,32.71,46.22,17.61
1984,6,31.8,44.11,24.0
1984,7,29.55,36.89,21.61
1984,8,29.34,36.0,23.28
1984,9,27.1,35.0,16.11
1984,10,21.96,34.72,8.5
1984,11,18.14,28.89,2.72
1984,12,11.76,29.5,-3.28
1985,1,12.45,27.39,1.22
1985,2,15.28,29.39,1.89
1985,3,21.46,33.78,5.0
1985,4,26.11,40.5,12.22
1985,5,32.42,44.22,15.39
1985,6,32.56,43.89,20.5
1985,7,29.72,41.22,23.0
1985,8,30.65,37.11,23.72
1985,9,28.94,37.11,20.11
1985,10,22.43,35.39,9.72
1985,11,16.86,29.22,4.61
1985,12,13.13,25.72,-2.11
1986,1,10.44,23.28,-1.78
1986,2,13.74,25.0,1.28
1986,3,18.39,30.72,5.0
1986,4,24.7,40.61,6.78
1986,5,27.75,40.72,12.78
1986,6,32.98,44.5,18.22
1986,7,29.92,38.28,21.72
1986,8,29.77,38.78,21.61
1986,9,27.94,37.11,17.89
1986,10,23.13,34.11,9.0
1986,11,17.03,30.61,4.0
1986,12,11.08,25.11,-1.61
1987,1,12.02,22.89,0.39
1987,2,15.42,25.0,3.61
1987,3,19.16,29.78,6.11
1987,4,26.07,41.0,10.28
1987,5,26.51,41.39,13.39
1987,6,32.25,44.89,20.72
1987,7,32.1,43.5,18.22
1987,8,30.36,40.39,20.39
1987,9,29.72,38.5,17.78
1987,10,23.7,35.89,10.11
1987,11,17.07,30.11,2.89
1987,12,11.51,25.61,-1.22
1988,1,12.28,24.0,1.0
1988,2,15.03,26.89,0.0
1988,3,19.22,31.11,5.11
1988,4,26.99,40.39,8.89
1988,5,33.08,45.39,15.78
1988,6,33.68,43.78,19.11
1988,7,29.83,39.0,22.89
1988,8,29.78,38.28,20.78
1988,9,28.67,38.0,18.89
1988,10,23.9,33.61,11.39
1988,11,18.31,30.11,2.61
1988,12,12.93,25.11,1.22
1989,1,10.29,21.28,-2.89
1989,2,12.88,27.39,-0.39
1989,3,19.09,30.39,4.61
1989,4,24.85,37.39,7.22
1989,5,30.24,44.11,13.39
1989,6,31.36,43.11,20.61
1989,7,30.75,39.89,22.61
1989,8,29.06,36.11,21.22
1989,9,28.26,37.0,15.89
1989,10,25.13,36.11,10.0
1989,11,17.12,30.28,4.78
1989,12,12.47,24.11,-0.78
1990,1,12.89,24.72,0.28
1990,2,14.14,25.28,3.39
1990,3,17.43,29.72,4.78
1990,4,25.69,40.5,12.0
1990,5,30.69,43.28,18.61
1990,6,33.44,42.89,21.78
1990,7,29.86,39.0,21.78
1990,8,29.25,36.78,22.39
1990,9,28.32,36.61,19.39
1990,10,23.04,34.11,9.72
1990,11,18.17,30.5,2.89
1990,12,12.5,25.28,2.78
1991,1,10.57,26.78,0.22
1991,2,14.44,25.11,1.61
1991,3,18.66,38.0,5.11
1991,4,23.78,38.5,12.0
1991,5,29.76,41.5,16.61
1991,6,32.62,44.28,21.0
1991,7,31.51,41.89,24.0
1991,8,29.78,37.89,23.0
1991,9,28.47,37.22,17.61
1991,10,21.54,34.78,10.0
1991,11,16.34,30.11,5.61
1991,12,12.09,28.39,1.61
1992,1,11.79,28.61,1.0
1992,2,13.12,24.89,5.0
1992,3,18.27,29.0,7.61
1992,4,23.81,39.72,14.0
1992,5,28.6,41.22,15.61
1992,6,32.7,43.72,17.78
1992,7,29.19,38.22,24.61
1992,8,29.34,36.78,22.78
1992,9,26.9,38.22,22.0
1992,10,23.17,37.22,12.11
1992,11,17.11,31.0,4.22
1992,12,13.28,27.78,3.22
1993,1,10.14,24.0,-1.78
1993,2,15.56,29.61,3.78
1993,3,17.37,30.0,0.78
1993,4,23.15,41.89,9.39
1993,5,30.86,45.0,17.0
1993,6,33.41,44.78,20.78
1993,7,29.59,40.5,21.78
1993,8,31.42,39.0,21.78
1993,9,27.12,35.89,19.61
1993,10,23.4,36.78,10.0
1993,11,17.91,30.78,5.61
1993,12,12.2,27.28,-0.78
1994,1,12.86,24.0,2.0
1994,2,14.13,25.0,4.22
1994,3,20.49,33.11,7.39
1994,4,24.02,40.0,3.28
1994,5,30.95,44.78,20.0
1994,6,33.07,45.28,20.61
1994,7,29.87,38.11,25.0
1994,8,28.86,37.0,22.78
1994,9,27.11,35.78,15.0
1994,10,23.29,37.78,9.61
1994,11,17.99,29.78,8.22
1994,12,12.9,26.78,2.0
1995,1,10.97,22.22,1.78
1995,2,14.06,28.61,4.0
1995,3,17.92,31.11,5.28
1995,4,24.61,37.28,11.72
1995,5,32.18,47.61,18.0
1995,6,36.47,47.78,22.0
1995,7,30.35,38.0,24.61
1995,8,28.16,35.72,21.61
1995,9,28.28,37.28,20.0
1995,10,23.92,36.89,10.61
1995,11,17.12,30.11,4.0
1995,12,12.22,24.61,2.61
1996,1,10.31,22.72,1.78
1996,2,14.11,25.0,2.61
1996,3,18.93,31.22,9.22
1996,4,26.14,38.78,9.0
1996,5,30.75,43.0,17.0
1996,6,30.35,44.28,21.0
1996,7,30.25,38.61,23.0
1996,8,28.6,37.78,22.0
1996,9,28.11,37.11,18.11
1996,10,22.87,36.5,10.39
1996,11,17.48,32.5,1.78
1996,12,12.09,27.78,-2.0
1997,1,10.84,22.61,-0.39
1997,2,14.32,26.11,4.0
1997,3,19.18,31.11,5.0
1997,4,24.63,40.22,11.39
1997,5,29.39,41.78,14.0
1997,6,32.02,43.72,21.39
1997,7,30.66,40.61,23.0
1997,8,29.14,36.39,21.22
1997,9,29.27,36.78,17.78
1997,10,22.34,32.5,14.0
1997,11,17.1,29.72,6.39
1997,12,11.49,22.22,2.0
1998,1,11.58,21.89,0.0
1998,2,15.18,25.61,3.0
1998,3,18.46,31.11,5.0
1998,4,26.94,40.61,13.39
1998,5,32.08,46.72,16.22
1998,6,33.39,44.89,22.0
1998,7,30.53,38.72,24.0
1998,8,30.53,37.11,17.39
1998,9,28.72,37.89,20.0
1998,10,24.46,36.72,12.0
1998,11,17.59,32.61,4.0
1998,12,11.49,28.5,1.22
1999,1,11.82,22.11,3.0
1999,2,15.42,26.72,2.0
1999,3,20.36,35.0,7.0
1999,4,28.75,42.11,11.0
1999,5,32.42,43.72,21.0
1999,6,31.95,42.61,21.0
1999,7,31.01,41.5,23.0
1999,8,30.43,37.0,22.22
1999,9,29.15,37.78,22.0
1999,10,24.89,34.5,15.0
1999,11,18.56,32.11,7.0
1999,12,12.13,5537.72,1.0
2000,1,11.63,23.72,0.0
2000,2,12.85,25.78,2.5
2000,3,18.96,33.22,4.78
2000,4,26.27,40.61,9.0
2000,5,32.64,43.89,16.22
2000,6,31.7,41.39,22.0
2000,7,29.47,41.61,22.39
2000,8,30.11,37.5,22.0
2000,9,28.68,37.11,17.89
2000,10,25.25,36.22,13.72
2000,11,19.34,30.72,6.39
2000,12,12.82,24.61,0.72
2001,1,9.63,25.61,0.5
2001,2,15.29,28.78,-0.78
2001,3,20.25,34.5,5.28
2001,4,25.78,40.22,11.5
2001,5,32.37,46.89,18.22
2001,6,30.51,43.0,19.61
2001,7,29.63,36.78,21.78
2001,8,30.95,37.22,15.89
2001,9,28.77,36.78,18.61
2001,10,25.65,35.39,12.61
2001,11,18.67,33.22,3.0
2001,12,13.44,26.0,2.0
2002,1,11.44,22.39,1.72
2002,2,14.9,26.78,1.22
2002,3,21.37,34.61,7.22
2002,4,26.84,42.39,13.11
2002,5,34.24,46.0,20.22
2002,6,32.44,43.22,21.11
2002,7,32.46,41.0,20.39
2002,8,30.3,38.39,20.5
2002,9,26.97,34.11,18.61
2002,10,24.86,35.78,13.78
2002,11,20.44,30.39,5.0
2002,12,14.31,24.78,2.72
2003,1,8.43,22.22,0.72
2003,2,15.26,28.39,2.28
2003,3,18.94,31.11,3.28
2003,4,26.2,41.39,10.72
2003,5,30.98,44.22,12.0
2003,6,32.62,47.0,21.39
2003,7,29.92,39.0,20.72
2003,8,29.45,37.0,21.0
2003,9,28.18,36.22,15.0
2003,10,23.81,36.22,10.28
2003,11,17.19,30.39,1.0
2003,12,12.12,25.11,-0.72
2004,1,10.99,22.89,0.28
2004,2,15.09,27.78,0.72
2004,3,22.36,36.22,7.0
2004,4,27.72,40.61,10.0
2004,5,31.03,46.5,9.61
2004,6,30.29,42.61,19.0
2004,7,29.87,41.22,19.22
2004,8,28.51,40.0,18.78
2004,9,28.17,37.61,17.0
2004,10,22.64,35.39,7.5
2004,11,17.8,29.0,6.0
2004,12,12.62,25.0,0.0
2005,1,10.07,20.22,-2.61
2005,2,12.45,23.0,2.0
2005,3,18.06,31.0,7.0
2005,4,24.95,38.61,10.61
2005,5,29.24,42.0,13.0
2005,6,33.29,46.11,20.0
2005,7,29.01,37.0,21.39
2005,8,30.2,37.39,20.39
2005,9,28.05,37.61,19.78
2005,10,23.84,35.0,11.5
2005,11,17.3,29.61,3.28
2005,12,11.41,25.0,-0.22
2006,1,11.66,23.61,-2.11
2006,2,17.4,28.78,5.0
2006,3,19.09,34.28,7.89
2006,4,26.07,42.22,9.0
2006,5,32.86,44.61,18.0
2006,6,31.63,44.0,19.0
2006,7,29.64,38.61,20.0
2006,8,29.09,38.78,20.39
2006,9,27.22,35.22,16.0
2006,10,24.17,35.39,13.39
2006,11,18.49,30.0,5.0
2006,12,12.1,23.22,2.28
2007,1,9.92,26.5,-1.28
2007,2,14.0,24.78,4.5
2007,3,18.37,34.22,0.0
2007,4,27.88,43.11,10.72
2007,5,30.49,43.0,17.61
2007,6,31.61,47.78,19.22
2007,7,30.26,39.28,22.0
2007,8,30.01,36.61,22.0
2007,9,28.35,36.22,17.0
2007,10,24.33,35.0,10.5
2007,11,18.52,32.11,4.61
2007,12,11.97,22.72,-2.0
2008,1,10.26,20.78,-2.39
2008,2,11.94,28.22,-1.39
2008,3,21.54,34.22,4.78
2008,4,24.8,42.11,10.78
2008,5,29.13,45.0,17.39
2008,6,29.13,41.0,18.0
2008,7,29.48,37.39,21.0
2008,8,28.13,35.78,19.89
2008,9,27.2,35.61,16.61
2008,10,25.74,36.5,14.89
2008,11,18.95,32.0,4.39
2008,12,13.05,25.0,1.61
2009,1,11.49,21.39,0.89
2009,2,15.21,26.0,2.0
2009,3,19.51,31.22,7.78
2009,4,25.49,43.28,13.39
2009,5,30.42,45.22,18.61
2009,6,32.14,45.39,21.0
2009,7,30.57,43.78,22.39
2009,8,30.19,39.0,20.39
2009,9,28.25,35.78,19.0
2009,10,25.94,35.61,11.89
2009,11,17.87,30.22,3.89
2009,12,13.04,24.22,-0.61
2010,1,8.61,24.78,-1.22
2010,2,15.6,28.0,3.61
2010,3,22.66,36.0,9.72
2010,4,28.42,42.39,15.0
2010,5,32.3,47.0,17.22
2010,6,32.44,44.39,20.0
2010,7,30.51,39.0,22.89
2010,8,29.35,35.89,19.28
2010,9,27.2,35.28,19.78
2010,10,24.73,34.28,12.22
2010,11,17.76,30.39,7.0
2010,12,11.74,24.0,1.0
2011,1,9.46,21.22,0.61
2011,2,14.25,24.61,4.0
2011,3,19.78,33.28,7.0
2011,4,24.91,40.61,11.22
2011,5,32.53,45.22,20.39
2011,6,31.67,43.39,18.22
2011,7,30.07,38.78,22.39
2011,8,29.02,38.22,22.5
2011,9,27.94,36.11,20.61
2011,10,23.98,35.22,11.39
2011,11,18.83,30.61,7.0
2011,12,12.01,27.5,-2.11
2012,1,10.14,20.5,-0.39
2012,2,12.31,25.5,-0.28
2012,3,18.73,33.39,6.0
2012,4,24.98,36.78,14.22
2012,5,31.19,47.61,15.22
2012,6,33.84,47.61,21.61
2012,7,31.95,44.5,20.78
2012,8,29.4,37.61,21.39
2012,9,27.59,36.39,19.39
2012,10,23.47,35.0,10.61
2012,11,17.82,30.22,6.0
2012,12,12.49,25.5,2.22
2013,1,10.31,22.22,1.39
2013,2,14.03,23.22,3.61
2013,3,19.87,31.39,7.0
2013,4,25.69,37.78,12.22
2013,5,32.28,48.0,16.78
2013,6,32.3,46.22,17.0
2013,7,30.8,39.89,22.39
2013,8,28.9,37.22,23.0
2013,9,28.27,36.0,19.78
2013,10,25.04,34.39,14.0
2013,11,17.11,30.5,7.0
2013,12,12.37,25.78,0.78
2014,1,11.11,29.0,0.0
2014,2,13.01,23.39,1.0
2014,3,17.95,29.39,4.78
2014,4,23.61,41.0,10.72
2014,5,30.06,44.0,17.22
2014,6,33.61,47.0,19.0
2014,7,31.16,42.22,21.0
2014,8,30.15,37.89,20.78
2014,9,27.42,35.5,21.22
2014,10,23.52,35.0,12.78
2014,11,17.47,29.22,5.0
2014,12,11.03,29.78,0.0
2015,1,10.73,23.22,-1.0
2015,2,15.77,26.39,3.0
2015,3,18.15,33.39,3.39
2015,4,25.0,39.89,10.22
2015,5,31.12,44.61,15.61
2015,6,30.97,43.78,19.0
2015,7,30.07,39.0,21.22
2015,8,29.5,36.78,20.39
2015,9,28.19,37.0,18.0
2015,10,24.0,34.78,11.78
2015,11,17.98,29.28,7.39
2015,12,12.96,26.0,-0.28
2016,1,11.52,23.5,1.39
2016,2,15.07,27.22,2.39
2016,3,20.12,32.39,8.61
2016,4,26.65,41.0,14.0
2016,5,31.8,45.0,17.22
2016,6,32.67,43.72,21.78
2016,7,30.35,39.0,22.0
2016,8,29.13,36.39,22.78
2016,9,28.85,36.0,21.0
2016,10,24.86,35.61,13.72
2016,11,18.33,30.0,7.0
2016,12,13.88,26.61,3.0
2017,1,11.88,23.22,0.78
2017,2,15.48,29.39,4.0
2017,3,19.36,35.0,6.0
2017,4,26.39,42.0,10.0
2017,5,31.47,43.39,18.39
2017,6,31.01,47.5,21.61
2017,7,30.54,38.0,22.28
2017,8,29.79,36.61,23.0
2017,9,28.24,37.0,19.78
2017,10,25.04,35.89,14.78
2017,11,16.49,28.89,6.39
2017,12,12.9,25.28,3.28
2018,1,11.44,22.61,1.0
2018,2,15.16,28.0,3.61
2018,3,20.77,34.72,8.72
2018,4,26.43,41.22,13.0
2018,5,31.38,44.22,19.39
2018,6,31.85,44.39,20.61
2018,7,30.25,39.0,21.22
2018,8,30.16,36.61,22.78
2018,9,27.67,36.5,18.89
2018,10,23.3,33.22,13.22
2018,11,17.6,29.0,6.22
2018,12,11.92,25.28,0.0
2019,1,10.87,20.5,0.39
2019,2,13.52,22.39,4.0
2019,3,17.75,32.22,6.61
2019,4,26.47,39.78,10.0
2019,5,29.95,44.11,17.5
2019,6,33.11,45.72,21.0
2019,7,30.0,41.72,21.72
2019,8,29.82,36.78,22.39
2019,9,28.77,37.0,20.78
2019,10,23.54,32.78,14.72
2019,11,17.91,30.5,9.0
2019,12,10.3,24.22,1.0
2020,1,10.35,20.78,2.22
2020,2,14.45,25.22,2.28
2020,3,17.86,28.22,8.61
2020,4,24.19,37.0,10.78
2020,5,29.66,43.72,17.0
2020,6,31.1,42.0,17.5
2020,7,30.63,41.39,21.61
2020,8,29.96,36.72,23.39
2020,9,29.5,36.78,21.0
