Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,23.49,32.0,11.0
1975,2,28.03,36.0,17.0
1975,3,30.56,39.0,19.0
1975,4,34.01,48.0,22.0
1975,5,32.08,40.0,21.0
1975,6,29.35,37.0,22.0
1975,7,27.65,35.0,21.0
1975,8,27.59,38.0,23.0
1975,9,27.44,36.0,21.0
1975,10,25.62,31.0,21.0
1975,11,23.73,33.0,14.0
1975,12,22.48,38.0,13.0
1976,1,22.86,38.0,14.0
1976,2,25.45,36.0,15.0
1976,3,30.0,39.0,16.0
1976,4,31.65,41.0,22.0
1976,5,32.45,41.0,22.0
1976,6,30.05,37.0,23.0
1976,7,29.1,37.0,22.0
1976,8,27.8,45.0,21.0
1976,9,29.03,35.0,22.0
1976,10,28.19,37.0,20.0
1976,11,26.95,39.0,19.0
1976,12,24.86,37.0,15.0
1977,1,24.26,32.0,14.0
1977,2,27.32,37.0,17.0
1977,3,30.48,39.0,19.0
1977,4,32.57,41.0,20.0
1977,5,30.78,40.0,20.0
1977,6,30.31,41.0,21.0
1977,7,27.95,37.0,22.0
1977,8,27.17,38.0,23.0
1977,9,28.9,35.0,15.0
1977,10,26.84,39.0,19.0
1977,11,25.86,33.0,15.0
1977,12,23.57,35.0,14.0
1978,1,24.97,33.0,15.0
1978,2,27.01,36.0,18.0
1978,3,30.49,39.0,18.0
1978,4,32.12,42.0,22.0
1978,5,32.01,41.0,22.0
1978,6,28.66,38.0,23.0
1978,7,27.54,34.0,22.0
1978,8,27.32,35.0,22.0
1978,9,27.45,37.0,12.0
1978,10,27.31,35.0,19.0
1978,11,25.54,38.0,17.0
1978,12,24.01,38.0,11.0
1979,1,24.85,35.0,16.0
1979,2,28.16,37.0,20.0
1979,3,30.59,40.0,19.0
1979,4,33.47,41.0,21.0
1979,5,31.9,42.0,21.0
1979,6,30.63,41.0,24.0
1979,7,28.76,37.0,21.0
1979,8,27.86,36.0,23.0
1979,9,26.86,37.0,20.0
1979,10,27.13,33.0,20.0
1979,11,25.21,32.0,20.0
1979,12,24.4,31.0,14.0
1980,1,24.43,33.0,15.0
1980,2,27.43,38.0,18.0
1980,3,30.34,39.0,19.0
1980,4,32.67,41.0,22.0
1980,5,33.31,47.0,21.0
1980,6,29.1,36.0,16.0
1980,7,28.65,37.0,22.0
1980,8,28.0,35.0,22.0
1980,9,28.59,37.0,23.0
1980,10,28.52,38.0,17.0
1980,11,25.81,34.0,16.0
1980,12,24.58,34.0,14.0
1981,1,24.83,36.0,15.0
1981,2,27.4,37.0,16.0
1981,3,30.52,39.0,18.0
1981,4,33.57,41.0,22.0
1981,5,33.12,42.0,22.0
1981,6,30.19,38.0,23.0
1981,7,28.74,37.0,22.0
1981,8,27.45,38.0,22.0
1981,9,26.79,38.0,21.0
1981,10,26.71,37.0,20.0
1981,11,24.86,33.0,14.0
1981,12,23.24,30.0,12.0
