Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,19.56,39.0,6.0
1975,2,23.86,44.0,11.0
1975,3,27.69,42.0,14.0
1975,4,33.35,41.0,18.0
1975,5,31.93,41.0,20.0
1975,6,27.36,37.0,20.0
1975,7,26.05,35.0,20.0
1975,8,24.85,31.0,19.0
1975,9,24.18,31.0,17.0
1975,10,25.95,33.0,16.0
1975,11,20.4,31.0,7.0
1975,12,18.96,33.0,4.0
1976,1,19.59,31.0,5.0
1976,2,23.63,34.0,9.0
1976,3,28.21,38.0,14.0
1976,4,29.95,40.0,18.0
1976,5,31.72,41.0,19.0
1976,6,27.16,36.0,19.0
1976,7,25.07,34.0,20.0
1976,8,24.65,32.0,20.0
1976,9,25.52,34.0,19.0
1976,10,27.34,35.0,15.0
1976,11,25.24,33.0,15.0
1976,12,22.58,31.0,9.0
1977,1,21.35,31.0,3.0
1977,2,25.3,36.0,8.0
1977,3,29.81,39.0,17.0
1977,4,30.89,40.0,17.0
1977,5,31.29,40.0,21.0
1977,6,28.25,41.0,20.0
1977,7,25.86,35.0,10.0
1977,8,24.93,33.0,20.0
1977,9,24.81,35.0,12.0
1977,10,25.69,35.0,15.0
1977,11,24.61,34.0,12.0
1977,12,20.05,33.0,7.0
1978,1,20.62,31.0,7.0
1978,2,23.14,33.0,9.0
1978,3,26.02,37.0,12.0
1978,4,30.43,40.0,18.0
1978,5,32.61,42.0,23.0
1978,6,26.76,40.0,18.0
1978,7,24.9,32.0,20.0
1978,8,24.39,32.0,20.0
1978,9,25.5,34.0,17.0
1978,10,25.42,34.0,10.0
1978,11,23.99,33.0,11.0
1978,12,20.37,35.0,7.0
1979,1,22.59,31.0,10.0
1979,2,23.03,34.0,9.0
1979,3,26.83,43.0,10.0
1979,4,32.19,42.0,16.0
1979,5,32.08,42.0,19.0
1979,6,30.59,48.0,20.0
1979,7,26.0,35.0,20.0
1979,8,24.37,32.0,17.0
1979,9,25.32,32.0,16.0
1979,10,26.14,38.0,15.0
1979,11,23.55,33.0,14.0
1979,12,20.47,29.0,9.0
1980,1,21.04,31.0,8.0
1980,2,24.4,35.0,9.0
1980,3,27.9,39.0,10.0
1980,4,32.08,43.0,19.0
1980,5,32.83,41.0,21.0
1980,6,27.04,38.0,21.0
1980,7,25.08,33.0,21.0
1980,8,23.95,32.0,20.0
1980,9,25.59,34.0,18.0
1980,10,26.93,36.0,16.0
1980,11,24.46,33.0,11.0
1980,12,20.3,31.0,8.0
1981,1,19.37,33.0,5.0
1981,2,24.4,36.0,7.0
1981,3,26.78,38.0,14.0
1981,4,31.35,42.0,18.0
1981,5,32.15,41.0,20.0
1981,6,28.91,40.0,21.0
1981,7,25.04,33.0,21.0
1981,8,24.64,32.0,19.0
1981,9,24.65,33.0,20.0
1981,10,24.96,34.0,13.0
1981,11,21.55,32.0,8.0
1981,12,20.03,30.0,6.0
1982,1,21.42,30.89,11.0
1982,2,23.29,35.39,4.39
1982,3,27.05,39.11,10.11
1982,4,30.31,39.5,15.89
1982,5,30.5,39.5,19.72
1982,6,29.07,38.78,21.78
1982,7,26.03,35.22,20.89
1982,8,25.22,33.61,19.78
1982,9,25.74,33.0,18.5
1982,10,26.14,38.39,17.39
1982,11,23.4,31.72,12.61
1982,12,21.66,31.5,8.28
1983,1,20.75,31.5,7.78
1983,2,23.17,38.0,10.5
1983,3,27.54,38.39,11.39
1983,4,30.43,42.0,16.22
1983,5,33.17,48.22,19.89
1983,6,29.36,41.5,21.5
1983,7,26.57,38.39,20.78
1983,8,24.89,32.22,20.5
1983,9,24.64,31.39,20.0
1983,10,24.13,32.22,12.22
1983,11,21.28,32.0,9.0
1983,12,19.76,29.0,4.0
1984,1,21.06,32.0,7.78
1984,2,22.48,32.22,10.22
1984,3,28.97,40.0,12.11
1984,4,31.67,41.0,19.11
1984,5,33.92,42.5,21.0
1984,6,28.11,39.5,21.61
1984,7,25.45,32.39,14.61
1984,8,24.44,31.11,19.5
1984,9,25.46,33.11,18.0
1984,10,25.42,34.39,15.72
1984,11,22.34,32.28,7.72
1984,12,22.17,32.5,6.5
