Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,11,22.46,30.0,10.0
1975,12,18.81,27.0,12.0
1976,1,18.28,26.0,14.0
1976,2,23.33,30.0,15.0
1976,3,28.76,38.0,21.0
1976,4,28.17,37.0,21.0
1976,5,30.5,36.0,25.0
1976,6,30.02,38.0,22.0
1976,7,28.27,34.0,23.0
1976,8,28.5,36.0,16.0
1976,9,28.17,34.0,22.0
1976,10,27.13,40.0,17.0
1976,11,25.6,33.0,10.0
1976,12,21.13,32.0,9.0
1977,1,19.88,33.0,10.0
1977,2,22.9,33.0,12.0
1977,3,28.18,40.0,18.0
1977,4,28.69,38.0,19.0
1977,5,28.75,41.0,20.0
1977,6,29.57,39.0,21.0
1977,7,28.46,39.0,24.0
1977,8,28.54,39.0,25.0
1977,9,28.69,37.0,16.0
1977,10,27.51,35.0,20.0
1977,11,25.12,34.0,16.0
1977,12,19.92,38.0,12.0
1978,1,19.21,31.0,10.0
1978,2,22.77,38.0,11.0
1978,3,26.19,36.0,10.0
1978,4,29.35,38.0,20.0
1978,5,31.49,48.0,21.0
1978,6,29.76,41.0,23.0
1978,7,28.69,38.0,16.0
1978,8,28.47,35.0,24.0
1978,9,27.81,35.0,16.0
1978,10,26.39,36.0,20.0
1978,11,24.38,33.0,14.0
1978,12,19.59,29.0,10.0
1979,1,20.92,31.0,10.0
1979,2,21.78,36.0,12.0
1979,3,27.05,38.0,15.0
1979,4,29.2,41.0,21.0
1979,5,31.33,44.0,15.0
1979,6,30.71,44.0,22.0
1979,7,29.15,38.0,19.0
1979,8,29.21,35.0,23.0
1979,9,28.47,34.0,23.0
1979,10,28.01,35.0,21.0
1979,11,25.81,35.0,17.0
1979,12,21.05,31.0,11.0
1980,1,21.01,32.0,9.0
1980,2,24.02,35.0,13.0
1980,3,26.45,37.0,15.0
1980,4,30.77,43.0,19.0
1980,5,31.66,42.0,22.0
1980,6,29.61,38.0,24.0
1980,7,28.82,39.0,23.0
1980,8,28.85,34.0,20.0
