Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,20.81,44.0,6.0
1975,2,23.39,35.0,8.0
1975,3,26.32,34.0,17.0
1975,4,28.41,37.0,22.0
1975,5,26.03,39.0,19.0
1975,6,22.63,31.0,18.0
1975,7,22.14,29.0,18.0
1975,8,21.93,29.0,19.0
1975,9,22.61,29.0,18.0
1975,10,21.87,27.0,18.0
1975,11,20.63,30.0,12.0
1975,12,19.43,27.0,1.0
1976,1,19.04,29.0,4.0
1976,2,22.5,32.0,13.0
1976,3,26.33,37.0,14.0
1976,4,26.35,35.0,17.0
1976,5,26.34,37.0,20.0
1976,6,24.36,32.0,0.0
1976,7,22.86,36.0,18.0
1976,8,22.99,33.0,19.0
1976,9,23.7,31.0,18.0
1976,10,23.18,31.0,0.0
1976,11,22.17,30.0,10.0
1976,12,20.97,30.0,13.0
1977,1,21.3,31.0,12.0
1977,2,23.19,33.0,14.0
1977,3,25.56,37.0,16.0
1977,4,26.86,36.0,19.0
1977,5,25.25,34.0,19.0
1977,6,23.83,32.0,19.0
1977,7,22.68,30.0,19.0
1977,8,22.82,29.0,19.0
1977,9,23.44,32.0,19.0
1977,10,22.57,30.0,17.0
1977,11,21.9,33.0,17.0
1977,12,20.29,31.0,13.0
1978,1,21.25,30.0,10.0
1978,2,23.05,33.0,15.0
1978,3,25.78,35.0,15.0
1978,4,27.11,38.0,18.0
1978,5,26.25,36.0,20.0
1978,6,22.62,35.0,9.0
1978,7,22.18,28.0,18.0
1978,8,22.06,32.0,19.0
1978,9,22.79,33.0,15.0
1978,10,23.51,33.0,18.0
1978,11,21.64,32.0,0.0
1978,12,20.52,33.0,15.0
1979,1,21.24,31.0,14.0
1979,2,23.2,32.0,16.0
1979,3,25.87,35.0,13.0
1979,4,27.48,38.0,19.0
1979,5,26.73,38.0,19.0
1979,6,24.0,34.0,11.0
1979,7,23.15,33.0,19.0
1979,8,22.7,32.0,18.0
1979,9,22.76,33.0,19.0
1979,10,23.07,30.0,16.0
1979,11,21.66,31.0,16.0
1979,12,21.02,33.0,13.0
1980,1,20.38,33.0,13.0
1980,2,23.27,34.0,15.0
1980,3,25.67,35.0,15.0
1980,4,27.58,37.0,19.0
1980,5,27.24,39.0,19.0
1980,6,23.49,31.0,19.0
1980,7,22.86,32.0,19.0
1980,8,22.68,30.0,18.0
1980,9,23.81,31.0,18.0
1980,10,23.5,31.0,14.0
1980,11,21.8,30.0,15.0
1980,12,21.5,30.0,14.0
1981,1,21.32,31.0,15.0
1981,2,23.78,34.0,12.0
1981,3,25.37,34.0,16.0
1981,4,27.45,36.0,19.0
1981,5,26.21,37.0,16.0
1981,6,23.59,33.0,19.0
1981,7,23.31,32.0,11.0
1981,8,22.44,31.0,18.0
1981,9,22.74,35.0,19.0
1981,10,22.92,32.0,17.0
1981,11,21.3,30.0,13.0
1981,12,19.87,30.0,11.0
1982,1,20.25,28.72,13.11
1982,2,23.64,32.89,14.5
1982,3,26.35,36.0,18.22
1982,4,27.66,36.28,20.39
1982,5,26.8,35.22,20.0
1982,6,23.65,31.78,19.22
1982,7,23.46,31.5,17.78
1982,8,23.17,30.28,18.5
1982,9,23.62,32.0,17.5
1982,10,23.54,31.5,18.39
1982,11,22.09,29.5,15.89
1982,12,20.51,28.39,13.39
1983,1,21.15,32.5,12.78
1983,2,25.43,34.72,16.72
1983,3,27.55,37.22,18.39
1983,4,28.89,37.72,19.22
1983,5,27.58,38.0,18.28
1983,6,24.5,34.22,18.0
1983,7,23.43,32.61,15.78
1983,8,22.69,29.61,19.11
1983,9,22.42,28.78,17.72
1983,10,23.06,30.89,16.11
1983,11,21.91,32.39,13.28
1983,12,20.95,29.39,11.5
1984,1,21.32,29.61,13.78
1984,2,22.38,31.72,16.0
1984,3,24.59,39.0,16.22
1984,4,26.82,36.39,19.39
1984,5,27.53,36.0,19.0
1984,6,23.52,31.5,18.22
1984,7,22.72,32.5,18.78
1984,8,22.92,30.39,18.11
1984,9,23.34,38.0,17.22
1984,10,22.77,29.78,16.39
1984,11,21.65,30.22,14.0
1984,12,20.85,29.39,12.0
1985,1,21.55,31.0,13.78
1985,2,24.0,34.0,10.22
1985,3,26.27,35.78,15.61
1985,4,27.53,37.28,20.0
1985,5,27.13,37.0,20.22
1985,6,23.02,30.28,19.0
1985,7,22.64,30.11,18.5
1985,8,22.92,30.28,18.28
1985,9,23.55,31.28,16.72
1985,10,22.42,29.28,14.11
1985,11,20.86,29.61,13.0
1985,12,21.06,29.28,13.61
1986,1,20.48,29.61,13.22
1986,2,22.57,32.0,14.61
1986,3,26.16,35.61,16.22
1986,4,28.04,36.39,19.72
1986,5,27.09,38.61,18.61
1986,6,23.82,32.0,18.72
1986,7,23.56,31.28,18.72
1986,8,23.08,31.0,17.61
1986,9,23.23,31.0,17.78
1986,10,23.73,36.5,15.61
1986,11,21.73,28.78,13.0
1986,12,21.32,29.0,12.89
1987,1,20.66,29.28,12.72
1987,2,22.69,32.39,13.11
1987,3,25.32,34.78,15.61
1987,4,27.94,36.78,17.5
1987,5,27.25,34.78,19.0
1987,6,24.17,32.5,19.0
1987,7,24.39,37.78,19.22
1987,8,23.28,31.5,19.0
1987,9,24.46,38.39,19.0
1987,10,23.43,29.5,18.22
1987,11,21.91,29.78,13.61
1987,12,20.71,29.78,13.22
1988,1,20.5,30.0,8.0
1988,2,24.33,33.0,13.78
1988,3,26.99,36.0,18.39
1988,4,26.84,35.72,17.78
1988,5,27.05,35.72,19.22
1988,6,24.62,32.78,19.61
1988,7,22.92,32.39,18.89
1988,8,22.72,30.11,18.72
1988,9,22.89,32.39,17.72
1988,10,23.48,30.61,17.0
1988,11,21.36,30.22,13.5
1988,12,20.6,29.0,12.78
1989,1,20.33,29.72,13.22
1989,2,23.17,33.11,12.39
1989,3,25.22,34.28,16.0
1989,4,27.7,37.78,20.39
1989,5,26.67,36.22,18.78
1989,6,23.61,33.5,18.89
1989,7,22.99,31.78,17.11
1989,8,22.66,29.61,18.72
1989,9,23.21,30.72,17.89
1989,10,23.36,30.39,16.5
1989,11,21.97,30.0,12.39
1989,12,20.82,29.72,13.11
1990,1,21.19,30.72,11.22
1990,2,23.86,33.39,12.5
1990,3,26.49,34.78,18.0
1990,4,28.43,36.78,20.0
1990,5,25.73,34.61,19.39
1990,6,23.68,32.0,16.0
1990,7,22.86,32.28,18.39
1990,8,22.3,30.39,18.39
1990,9,23.69,31.22,17.11
1990,10,23.25,31.0,18.22
1990,11,21.9,29.5,14.61
1990,12,20.98,29.28,12.22
1991,1,22.01,32.0,13.89
1991,2,24.0,33.0,15.39
1991,3,27.35,35.61,19.28
1991,4,27.02,35.72,19.11
1991,5,27.0,36.61,19.78
1991,6,23.56,31.61,19.5
1991,7,22.41,29.0,18.22
1991,8,22.35,28.39,17.78
