Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,14.49,23.0,1.0
1975,2,17.86,27.0,12.0
1975,3,21.5,37.0,7.0
1975,4,28.55,41.0,18.0
1975,5,34.07,44.0,23.0
1975,6,29.54,43.0,22.0
1975,7,29.05,36.0,21.0
1975,8,29.55,35.0,23.0
1975,9,27.67,34.0,21.0
1975,10,26.64,35.0,15.0
1975,11,18.6,31.0,6.0
1975,12,15.81,26.0,7.0
1976,1,15.42,25.0,5.0
1976,2,17.36,27.0,9.0
1976,3,23.68,39.0,9.0
1976,4,28.45,40.0,10.0
1976,5,32.08,43.0,19.0
1976,6,30.62,44.0,19.0
1976,7,29.37,5537.72,0.0
1976,8,28.03,35.0,22.0
1976,9,28.82,36.0,23.0
1976,10,25.88,36.0,16.0
1976,11,22.6,5537.72,11.0
1976,12,15.52,28.0,3.0
1977,1,14.66,29.0,6.0
1977,2,17.26,31.0,6.0
1977,3,24.89,38.0,10.0
1977,4,28.17,42.0,17.0
1977,5,31.57,43.0,19.0
1977,6,32.35,45.0,20.0
1977,7,28.71,36.0,20.0
1977,8,29.07,36.0,25.0
1977,9,28.21,37.0,22.0
1977,10,27.23,45.0,18.0
1977,11,22.7,40.0,13.0
1977,12,17.59,38.0,7.0
1978,1,14.56,32.0,2.0
1978,2,16.76,31.0,5.0
1978,3,20.84,33.0,10.0
1978,4,28.52,41.0,11.0
1978,5,33.91,47.0,22.0
1978,6,30.6,44.0,20.0
1978,7,29.04,37.0,20.0
1978,8,28.28,38.0,25.0
1978,9,27.32,37.0,12.0
1978,10,25.16,38.0,18.0
1978,11,20.86,34.0,10.0
1978,12,15.84,26.0,7.0
1979,1,15.72,27.0,8.0
1979,2,16.29,28.0,0.0
1979,3,22.29,37.0,7.0
1979,4,29.49,43.0,16.0
1979,5,31.33,43.0,15.0
1979,6,32.69,45.0,22.0
1979,7,29.75,41.0,20.0
1979,8,30.06,5537.72,20.0
1979,9,29.87,39.0,20.0
1979,10,26.94,37.0,17.0
1979,11,22.64,33.0,13.0
1979,12,16.22,27.0,6.0
1980,1,14.79,26.0,5.0
1980,2,18.39,32.0,5.0
1980,3,22.6,35.0,8.0
1980,4,30.74,43.0,16.0
1980,5,34.27,45.0,24.0
1980,6,31.04,40.0,23.0
1980,7,28.72,37.0,22.0
1980,8,29.45,39.0,23.0
