Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,21.92,32.0,10.0
1975,2,23.97,33.0,11.0
1975,3,26.33,36.0,17.0
1975,4,27.95,39.0,20.0
1975,5,25.97,35.0,20.0
1975,6,23.56,36.0,20.0
1975,7,22.7,30.0,14.0
1975,8,22.13,26.0,19.0
1975,9,23.56,29.0,20.0
1975,10,23.39,36.0,12.0
1975,11,21.6,28.0,14.0
1975,12,20.75,29.0,11.0
1976,1,20.84,30.0,6.0
1976,2,23.08,33.0,12.0
1976,3,25.92,35.0,15.0
1976,4,26.74,38.0,18.0
1976,5,24.97,37.0,16.0
1976,6,22.92,31.0,2.0
1976,7,22.75,33.0,20.0
1976,8,22.43,30.0,19.0
1976,9,22.67,30.0,17.0
1976,10,24.99,33.0,17.0
1976,11,24.25,31.0,17.0
1976,12,22.42,30.0,13.0
1977,1,21.6,31.0,11.0
1977,2,24.31,34.0,14.0
1977,3,26.65,36.0,16.0
1977,4,26.73,37.0,16.0
1977,5,26.98,38.0,20.0
1977,6,23.95,38.0,12.0
1977,7,22.01,33.0,17.0
1977,8,22.38,33.0,16.0
1977,9,22.76,32.0,16.0
1977,10,24.06,36.0,14.0
1977,11,23.17,32.0,10.0
1977,12,20.53,33.0,11.0
1978,1,22.72,38.0,10.0
1978,2,22.75,34.0,10.0
1978,3,25.23,36.0,13.0
1978,4,26.93,39.0,12.0
1978,5,25.85,39.0,19.0
1978,6,22.77,33.0,19.0
1978,7,22.28,33.0,19.0
1978,8,21.7,31.0,10.0
1978,9,22.07,31.0,9.0
1978,10,23.71,33.0,17.0
1978,11,23.17,30.0,15.0
1978,12,22.45,30.0,14.0
1979,1,22.51,33.0,10.0
1979,2,22.65,38.0,11.0
1979,3,26.81,37.0,15.0
1979,4,27.77,38.0,19.0
1979,5,26.64,39.0,17.0
1979,6,24.14,36.0,10.0
1979,7,22.58,30.0,19.0
1979,8,21.89,33.0,18.0
1979,9,23.05,33.0,18.0
1979,10,24.01,32.0,18.0
1979,11,23.1,30.0,17.0
1979,12,21.79,31.0,10.0
1980,1,21.49,30.0,12.0
1980,2,24.24,35.0,13.0
1980,3,26.46,37.0,13.0
1980,4,27.49,39.0,18.0
1980,5,27.63,38.0,19.0
1980,6,23.44,37.0,20.0
1980,7,22.4,32.0,19.0
1980,8,22.08,31.0,6.0
1980,9,22.96,33.0,18.0
1980,10,24.26,33.0,10.0
1980,11,23.3,31.0,10.0
1980,12,21.16,30.0,11.0
1981,1,21.07,32.0,10.0
1981,2,24.23,35.0,12.0
1981,3,26.26,37.0,14.0
1981,4,27.32,38.0,18.0
1981,5,26.19,37.0,19.0
1981,6,23.41,34.0,19.0
1981,7,22.61,39.0,12.0
1981,8,22.07,31.0,19.0
1981,9,22.87,33.0,12.0
1981,10,23.54,33.0,10.0
1981,11,21.89,33.0,10.0
1981,12,21.45,33.0,10.0
1982,1,21.4,30.72,12.5
1982,2,24.18,34.78,10.28
1982,3,26.25,37.11,12.39
1982,4,27.26,37.78,15.78
1982,5,26.06,37.39,18.89
1982,6,24.07,32.0,19.39
1982,7,22.73,30.0,18.78
1982,8,22.28,28.0,17.5
1982,9,22.63,30.39,16.61
1982,10,24.58,33.0,17.39
1982,11,22.59,30.22,15.39
1982,12,22.05,30.0,12.28
1983,1,21.8,32.0,10.0
1983,2,22.83,34.0,9.0
1983,3,26.51,37.39,13.0
1983,4,27.68,39.22,16.78
1983,5,27.6,39.78,17.0
1983,6,25.08,37.22,19.39
1983,7,23.13,28.78,20.0
1983,8,22.7,28.22,19.61
1983,9,22.5,29.5,18.5
1983,10,23.23,32.22,16.0
1983,11,21.39,29.39,10.39
1983,12,21.78,29.39,8.5
1984,1,22.27,31.78,6.39
1984,2,24.68,33.78,15.22
1984,3,25.59,36.39,11.39
1984,4,26.55,37.28,18.61
1984,5,27.58,40.22,18.5
1984,6,23.35,33.39,19.61
1984,7,22.25,28.89,19.0
1984,8,21.79,28.22,18.39
1984,9,22.66,37.0,16.22
1984,10,23.53,31.28,13.39
