Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,16.51,30.0,5.0
1975,2,20.29,33.0,1.0
1975,3,25.3,37.0,11.0
1975,4,32.15,42.0,17.0
1975,5,34.47,42.0,23.0
1975,6,30.91,42.0,20.0
1975,7,26.31,45.0,21.0
1975,8,25.74,35.0,22.0
1975,9,25.57,39.0,21.0
1975,10,25.21,33.0,10.0
1975,11,20.06,38.0,5.0
1975,12,18.47,29.0,7.0
1976,1,19.14,33.0,0.0
1976,2,21.81,33.0,9.0
1976,3,26.3,39.0,11.0
1976,4,29.56,41.0,15.0
1976,5,33.14,42.0,21.0
1976,6,28.66,42.0,15.0
1976,7,26.95,37.0,19.0
1976,8,25.33,32.0,22.0
1976,9,25.87,34.0,20.0
1976,10,27.03,38.0,17.0
1976,11,24.99,33.0,12.0
1976,12,20.12,32.0,7.0
1977,1,17.98,31.0,4.0
1977,2,22.15,37.0,8.0
1977,3,28.46,40.0,11.0
1977,4,29.73,42.0,0.0
1977,5,32.28,46.0,22.0
1977,6,30.6,48.0,22.0
1977,7,26.19,35.0,20.0
1977,8,25.21,32.0,15.0
1977,9,25.69,37.0,19.0
1977,10,26.41,37.0,16.0
1977,11,23.4,34.0,12.0
1977,12,19.43,29.0,5.0
1978,1,17.72,29.0,4.0
1978,2,19.7,33.0,7.0
1978,3,24.6,38.0,12.0
1978,4,30.51,41.0,17.0
1978,5,34.3,45.0,20.0
1978,6,29.2,44.0,20.0
1978,7,25.54,32.0,15.0
1978,8,24.59,33.0,21.0
1978,9,26.19,37.0,20.0
1978,10,26.41,35.0,15.0
1978,11,23.19,34.0,12.0
1978,12,17.61,33.0,6.0
1979,1,18.57,33.0,8.0
1979,2,19.07,30.0,8.0
1979,3,24.34,36.0,7.0
1979,4,31.31,43.0,16.0
1979,5,32.06,44.0,20.0
1979,6,30.61,45.0,15.0
1979,7,26.48,36.0,22.0
1979,8,25.63,5537.72,20.0
1979,9,27.6,36.0,20.0
1979,10,27.27,36.0,17.0
1979,11,23.96,33.0,15.0
1979,12,19.17,29.0,11.0
1980,1,18.61,30.0,7.0
1980,2,21.29,35.0,7.0
1980,3,25.84,38.0,11.0
1980,4,31.38,43.0,19.0
1980,5,33.84,43.0,20.0
1980,6,28.28,41.0,22.0
1980,7,26.2,33.0,22.0
1980,8,25.33,33.0,16.0
1980,9,26.77,36.0,20.0
1980,10,26.82,36.0,12.0
1980,11,23.26,32.0,12.0
1980,12,18.57,29.0,9.0
1981,1,17.38,31.0,6.0
1981,2,21.96,34.0,8.0
1981,3,25.47,39.0,10.0
1981,4,30.93,42.0,17.0
1981,5,33.45,43.0,22.0
1981,6,32.32,43.0,21.0
1981,7,25.77,33.0,22.0
1981,8,25.13,33.0,9.0
1981,9,26.37,34.0,22.0
1981,10,25.69,38.0,16.0
1981,11,21.07,31.0,10.0
1981,12,18.13,28.0,7.0
1982,1,18.22,28.28,9.22
1982,2,19.35,30.22,10.39
1982,3,24.3,37.78,10.5
1982,4,29.52,40.0,16.28
1982,5,31.54,41.22,20.5
1982,6,31.41,42.22,21.22
1982,7,27.34,37.0,20.61
1982,8,24.93,30.5,20.28
1982,9,26.29,34.11,19.11
1982,10,26.39,35.11,17.61
1982,11,21.44,30.39,9.61
1982,12,19.94,29.0,9.39
1983,1,17.5,29.5,6.61
1983,2,19.22,32.5,6.11
1983,3,25.28,36.61,11.78
1983,4,28.68,41.61,16.22
1983,5,32.82,42.0,22.11
1983,6,31.94,42.89,21.5
1983,7,26.98,34.89,21.0
1983,8,26.17,33.61,22.0
1983,9,25.98,38.11,21.72
1983,10,24.16,32.0,12.78
1983,11,20.2,29.28,0.89
1983,12,18.14,28.22,5.5
1984,1,17.32,29.39,7.78
1984,2,18.16,28.61,5.61
1984,3,27.24,39.39,11.89
1984,4,31.06,41.5,19.22
1984,5,34.46,43.89,19.0
1984,6,30.33,43.72,23.0
1984,7,27.39,34.28,20.61
1984,8,24.25,30.39,20.11
1984,9,25.38,34.78,19.0
1984,10,25.53,34.11,14.39
1984,11,21.89,31.61,10.61
1984,12,19.59,30.28,8.61
1985,1,18.34,30.0,9.61
1985,2,20.87,35.22,9.28
1985,3,28.14,38.78,13.78
1985,4,30.95,41.0,18.61
1985,5,33.98,43.5,23.78
1985,6,31.01,40.39,22.22
1985,7,27.57,5537.72,21.61
1985,8,24.63,31.0,20.39
1985,9,26.09,33.39,20.28
1985,10,23.64,33.78,14.0
1985,11,22.13,30.39,10.5
1985,12,20.04,29.22,9.39
1986,1,18.56,29.22,5.61
1986,2,20.08,30.78,10.22
1986,3,25.82,39.0,12.78
1986,4,31.04,41.78,16.0
1986,5,33.1,42.22,19.11
1986,6,30.79,43.0,22.39
1986,7,25.61,34.39,20.39
1986,8,25.37,32.0,19.22
1986,9,27.26,35.22,20.0
1986,10,26.76,35.78,14.22
1986,11,23.31,32.78,11.61
1986,12,18.02,29.61,6.89
1987,1,17.92,29.5,6.39
1987,2,21.6,31.61,10.0
1987,3,26.42,38.61,13.0
1987,4,31.22,42.28,19.72
1987,5,31.84,47.5,20.22
1987,6,32.02,43.61,21.39
1987,7,27.71,37.39,20.39
1987,8,26.51,37.39,20.72
1987,9,26.87,35.72,20.61
1987,10,26.31,36.78,15.11
1987,11,22.24,32.78,11.89
1987,12,18.45,33.72,9.0
1988,1,19.21,30.22,9.0
1988,2,22.62,35.72,7.61
1988,3,26.89,38.0,13.78
