Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,20.88,30.0,6.0
1975,2,24.33,40.0,9.0
1975,3,28.1,38.0,19.0
1975,4,30.04,39.0,14.0
1975,5,31.84,45.0,22.0
1975,6,30.57,42.0,20.0
1975,7,28.04,34.0,23.0
1975,8,27.58,33.0,23.0
1975,9,27.64,34.0,23.0
1975,10,27.25,33.0,23.0
1975,11,22.55,31.0,14.0
1975,12,20.28,36.0,11.0
1976,1,20.48,30.0,9.0
1976,2,24.69,37.0,11.0
1976,3,28.25,38.0,18.0
1976,4,29.86,42.0,21.0
1976,5,31.13,44.0,22.0
1976,6,30.33,41.0,21.0
1976,7,27.65,36.0,23.0
1976,8,28.26,35.0,22.0
1976,9,28.88,34.0,24.0
1976,10,27.84,38.0,21.0
1976,11,26.55,34.0,16.0
1976,12,23.16,32.0,11.0
1977,1,22.31,33.0,0.0
1977,2,25.05,37.0,11.0
1977,3,28.5,42.0,21.0
1977,4,29.07,38.0,22.0
1977,5,30.1,41.0,20.0
1977,6,29.76,40.0,16.0
1977,7,28.37,38.0,23.0
1977,8,27.79,36.0,23.0
1977,9,28.39,35.0,21.0
1977,10,27.89,35.0,20.0
1977,11,26.3,34.0,16.0
1977,12,22.06,33.0,13.0
1978,1,21.84,32.0,11.0
1978,2,24.58,33.0,17.0
1978,3,27.3,36.0,19.0
1978,4,30.11,39.0,20.0
1978,5,32.11,45.0,21.0
1978,6,30.34,43.0,20.0
1978,7,28.47,36.0,24.0
1978,8,28.31,38.0,24.0
1978,9,27.93,35.0,16.0
1978,10,26.94,37.0,20.0
1978,11,25.91,33.0,16.0
1978,12,21.12,31.0,11.0
1979,1,22.66,34.0,12.0
1979,2,24.43,35.0,14.0
1979,3,28.39,39.0,16.0
1979,4,30.4,43.0,21.0
1979,5,32.24,45.0,21.0
1979,6,31.21,42.0,16.0
1979,7,29.16,38.0,24.0
1979,8,28.85,37.0,23.0
1979,9,28.12,35.0,23.0
1979,10,28.11,34.0,21.0
1979,11,26.81,34.0,20.0
1979,12,22.92,32.0,13.0
1980,1,23.51,34.0,12.0
1980,2,26.39,36.0,17.0
1980,3,28.62,40.0,20.0
1980,4,31.08,41.0,23.0
1980,5,31.61,44.0,22.0
1980,6,28.98,37.0,23.0
1980,7,28.36,35.0,20.0
1980,8,28.33,34.0,16.0
1980,9,27.97,36.0,20.0
1980,10,27.37,35.0,16.0
1980,11,24.79,32.0,15.0
1980,12,22.36,30.0,8.0
1981,1,21.56,30.0,12.0
1981,2,25.9,43.0,13.0
1981,3,26.88,36.0,19.0
1981,4,29.47,39.0,22.0
1981,5,30.02,41.0,20.0
1981,6,30.52,42.0,23.0
1981,7,28.22,35.0,20.0
1981,8,28.14,34.0,24.0
1981,9,28.05,40.0,23.0
1981,10,27.95,35.0,20.0
1981,11,24.91,34.0,14.0
1981,12,21.9,30.0,12.0
1982,1,23.38,31.5,14.39
1982,2,25.68,34.39,17.61
1982,3,27.32,38.72,18.39
1982,4,30.11,39.61,20.0
1982,5,31.72,43.39,20.61
1982,6,30.81,38.11,23.0
1982,7,29.66,41.22,23.0
1982,8,27.61,33.5,22.61
1982,9,28.54,35.28,22.22
1982,10,28.25,35.5,20.39
1982,11,25.48,33.5,16.0
1982,12,23.15,31.72,13.28
1983,1,23.01,33.5,11.22
1983,2,24.02,35.5,12.22
1983,3,28.39,40.22,18.78
1983,4,29.98,41.22,21.22
1983,5,31.17,41.0,20.61
1983,6,30.61,38.39,23.22
1983,7,28.54,35.89,22.28
1983,8,28.21,34.0,22.5
1983,9,28.22,33.78,23.61
1983,10,27.27,36.0,19.28
1983,11,24.85,38.22,14.5
1983,12,21.45,30.28,11.11
1984,1,22.72,31.72,14.0
1984,2,24.0,34.22,14.61
1984,3,28.46,39.5,15.0
1984,4,30.49,42.11,20.5
1984,5,31.49,40.39,21.22
1984,6,29.28,40.22,22.61
1984,7,27.92,38.61,22.89
1984,8,28.0,34.0,23.0
1984,9,28.21,34.89,22.22
1984,10,27.67,34.72,19.0
1984,11,24.15,37.0,13.39
1984,12,22.76,32.39,11.78
1985,1,22.87,31.78,13.89
1985,2,24.95,37.11,14.39
1985,3,28.61,39.78,19.0
1985,4,30.65,45.0,21.0
1985,5,31.17,39.39,21.39
1985,6,30.67,41.28,21.89
1985,7,27.61,33.61,22.61
1985,8,27.85,34.22,21.39
1985,9,27.65,38.28,22.5
1985,10,26.32,33.39,17.0
1985,11,24.26,32.11,13.5
1985,12,22.66,33.5,11.72
1986,1,21.41,31.61,10.22
1986,2,24.71,33.78,13.39
1986,3,28.35,40.5,17.0
1986,4,29.59,39.72,18.39
1986,5,30.59,38.22,19.5
1986,6,29.9,42.61,23.78
1986,7,28.17,38.0,14.11
1986,8,28.72,38.0,24.22
1986,9,28.23,35.5,22.39
1986,10,26.96,33.0,19.0
1986,11,24.22,33.22,16.39
1986,12,22.24,30.61,13.61
1987,1,21.68,32.39,10.5
1987,2,24.57,36.39,14.72
1987,3,27.61,39.72,18.39
1987,4,29.67,42.89,20.78
1987,5,30.95,41.39,19.89
1987,6,31.56,42.39,22.22
1987,7,28.72,39.5,23.11
1987,8,28.65,35.39,23.0
1987,9,28.9,34.61,23.61
1987,10,27.88,36.5,19.28
1987,11,24.2,31.0,14.0
1987,12,21.57,32.0,13.0
1988,1,22.16,37.11,13.72
1988,2,25.31,37.22,13.78
1988,3,29.17,39.61,17.0
1988,4,29.59,42.28,20.11
1988,5,30.92,40.78,21.78
1988,6,29.19,39.61,21.5
1988,7,28.49,34.0,23.28
1988,8,28.57,34.39,24.0
1988,9,28.4,37.78,23.5
1988,10,27.34,33.61,19.28
1988,11,24.62,33.28,15.5
1988,12,22.94,31.61,11.61
1989,1,21.77,34.0,9.61
1989,2,24.85,37.61,10.78
1989,3,28.13,40.61,18.0
1989,4,31.01,42.72,21.0
1989,5,30.91,43.61,20.78
1989,6,28.91,39.89,22.39
1989,7,28.45,35.0,24.39
1989,8,27.78,37.39,22.61
1989,9,28.28,35.61,22.11
1989,10,27.48,34.89,18.0
1989,11,24.87,35.22,15.0
1989,12,21.21,30.72,11.5
1990,1,23.15,35.0,11.0
1990,2,24.77,35.39,17.28
1990,3,26.18,36.28,17.22
1990,4,28.65,38.28,19.5
1990,5,29.1,38.0,20.61
1990,6,29.23,39.39,21.28
1990,7,27.74,36.28,22.61
1990,8,28.39,34.78,23.22
1990,9,28.11,35.0,23.0
1990,10,26.32,32.5,18.5
1990,11,25.01,33.72,16.0
