Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,18.14,30.0,4.0
1975,2,20.42,37.0,4.0
1975,3,25.57,40.0,8.0
1975,4,30.58,42.0,18.0
1975,5,30.98,43.0,21.0
1975,6,32.6,43.0,26.0
1975,7,30.17,36.0,24.0
1975,8,28.47,37.0,12.0
1975,9,28.08,36.0,20.0
1975,10,26.36,34.0,12.0
1975,11,20.66,32.0,7.0
1975,12,19.01,37.0,7.0
1976,1,17.92,30.0,5.0
1976,2,21.84,36.0,8.0
1976,3,26.49,38.0,11.0
1976,4,29.25,40.0,17.0
1976,5,31.32,42.0,20.0
1976,6,32.56,42.0,26.0
1976,7,30.29,37.0,25.0
1976,8,28.25,35.0,21.0
1976,9,27.2,35.0,21.0
1976,10,29.51,39.0,10.0
1976,11,26.27,37.0,12.0
1976,12,18.41,31.0,4.0
1977,1,16.91,32.0,0.0
1977,2,22.51,35.0,5.0
1977,3,27.67,42.0,10.0
1977,4,30.04,43.0,21.0
1977,5,32.06,45.0,22.0
1977,6,31.38,43.0,23.0
1977,7,29.03,37.0,21.0
1977,8,29.01,40.0,24.0
1977,9,28.26,41.0,20.0
1977,10,29.38,41.0,17.0
1977,11,26.53,39.0,14.0
1977,12,20.99,32.0,4.0
1978,1,18.47,32.0,4.0
1978,2,20.91,35.0,3.0
1978,3,25.52,39.0,11.0
1978,4,30.47,42.0,19.0
1978,5,32.39,44.0,20.0
1978,6,31.32,41.0,24.0
1978,7,28.56,38.0,24.0
1978,8,28.03,36.0,6.0
1978,9,27.61,39.0,6.0
1978,10,28.67,40.0,16.0
1978,11,24.62,37.0,7.0
1978,12,19.62,33.0,6.0
1979,1,17.67,32.0,4.0
1979,2,20.39,5537.72,4.0
1979,3,24.99,38.0,5.0
1979,4,30.15,47.0,12.0
1979,5,31.74,48.0,19.0
1979,6,32.49,45.0,20.0
1979,7,30.83,38.0,21.0
1979,8,27.82,38.0,20.0
1979,9,28.88,37.0,22.0
1979,10,27.69,37.0,19.0
1979,11,24.52,37.0,9.0
1979,12,19.07,33.0,8.0
1980,1,17.03,30.0,2.0
1980,2,21.77,37.0,3.0
1980,3,26.15,40.0,12.0
1980,4,31.73,44.0,20.0
1980,5,32.63,44.0,20.0
1980,6,32.17,42.0,12.0
1980,7,29.27,35.0,22.0
1980,8,28.86,38.0,20.0
1980,9,29.3,40.0,10.0
1980,10,29.27,41.0,17.0
1980,11,24.14,37.0,10.0
1980,12,18.82,32.0,1.0
1981,1,19.34,31.0,5.0
1981,2,22.49,37.0,3.0
1981,3,26.76,41.0,14.0
1981,4,30.52,43.0,14.0
1981,5,32.94,45.0,23.0
1981,6,32.74,44.0,20.0
1981,7,29.93,37.0,25.0
1981,8,27.74,34.0,22.0
1981,9,29.06,41.0,21.0
1981,10,29.06,40.0,18.0
1981,11,21.9,36.0,8.0
1981,12,18.05,31.0,7.0
1982,1,17.22,29.39,3.39
1982,2,21.27,33.0,7.22
1982,3,26.45,41.5,8.61
1982,4,29.7,42.0,16.5
1982,5,32.18,43.22,21.0
1982,6,32.82,41.5,24.5
1982,7,30.83,38.0,25.72
1982,8,29.26,36.11,23.0
1982,9,29.71,40.39,21.5
1982,10,30.55,41.5,17.28
1982,11,24.0,37.0,8.61
1982,12,20.79,33.39,6.61
1983,1,18.53,32.5,2.61
1983,2,21.2,34.0,4.11
1983,3,25.9,36.78,10.78
1983,4,27.44,41.0,16.22
1983,5,31.75,43.72,22.5
1983,6,32.53,43.39,23.78
1983,7,31.03,40.39,25.39
1983,8,28.62,35.39,23.61
1983,9,30.02,41.61,23.0
1983,10,28.79,40.89,13.11
1983,11,23.08,35.22,10.11
1983,12,17.94,31.61,1.28
1984,1,17.32,29.89,4.28
1984,2,18.75,34.39,0.28
1984,3,27.9,42.22,11.28
1984,4,32.26,43.78,18.78
1984,5,32.6,43.61,20.61
1984,6,31.8,48.78,25.0
1984,7,29.42,36.0,23.28
1984,8,27.5,36.78,23.28
1984,9,28.11,39.39,20.39
1984,10,26.91,38.5,11.39
1984,11,23.2,35.39,8.5
1984,12,19.46,35.39,3.28
1985,1,17.69,31.22,2.5
1985,2,21.83,37.5,6.11
1985,3,28.36,41.0,13.61
1985,4,29.86,41.5,19.72
1985,5,32.89,44.89,23.0
1985,6,31.44,39.0,26.11
1985,7,29.62,36.5,23.22
1985,8,28.22,34.22,23.11
1985,9,29.04,38.5,20.72
1985,10,29.7,41.22,17.11
1985,11,24.89,37.89,9.39
1985,12,19.79,32.72,6.61
1986,1,17.38,31.39,-0.22
1986,2,21.61,33.0,7.61
1986,3,27.29,39.11,3.22
1986,4,31.33,43.0,16.22
1986,5,32.21,43.39,20.78
1986,6,32.55,43.39,21.39
1986,7,29.69,36.5,23.11
1986,8,28.01,35.78,20.78
1986,9,29.2,41.39,21.28
1986,10,29.69,40.0,16.22
1986,11,25.36,37.39,10.5
1986,12,18.28,33.72,2.0
1987,1,18.44,33.22,1.78
1987,2,21.82,34.78,7.28
1987,3,27.13,39.39,10.28
1987,4,30.53,44.0,17.22
1987,5,31.73,44.0,22.5
1987,6,33.1,42.61,25.61
1987,7,31.5,38.78,20.22
1987,8,30.87,41.22,25.0
1987,9,30.71,40.78,22.61
1987,10,31.23,42.0,18.78
1987,11,25.68,38.22,13.0
1987,12,18.72,32.39,6.61
1988,1,19.55,31.5,5.39
1988,2,23.19,35.5,10.5
1988,3,26.27,39.5,12.11
1988,4,31.01,44.22,18.39
1988,5,32.81,45.39,24.11
1988,6,32.86,43.0,27.0
1988,7,29.8,38.0,23.22
1988,8,28.68,35.78,24.5
1988,9,29.83,37.78,21.78
1988,10,28.24,44.0,18.39
1988,11,21.33,36.22,6.5
1988,12,19.14,33.39,5.0
1989,1,16.37,30.72,1.39
1989,2,20.92,37.0,4.11
1989,3,25.36,37.78,8.22
1989,4,30.31,43.0,12.72
1989,5,32.18,45.39,16.61
1989,6,30.74,40.5,24.39
1989,7,29.37,37.5,21.0
1989,8,28.12,36.0,23.0
1989,9,28.81,37.22,22.5
1989,10,27.6,38.89,15.0
1989,11,23.88,37.5,9.5
1989,12,18.89,32.0,3.78
1990,1,18.71,35.0,3.0
1990,2,21.77,34.61,6.11
1990,3,24.94,37.72,9.28
1990,4,29.73,42.5,16.39
1990,5,31.98,44.11,24.39
1990,6,31.94,40.0,26.22
1990,7,29.74,36.39,26.0
1990,8,28.69,38.78,22.61
1990,9,28.46,35.5,22.61
1990,10,27.0,39.22,13.61
1990,11,23.84,36.0,8.72
1990,12,18.48,32.61,0.61
1991,1,17.12,37.0,1.78
1991,2,20.43,34.0,2.22
1991,3,26.56,43.5,11.5
1991,4,29.95,43.22,17.5
1991,5,31.6,44.11,22.78
1991,6,32.4,47.0,25.28
1991,7,30.4,40.61,24.39
1991,8,29.36,36.72,25.11
1991,9,28.89,40.0,22.22
1991,10,28.25,40.5,14.78
1991,11,24.17,37.0,10.0
1991,12,19.4,33.11,5.61
1992,1,17.83,32.78,2.61
1992,2,21.31,38.39,5.72
1992,3,26.06,38.0,10.0
1992,4,29.26,42.61,16.89
1992,5,32.0,48.5,22.0
1992,6,32.46,43.0,25.22
1992,7,29.65,38.72,23.0
1992,8,28.36,33.89,20.39
1992,9,27.99,37.11,19.61
1992,10,27.83,38.5,15.0
1992,11,22.26,35.0,7.0
1992,12,20.13,32.0,6.28
1993,1,19.83,31.89,6.61
1993,2,22.15,37.0,6.0
1993,3,25.38,38.61,10.61
1993,4,30.11,43.0,14.0
1993,5,31.81,43.5,18.0
1993,6,32.52,42.5,26.11
1993,7,30.89,39.5,24.0
1993,8,30.25,37.61,24.11
1993,9,30.02,40.5,23.72
1993,10,30.8,40.78,19.89
1993,11,24.65,37.22,10.0
1993,12,18.98,33.11,6.28
1994,1,18.93,34.0,5.5
1994,2,21.26,34.78,7.0
1994,3,28.21,41.39,11.61
1994,4,29.37,42.11,11.39
1994,5,31.83,44.22,22.72
1994,6,31.84,44.72,26.0
1994,7,28.28,35.0,22.61
1994,8,27.2,33.5,23.0
1994,9,26.74,35.61,17.89
1994,10,26.45,39.39,13.39
1994,11,22.67,36.0,8.78
1994,12,17.59,33.11,0.78
1995,1,16.97,30.78,3.22
1995,2,21.02,35.78,6.39
1995,3,24.32,40.0,7.11
1995,4,29.28,42.11,14.22
1995,5,32.8,46.61,20.89
1995,6,32.48,45.11,21.39
1995,7,30.41,40.22,23.5
1995,8,29.68,39.11,24.39
1995,9,30.19,40.61,22.61
1995,10,29.41,41.22,14.89
1995,11,22.97,36.11,7.22
1995,12,19.25,32.78,4.28
1996,1,17.45,31.11,3.0
1996,2,21.75,37.0,6.39
1996,3,27.96,41.22,13.22
1996,4,30.46,45.0,12.78
1996,5,32.04,45.61,21.0
1996,6,32.16,44.28,24.39
1996,7,30.92,40.78,22.5
1996,8,28.81,38.39,24.0
1996,9,29.53,39.39,21.5
1996,10,29.29,41.72,15.22
1996,11,21.96,36.39,6.61
1996,12,17.99,34.22,2.39
1997,1,17.27,30.78,2.5
1997,2,21.6,37.72,4.5
1997,3,26.99,39.11,12.5
1997,4,28.99,41.0,14.72
1997,5,31.98,42.39,22.0
1997,6,31.6,41.22,21.78
1997,7,30.66,39.28,24.72
1997,8,29.39,38.11,15.0
1997,9,28.66,36.61,22.0
1997,10,27.52,38.11,15.78
1997,11,23.16,37.0,10.5
1997,12,16.82,27.78,5.22
1998,1,17.45,31.0,3.28
1998,2,21.15,34.61,5.28
1998,3,26.82,42.11,9.78
1998,4,31.2,43.22,18.5
1998,5,33.5,44.22,20.72
1998,6,32.88,43.61,25.39
1998,7,29.89,40.11,24.61
1998,8,29.66,40.22,24.0
1998,9,29.94,39.72,23.5
1998,10,28.53,41.0,16.22
1998,11,21.81,34.0,9.28
1998,12,19.5,31.61,7.11
1999,1,18.31,32.22,5.72
1999,2,21.57,35.5,5.78
1999,3,26.5,41.72,9.5
1999,4,31.02,44.11,17.78
1999,5,30.54,42.39,22.22
1999,6,30.52,38.28,25.0
1999,7,29.81,37.61,25.22
1999,8,29.04,35.61,23.39
1999,9,29.57,37.78,23.0
1999,10,28.04,38.72,16.5
1999,11,24.31,35.5,10.28
1999,12,18.79,32.0,6.72
2000,1,19.36,31.5,3.72
2000,2,21.07,37.89,5.5
2000,3,26.53,40.22,10.78
2000,4,31.11,43.0,20.22
2000,5,31.32,41.61,22.39
2000,6,32.15,45.22,19.78
2000,7,29.53,37.78,23.39
2000,8,29.18,39.0,24.78
2000,9,29.45,40.78,22.61
2000,10,30.68,40.39,21.39
2000,11,26.52,36.61,14.89
2000,12,22.18,33.72,12.5
2001,1,19.68,30.5,10.72
2001,8,28.83,33.5,24.78
2001,9,29.49,40.0,22.78
2001,10,30.57,40.11,19.22
2001,11,25.87,38.22,12.39
2001,12,21.5,34.22,9.28
2002,1,18.6,31.39,6.5
2002,2,21.64,34.72,7.22
2002,3,27.79,39.5,15.0
2002,4,30.55,44.22,20.39
2002,5,31.84,44.72,22.5
2002,6,31.54,40.0,22.72
2002,7,29.57,34.78,24.72
2002,8,28.19,36.39,23.22
2002,9,28.41,39.0,23.0
2002,10,30.67,42.0,20.28
2002,11,25.76,37.0,14.39
2002,12,22.05,34.78,11.78
2003,1,19.98,33.11,6.61
2003,2,22.73,36.11,10.22
2003,3,27.16,39.22,9.0
2003,4,30.91,42.28,21.0
2003,5,30.98,42.5,22.5
2003,6,31.27,38.61,20.11
2003,7,28.93,38.61,21.22
2003,8,27.85,35.0,23.61
2003,9,28.36,37.78,22.5
2003,10,30.1,38.78,20.39
2003,11,24.8,37.0,13.72
2003,12,20.72,34.89,10.0
2004,1,20.48,33.0,10.72
2004,2,23.5,36.28,10.39
2004,3,29.46,41.72,18.28
2004,4,30.09,41.78,22.0
2004,5,31.49,45.11,21.0
2004,6,31.0,40.11,22.61
2004,7,29.89,36.22,22.61
2004,8,28.02,36.72,16.39
2004,9,28.94,39.61,21.0
2004,10,28.59,36.72,19.28
2004,11,27.04,36.0,19.0
2004,12,22.44,32.5,10.0
2005,1,19.18,28.0,10.0
2005,2,21.93,35.61,7.89
2005,3,26.8,38.0,17.78
2005,4,30.26,41.61,18.61
2005,5,31.3,41.72,22.22
2005,6,31.36,40.28,17.39
2005,7,29.35,35.39,24.5
2005,8,28.02,34.61,20.61
2005,9,28.94,38.5,22.78
2005,10,29.6,40.22,21.0
2005,11,26.18,35.0,14.72
2005,12,20.27,30.89,1.78
2006,1,20.31,34.61,8.28
2006,2,25.77,36.22,16.0
2006,3,26.48,38.11,16.72
2006,4,29.38,40.0,21.72
2006,5,31.18,42.11,23.5
2006,6,31.45,42.0,24.28
2006,7,29.11,39.5,23.39
2006,8,26.93,32.5,22.78
2006,9,28.58,36.0,22.61
2006,10,29.51,46.28,22.0
2006,11,26.06,36.22,15.0
2006,12,21.09,32.0,12.11
2007,1,20.16,31.11,8.78
2007,2,23.98,34.61,14.39
2007,3,27.09,39.72,15.5
2007,4,30.86,42.61,21.61
2007,5,31.36,41.11,20.89
2007,6,31.23,40.78,20.0
2007,7,29.81,37.0,22.22
2007,8,28.05,35.39,22.61
2007,9,29.04,37.5,21.72
2007,10,28.78,37.78,20.0
2007,11,26.93,37.11,16.61
2007,12,20.51,30.61,9.39
2008,1,18.2,31.89,7.72
2008,2,20.5,36.72,6.11
2008,3,27.92,39.78,16.5
2008,4,30.0,43.22,20.89
2008,5,30.3,39.61,24.22
2008,6,30.8,39.78,26.11
2008,7,29.67,35.89,24.0
2008,8,27.48,34.22,23.61
2008,9,29.0,39.61,22.5
2008,10,29.72,39.22,21.22
2008,11,25.59,37.22,13.61
2008,12,22.05,37.39,10.28
2009,1,20.92,32.28,11.5
2009,2,24.17,37.78,13.61
2009,3,28.08,39.28,18.5
2009,4,31.32,43.78,20.28
2009,5,31.39,42.78,23.78
2009,6,30.98,40.11,23.5
2009,7,29.27,41.28,23.78
2009,8,28.7,36.78,23.0
2009,9,28.67,37.22,23.28
2009,10,29.2,41.0,21.22
2009,11,25.46,38.72,15.39
2009,12,21.63,32.39,12.39
2010,1,20.77,32.11,10.72
2010,2,23.15,37.22,11.61
2010,3,28.68,43.0,19.28
2010,4,31.35,43.72,18.28
2010,5,32.86,46.0,25.22
2010,6,31.96,42.0,24.5
2010,7,29.42,38.61,23.78
2010,8,28.06,35.0,22.0
2010,9,28.17,37.5,22.5
2010,10,29.74,39.72,20.72
2010,11,24.27,36.61,10.78
2010,12,19.64,29.61,10.0
2011,1,19.26,32.11,7.78
2011,2,22.51,34.61,12.22
2011,3,27.74,42.0,16.61
2011,4,30.5,42.78,20.0
2011,5,30.98,41.0,23.5
2011,6,31.62,45.61,25.78
2011,7,29.96,38.72,23.28
2011,8,28.41,35.28,22.0
2011,9,27.42,34.0,21.28
2011,10,28.55,38.11,19.89
2011,11,26.73,36.0,16.61
2011,12,20.61,34.78,7.5
2012,1,18.81,29.5,7.39
2012,2,20.79,35.39,6.0
2012,3,26.17,41.72,13.72
2012,4,30.32,42.0,20.22
2012,5,30.86,42.22,23.0
2012,6,31.31,40.72,25.0
2012,7,29.96,37.72,24.11
2012,8,29.02,38.28,23.28
2012,9,28.41,36.89,20.0
2012,10,29.16,38.39,17.22
2012,11,25.74,35.72,15.5
2012,12,21.86,34.0,7.72
2013,1,19.73,34.22,9.28
2013,2,22.42,34.72,11.61
2013,3,27.58,39.39,15.0
2013,4,29.89,41.39,19.61
2013,5,31.72,42.0,24.5
2013,6,31.75,39.61,25.39
2013,7,29.14,36.72,24.28
2013,8,28.49,35.0,24.11
2013,9,29.37,40.22,22.5
2013,10,29.06,37.61,21.39
2013,11,24.85,36.0,15.5
2013,12,20.88,33.5,8.39
2014,1,18.66,32.39,7.78
2014,2,22.07,33.72,13.39
2014,3,26.71,38.0,15.78
