Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,12.39,25.0,0.0
1975,2,16.5,33.0,0.0
1975,3,23.09,39.0,7.0
1975,4,30.13,42.0,10.0
1975,5,35.19,45.0,21.0
1975,6,34.21,43.0,20.0
1975,7,31.91,43.0,22.0
1975,8,30.8,40.0,23.0
1975,9,29.04,38.0,20.0
1975,10,27.08,38.0,10.0
1975,11,20.0,34.0,5.0
1975,12,16.43,29.0,0.0
1976,1,15.06,28.0,-2.0
1976,2,18.5,36.0,5.0
1976,3,24.08,37.0,9.0
1976,4,29.75,41.0,14.0
1976,5,34.75,45.0,23.0
1976,6,34.46,46.0,20.0
1976,7,32.48,49.0,13.0
1976,8,29.62,38.0,20.0
1976,9,29.15,37.0,20.0
1976,10,28.82,39.0,16.0
1976,11,22.66,35.0,8.0
1976,12,16.31,30.0,2.0
1977,1,14.08,31.0,1.0
1977,2,19.58,32.0,5.0
1977,3,25.77,41.0,3.0
1977,4,30.0,42.0,19.0
1977,5,33.42,45.0,18.0
1977,6,33.43,46.0,21.0
1977,7,30.93,40.0,20.0
1977,8,30.57,40.0,17.0
1977,9,28.27,37.0,21.0
1977,10,27.97,39.0,16.0
1977,11,23.15,37.0,10.0
1977,12,17.09,33.0,3.0
1978,1,14.68,27.0,-2.0
1978,2,17.19,33.0,3.0
1978,3,22.82,36.0,9.0
1978,4,29.88,42.0,16.0
1978,5,36.86,46.0,23.0
1978,6,35.45,45.0,20.0
1978,7,29.75,42.0,23.0
1978,8,31.15,40.0,19.0
1978,9,30.27,39.0,20.0
1978,10,28.08,38.0,15.0
1978,11,21.37,36.0,4.0
1978,12,16.41,31.0,4.0
1979,1,14.34,28.0,2.0
1979,2,18.06,5537.72,4.0
1979,3,22.27,37.0,5.0
1979,4,30.34,43.0,16.0
1979,5,32.26,44.0,18.0
1979,6,36.84,48.0,24.0
1979,7,34.09,45.0,23.0
1979,8,31.55,42.0,20.0
1979,9,30.24,40.0,19.0
1979,10,28.03,39.0,17.0
1979,11,22.12,37.0,9.0
1979,12,16.9,30.0,5.0
1980,1,14.3,29.0,2.0
1980,2,19.39,35.0,0.0
1980,3,22.87,36.0,0.0
1980,4,32.22,43.0,16.0
1980,5,36.04,45.0,24.0
1980,6,36.95,48.0,24.0
1980,7,32.27,45.0,22.0
1980,8,33.08,45.0,20.0
1980,9,31.74,45.0,20.0
1980,10,29.02,40.0,16.0
1980,11,20.81,33.0,9.0
1980,12,15.04,30.0,3.0
1981,1,15.46,35.0,3.0
1981,2,19.15,34.0,3.0
1981,3,23.74,40.0,9.0
1981,4,31.11,43.0,16.0
1981,5,35.65,46.0,20.0
1981,6,36.93,47.0,23.0
1981,7,32.57,44.0,23.0
1981,8,31.77,41.0,20.0
1981,9,31.76,41.0,16.0
1981,10,28.08,39.0,14.0
1981,11,19.85,33.0,9.0
1981,12,15.75,28.0,1.0
1982,1,14.17,28.5,3.0
1982,2,16.34,28.0,3.61
1982,3,21.34,36.61,7.5
1982,4,29.08,41.0,14.5
1982,5,31.3,43.61,17.28
1982,6,35.19,45.5,22.72
1982,7,33.74,42.89,22.0
1982,8,31.26,39.39,23.72
1982,9,31.69,40.22,19.22
1982,10,28.21,39.78,16.0
1982,11,21.03,35.0,5.22
1982,12,15.49,27.78,3.5
1983,1,13.9,26.89,0.78
1983,2,17.25,31.0,2.0
1983,3,22.85,36.22,9.11
1983,4,26.42,41.22,12.5
1983,5,33.01,44.22,17.22
1983,6,34.85,44.61,21.0
1983,7,32.9,43.0,22.5
1983,8,30.63,40.0,23.0
1983,9,31.04,40.0,21.78
1983,10,26.8,40.61,10.72
1983,11,19.49,33.89,3.39
1983,12,15.3,5537.72,1.22
1984,1,12.68,26.39,1.61
1984,2,15.38,29.61,1.72
1984,3,26.35,41.78,8.28
1984,4,30.63,43.0,16.61
1984,5,37.44,47.5,21.11
1984,6,35.83,45.72,22.28
1984,7,32.66,43.5,21.28
1984,8,31.54,42.0,21.78
1984,9,29.27,38.89,20.5
1984,10,26.74,38.89,11.78
1984,11,21.22,33.78,7.0
1984,12,15.17,30.61,1.61
1985,1,14.58,28.28,2.0
1985,2,19.03,34.78,4.22
1985,3,27.44,40.28,11.61
1985,4,30.27,42.0,11.78
1985,5,35.49,46.5,22.22
1985,6,35.37,45.0,24.22
1985,7,32.05,41.78,24.5
1985,8,31.6,40.11,23.28
1985,9,31.97,40.11,23.28
1985,10,27.15,40.5,13.22
1985,11,21.65,34.78,8.5
1985,12,16.35,30.22,1.72
1986,1,14.38,27.0,0.11
1986,2,17.06,30.78,1.89
1986,3,24.16,37.5,11.5
1986,4,30.29,42.22,13.78
1986,5,34.52,48.22,17.61
1986,6,35.76,47.78,21.28
1986,7,32.69,42.89,20.61
1986,8,31.19,38.78,22.28
1986,9,31.17,39.28,22.28
1986,10,29.18,40.11,12.78
1986,11,22.51,35.22,7.0
1986,12,14.17,30.61,-1.0
1987,1,15.17,29.0,3.5
1987,2,19.89,31.0,7.0
1987,3,25.51,38.11,11.0
1987,4,30.33,43.39,16.11
1987,5,32.22,44.78,18.0
1987,6,36.16,46.61,20.78
1987,7,35.42,42.39,27.0
1987,8,34.51,43.5,22.72
1987,9,33.58,42.5,20.0
1987,10,29.97,41.61,14.61
1987,11,23.4,35.5,7.22
1987,12,16.09,30.78,2.78
1988,1,16.5,28.0,2.39
1988,2,20.39,32.22,6.0
1988,3,24.58,36.22,9.39
1988,4,31.15,44.5,15.11
1988,5,37.73,46.0,23.61
1988,6,36.34,46.39,20.78
1988,7,32.66,48.78,25.11
1988,8,31.78,40.78,22.5
1988,9,33.04,42.0,23.0
1988,10,27.41,38.0,14.61
1988,11,20.98,35.0,5.61
1988,12,16.28,30.89,3.0
1989,1,13.96,27.39,2.39
1989,2,17.32,32.22,1.0
1989,3,24.72,35.72,7.61
1989,4,29.25,41.61,11.39
1989,5,34.71,46.61,16.89
1989,6,34.66,44.22,22.22
1989,7,32.41,44.0,23.22
1989,8,31.62,40.0,22.39
1989,9,31.07,40.0,21.22
1989,10,27.92,40.0,13.89
1989,11,22.0,35.5,9.0
1989,12,15.41,29.78,2.72
1990,1,17.2,31.11,4.39
1990,2,17.69,30.0,1.61
1990,3,23.07,38.11,9.0
1990,4,29.85,43.89,15.0
1990,5,35.02,44.89,22.22
1990,6,35.4,45.28,24.61
1990,7,32.16,41.39,25.39
1990,8,31.52,41.11,24.0
1990,9,30.8,39.39,17.22
1990,10,26.79,38.78,12.39
1990,11,20.9,35.89,8.61
1990,12,15.95,31.39,1.39
1991,1,15.23,32.89,2.0
1991,2,17.85,32.22,0.78
