Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,25.0,27.0,22.0
1975,2,24.39,28.0,18.0
1975,3,26.89,31.0,22.0
1975,4,29.5,33.0,23.0
1975,5,28.5,32.0,24.0
1975,6,26.39,29.0,25.0
1975,7,27.17,30.0,21.0
1975,8,26.95,30.0,21.0
1975,9,25.86,30.0,20.0
1975,10,25.76,30.0,21.0
1975,11,26.5,35.0,15.0
1975,12,25.52,30.0,18.0
1976,1,25.24,34.0,16.0
1976,2,25.02,31.0,16.0
1976,3,26.61,38.0,18.0
1976,4,28.13,34.0,21.0
1976,5,27.11,31.0,22.0
1976,6,26.62,32.0,19.0
1976,7,26.58,33.0,6.0
1976,8,25.8,42.0,12.0
1976,9,26.26,39.0,16.0
1976,10,26.23,32.0,23.0
1976,11,26.77,37.0,21.0
1976,12,26.18,33.0,17.0
1977,1,25.18,38.0,15.0
1977,2,26.49,31.0,16.0
1977,3,27.5,33.0,16.0
1977,4,28.6,34.0,21.0
1977,5,27.86,33.0,21.0
1977,6,27.54,36.0,19.0
1977,7,27.11,40.0,20.0
1977,8,26.58,30.0,18.0
1977,9,26.46,30.0,20.0
1977,10,26.5,31.0,16.0
1977,11,27.11,33.0,19.0
1977,12,26.88,33.0,16.0
1978,1,25.72,39.0,16.0
1978,2,26.61,32.0,16.0
1978,3,27.16,33.0,16.0
1978,4,28.61,36.0,19.0
1978,5,28.21,37.0,20.0
1978,6,26.78,36.0,18.0
1978,7,26.04,34.0,16.0
1978,8,26.74,36.0,16.0
1978,9,26.34,32.0,6.0
1978,10,26.67,37.0,21.0
1978,11,26.68,30.0,19.0
1978,12,26.94,31.0,19.0
1979,1,26.47,31.0,18.0
1979,2,26.41,38.0,19.0
1979,3,27.06,34.0,21.0
1979,4,28.34,37.0,21.0
1979,5,28.21,33.0,23.0
1979,6,27.54,37.0,22.0
1979,7,26.43,30.0,21.0
1979,8,27.31,31.0,22.0
1979,9,26.73,5537.72,19.0
1979,10,27.35,31.0,22.0
1979,11,27.58,33.0,18.0
1979,12,27.2,31.0,21.0
1980,1,26.4,32.0,17.0
1980,2,26.6,32.0,18.0
1980,3,27.53,34.0,20.0
1980,4,29.35,35.0,22.0
1980,5,27.88,35.0,20.0
1980,6,27.04,31.0,22.0
1980,7,26.46,30.0,16.0
1980,8,26.53,36.0,16.0
1980,9,26.85,39.0,21.0
1980,10,27.03,31.0,22.0
1980,11,27.36,31.0,22.0
1980,12,26.25,36.0,20.0
1981,1,26.21,38.0,20.0
1981,2,26.72,32.0,19.0
1981,3,28.38,34.0,22.0
1981,4,28.75,33.0,23.0
1981,5,28.54,33.0,23.0
1981,6,26.99,31.0,16.0
1981,7,26.83,30.0,20.0
1981,8,26.45,30.0,22.0
1981,9,26.97,31.0,22.0
1981,10,27.05,31.0,22.0
1981,11,26.38,5537.72,16.0
1981,12,26.36,39.0,19.0
1982,1,26.43,39.0,19.28
1982,2,25.71,30.72,19.0
1982,3,27.47,32.11,20.22
1982,4,28.74,38.39,23.39
1982,5,28.51,38.39,22.5
1982,6,27.1,39.89,21.22
1982,7,26.85,39.11,21.72
1982,8,27.12,39.78,20.78
1982,9,26.4,38.28,21.22
1982,10,26.79,31.5,20.39
1982,11,27.19,39.5,21.0
1982,12,26.63,38.5,18.0
1983,1,26.49,30.28,19.22
1983,2,26.43,37.39,9.78
1983,3,27.84,39.39,20.28
1983,4,28.87,34.0,23.22
1983,5,29.1,50.61,22.72
1983,6,27.82,31.5,20.78
1983,7,26.89,30.78,21.39
1983,8,26.94,31.0,21.72
1983,9,26.31,30.89,21.11
1983,10,26.47,30.28,21.11
1983,11,26.36,30.39,21.89
1983,12,26.36,30.11,18.22
1984,1,26.13,29.61,18.22
1984,2,26.86,31.22,21.89
1984,3,27.29,32.0,19.78
1984,4,28.55,35.0,22.22
1984,5,27.74,32.0,22.72
1984,6,27.61,30.39,22.0
1984,7,26.54,30.39,21.0
1984,8,27.58,30.22,22.22
1984,9,26.59,30.28,21.5
1984,10,26.63,31.22,13.5
1984,11,27.65,30.78,22.22
1984,12,26.33,30.22,19.22
1985,1,26.79,30.61,19.61
1985,2,26.68,31.0,19.0
1985,3,27.33,32.61,19.0
1985,4,30.06,33.0,24.61
1985,5,28.28,31.0,24.78
1985,6,27.23,30.5,21.39
1985,7,26.88,30.11,22.39
1985,8,26.9,29.61,20.0
1985,9,26.51,30.0,20.78
1985,10,26.37,30.22,22.11
1985,11,26.38,30.22,15.61
1985,12,26.84,30.22,21.0
1986,1,26.53,30.0,17.61
1986,2,26.05,30.78,18.28
1986,3,27.52,32.39,20.39
1986,4,29.34,33.39,21.39
1986,5,28.33,33.61,20.0
1986,6,27.66,38.0,18.78
1986,7,27.43,38.39,21.61
1986,8,26.68,30.0,19.78
1986,9,26.65,30.39,21.0
1986,10,26.57,31.0,20.0
1986,11,27.23,30.28,18.5
1986,12,27.16,30.39,17.89
1987,1,26.85,36.39,10.78
1987,2,27.08,30.78,18.39
1987,3,27.67,32.39,20.39
1987,4,29.22,33.39,18.78
1987,5,28.09,38.39,22.22
1987,6,27.97,31.0,22.0
1987,7,28.33,31.72,15.61
1987,8,26.55,30.39,20.39
1987,9,27.19,31.22,21.61
1987,10,27.1,37.22,21.0
1987,11,26.77,31.22,21.39
1987,12,26.7,30.0,19.61
1988,1,26.54,32.0,18.61
1988,2,27.58,31.78,20.0
1988,3,27.59,33.28,19.0
1988,4,28.98,38.39,20.39
1988,5,27.57,32.11,21.28
1988,6,27.46,31.0,20.0
1988,7,26.78,30.5,19.22
1988,8,26.62,30.39,20.0
1988,9,26.25,30.22,19.61
1988,10,26.31,31.61,18.78
1988,11,26.24,30.61,18.78
1988,12,26.49,29.61,19.28
1989,1,26.17,29.0,18.11
1989,2,26.2,29.61,13.72
1989,3,26.58,30.78,18.5
1989,4,28.73,33.28,20.78
1989,5,27.92,33.22,20.61
1989,6,26.42,28.61,19.78
1989,7,26.78,30.39,20.28
1989,8,26.82,29.39,18.78
1989,9,26.4,30.0,18.78
1989,10,26.26,30.22,18.0
1989,11,26.28,30.28,18.28
1989,12,26.21,29.61,16.78
1990,1,26.16,29.78,21.5
1990,2,25.94,30.39,24.0
1990,3,26.81,31.78,15.39
1990,4,27.88,31.61,24.61
1990,5,27.25,32.0,24.39
1990,7,26.17,29.28,25.78
1990,9,25.67,30.22,24.0
1990,10,26.81,30.22,25.0
1990,11,25.58,29.72,23.0
1990,12,27.01,30.0,24.0
1991,1,25.71,29.78,21.78
1991,2,25.48,31.22,19.22
1991,4,29.57,37.0,24.22
1991,5,27.33,31.39,25.39
1991,6,28.5,30.5,28.0
1991,7,27.97,29.39,26.0
1991,8,26.47,29.5,24.78
1991,9,25.19,29.39,22.72
1991,10,26.42,29.72,23.39
1991,11,25.8,30.0,22.72
1991,12,26.12,29.78,21.39
1992,1,25.67,29.61,18.22
1992,2,25.05,29.78,19.0
1992,3,26.31,34.0,19.78
1992,4,28.15,32.78,22.61
1992,5,28.35,34.78,22.39
1992,7,28.11,30.0,26.39
1992,8,26.52,29.0,24.39
1992,9,25.69,29.22,24.0
1992,10,26.26,29.5,22.22
1992,11,26.83,29.78,21.89
1992,12,25.86,28.0,21.39
1993,1,25.33,29.61,19.0
1993,2,25.58,28.22,22.0
1993,3,26.47,29.78,22.39
1993,4,29.75,33.28,24.89
1993,5,28.13,34.61,22.61
1993,6,27.98,31.22,22.0
1993,7,26.72,30.11,22.39
1993,8,26.86,30.0,22.22
1993,9,26.21,31.39,21.89
1993,10,26.43,30.78,23.0
1993,11,27.25,31.0,20.22
1993,12,26.77,31.0,20.0
1994,1,26.64,30.61,21.39
1994,2,26.78,32.22,19.28
1994,3,27.41,33.11,19.61
1994,4,28.08,33.61,21.0
1994,5,27.51,31.78,13.72
1994,6,26.95,30.61,12.0
1994,7,27.31,29.61,23.61
1994,8,26.94,29.61,11.11
1994,9,26.7,29.61,22.0
1994,10,26.96,31.11,21.39
1994,11,27.61,31.39,22.39
1994,12,27.18,30.39,18.11
1995,1,26.7,30.0,20.61
1995,2,26.82,29.89,22.39
1995,3,28.03,32.61,20.39
1995,4,30.28,35.0,23.28
1995,5,28.88,33.22,24.5
1995,6,28.94,31.39,24.61
1995,8,26.45,29.78,22.39
1995,9,26.86,29.61,21.78
1995,10,26.5,27.0,24.22
1995,11,26.87,30.78,19.39
1995,12,27.1,30.22,20.22
1996,1,26.56,30.22,20.11
1996,2,27.13,30.72,21.39
1996,3,28.84,33.5,22.0
1996,4,28.3,35.5,22.39
1996,5,27.73,32.22,22.39
1996,6,27.01,32.0,21.22
1996,7,27.06,31.0,22.0
1996,8,26.82,31.22,21.28
1996,9,25.83,30.78,20.39
1996,10,26.76,31.39,21.61
1996,11,26.7,31.61,21.11
1996,12,26.37,30.39,12.72
1997,1,25.95,30.0,18.22
1997,2,25.72,31.0,16.11
1997,3,27.45,32.39,19.78
1997,4,28.51,33.0,21.61
1997,5,28.68,35.0,22.61
1997,6,28.22,31.72,20.61
1997,7,26.3,30.22,22.39
1997,8,27.5,30.22,21.5
1997,9,26.55,30.89,21.5
1997,10,27.7,31.78,22.0
1997,11,27.22,32.0,21.39
1997,12,27.62,36.22,19.39
1998,1,27.02,31.39,11.39
1998,2,27.22,32.0,17.22
1998,3,27.99,34.78,18.39
1998,4,29.75,34.89,23.0
1998,5,29.57,34.89,21.0
1998,6,27.26,32.0,21.61
1998,7,27.37,31.22,21.39
1998,8,27.39,31.0,21.78
1998,9,26.63,30.78,21.11
1998,10,26.09,32.0,20.22
1998,11,26.96,32.5,21.61
1998,12,27.19,31.22,20.72
1999,1,26.72,30.5,20.0
1999,2,27.56,31.28,21.0
1999,3,27.57,33.28,19.78
1999,4,27.26,32.78,21.22
1999,5,27.36,32.0,21.11
1999,6,26.94,31.22,21.5
1999,7,27.05,30.61,21.22
1999,8,26.85,36.39,21.39
1999,9,26.81,32.61,20.89
1999,10,26.52,34.0,20.11
1999,11,26.85,31.0,20.39
1999,12,26.41,30.61,18.78
2000,1,26.71,30.89,18.72
2000,2,26.43,31.39,18.89
2000,3,27.05,31.72,19.61
2000,4,27.09,32.78,20.22
2000,5,27.33,31.61,22.0
2000,6,26.94,30.78,22.5
2000,7,27.25,30.78,22.5
2000,8,26.35,30.72,21.39
2000,9,26.9,30.89,22.0
2000,10,26.18,31.22,21.61
2000,11,27.25,31.61,21.72
2000,12,26.89,31.39,20.0
2001,1,25.94,31.0,19.39
2001,2,26.08,32.72,20.0
2001,3,26.73,32.61,20.5
2001,4,28.73,33.61,23.28
2001,5,26.88,32.39,21.39
2001,6,27.59,30.5,23.0
2001,7,27.41,32.0,20.0
2001,8,26.91,30.72,21.11
2001,9,26.75,31.5,21.78
2001,10,26.83,31.11,22.22
2001,11,26.95,30.72,22.0
2001,12,26.77,31.11,19.39
2002,1,26.84,31.39,19.0
2002,2,27.21,32.22,20.22
2002,3,28.09,33.61,19.89
2002,4,28.87,33.89,22.5
2002,5,28.04,33.72,20.89
2002,6,27.61,31.11,22.0
2002,7,27.5,31.0,21.28
2002,8,27.18,30.89,21.5
2002,9,26.49,30.39,20.89
2002,10,27.12,31.61,22.0
2002,11,26.98,31.72,21.78
2002,12,26.92,31.39,20.5
2003,1,26.31,31.5,18.22
2003,2,27.02,32.22,19.61
2003,3,27.49,33.61,20.22
2003,4,28.21,33.5,19.61
2003,5,28.39,33.89,23.0
2003,6,27.7,31.78,22.0
2003,7,26.07,30.72,21.89
2003,8,26.85,31.28,22.22
2003,9,26.59,30.89,22.5
2003,10,26.35,32.39,22.28
2003,11,28.01,32.39,21.78
2003,12,27.12,31.22,22.28
2004,1,27.1,31.28,22.22
2004,2,26.4,31.39,19.78
2004,3,27.54,33.61,19.78
2004,4,29.04,35.39,23.61
2004,5,27.12,33.11,21.78
2004,6,26.97,34.61,21.78
2004,7,26.84,30.72,21.78
2004,8,27.06,30.89,21.0
2004,9,26.53,31.5,21.72
2004,10,26.99,32.0,22.28
2004,11,27.92,32.11,22.39
2004,12,27.16,34.22,21.0
2005,1,26.78,31.39,20.78
2005,2,26.97,32.11,17.11
2005,3,28.3,33.5,21.61
2005,4,29.15,34.89,17.0
2005,5,27.92,34.11,23.5
2005,6,26.98,31.72,21.78
2005,7,27.03,31.22,21.72
2005,8,27.01,31.0,21.72
2005,9,26.58,34.78,19.0
2005,10,26.75,31.39,22.78
2005,11,26.98,31.61,22.28
2005,12,26.63,31.0,22.78
2006,1,26.38,31.11,19.72
2006,2,27.51,32.0,20.78
2006,3,27.61,33.78,20.22
2006,4,28.05,33.72,22.0
