Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,7,23.95,32.0,20.0
1975,8,22.36,28.0,4.0
1975,10,21.89,28.0,20.0
1975,11,23.28,27.0,19.0
1975,12,20.0,27.0,17.0
1976,1,21.67,28.0,15.0
1976,2,26.16,33.0,14.0
1976,3,27.3,35.0,15.0
1976,4,28.39,36.0,21.0
1976,5,27.76,39.0,14.0
1976,6,25.49,33.0,20.0
1976,7,23.59,33.0,19.0
1976,8,24.03,33.0,12.0
1976,9,24.69,35.0,19.0
1976,10,26.39,34.0,18.0
1976,11,24.1,32.0,17.0
1976,12,23.77,32.0,16.0
1977,1,23.3,32.0,13.0
1977,2,26.43,35.0,17.0
1977,3,28.51,37.0,17.0
1977,4,28.83,39.0,19.0
1977,5,28.03,36.0,18.0
1977,6,25.42,35.0,20.0
1977,7,23.73,32.0,13.0
1977,8,23.32,30.0,21.0
1977,9,24.06,35.0,8.0
1977,10,24.28,33.0,16.0
1977,11,23.83,33.0,8.0
1977,12,21.7,30.0,12.0
1978,1,23.33,34.0,11.0
1978,2,25.34,33.0,16.0
1978,3,28.07,36.0,17.0
1978,4,29.11,38.0,16.0
1978,5,27.43,37.0,21.0
1978,6,23.71,39.0,20.0
1978,7,22.64,29.0,2.0
1978,8,22.76,33.0,20.0
1978,9,23.38,31.0,19.0
1978,10,24.04,31.0,17.0
1978,11,23.46,33.0,14.0
1978,12,22.01,32.0,11.0
1979,1,23.34,33.0,15.0
1979,2,25.92,34.0,16.0
1979,3,28.36,38.0,16.0
1979,4,29.31,38.0,20.0
1979,5,28.26,38.0,19.0
1979,6,25.65,37.0,19.0
1979,7,23.86,32.0,20.0
1979,8,23.19,33.0,12.0
1979,9,23.87,31.0,18.0
1979,10,24.7,32.0,18.0
1979,11,23.34,33.0,18.0
1979,12,22.81,33.0,14.0
1980,1,22.8,31.0,7.0
1980,2,26.49,35.0,18.0
1980,3,28.14,38.0,18.0
1980,4,29.11,40.0,19.0
1980,5,29.32,40.0,20.0
1980,6,24.35,32.0,20.0
1980,7,23.55,30.0,9.0
1980,8,23.31,31.0,20.0
1980,9,24.45,37.0,19.0
1980,10,25.15,36.0,17.0
1980,11,23.35,34.0,16.0
1980,12,22.66,31.0,12.0
1981,1,23.03,33.0,16.0
1981,2,26.22,35.0,15.0
1981,3,28.22,37.0,19.0
1981,4,29.52,38.0,20.0
1981,5,28.23,39.0,21.0
1981,6,25.05,33.0,20.0
1981,7,24.2,33.0,20.0
1981,8,22.93,30.0,20.0
1981,9,23.88,30.0,20.0
1981,10,24.32,37.0,17.0
1981,11,22.44,30.0,12.0
1981,12,21.53,36.0,10.0
1982,1,22.98,30.22,13.61
1982,2,26.33,34.78,17.22
1982,3,29.06,36.89,19.28
1982,4,29.07,37.89,19.89
1982,5,28.33,36.78,16.39
1982,6,25.49,33.0,19.89
1982,7,24.18,32.39,19.89
1982,8,23.3,32.11,19.89
1982,9,23.86,32.11,18.61
1982,10,25.42,32.28,19.0
1982,11,23.06,29.78,14.72
1982,12,21.92,38.0,13.39
1983,1,22.59,33.61,13.28
1983,2,26.24,34.89,15.61
1983,3,29.1,37.61,16.0
1983,4,30.12,38.5,21.28
1983,5,28.78,38.89,18.78
1983,6,26.07,38.0,20.0
1983,7,24.54,33.28,19.72
1983,8,23.51,30.72,20.28
1983,9,23.65,32.28,11.39
1983,10,24.0,31.61,15.28
1983,11,22.09,31.0,11.11
1983,12,22.2,29.61,14.11
1984,1,23.93,31.39,14.5
1984,2,25.28,34.28,16.5
1984,3,27.25,36.78,14.72
1984,4,28.34,38.0,19.78
1984,5,28.84,38.78,20.28
1984,6,24.45,38.0,19.72
1984,7,23.24,36.89,20.22
1984,8,23.2,30.22,19.5
1984,9,24.13,31.89,19.0
1984,10,24.05,30.78,18.72
1984,11,22.71,29.89,10.39
1984,12,23.2,30.72,12.89
1985,1,24.09,32.22,15.61
1985,2,26.23,39.0,15.5
1985,3,28.79,36.78,18.5
1985,4,28.94,38.11,19.61
1985,5,28.44,38.11,20.22
1985,6,23.62,31.5,19.5
1985,7,23.55,31.89,20.0
1985,8,23.24,30.22,19.78
1985,9,24.49,32.5,19.39
1985,10,24.06,30.72,14.22
1985,11,23.22,31.72,14.39
1985,12,23.42,30.89,15.28
1986,1,21.9,30.0,13.28
1986,2,24.95,32.22,15.72
1986,3,28.89,37.39,17.61
1986,4,30.05,38.11,20.72
1986,5,28.25,37.28,20.11
1986,6,24.86,35.28,20.28
1986,7,24.12,32.0,19.89
1986,8,23.46,30.39,19.28
1986,9,24.48,31.61,18.78
1986,10,25.35,32.78,18.39
1986,11,23.72,30.5,15.39
1986,12,23.27,31.5,15.0
1987,1,23.1,30.5,14.0
1987,2,24.71,34.22,9.39
1987,3,27.81,37.0,15.78
1987,4,30.09,39.39,20.22
1987,5,28.74,37.0,20.11
1987,6,25.03,34.0,20.11
1987,7,24.77,33.0,20.0
1987,8,24.17,32.0,20.22
1987,9,24.91,33.22,19.5
1987,10,24.5,30.78,17.22
1987,11,22.93,30.61,12.61
1987,12,21.46,29.72,12.61
1988,1,22.29,31.0,13.5
1988,2,26.6,35.28,14.0
1988,3,28.84,37.22,15.89
1988,4,28.78,37.22,19.39
1988,5,28.06,38.0,19.89
1988,6,25.68,33.61,20.72
1988,7,23.93,39.28,20.0
1988,8,23.88,31.28,19.28
1988,9,23.87,30.89,19.22
1988,10,24.32,31.5,15.89
1988,11,22.69,30.61,13.61
1988,12,21.59,29.61,14.0
1989,1,22.44,31.5,13.39
1989,2,25.31,34.22,13.78
1989,3,26.65,35.5,15.72
1989,4,28.83,37.89,19.61
1989,5,27.76,44.0,12.61
1989,6,24.41,35.11,19.89
1989,7,23.5,32.5,19.61
