Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,24.02,33.0,14.0
1975,2,26.65,34.0,15.0
1975,3,28.39,37.0,20.0
1975,4,29.77,39.0,20.0
1975,5,28.07,36.0,21.0
1975,6,24.71,32.0,20.0
1975,7,25.24,32.0,21.0
1975,8,25.15,32.0,12.0
1975,9,25.25,32.0,21.0
1975,10,25.18,31.0,21.0
1975,11,24.78,31.0,19.0
1975,12,23.97,31.0,16.0
1976,1,23.29,31.0,15.0
1976,2,25.41,35.0,15.0
1976,3,27.95,38.0,18.0
1976,4,28.27,39.0,21.0
1976,5,27.49,36.0,20.0
1976,6,26.78,39.0,13.0
1976,7,25.72,33.0,21.0
1976,8,25.56,33.0,20.0
1976,9,26.55,35.0,21.0
1976,10,26.43,34.0,20.0
1976,11,25.27,40.0,21.0
1976,12,24.64,32.0,16.0
1977,1,24.1,33.0,14.0
1977,2,25.62,34.0,17.0
1977,3,28.38,38.0,20.0
1977,4,29.25,38.0,22.0
1977,5,27.38,36.0,21.0
1977,6,26.92,37.0,21.0
1977,7,25.58,33.0,15.0
1977,8,26.38,38.0,21.0
1977,9,26.44,37.0,21.0
1977,10,25.13,33.0,21.0
1977,11,24.65,33.0,19.0
1977,12,23.61,31.0,13.0
1978,1,24.06,32.0,13.0
1978,2,25.97,34.0,16.0
1978,3,28.08,37.0,17.0
1978,4,29.08,39.0,20.0
1978,5,27.82,38.0,20.0
1978,6,24.83,33.0,13.0
1978,7,25.13,38.0,10.0
1978,8,25.49,33.0,20.0
1978,9,25.41,37.0,20.0
1978,10,25.88,34.0,18.0
1978,11,24.92,33.0,16.0
1978,12,23.78,30.0,16.0
1979,1,24.29,33.0,15.0
1979,2,25.76,34.0,17.0
1979,3,27.59,38.0,12.0
1979,4,28.78,39.0,18.0
1979,5,28.31,38.0,19.0
1979,6,26.93,36.0,19.0
1979,7,25.01,37.0,19.0
1979,8,25.44,33.0,20.0
1979,9,25.81,38.0,20.0
1979,10,25.91,33.0,18.0
1979,11,24.49,38.0,20.0
1979,12,24.01,33.0,10.0
1980,1,23.59,33.0,15.0
1980,2,25.86,36.0,17.0
1980,3,27.73,43.0,18.0
1980,4,29.4,39.0,21.0
1980,5,28.14,37.0,19.0
1980,6,26.14,33.0,21.0
1980,7,25.51,36.0,21.0
1980,8,25.37,34.0,20.0
1980,9,25.9,35.0,21.0
1980,10,25.98,35.0,18.0
1980,11,25.39,33.0,17.0
1980,12,25.03,33.0,17.0
1981,1,24.73,38.0,16.0
1981,2,26.44,37.0,16.0
1981,3,28.14,38.0,19.0
1981,4,29.18,39.0,21.0
1981,5,28.22,39.0,21.0
1981,6,25.11,33.0,13.0
1981,7,25.65,38.0,20.0
1981,8,25.86,38.0,20.0
1981,9,25.28,34.0,21.0
1981,10,25.2,5537.72,16.0
1981,11,24.78,32.0,16.0
1981,12,23.21,33.0,12.0
1982,1,23.68,5537.72,14.89
1982,2,25.94,36.11,16.22
1982,3,28.53,38.61,18.61
1982,4,29.0,39.0,21.0
1982,5,28.53,36.89,20.78
1982,6,26.18,37.72,19.61
1982,7,25.33,34.28,20.39
1982,8,25.69,34.11,20.11
1982,9,26.53,36.78,20.0
1982,10,26.76,35.28,19.72
1982,11,24.83,32.22,18.5
1982,12,23.19,30.28,15.11
1983,1,23.98,35.22,15.0
1983,2,27.04,38.0,9.39
1983,3,29.15,40.39,19.5
1983,4,30.38,41.22,21.28
1983,5,29.06,40.78,20.0
1983,6,27.03,36.39,21.61
1983,7,26.03,35.0,21.0
1983,8,25.56,33.5,20.39
1983,9,25.57,33.5,20.78
1983,10,25.85,38.78,21.0
1983,11,24.91,33.11,17.39
1983,12,24.15,32.11,18.5
1984,1,24.14,32.28,16.78
1984,2,25.0,33.5,17.22
1984,3,26.74,37.39,18.39
1984,4,28.42,38.78,22.22
1984,5,29.42,39.39,21.72
1984,6,25.62,35.78,20.11
1984,7,25.25,32.61,20.89
1984,8,25.9,34.39,20.22
1984,9,26.24,35.61,20.22
1984,10,24.79,37.5,15.89
1984,11,24.82,39.0,17.28
1984,12,23.32,32.78,14.11
1985,1,23.73,34.22,15.89
1985,2,26.31,36.0,15.89
1985,3,28.29,39.61,18.11
1985,4,29.05,42.11,19.78
1985,5,28.94,40.0,21.11
1985,6,25.81,35.11,20.61
1985,7,24.94,33.11,20.28
1985,8,25.36,35.61,20.28
1985,9,25.65,35.5,20.72
1985,10,25.89,34.89,18.72
1985,11,23.94,32.78,15.22
1985,12,23.87,33.89,15.72
1986,1,24.12,32.5,15.5
1986,2,25.71,34.39,16.5
1986,3,28.7,39.78,19.11
1986,4,30.32,40.72,16.0
1986,5,28.54,38.0,19.11
1986,6,26.61,37.28,18.5
1986,7,26.4,35.11,20.0
1986,8,25.95,38.61,19.89
1986,9,25.94,35.61,20.39
1986,10,26.44,37.22,12.28
1986,11,24.73,33.5,14.5
1986,12,25.16,32.5,15.5
1987,1,24.99,41.39,15.61
1987,2,26.56,36.89,16.78
1987,3,28.37,38.72,17.22
1987,4,30.48,40.89,21.0
1987,5,29.82,40.5,21.78
1987,6,27.58,36.0,21.5
1987,7,26.83,37.22,21.39
1987,8,26.62,35.0,21.78
1987,9,27.63,37.78,20.39
1987,10,26.89,35.28,21.0
1987,11,25.3,34.11,17.39
1987,12,24.25,33.28,15.78
1988,1,24.11,33.28,15.39
1988,2,27.37,37.0,17.0
1988,3,29.2,40.61,20.22
1988,4,28.7,39.39,20.39
1988,5,28.32,37.11,21.0
1988,6,26.85,37.39,21.22
1988,7,25.23,35.0,19.61
1988,8,25.8,35.22,21.0
1988,9,25.93,37.0,20.0
1988,10,25.82,35.22,18.5
1988,11,25.16,34.22,16.5
1988,12,25.02,35.28,16.0
1989,1,24.16,34.22,9.5
1989,2,26.06,37.0,13.5
1989,3,27.99,39.0,17.5
1989,4,29.41,40.5,20.0
1989,5,28.14,38.5,20.11
1989,6,25.86,35.39,20.39
1989,7,25.7,35.22,20.78
1989,8,25.69,33.78,20.39
1989,9,25.5,34.22,21.0
1989,10,26.0,37.39,20.5
1989,11,24.86,37.0,15.5
1989,12,24.3,33.5,16.22
1990,1,24.1,38.78,12.89
1990,2,26.72,38.11,16.61
1990,3,28.66,38.78,18.39
1990,4,29.1,39.0,21.61
1990,5,27.28,36.39,21.0
1990,6,26.6,34.39,19.5
1990,7,25.13,33.39,20.28
1990,8,25.53,35.0,20.39
1990,9,26.11,34.22,11.5
1990,10,26.59,35.61,20.89
1990,11,24.46,30.89,19.28
1990,12,24.72,31.89,16.0
1991,1,25.36,33.61,16.72
1991,2,26.73,35.5,16.89
1991,3,29.26,39.61,21.39
1991,4,29.02,38.78,20.5
1991,5,29.44,39.72,22.5
1991,6,25.8,35.22,21.22
1991,7,25.54,34.39,20.0
1991,8,25.18,32.61,20.5
1991,9,26.61,34.72,21.5
1991,10,25.97,34.22,20.11
1991,11,24.9,33.28,16.78
1991,12,24.08,33.61,15.72
1992,1,24.06,32.39,15.0
1992,2,26.78,36.0,18.89
1992,3,28.36,39.61,18.61
1992,4,29.61,39.89,21.39
1992,5,28.51,38.61,22.11
1992,6,26.97,38.22,20.89
1992,7,25.06,36.11,20.11
1992,8,25.21,33.39,21.0
1992,9,25.42,33.78,20.28
1992,10,25.93,34.22,20.22
1992,11,24.44,32.28,19.39
1992,12,22.76,30.0,14.78
1993,1,23.27,33.5,15.0
1993,2,25.53,37.28,15.11
1993,3,27.48,37.5,19.11
1993,4,29.25,39.11,20.78
1993,5,28.43,40.5,18.39
1993,6,26.45,35.72,21.0
1993,7,25.49,33.11,20.0
1993,8,25.7,33.89,21.5
1993,9,25.99,35.39,21.0
1993,10,25.46,34.89,21.0
1993,11,24.16,31.72,18.11
1993,12,23.19,30.28,15.5
1994,1,24.17,5537.72,15.0
1994,2,26.17,35.0,18.0
1994,3,28.33,38.11,16.22
1994,4,27.98,36.89,20.0
1994,5,27.92,36.72,16.22
1994,6,25.79,33.61,21.11
1994,7,24.66,33.0,20.28
1994,8,25.53,33.61,20.0
1994,9,26.09,34.72,20.5
1994,10,25.6,34.78,20.5
1994,11,24.25,31.78,17.28
1994,12,23.25,30.89,15.61
1995,1,24.06,32.78,14.22
1995,2,26.3,35.78,17.89
1995,3,28.32,37.78,19.22
1995,4,29.41,38.39,17.22
1995,5,27.77,37.28,19.78
1995,6,26.7,35.0,21.5
1995,7,25.57,33.5,21.0
1995,8,26.35,34.61,21.39
1995,9,26.32,34.78,21.5
1995,10,26.8,36.0,21.22
1995,11,25.31,33.89,18.5
1995,12,24.14,31.22,15.39
1996,1,24.55,33.22,15.39
1996,2,26.59,37.0,16.5
1996,3,28.09,39.5,16.5
1996,4,28.16,37.78,20.22
1996,5,28.2,37.22,20.0
1996,6,26.57,38.0,20.61
1996,7,25.74,34.5,20.61
1996,8,25.43,33.78,12.22
1996,9,25.64,34.0,20.39
1996,10,25.73,34.78,17.89
1996,11,25.16,34.0,17.61
1996,12,23.0,33.0,14.11
1997,1,23.85,32.72,15.61
1997,2,25.69,35.22,15.39
1997,3,27.84,38.11,17.11
1997,4,28.59,38.0,21.22
1997,5,28.59,37.22,21.0
