Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,24.55,29.0,17.0
1975,2,26.07,31.0,18.0
1975,3,27.91,35.0,20.0
1975,4,30.06,38.0,25.0
1975,5,31.39,41.0,25.0
1975,6,31.83,40.0,24.0
1975,7,28.96,37.0,21.0
1975,8,29.47,36.0,23.0
1975,9,28.42,35.0,23.0
1975,10,28.0,34.0,23.0
1975,11,25.45,32.0,19.0
1975,12,24.5,36.0,17.0
1976,1,24.05,31.0,18.0
1976,2,24.69,32.0,14.0
1976,3,26.98,33.0,19.0
1976,4,29.4,39.0,23.0
1976,5,31.53,42.0,22.0
1976,6,30.86,39.0,20.0
1976,7,30.22,37.0,22.0
1976,8,28.74,37.0,22.0
1976,9,29.66,37.0,23.0
1976,10,28.17,34.0,23.0
1976,11,26.97,38.0,23.0
1976,12,25.44,30.0,16.0
1977,1,24.79,37.0,10.0
1977,2,26.02,38.0,19.0
1977,3,27.67,33.0,21.0
1977,4,29.66,36.0,21.0
1977,5,30.64,39.0,25.0
1977,6,31.35,46.0,22.0
1977,7,30.19,38.0,22.0
1977,8,29.03,38.0,20.0
1977,9,29.54,35.0,23.0
1977,10,27.24,37.0,22.0
1977,11,26.78,33.0,22.0
1977,12,25.29,35.0,19.0
1978,1,25.27,29.0,16.0
1978,2,26.25,33.0,20.0
1978,3,27.53,34.0,20.0
1978,4,29.76,39.0,23.0
1978,5,31.5,48.0,20.0
1978,6,30.74,39.0,24.0
1978,7,29.75,37.0,23.0
1978,8,29.37,37.0,21.0
1978,9,28.7,39.0,16.0
1978,10,27.98,35.0,23.0
1978,11,26.78,38.0,18.0
1978,12,25.03,33.0,8.0
1979,1,25.25,30.0,16.0
1979,2,27.14,32.0,21.0
1979,3,28.08,37.0,22.0
1979,4,30.2,39.0,23.0
1979,5,31.36,44.0,20.0
1979,6,31.51,40.0,22.0
1979,7,30.65,39.0,24.0
1979,8,30.78,39.0,20.0
1979,9,28.08,36.0,20.0
1979,10,27.92,35.0,22.0
1979,11,26.17,31.0,16.0
1979,12,26.04,33.0,19.0
1980,1,25.28,30.0,17.0
1980,2,25.65,36.0,18.0
1980,3,27.56,34.0,20.0
1980,4,30.17,36.0,25.0
1980,5,31.7,43.0,23.0
1980,6,31.79,40.0,25.0
1980,7,30.38,39.0,20.0
1980,8,29.45,38.0,22.0
1980,9,29.59,37.0,22.0
1980,10,27.75,38.0,21.0
1980,11,25.97,32.0,11.0
1980,12,25.4,31.0,18.0
1981,1,25.08,30.0,17.0
1981,2,25.55,31.0,17.0
1981,3,27.94,38.0,19.0
1981,4,30.29,38.0,23.0
1981,5,30.99,40.0,21.0
1981,6,31.08,39.0,21.0
1981,7,29.64,39.0,21.0
1981,8,29.09,37.0,21.0
1981,9,28.33,35.0,23.0
1981,10,27.51,36.0,19.0
1981,11,25.96,34.0,18.0
1981,12,24.42,31.0,17.0
1982,1,24.4,42.0,18.5
1982,2,25.44,31.0,18.89
1982,3,27.7,35.5,21.28
1982,4,29.86,39.11,23.89
1982,5,30.9,39.39,24.78
1982,6,31.73,39.61,20.22
1982,7,30.17,37.78,24.22
1982,8,30.67,38.78,24.22
1982,9,29.06,38.22,21.61
1982,10,28.08,34.22,22.5
1982,11,26.45,32.39,21.11
1982,12,24.95,29.39,18.0
1983,1,24.72,38.61,18.0
1983,2,26.94,32.39,18.89
1983,3,28.17,37.0,20.28
1983,4,29.51,36.72,21.89
1983,5,31.51,42.61,25.72
1983,6,31.89,41.22,23.39
1983,7,30.45,39.11,21.78
1983,8,29.58,37.11,22.39
1983,9,28.51,37.0,22.0
1983,10,28.28,38.39,20.72
1983,11,26.15,32.22,17.0
1983,12,24.93,29.39,20.28
1984,1,25.23,32.39,20.39
1984,2,25.79,38.22,20.89
1984,3,27.19,33.22,20.61
1984,4,29.37,39.28,24.0
1984,5,31.04,40.22,24.61
1984,6,31.49,39.61,22.0
1984,7,29.14,38.39,21.39
1984,8,29.44,36.61,20.89
1984,9,28.12,36.22,21.5
1984,10,27.84,34.39,22.11
1984,11,25.67,30.78,18.89
1984,12,24.78,32.22,10.72
1985,1,24.93,29.39,17.61
1985,2,25.8,31.5,17.89
1985,3,28.01,34.78,20.28
1985,4,30.47,41.0,24.39
1985,5,31.33,40.72,24.89
1985,6,30.39,39.22,23.22
1985,7,29.22,37.5,21.72
1985,8,29.17,36.0,21.61
1985,9,28.54,35.28,22.0
1985,10,27.8,35.28,21.28
1985,11,25.18,40.11,17.5
1985,12,25.15,30.0,19.11
1986,1,24.41,29.11,19.5
1986,2,25.74,30.72,17.72
1986,3,27.47,35.22,21.5
1986,4,29.49,34.78,16.72
1986,5,31.21,40.0,25.78
1986,6,31.18,40.22,25.0
1986,7,30.67,38.78,21.61
1986,8,29.66,37.28,22.61
1986,9,29.34,36.39,17.0
1986,10,27.79,34.28,11.39
1986,11,26.25,41.39,18.22
1986,12,25.5,29.89,19.39
1987,1,25.12,30.28,17.22
1987,2,25.29,30.72,17.22
1987,3,27.69,33.11,18.0
1987,4,29.95,39.0,23.78
1987,5,30.8,38.78,24.0
1987,6,31.44,41.0,22.78
1987,7,30.58,38.78,19.5
1987,8,29.82,44.0,23.5
1987,9,29.44,36.61,23.39
1987,10,27.91,35.5,22.61
1987,11,26.83,33.61,19.61
1987,12,25.4,31.61,19.22
1988,1,25.0,32.0,17.0
1988,2,26.55,38.89,18.11
1988,3,28.97,35.78,22.61
1988,4,29.87,37.61,21.11
1988,5,32.14,40.39,22.28
1988,6,31.07,39.28,23.28
1988,7,29.94,38.28,23.39
1988,8,29.11,38.28,21.89
1988,9,28.99,35.72,23.0
1988,10,28.78,36.72,22.61
1988,11,25.12,31.0,10.28
1988,12,25.52,32.0,19.39
1989,1,24.45,31.22,17.39
1989,2,24.51,31.78,16.0
1989,3,27.03,34.72,17.72
1989,4,29.59,38.39,21.72
1989,5,31.45,40.0,22.0
1989,6,30.5,38.89,21.61
1989,7,29.37,37.39,22.0
1989,8,30.22,38.0,20.5
1989,9,28.92,37.78,21.78
1989,10,28.08,35.89,20.78
1989,11,25.59,31.0,19.22
1989,12,24.88,30.39,11.11
1990,1,24.35,32.5,15.61
1990,2,26.8,33.78,18.11
1990,3,28.8,38.89,22.11
1990,4,30.3,40.22,23.28
1990,5,30.17,39.5,22.22
1990,6,31.14,39.22,23.72
1990,7,29.37,38.5,21.39
1990,8,28.88,36.78,21.39
1990,9,28.55,38.39,21.22
1990,10,27.5,35.61,22.72
1990,11,26.6,33.28,20.0
1990,12,25.63,30.61,20.0
1991,1,25.39,32.22,18.11
1991,2,26.04,33.72,18.72
1991,3,28.09,36.22,20.61
1991,4,30.52,40.89,24.22
1991,5,31.16,41.0,25.22
1991,6,30.57,39.28,22.0
1991,7,31.03,39.39,22.78
1991,8,29.81,37.72,21.72
1991,9,29.54,39.72,22.89
1991,10,27.95,36.28,16.5
1991,11,26.08,32.39,18.61
1991,12,25.15,30.78,18.89
1992,1,24.44,30.39,17.39
1992,2,26.07,33.28,18.72
