Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,15.44,30.0,0.0
1975,2,17.87,31.0,10.0
1975,3,20.55,33.0,13.0
1975,4,23.16,32.0,18.0
1975,5,24.93,32.0,20.0
1975,6,27.66,36.0,21.0
1975,7,27.03,33.0,23.0
1975,8,28.92,37.0,23.0
1975,9,27.37,34.0,23.0
1975,10,24.94,33.0,17.0
1975,11,19.86,33.0,10.0
1975,12,14.95,26.0,6.0
1976,1,15.79,30.0,0.0
1976,2,17.76,30.0,10.0
1976,3,21.21,31.0,10.0
1976,4,22.64,33.0,12.0
1976,5,26.47,34.0,18.0
1976,6,26.1,33.0,22.0
1976,7,28.27,35.0,15.0
1976,8,27.18,34.0,16.0
1976,9,26.93,34.0,23.0
1976,10,24.44,32.0,16.0
1976,11,21.01,34.0,14.0
1976,12,15.93,5537.72,5.0
1977,1,14.43,30.0,5.0
1977,2,17.12,29.0,6.0
1977,3,21.84,33.0,11.0
1977,4,21.7,30.0,17.0
1977,5,24.75,36.0,19.0
1977,6,25.26,34.0,19.0
1977,7,26.95,35.0,6.0
1977,8,26.89,35.0,18.0
1977,9,27.38,36.0,20.0
1977,10,23.34,32.0,8.0
1977,11,19.53,36.0,7.0
1977,12,16.6,31.0,7.0
1978,1,15.04,33.0,6.0
1978,2,17.39,33.0,8.0
1978,3,21.01,33.0,10.0
1978,4,23.14,34.0,14.0
1978,5,26.0,36.0,16.0
1978,6,27.45,35.0,16.0
1978,7,27.37,36.0,6.0
1978,8,29.19,37.0,19.0
1978,9,26.68,35.0,16.0
1978,10,24.74,35.0,6.0
1978,11,19.53,33.0,11.0
1978,12,16.23,33.0,6.0
1979,1,15.4,26.0,4.0
1979,2,18.64,30.0,8.0
1979,3,21.78,32.0,11.0
1979,4,25.18,36.0,10.0
1979,5,26.31,36.0,19.0
1979,6,29.17,38.0,15.0
1979,7,27.28,36.0,16.0
1979,8,28.62,37.0,16.0
1979,9,26.46,35.0,16.0
1979,10,23.73,32.0,16.0
1979,11,21.44,33.0,14.0
1979,12,15.39,25.0,0.0
1980,1,15.44,25.0,6.0
1980,2,17.91,27.0,8.0
1980,3,21.49,38.0,12.0
1980,4,23.49,34.0,15.0
1980,5,25.3,34.0,19.0
1980,6,27.99,35.0,16.0
1980,7,27.53,37.0,6.0
1980,8,27.77,35.0,16.0
1980,9,27.07,35.0,16.0
1980,10,24.15,32.0,16.0
1980,11,20.73,31.0,11.0
1980,12,18.0,27.0,8.0
1981,1,16.25,26.0,6.0
1981,2,18.53,28.0,9.0
1981,3,20.99,37.0,12.0
1981,4,23.19,33.0,15.0
1981,5,26.32,35.0,19.0
1981,6,28.7,38.0,21.0
1981,7,28.05,35.0,24.0
1981,8,28.03,35.0,6.0
1981,9,27.43,30.0,22.0
1981,10,25.17,32.0,17.0
1981,11,21.78,33.0,11.0
1981,12,16.39,30.0,7.0
1982,1,16.94,26.89,7.0
1982,2,17.88,26.11,7.78
1982,3,20.23,28.61,13.0
1982,4,22.65,5537.72,18.39
1982,5,27.24,34.22,17.89
1982,6,27.7,36.22,21.39
1982,7,27.78,34.5,20.5
1982,8,28.61,34.11,24.0
1982,9,25.98,34.39,21.61
1982,10,24.09,31.61,16.11
1982,11,19.65,27.61,9.61
1982,12,14.03,24.22,4.22
1983,1,14.38,25.22,4.5
1983,2,16.69,25.28,6.39
1983,3,20.94,29.89,8.11
1983,4,21.5,30.11,13.0
1983,5,25.53,39.78,17.11
1983,6,26.86,33.5,22.0
1983,7,26.62,32.61,18.0
1983,8,28.86,38.39,24.22
1983,9,26.3,34.61,21.72
