Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,22.71,31.0,11.0
1975,2,25.36,34.0,17.0
1975,3,28.66,37.0,19.0
1975,4,29.02,39.0,22.0
1975,5,26.95,38.0,20.0
1975,6,24.85,33.0,20.0
1975,7,23.52,31.0,19.0
1975,8,23.5,30.0,20.0
1975,9,23.96,32.0,19.0
1975,10,23.64,30.0,6.0
1975,11,21.75,30.0,12.0
1975,12,20.66,30.0,10.0
1976,1,21.14,38.0,12.0
1976,2,24.51,34.0,13.0
1976,3,28.23,38.0,18.0
1976,4,27.81,38.0,19.0
1976,5,27.96,38.0,18.0
1976,6,25.32,34.0,20.0
1976,7,23.93,33.0,20.0
1976,8,23.94,31.0,20.0
1976,9,24.26,37.0,9.0
1976,10,26.84,35.0,18.0
1976,11,25.14,38.0,19.0
1976,12,23.92,32.0,15.0
1977,1,23.87,33.0,13.0
1977,2,26.09,39.0,16.0
1977,3,28.43,38.0,19.0
1977,4,28.72,39.0,20.0
1977,5,27.19,39.0,20.0
1977,6,25.67,36.0,20.0
1977,7,23.87,31.0,2.0
1977,8,23.95,38.0,20.0
1977,9,24.66,34.0,19.0
1977,10,24.75,37.0,18.0
1977,11,24.4,31.0,17.0
1977,12,21.56,29.0,10.0
1978,1,23.49,32.0,15.0
1978,2,25.28,34.0,16.0
1978,3,28.06,37.0,17.0
1978,4,29.02,39.0,20.0
1978,5,27.48,39.0,21.0
1978,6,24.29,42.0,19.0
1978,7,23.65,33.0,20.0
1978,8,23.13,30.0,20.0
1978,9,23.65,33.0,19.0
1978,10,24.87,33.0,19.0
1978,11,23.78,31.0,16.0
1978,12,22.85,39.0,15.0
1979,1,23.56,32.0,16.0
1979,2,25.44,34.0,17.0
1979,3,28.27,38.0,17.0
1979,4,29.81,41.0,21.0
1979,5,28.15,40.0,18.0
1979,6,25.53,5537.72,6.0
1979,7,24.18,33.0,20.0
1979,8,23.48,33.0,11.0
1979,9,24.1,33.0,16.0
1979,10,25.41,35.0,19.0
1979,11,24.41,38.0,17.0
1979,12,23.51,31.0,14.0
1980,1,23.2,31.0,10.0
1980,2,26.73,40.0,17.0
1980,3,28.29,39.0,17.0
1980,4,29.35,40.0,18.0
1980,5,29.33,39.0,8.0
1980,6,24.5,33.0,20.0
1980,7,23.85,30.0,9.0
1980,8,23.33,32.0,9.0
1980,9,24.44,33.0,19.0
1980,10,26.29,37.0,17.0
1980,11,24.45,33.0,15.0
1980,12,23.36,32.0,10.0
1981,1,23.1,34.0,12.0
1981,2,26.07,36.0,15.0
1981,3,28.13,37.0,19.0
1981,4,29.58,39.0,20.0
1981,5,28.17,39.0,21.0
1981,6,24.93,34.0,18.0
1981,7,24.14,31.0,20.0
1981,8,23.44,31.0,12.0
1981,9,24.12,32.0,20.0
1981,10,25.01,33.0,16.0
1981,11,23.86,32.0,13.0
1981,12,22.35,30.0,12.0
1982,1,23.19,31.28,10.0
1982,2,26.41,36.0,14.61
1982,3,28.8,37.78,17.89
1982,4,29.18,40.0,17.89
1982,5,28.28,37.78,21.28
1982,6,25.98,36.0,20.22
1982,7,24.55,33.11,18.11
1982,8,23.71,30.72,20.28
1982,9,24.11,36.39,18.89
1982,10,25.61,38.22,19.28
1982,11,23.42,31.0,15.72
1982,12,22.26,38.0,13.5
1983,1,23.45,33.22,14.22
1983,2,25.34,35.39,14.28
1983,3,28.59,38.22,17.28
1983,4,30.0,40.0,19.5
1983,5,29.13,40.22,18.89
1983,6,25.82,36.72,19.5
1983,7,24.51,33.0,16.89
1983,8,24.05,31.78,15.0
1983,9,23.8,31.0,20.11
1983,10,24.52,32.0,18.22
1983,11,22.69,30.61,13.5
1983,12,22.59,29.89,8.78
1984,1,23.82,33.11,7.61
1984,2,25.86,37.0,17.39
1984,3,28.19,38.0,17.11
1984,4,29.11,39.22,21.0
1984,5,29.46,41.0,21.5
1984,6,24.98,35.61,20.22
1984,7,23.63,31.39,19.72
1984,8,23.47,30.22,19.89
1984,9,24.11,33.78,16.5
1984,10,24.44,32.61,18.61
1984,11,23.35,31.22,13.28
1984,12,23.65,32.11,13.61
1985,1,24.36,32.61,14.39
1985,2,26.12,36.0,16.78
1985,3,28.67,37.78,19.89
1985,4,28.99,40.78,20.72
1985,5,28.22,39.78,19.61
1985,6,24.29,38.61,20.11
1985,7,23.88,37.22,19.89
1985,8,23.75,32.39,19.39
1985,9,25.09,35.28,10.61
1985,10,24.63,32.0,16.72
1985,11,24.09,32.22,14.11
1985,12,23.81,32.39,14.89
1986,1,22.1,31.39,10.78
1986,2,25.1,34.22,14.61
1986,3,29.34,38.39,20.22
1986,4,29.59,39.22,20.28
1986,5,28.59,38.28,10.89
1986,6,25.28,35.39,19.78
1986,7,24.09,32.78,19.61
1986,8,23.51,32.39,19.11
1986,9,24.28,32.39,18.61
1986,10,26.03,34.39,19.22
1986,11,24.38,31.78,15.28
1986,12,23.34,32.22,13.72
1987,1,23.36,32.0,14.0
1987,2,25.13,35.22,10.11
1987,3,27.83,38.39,17.39
1987,4,29.66,40.39,18.89
1987,5,28.49,38.5,19.61
1987,6,25.7,35.0,20.61
1987,7,24.98,32.5,20.89
1987,8,24.35,33.0,20.39
1987,9,25.16,33.61,19.89
1987,10,24.99,31.78,17.39
1987,11,23.35,32.39,15.39
1987,12,22.48,30.39,13.61
1988,1,23.11,33.0,13.5
1988,2,26.77,36.11,17.22
