Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,16.32,27.0,0.0
1975,2,19.3,32.0,5.0
1975,3,24.61,39.0,13.0
1975,4,32.09,44.0,18.0
1975,5,35.05,44.0,22.0
1975,6,32.22,44.0,25.0
1975,7,28.59,37.0,23.0
1975,8,28.61,42.0,22.0
1975,9,28.87,42.0,24.0
1975,10,27.52,34.0,21.0
1975,11,19.6,31.0,9.0
1975,12,16.78,28.0,1.0
1976,1,16.75,28.0,0.0
1976,2,19.46,33.0,10.0
1976,3,27.2,37.0,11.0
1976,4,30.64,45.0,17.0
1976,5,32.03,44.0,22.0
1976,6,31.85,41.0,23.0
1976,7,30.08,37.0,25.0
1976,8,28.61,36.0,22.0
1976,9,27.64,34.0,23.0
1976,10,26.97,34.0,18.0
1976,11,23.77,33.0,12.0
1976,12,18.2,32.0,5.0
1977,1,16.42,28.0,5.0
1977,2,20.13,33.0,5.0
1977,3,27.28,40.0,11.0
1977,4,30.85,43.0,21.0
1977,5,31.19,43.0,19.0
1977,6,31.2,45.0,21.0
1977,7,28.41,35.0,24.0
1977,8,29.03,41.0,22.0
1977,9,27.94,35.0,24.0
1977,10,26.24,33.0,19.0
1977,11,23.61,34.0,5.0
1977,12,17.84,29.0,7.0
1978,1,15.71,27.0,5.0
1978,2,18.45,29.0,7.0
1978,3,23.09,38.0,11.0
1978,4,30.61,42.0,17.0
1978,5,34.41,47.0,24.0
1978,6,31.35,44.0,21.0
1978,7,28.65,38.0,23.0
1978,8,28.7,35.0,24.0
1978,9,27.54,38.0,23.0
1978,10,25.37,33.0,18.0
1978,11,22.79,33.0,13.0
1978,12,17.13,27.0,5.0
1979,1,17.31,5537.72,7.0
1979,2,18.48,33.0,6.0
1979,3,24.52,39.0,9.0
1979,4,31.58,42.0,19.0
1979,5,34.73,44.0,20.0
1979,6,33.69,44.0,24.0
1979,7,29.74,39.0,21.0
1979,8,29.25,38.0,24.0
1979,9,29.24,37.0,23.0
1979,10,28.37,36.0,20.0
1979,11,24.96,34.0,15.0
1979,12,19.31,28.0,8.0
1980,1,19.07,30.0,7.0
1980,2,22.35,32.0,9.0
1980,3,27.14,39.0,8.0
1980,4,32.94,45.0,21.0
1980,5,35.08,46.0,23.0
1980,6,30.66,43.0,26.0
1980,7,29.22,38.0,25.0
1980,8,29.17,35.0,20.0
1980,9,28.57,34.0,23.0
1980,10,26.06,34.0,18.0
1980,11,23.07,32.0,12.0
1980,12,18.8,28.0,8.0
1981,1,17.47,26.0,6.0
1981,2,21.4,34.0,6.0
1981,3,25.21,38.0,4.0
1981,4,31.03,40.0,15.0
1981,5,32.6,43.0,21.0
1981,6,33.16,44.0,21.0
1981,7,29.15,36.0,20.0
1981,8,29.56,35.0,21.0
1981,9,28.79,34.0,19.0
1981,10,26.6,36.0,17.0
1981,11,21.68,34.0,7.0
1981,12,17.8,29.0,4.0
1982,1,18.22,29.78,3.72
1982,2,19.48,31.72,8.0
1982,3,24.35,36.0,11.39
