Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,13.8,31.0,0.0
1975,2,17.76,33.0,3.0
1975,3,23.77,42.0,9.0
1975,4,31.27,42.0,16.0
1975,5,36.13,46.0,21.0
1975,6,32.88,46.0,22.0
1975,7,29.1,37.0,20.0
1975,8,28.47,38.0,23.0
1975,9,27.54,34.0,21.0
1975,10,26.38,35.0,13.0
1975,11,19.31,32.0,5.0
1975,12,15.42,29.0,0.0
1976,1,16.34,28.0,5.0
1976,2,19.11,32.0,1.0
1976,3,25.02,39.0,11.0
1976,4,29.46,41.0,14.0
1976,5,35.34,45.0,23.0
1976,6,32.24,42.0,20.0
1976,7,29.91,41.0,20.0
1976,8,27.79,33.0,11.0
1976,9,28.54,39.0,22.0
1976,10,26.19,36.0,13.0
1976,11,21.61,33.0,9.0
1976,12,16.15,27.0,4.0
1977,1,15.12,29.0,0.0
1977,2,20.14,31.0,0.0
1977,3,26.12,40.0,10.0
1977,4,29.99,43.0,19.0
1977,5,33.04,45.0,18.0
1977,6,33.21,45.0,21.0
1977,7,28.21,34.0,15.0
1977,8,28.33,36.0,23.0
1977,9,27.31,35.0,16.0
1977,10,26.23,39.0,16.0
1977,11,22.17,37.0,10.0
1977,12,16.83,29.0,2.0
1978,1,15.22,30.0,2.0
1978,2,17.79,33.0,3.0
1978,3,22.25,37.0,9.0
1978,4,29.96,42.0,15.0
1978,5,36.2,46.0,22.0
1978,6,34.33,46.0,25.0
1978,7,29.06,37.0,24.0
1978,8,27.73,34.0,23.0
1978,9,27.89,37.0,22.0
1978,10,26.79,38.0,16.0
1978,11,21.64,34.0,6.0
1978,12,15.82,27.0,0.0
1979,1,15.67,30.0,5.0
1979,2,17.82,30.0,5.0
1979,3,23.43,38.0,9.0
1979,4,30.39,43.0,17.0
1979,5,32.95,45.0,18.0
1979,6,34.57,48.0,20.0
1979,7,30.64,42.0,18.0
1979,8,29.67,40.0,22.0
1979,9,30.68,39.0,19.0
1979,10,28.07,38.0,10.0
1979,11,22.4,34.0,14.0
1979,12,16.67,26.0,3.0
1980,1,15.15,29.0,3.0
1980,2,19.63,35.0,3.0
1980,3,23.92,37.0,10.0
1980,4,31.81,44.0,16.0
1980,5,37.58,45.0,24.0
1980,6,33.07,45.0,23.0
1980,7,28.89,38.0,23.0
1980,8,28.31,35.0,22.0
1980,9,29.53,39.0,21.0
1980,10,27.65,38.0,15.0
1980,11,20.75,35.0,9.0
1980,12,15.31,29.0,4.0
1981,1,15.26,28.0,2.0
1981,2,19.18,35.0,5.0
1981,3,24.04,38.0,11.0
1981,4,30.89,5537.72,13.0
1981,5,34.99,49.0,21.0
1981,6,35.72,46.0,25.0
1981,7,29.45,39.0,24.0
1981,8,29.09,37.0,23.0
1981,9,30.03,39.0,15.0
1981,10,26.58,36.0,15.0
1981,11,19.74,32.0,8.0
1981,12,15.05,27.0,4.0
1982,1,15.44,26.39,4.39
1982,2,16.88,5537.72,4.5
1982,3,22.35,37.5,7.0
1982,4,29.61,40.39,15.11
1982,5,31.89,44.0,19.0
1982,6,34.74,45.0,21.5
1982,7,31.59,44.0,22.39
1982,8,28.13,34.72,22.11
1982,9,28.6,38.0,17.39
1982,10,26.73,37.0,15.28
1982,11,20.23,31.5,6.78
1982,12,15.87,29.0,1.11
1983,1,14.06,27.72,2.0
1983,2,16.95,30.0,3.78
1983,3,23.66,35.0,9.5
1983,4,27.12,41.78,13.89
1983,5,32.71,43.0,19.22
1983,6,33.57,44.5,21.0
1983,7,30.39,39.5,23.11
1983,8,28.77,37.0,22.89
1983,9,28.6,35.11,21.5
1983,10,24.82,36.0,10.0
1983,11,18.57,30.78,7.39
1983,12,15.03,27.5,3.0
1984,1,13.56,24.0,1.5
