Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,12.53,23.0,0.0
1975,2,15.33,28.0,2.0
1975,3,21.89,35.0,9.0
1975,4,29.35,41.0,15.0
1975,5,34.37,44.0,20.0
1975,6,32.89,45.0,24.0
1975,7,31.12,40.0,24.0
1975,8,29.82,40.0,20.0
1975,9,28.02,36.0,17.0
1975,10,26.32,42.0,12.0
1975,11,18.42,33.0,5.0
1975,12,15.06,28.0,4.0
1976,1,14.33,26.0,0.0
1976,2,16.67,27.0,5.0
1976,3,21.39,33.0,10.0
1976,4,27.84,41.0,11.0
1976,5,32.18,44.0,19.0
1976,6,30.99,44.0,21.0
1976,7,30.59,41.0,20.0
1976,8,28.63,37.0,18.0
1976,9,28.51,36.0,19.0
1976,10,26.63,37.0,16.0
1976,11,21.48,34.0,5.0
1976,12,14.34,27.0,3.0
1977,1,13.92,27.0,2.0
1977,2,17.02,32.0,6.0
1977,3,24.63,39.0,7.0
1977,4,27.4,42.0,10.0
1977,5,31.36,45.0,11.0
1977,6,32.45,47.0,20.0
1977,7,29.27,38.0,25.0
1977,8,29.92,39.0,20.0
1977,9,27.9,37.0,21.0
1977,10,25.42,37.0,16.0
1977,11,21.37,35.0,8.0
1977,12,15.66,32.0,5.0
1978,1,13.42,5537.72,1.0
1978,2,14.62,29.0,3.0
1978,3,19.89,34.0,8.0
1978,4,28.58,43.0,13.0
1978,5,35.57,46.0,22.0
1978,6,34.34,45.0,21.0
1978,7,30.03,42.0,24.0
1978,8,29.63,38.0,21.0
1978,9,28.88,38.0,22.0
1978,10,25.96,38.0,15.0
1978,11,19.95,35.0,5.0
1978,12,14.87,28.0,3.0
1979,1,14.04,5537.72,3.0
1979,2,16.33,5537.72,5.0
1979,3,20.48,36.0,5.0
1979,4,29.72,44.0,15.0
1979,5,31.03,44.0,17.0
1979,6,35.32,46.0,22.0
1979,7,32.42,46.0,21.0
1979,8,31.44,40.0,21.0
1979,9,29.14,43.0,19.0
1979,10,26.68,38.0,11.0
1979,11,20.89,33.0,10.0
1979,12,15.74,28.0,6.0
1980,1,13.67,29.0,3.0
1980,2,18.4,35.0,2.0
1980,3,21.19,34.0,9.0
1980,4,29.85,42.0,15.0
1980,5,35.02,46.0,21.0
1980,6,34.85,46.0,22.0
1980,7,31.14,42.0,25.0
1980,8,31.72,41.0,10.0
1980,9,30.61,41.0,21.0
1980,10,27.53,39.0,14.0
1980,11,20.28,33.0,10.0
1980,12,15.5,28.0,5.0
1981,1,14.89,27.0,4.0
1981,2,17.58,33.0,0.0
1981,3,21.22,36.0,10.0
1981,4,29.89,43.0,15.0
1981,5,34.26,46.0,21.0
1981,6,36.29,48.0,24.0
1981,7,30.98,43.0,22.0
1981,8,32.2,41.0,24.0
1981,9,31.2,42.0,22.0
1981,10,26.37,39.0,12.0
1981,11,19.24,30.0,9.0
1981,12,15.14,25.0,4.0
1982,1,14.23,24.39,0.72
1982,2,14.66,26.0,3.39
1982,3,18.89,34.5,6.5
1982,4,26.69,39.5,14.5
1982,5,29.68,44.22,15.61
1982,6,34.05,44.78,18.0
1982,7,32.99,44.0,20.0
1982,8,30.38,38.0,20.0
1982,9,31.0,40.61,17.0
1982,10,26.59,37.89,13.0
1982,11,20.01,33.28,5.78
1982,12,14.86,29.78,4.61
1983,1,13.07,25.11,2.5
1983,2,15.72,27.0,3.39
1983,3,21.29,33.89,10.11
1983,4,25.44,42.11,12.61
1983,5,31.1,43.39,20.11
1983,6,33.23,45.11,20.0
1983,7,30.97,40.78,20.5
1983,8,30.39,40.78,24.0
1983,9,30.57,40.0,19.5
1983,10,25.82,39.28,12.28
1983,11,19.73,34.61,5.89
1983,12,15.32,29.0,-0.61
1984,1,12.9,24.28,2.28
1984,2,15.5,28.0,0.0
1984,3,24.8,39.22,9.5
