Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,16.77,31.0,0.0
1975,2,20.93,36.0,7.0
1975,3,25.2,39.0,11.0
1975,4,31.38,41.0,18.0
1975,5,32.59,42.0,20.0
1975,6,29.15,41.0,20.0
1975,7,25.9,5537.72,21.0
1975,8,24.69,33.0,21.0
1975,9,24.8,33.0,20.0
1975,10,24.89,32.0,14.0
1975,11,19.72,31.0,1.0
1975,12,18.5,29.0,8.0
1976,1,18.93,30.0,0.0
1976,2,21.34,34.0,9.0
1976,3,26.97,37.0,13.0
1976,4,29.3,41.0,13.0
1976,5,32.23,41.0,15.0
1976,6,27.59,38.0,19.0
1976,7,25.23,35.0,20.0
1976,8,24.15,32.0,11.0
1976,9,24.98,33.0,19.0
1976,10,26.97,40.0,16.0
1976,11,24.98,33.0,15.0
1976,12,20.41,31.0,6.0
1977,1,18.52,30.0,3.0
1977,2,21.87,35.0,7.0
1977,3,28.36,40.0,14.0
1977,4,29.9,41.0,15.0
1977,5,31.62,43.0,19.0
1977,6,29.08,42.0,22.0
1977,7,25.53,33.0,22.0
1977,8,24.26,30.0,20.0
1977,9,24.77,37.0,19.0
1977,10,26.53,36.0,12.0
1977,11,23.4,35.0,13.0
1977,12,19.24,33.0,5.0
1978,1,18.16,30.0,5.0
1978,2,20.14,34.0,4.0
1978,3,24.47,37.0,8.0
1978,4,30.16,42.0,18.0
1978,5,33.2,44.0,22.0
1978,6,28.29,43.0,21.0
1978,7,24.91,32.0,21.0
1978,8,23.75,32.0,15.0
1978,9,25.91,34.0,19.0
1978,10,25.66,37.0,15.0
1978,11,22.95,34.0,10.0
1978,12,18.0,29.0,9.0
1979,1,18.28,30.0,8.0
1979,2,18.95,32.0,8.0
1979,3,24.14,37.0,5.0
1979,4,30.42,44.0,16.0
1979,5,31.63,43.0,18.0
1979,6,30.21,44.0,22.0
1979,7,26.04,35.0,12.0
1979,8,24.55,34.0,19.0
1979,9,26.6,35.0,15.0
1979,10,26.17,37.0,10.0
1979,11,22.91,33.0,11.0
1979,12,19.16,29.0,10.0
1980,1,18.89,32.0,6.0
1980,2,21.12,36.0,2.0
1980,3,25.51,39.0,9.0
1980,4,31.66,43.0,19.0
1980,5,33.31,42.0,23.0
1980,6,27.3,39.0,21.0
1980,7,25.42,34.0,22.0
1980,8,24.27,36.0,15.0
1980,9,25.95,39.0,20.0
1980,10,26.47,37.0,17.0
1980,11,22.83,33.0,12.0
1980,12,18.1,31.0,0.0
1981,1,16.62,31.0,4.0
1981,2,21.38,35.0,6.0
1981,3,25.11,39.0,12.0
1981,4,30.5,43.0,17.0
1981,5,32.48,43.0,21.0
1981,6,31.54,43.0,21.0
1981,7,25.09,35.0,13.0
1981,8,24.24,5537.72,20.0
1981,9,25.39,33.0,13.0
1981,10,24.85,44.0,16.0
1981,11,20.2,33.0,9.0
1981,12,17.98,30.0,6.0
1982,1,18.02,29.28,6.61
1982,2,19.16,32.72,9.39
1982,3,24.31,38.89,8.39
1982,4,28.64,40.78,16.22
1982,5,30.76,41.28,15.0
1982,6,30.66,43.61,21.61
1982,7,26.94,38.5,20.28
1982,8,24.56,31.22,20.0
1982,9,25.58,34.89,16.0
1982,10,25.64,36.0,16.61
1982,11,21.26,31.39,7.22
1982,12,19.9,31.11,6.78
1983,1,17.35,31.0,4.39
1983,2,19.09,34.0,5.78
