Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,13.31,26.0,4.0
1975,2,14.61,24.0,0.0
1975,3,21.79,31.0,11.0
1975,4,23.85,32.0,15.0
1975,5,24.5,32.0,17.0
1975,6,25.6,33.0,11.0
1975,7,24.56,30.0,19.0
1975,8,25.39,32.0,20.0
1975,9,23.81,31.0,19.0
1975,10,22.46,31.0,9.0
1975,11,16.34,5537.72,7.0
1975,12,13.35,23.0,2.0
1976,1,13.23,27.0,0.0
1976,2,16.41,29.0,6.0
1976,3,20.37,31.0,4.0
1976,4,21.88,30.0,11.0
1976,5,23.39,33.0,15.0
1976,6,24.41,37.0,18.0
1976,7,24.46,29.0,21.0
1976,8,24.93,34.0,20.0
1976,9,24.1,36.0,17.0
1976,10,22.02,33.0,10.0
1976,11,18.6,30.0,5.0
1976,12,13.27,24.0,0.0
1977,1,11.78,23.0,-1.0
1977,2,15.83,36.0,2.0
1977,3,21.6,33.0,6.0
1977,4,20.73,32.0,13.0
1977,5,22.8,31.0,15.0
1977,6,24.81,42.0,19.0
1977,7,25.77,35.0,20.0
1977,8,24.4,31.0,10.0
1977,9,23.89,33.0,16.0
1977,10,21.26,38.0,12.0
1977,11,18.62,31.0,8.0
1977,12,13.88,25.0,-4.0
1978,1,13.15,28.0,1.0
1978,2,16.1,29.0,1.0
1978,3,20.23,32.0,5.0
1978,4,23.58,38.0,12.0
1978,5,23.78,38.0,12.0
1978,6,24.61,32.0,16.0
1978,7,25.28,35.0,12.0
1978,8,25.13,32.0,20.0
1978,9,24.23,33.0,19.0
1978,10,23.15,36.0,13.0
1978,11,17.69,28.0,6.0
1978,12,13.53,26.0,0.0
1979,1,13.7,25.0,1.0
1979,2,16.38,27.0,2.0
1979,3,20.2,35.0,3.0
1979,4,24.08,34.0,13.0
1979,5,25.8,37.0,15.0
1979,6,25.68,36.0,16.0
1979,7,24.97,32.0,11.0
1979,8,25.27,33.0,20.0
1979,9,24.46,31.0,16.0
1979,10,21.36,32.0,10.0
1979,11,19.36,33.0,4.0
1979,12,13.97,25.0,-2.0
1980,1,12.16,23.0,0.0
1980,2,15.53,25.0,1.0
1980,3,21.96,30.0,9.0
1980,4,24.2,36.0,9.0
1980,5,24.13,32.0,16.0
1980,6,25.18,32.0,13.0
1980,7,25.89,32.0,19.0
1980,8,26.0,32.0,20.0
1980,9,25.03,38.0,18.0
1980,10,20.95,30.0,9.0
1980,11,18.37,29.0,5.0
1980,12,16.86,26.0,2.0
1981,1,14.83,24.0,1.0
1981,2,13.8,26.0,-1.0
1981,3,19.02,27.0,9.0
1981,4,22.7,30.0,11.0
1981,5,23.65,30.0,16.0
1981,6,25.29,32.0,17.0
1981,7,25.0,32.0,6.0
1981,8,25.82,30.0,22.0
1981,9,24.98,31.0,20.0
1981,10,22.93,30.0,10.0
1981,11,19.65,29.0,8.0
1981,12,15.31,25.0,0.0
1982,1,15.41,27.78,3.28
1982,2,16.87,25.39,7.0
1982,3,19.64,30.78,7.72
1982,4,21.96,28.72,14.28
1982,5,26.44,33.39,18.72
1982,6,25.19,31.0,21.28
1982,7,25.9,31.22,21.22
1982,8,26.31,30.89,22.22
1982,9,25.21,31.72,20.11
1982,10,22.57,30.39,12.72
1982,11,17.28,28.0,5.22
1982,12,14.67,22.22,3.5
1983,1,12.43,23.11,2.5
1983,2,17.51,25.0,3.61
1983,3,19.86,27.39,14.0
1983,4,21.94,29.78,11.61
1983,5,23.57,29.78,18.0
1983,6,25.71,31.61,21.11
1983,7,25.46,30.39,20.72
1983,8,24.87,30.61,20.61
1983,9,24.78,38.72,20.0
1983,10,24.25,37.0,13.78
1983,11,17.61,28.39,6.78
1983,12,12.89,22.78,3.28
1984,1,13.5,21.22,3.0
1984,2,19.01,27.22,3.22
1984,3,20.62,31.61,6.72
1984,4,24.14,31.39,13.0
1984,5,24.42,32.0,18.0
1984,7,25.52,30.5,21.28
1984,8,25.87,39.5,20.22
1984,9,23.79,31.0,18.22
1984,10,24.0,30.61,15.0
1984,11,18.73,27.78,4.22
1984,12,14.79,26.0,1.5
1985,1,13.5,29.0,-0.72
1985,2,16.9,25.78,3.72
1985,3,21.84,30.89,8.5
1985,4,16.11,18.61,13.11
1985,5,23.97,31.11,13.61
1985,6,25.54,31.78,19.28
1985,7,26.39,30.0,19.61
1985,8,26.58,32.0,20.22
1985,9,23.87,30.5,18.39
1985,10,23.79,32.0,11.61
1985,11,17.39,29.39,4.72
1985,12,14.94,25.61,2.39
1986,1,15.14,24.28,1.72
1986,2,17.65,27.11,2.39
1986,3,21.06,31.5,4.39
1986,4,23.32,30.89,11.61
1986,5,25.51,31.11,13.78
1986,6,32.61,35.5,31.39
1986,7,24.44,30.72,19.22
1986,8,25.39,28.5,19.11
1986,11,17.61,23.78,5.72
1986,12,15.83,23.78,1.72
1987,1,15.68,24.89,1.22
1987,2,17.89,26.61,3.0
1987,3,20.12,27.5,7.0
1987,4,21.63,30.28,13.22
1987,5,25.51,31.89,14.22
1987,6,27.83,30.39,19.39
1987,8,25.28,28.89,19.0
1987,9,24.52,30.39,17.5
1987,10,22.32,30.39,7.78
1987,11,19.8,28.11,6.61
1987,12,14.58,24.0,-0.72
1988,2,12.72,16.0,5.78
1988,3,19.52,30.22,5.72
1988,4,24.82,33.89,10.22
1988,5,24.0,29.89,17.39
1988,6,26.27,30.61,21.28
1988,8,25.38,29.39,20.72
1988,9,28.06,30.61,23.22
1988,10,23.0,26.11,22.28
1988,11,20.48,27.61,11.78
1988,12,14.34,24.39,3.22
1989,1,15.47,22.39,4.72
1989,2,19.03,25.0,1.28
1989,3,20.43,30.28,6.0
1989,4,23.73,31.28,12.61
1989,5,25.0,32.22,15.61
1989,7,25.01,31.5,21.0
1989,8,26.61,30.0,20.78
1989,9,24.37,31.89,19.22
1989,10,21.65,29.89,14.5
1989,11,17.49,26.22,6.39
1989,12,13.03,24.22,2.39
1990,1,16.97,25.28,5.22
1990,2,16.34,25.39,6.0
1990,3,19.08,29.5,9.0
1990,4,20.2,28.89,10.28
1990,5,23.59,32.0,16.22
1990,6,24.5,28.39,19.22
1990,7,25.28,31.28,19.61
1990,8,25.83,33.39,17.39
1990,9,24.32,32.5,18.11
1990,10,22.65,31.72,9.61
1990,11,18.43,25.5,5.5
1990,12,14.44,23.28,1.11
1991,1,11.32,24.5,1.22
1991,2,16.98,29.61,6.89
1991,3,20.56,30.5,9.72
1991,4,22.46,32.39,15.61
1991,5,22.53,29.89,17.72
1991,6,25.31,39.39,21.11
1991,7,25.57,32.22,21.39
1991,8,25.62,32.61,21.39
1991,9,24.37,31.28,20.0
1991,10,23.24,31.89,15.61
1991,11,16.97,27.0,5.78
1991,12,13.27,25.61,2.0
1992,1,13.26,24.22,2.78
1992,2,13.96,23.61,4.39
1992,3,22.19,30.0,4.89
1992,4,23.97,33.0,11.39
1992,5,23.66,33.11,15.39
1992,6,26.53,32.78,19.0
1992,7,24.81,31.28,21.22
1992,8,25.58,32.0,20.0
1992,9,24.69,31.89,18.78
1992,10,21.87,30.89,10.72
1992,11,17.79,28.39,6.28
1992,12,12.7,23.0,2.89
1993,1,12.84,24.61,1.0
1993,2,16.07,26.39,6.39
1993,3,18.75,29.28,9.0
1993,4,21.94,29.61,12.89
1993,5,22.86,31.89,16.22
1993,6,24.55,31.22,19.39
1993,7,25.57,31.39,15.0
1993,8,24.98,31.0,21.0
1993,9,24.01,32.28,16.61
1993,10,23.44,30.89,7.22
1993,11,18.53,28.78,8.28
1993,12,15.42,25.28,2.78
1994,1,15.26,26.28,2.28
1994,2,16.14,26.89,1.22
1994,3,20.56,30.39,3.0
1994,4,22.67,35.61,12.89
1994,5,24.75,35.22,17.22
1994,6,25.62,32.89,21.28
1994,7,26.19,31.61,22.0
1994,8,25.26,30.89,20.72
1994,9,26.02,31.78,20.39
1994,10,21.71,31.39,9.61
1994,11,19.36,29.0,8.22
1994,12,14.39,26.78,1.22
1995,1,14.11,25.5,0.61
1995,2,16.38,25.5,3.39
1995,3,20.47,33.11,9.78
1995,4,25.72,33.39,15.39
1995,5,26.25,34.28,17.0
1995,6,25.84,32.72,19.22
1995,7,25.36,31.61,21.5
1995,8,25.33,32.61,19.78
1995,9,24.62,31.61,20.39
1995,10,23.69,31.39,13.0
1995,11,19.55,30.11,8.72
