Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,24.14,30.0,17.0
1975,2,26.28,38.0,17.0
1975,3,28.56,39.0,21.0
1975,4,30.62,38.0,23.0
1975,5,32.38,42.0,22.0
1975,6,31.65,40.0,18.0
1975,7,28.58,37.0,21.0
1975,8,29.39,38.0,21.0
1975,9,28.28,37.0,22.0
1975,10,27.47,34.0,22.0
1975,11,25.1,31.0,19.0
1975,12,23.68,30.0,13.0
1976,1,23.23,29.0,17.0
1976,2,24.84,35.0,18.0
1976,3,27.75,36.0,20.0
1976,4,29.65,38.0,24.0
1976,5,31.91,42.0,20.0
1976,6,30.71,40.0,20.0
1976,7,29.29,43.0,22.0
1976,8,28.12,35.0,21.0
1976,9,29.29,36.0,24.0
1976,10,27.88,36.0,22.0
1976,11,26.38,32.0,15.0
1976,12,25.46,31.0,20.0
1977,1,24.29,33.0,19.0
1977,2,26.15,32.0,19.0
1977,3,27.77,39.0,19.0
1977,4,30.0,39.0,24.0
1977,5,31.43,41.0,23.0
1977,6,31.38,41.0,22.0
1977,7,30.41,39.0,22.0
1977,8,29.01,38.0,22.0
1977,9,29.82,39.0,23.0
1977,10,27.06,40.0,23.0
1977,11,26.64,5537.72,20.0
1977,12,24.87,32.0,19.0
1978,1,24.7,33.0,16.0
1978,2,25.97,36.0,21.0
1978,3,27.45,37.0,21.0
1978,4,29.95,41.0,21.0
1978,5,32.17,42.0,26.0
1978,6,31.13,41.0,24.0
1978,7,29.51,37.0,25.0
1978,8,29.23,37.0,22.0
1978,9,28.86,38.0,22.0
1978,10,28.24,36.0,23.0
1978,11,26.4,31.0,21.0
1978,12,24.73,36.0,16.0
1979,1,24.77,31.0,20.0
1979,2,27.04,36.0,19.0
1979,3,28.18,37.0,22.0
1979,4,30.35,40.0,23.0
1979,5,30.85,41.0,22.0
1979,6,31.71,41.0,21.0
1979,7,30.58,39.0,23.0
1979,8,30.33,38.0,24.0
1979,9,28.77,38.0,21.0
1979,10,27.97,36.0,23.0
1979,11,26.19,34.0,22.0
