Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,16.81,30.0,4.0
1975,2,21.31,34.0,8.0
1975,3,26.2,39.0,13.0
1975,4,32.34,48.0,17.0
1975,5,35.3,44.0,21.0
1975,6,31.36,44.0,23.0
1975,7,26.38,34.0,23.0
1975,8,26.18,35.0,13.0
1975,9,26.68,33.0,21.0
1975,10,25.83,38.0,19.0
1975,11,18.34,30.0,7.0
1975,12,16.47,29.0,5.0
1976,1,17.11,31.0,4.0
1976,2,20.7,35.0,3.0
1976,3,25.93,37.0,13.0
1976,4,29.54,41.0,17.0
1976,5,34.01,43.0,21.0
1976,6,29.86,44.0,22.0
1976,7,27.19,39.0,22.0
1976,8,26.23,32.0,22.0
1976,9,26.18,35.0,21.0
1976,10,25.99,35.0,14.0
1976,11,24.06,36.0,10.0
1976,12,19.13,32.0,5.0
1977,1,17.38,31.0,3.0
1977,2,21.56,35.0,5.0
1977,3,27.26,40.0,14.0
1977,4,30.67,42.0,20.0
1977,5,33.17,44.0,20.0
1977,6,30.87,44.0,22.0
1977,7,26.76,35.0,22.0
1977,8,26.26,33.0,22.0
1977,9,25.99,32.0,21.0
1977,10,25.25,33.0,17.0
1977,11,22.49,34.0,12.0
1977,12,17.94,33.0,6.0
1978,1,16.34,33.0,4.0
1978,2,18.98,32.0,9.0
1978,3,23.46,36.0,12.0
1978,4,29.83,42.0,17.0
1978,5,34.99,44.0,20.0
1978,6,29.9,44.0,21.0
1978,7,26.37,32.0,23.0
1978,8,25.44,32.0,21.0
1978,9,26.08,38.0,21.0
1978,10,24.29,39.0,15.0
1978,11,22.09,38.0,11.0
1978,12,15.95,26.0,4.0
1979,1,17.97,39.0,6.0
1979,2,18.71,31.0,7.0
1979,3,23.76,37.0,7.0
1979,4,30.66,43.0,18.0
1979,5,32.18,44.0,20.0
1979,6,32.29,45.0,22.0
1979,7,27.68,36.0,16.0
1979,8,27.03,36.0,22.0
1979,9,27.73,35.0,19.0
1979,10,26.97,36.0,10.0
1979,11,24.22,35.0,12.0
1979,12,18.55,30.0,8.0
1980,1,18.72,39.0,6.0
1980,2,21.19,36.0,5.0
1980,3,26.07,39.0,11.0
1980,4,32.1,44.0,16.0
1980,5,36.14,44.0,27.0
1980,6,30.11,43.0,23.0
1980,7,26.66,36.0,22.0
1980,8,25.68,33.0,22.0
1980,9,26.78,35.0,21.0
1980,10,25.68,35.0,16.0
1980,11,21.58,32.0,11.0
1980,12,17.44,31.0,6.0
1981,1,16.78,32.0,5.0
1981,2,20.98,34.0,7.0
1981,3,24.87,39.0,10.0
1981,4,31.3,42.0,16.0
1981,5,33.66,45.0,21.0
1981,6,33.23,45.0,21.0
1981,7,26.82,36.0,23.0
1981,8,26.66,34.0,22.0
1981,9,26.74,34.0,22.0
1981,10,24.85,34.0,10.0
1981,11,20.03,33.0,9.0
1981,12,16.37,29.0,5.0
1982,1,18.48,29.28,10.0
1982,2,19.19,30.39,9.0
1982,3,23.58,37.0,10.5
1982,4,30.05,39.89,16.22
1982,5,31.31,41.5,20.22
1982,6,31.6,42.0,17.22
1982,7,28.11,39.61,21.78
1982,8,25.26,31.22,21.39
1982,9,26.65,37.0,11.22
1982,10,25.69,34.11,19.11
1982,11,20.68,31.11,8.11
1982,12,18.8,30.0,7.61
1983,1,16.34,28.78,5.0
1983,2,19.43,32.28,5.39
1983,3,25.1,37.28,10.5
1983,4,29.77,42.61,15.0
1983,5,33.71,42.78,21.89
1983,6,33.19,43.61,23.61
1983,7,27.84,35.78,17.39
1983,8,26.98,33.5,21.78
1983,9,26.34,32.72,22.39
1983,10,24.12,32.78,12.11
1983,11,18.39,33.28,8.61
1983,12,16.84,29.11,5.5
1984,1,16.89,29.11,7.5
1984,2,18.02,29.89,5.39
1984,3,25.63,40.5,9.89
1984,4,30.52,41.78,16.22
1984,5,35.08,45.28,20.61
