Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,18.52,29.0,0.0
1975,2,23.31,35.0,14.0
1975,3,29.04,38.0,17.0
1975,4,31.66,40.0,21.0
1975,5,32.92,43.0,21.0
1975,6,28.21,38.0,21.0
1975,7,24.95,32.0,21.0
1975,8,25.45,31.0,21.0
1975,9,25.04,32.0,20.0
1975,10,25.49,31.0,19.0
1975,11,20.2,29.0,11.0
1975,12,18.32,29.0,0.0
1976,1,17.88,29.0,8.0
1976,2,23.26,34.0,12.0
1976,3,27.88,38.0,15.0
1976,4,29.96,41.0,21.0
1976,5,30.88,41.0,20.0
1976,6,28.21,38.0,22.0
1976,7,24.61,33.0,21.0
1976,8,24.54,31.0,21.0
1976,9,25.76,40.0,19.0
1976,10,24.93,34.0,13.0
1976,11,23.68,33.0,15.0
1976,12,20.24,31.0,8.0
1977,1,19.58,31.0,5.0
1977,2,24.36,36.0,6.0
1977,3,28.31,39.0,16.0
1977,4,28.08,39.0,18.0
1977,5,28.79,41.0,20.0
1977,6,29.1,41.0,22.0
1977,7,25.65,33.0,22.0
1977,8,24.12,29.0,15.0
1977,9,25.15,38.0,20.0
1977,10,23.93,31.0,14.0
1977,11,23.16,32.0,14.0
1977,12,18.72,29.0,1.0
1978,1,19.01,32.0,5.0
1978,2,22.23,38.0,10.0
1978,3,26.34,37.0,13.0
1978,4,28.45,40.0,19.0
1978,5,31.5,43.0,21.0
1978,6,27.55,41.0,20.0
1978,7,24.65,33.0,20.0
1978,8,24.1,30.0,21.0
1978,9,25.47,33.0,20.0
1978,10,23.9,33.0,15.0
1978,11,22.63,35.0,10.0
1978,12,18.43,29.0,7.0
1979,1,19.91,32.0,7.0
1979,2,22.41,34.0,10.0
1979,3,26.61,39.0,11.0
1979,4,29.88,42.0,18.0
1979,5,30.85,41.0,20.0
1979,6,28.58,42.0,12.0
1979,7,25.89,33.0,21.0
1979,8,25.05,32.0,21.0
1979,9,25.38,31.0,22.0
1979,10,24.45,33.0,16.0
1979,11,23.08,33.0,12.0
1979,12,19.22,33.0,9.0
1980,1,20.9,38.0,8.0
1980,2,23.57,35.0,11.0
1980,3,27.79,38.0,13.0
1980,4,30.01,41.0,18.0
1980,5,31.54,43.0,20.0
1980,6,26.43,36.0,21.0
1980,7,24.62,31.0,21.0
1980,8,24.58,31.0,5.0
1980,9,24.88,32.0,19.0
1980,10,23.62,38.0,13.0
1980,11,21.05,34.0,8.0
1980,12,19.81,33.0,6.0
1981,1,18.81,34.0,7.0
1981,2,23.07,36.0,8.0
1981,3,25.86,37.0,13.0
1981,4,29.74,42.0,18.0
1981,5,30.13,42.0,20.0
1981,6,27.94,41.0,20.0
1981,7,25.11,31.0,16.0
1981,8,24.65,35.0,20.0
1981,9,24.87,34.0,12.0
1981,10,23.79,37.0,11.0
1981,11,21.08,32.0,6.0
1981,12,19.14,30.0,6.0
1982,1,21.13,31.11,8.39
1982,2,24.35,36.0,10.78
1982,3,27.51,38.11,13.28
1982,4,29.89,40.39,19.0
1982,5,30.13,40.5,20.0
1982,6,28.84,41.11,21.39
1982,7,26.1,36.22,14.0
1982,8,24.43,33.11,20.0
1982,9,25.03,31.78,18.39
1982,10,24.12,31.72,16.0
1982,11,21.69,30.72,10.22
1982,12,19.1,29.89,6.72
1983,1,20.11,30.89,6.22
1983,2,23.77,35.28,12.0
1983,3,27.94,38.5,14.89
1983,4,30.65,39.89,19.61
1983,5,30.47,43.72,20.72
1983,6,30.36,42.28,21.5
1983,7,25.91,39.28,21.22
1983,8,25.28,31.78,21.22
1983,9,25.31,33.28,21.11
1983,10,25.05,32.22,16.5
1983,11,21.87,30.72,7.0
1983,12,19.93,32.0,5.5
1984,1,22.46,43.28,9.22
1984,2,24.09,35.0,5.78
1984,3,28.14,43.11,13.89
1984,4,29.4,39.89,17.39
1984,5,32.71,43.28,20.78
1984,6,26.59,37.61,17.0
1984,7,25.41,32.0,20.28
1984,8,24.68,32.0,21.0
1984,9,24.95,31.61,17.61
1984,10,24.5,32.5,15.0
1984,11,19.78,30.11,6.5
1984,12,20.09,31.72,4.61
1985,1,21.38,32.39,8.22
1985,2,22.71,35.61,7.5
1985,3,28.49,38.39,11.22
1985,4,31.32,41.72,19.78
1985,5,31.39,42.5,19.72
1985,6,27.55,39.39,20.22
1985,7,24.72,31.61,18.5
1985,8,24.87,30.61,19.5
1985,9,24.99,31.61,18.61
1985,10,23.49,30.39,11.22
1985,11,20.48,30.22,6.61
1985,12,19.57,30.5,7.39
1986,1,18.89,30.89,4.39
1986,2,22.96,35.11,12.61
1986,3,28.36,38.89,15.5
1986,4,30.34,40.39,15.5
1986,5,31.6,41.61,20.89
1986,6,28.54,41.61,19.0
1986,7,25.34,34.61,20.0
1986,8,24.94,32.22,19.61
1986,9,26.02,34.89,19.72
1986,10,25.64,33.11,13.5
1986,11,22.18,30.5,9.61
1986,12,20.79,30.72,8.5
1987,1,20.99,30.22,4.61
1987,2,24.02,35.61,7.22
1987,3,26.96,38.11,10.89
1987,4,30.58,52.11,17.0
1987,5,29.76,39.5,19.0
1987,6,28.77,40.78,21.0
1987,7,25.75,32.0,21.5
1987,8,25.48,32.61,20.5
1987,9,26.23,33.72,21.28
1987,10,24.49,32.5,15.0
1987,11,21.88,32.0,8.0
1987,12,19.74,30.61,7.5
1988,1,21.58,32.11,7.39
1988,2,24.5,35.5,5.78
1988,3,28.43,39.0,13.61
1988,4,29.93,39.39,18.39
1988,5,32.35,43.72,20.5
1988,6,28.45,40.5,20.72
1988,7,25.03,31.78,20.61
1988,8,25.41,33.0,20.28
1988,9,25.77,32.61,20.22
1988,10,23.79,31.5,8.0
1988,11,20.03,31.39,8.0
1988,12,18.91,30.0,7.5
1989,1,18.89,31.72,6.0
1989,2,22.79,35.78,8.0
1989,3,25.33,38.72,13.78
1989,4,29.58,41.11,15.0
1989,5,31.2,41.39,21.11
1989,6,26.51,38.72,21.0
1989,7,25.68,32.39,20.39
1989,8,25.05,39.72,20.72
1989,9,25.09,31.89,20.61
1989,10,24.19,32.0,13.28
1989,11,21.26,32.28,10.5
1989,12,18.03,29.28,5.89
1990,1,19.8,33.28,7.0
1990,2,22.8,36.61,11.11
1990,3,25.19,35.78,14.61
1990,4,29.23,40.89,18.89
1990,5,26.67,38.61,20.78
1990,6,25.97,33.89,21.61
1990,7,24.34,33.0,20.89
1990,8,25.23,32.22,20.72
1990,9,25.45,33.28,20.5
1990,10,23.46,37.78,13.5
1990,11,22.34,30.89,12.11
1990,12,19.62,29.61,7.61
1991,1,20.73,31.5,8.28
1991,2,24.23,34.5,10.72
1991,3,27.64,39.5,16.5
1991,4,29.67,41.0,18.89
1991,5,31.59,53.0,20.39
1991,6,26.6,37.89,21.22
1991,7,25.4,32.0,22.0
1991,8,24.7,30.5,21.5
1991,9,25.78,32.22,19.78
1991,10,24.12,37.78,15.39
1991,11,20.68,30.39,9.0
1991,12,18.16,29.28,-2.11
1992,1,18.33,30.72,5.61
1992,2,21.85,35.11,8.28
1992,3,27.04,39.89,12.11
1992,4,30.42,40.78,14.78
1992,5,31.29,41.39,20.0
1992,6,28.22,40.28,21.78
1992,7,26.3,38.39,20.39
1992,8,24.74,32.39,15.89
1992,9,25.89,38.61,19.39
1992,10,24.31,32.78,12.0
1992,11,22.87,32.28,12.61
1992,12,18.49,29.39,5.89
1993,1,20.42,31.78,8.72
1993,2,21.2,38.78,7.22
1993,3,25.95,37.5,14.0
1993,4,29.42,40.5,19.0
1993,5,30.58,42.28,20.61
1993,6,28.05,40.0,21.22
1993,7,25.73,38.0,13.61
1993,8,25.23,32.11,21.22
1993,9,25.79,39.89,20.5
1993,10,26.1,33.22,16.28
1993,11,22.06,32.0,8.11
1993,12,18.49,30.11,6.0
1994,1,20.71,32.5,8.78
1994,2,23.47,36.5,9.61
1994,3,27.7,39.22,15.11
1994,4,33.36,37.0,23.72
1994,5,37.83,40.78,25.22
1994,6,26.02,39.11,20.89
1994,7,24.44,31.5,20.0
1994,8,24.41,30.61,21.39
1994,9,25.49,31.89,20.5
1994,10,25.01,32.39,15.0
1994,11,21.75,32.0,10.61
1994,12,19.25,30.5,6.0
1995,1,18.92,29.5,8.11
1995,2,24.03,34.5,12.28
1995,3,27.41,36.89,16.0
1995,4,29.69,39.72,19.22
1995,5,27.94,39.72,19.22
1995,6,29.45,43.0,21.72
1995,7,25.53,34.5,20.5
1995,8,25.92,31.78,22.0
1995,9,26.26,34.61,16.28
1995,10,25.15,32.72,16.89
1995,11,22.27,30.72,11.61
1995,12,20.98,30.72,7.78
1996,1,22.82,31.89,10.0
1996,2,25.15,35.39,9.5
1996,3,29.23,40.39,13.61
1996,4,29.6,39.72,19.72
1996,5,32.0,42.28,21.0
1996,6,28.92,40.0,21.78
1996,7,25.9,35.78,20.0
1996,8,25.35,31.72,21.5
1996,9,26.31,33.11,21.5
1996,10,25.47,36.61,16.78
1996,11,22.68,32.89,9.11
1996,12,19.78,30.61,5.61
1997,1,19.5,30.39,6.28
1997,2,23.33,35.0,6.5
1997,3,27.51,38.22,12.39
1997,4,26.98,36.78,15.61
1997,5,30.33,41.22,18.28
1997,6,28.74,41.0,22.61
1997,7,26.03,33.72,22.22
1997,8,25.33,32.28,21.78
1997,9,25.8,33.11,20.72
1997,10,24.74,32.89,17.0
1997,11,24.06,31.89,15.78
1997,12,22.24,30.5,12.5
1998,1,21.46,31.61,10.5
1998,2,23.61,33.61,11.11
1998,3,27.2,38.28,14.89
1998,4,30.62,40.5,17.72
1998,5,31.64,43.39,20.89
1998,6,29.23,41.61,21.61
1998,7,26.11,34.28,21.61
1998,8,26.09,33.78,22.22
1998,9,26.63,33.5,21.78
1998,10,25.83,36.22,19.0
1998,11,22.98,32.28,10.0
1998,12,18.1,30.28,6.0
1999,1,19.13,31.39,5.5
1999,2,24.85,36.0,14.0
1999,3,28.11,40.0,12.39
1999,4,31.79,42.5,18.0
1999,5,29.54,41.11,18.5
1999,6,27.13,39.78,21.5
1999,7,25.46,33.0,21.5
1999,8,24.62,31.61,21.0
1999,9,25.09,31.89,20.0
1999,10,25.27,32.89,18.72
1999,11,21.56,31.78,9.5
1999,12,18.84,30.11,6.61
2000,1,20.41,33.11,5.5
2000,2,22.88,32.0,9.5
2000,3,26.56,37.39,12.72
2000,4,30.95,42.28,17.78
2000,5,30.08,40.11,20.0
2000,6,26.07,36.72,21.28
2000,7,25.63,35.89,21.0
2000,8,25.26,32.0,21.5
2000,9,25.86,36.22,21.0
2000,10,24.88,34.22,14.5
2000,11,21.64,32.78,10.61
2000,12,18.53,31.11,6.61
2001,1,20.24,33.28,5.89
2001,2,24.01,36.0,8.22
2001,3,26.98,37.61,16.5
2001,4,28.16,39.28,18.5
2001,5,30.3,42.11,19.22
2001,6,26.2,36.61,21.11
2001,7,25.05,32.78,21.39
2001,8,24.78,31.28,20.0
2001,9,25.96,33.28,21.11
2001,10,25.08,32.61,14.39
2001,11,22.89,32.89,13.78
2001,12,19.13,31.5,8.0
2002,1,19.76,31.11,5.5
2002,2,23.12,35.0,10.0
2002,3,27.26,37.72,11.78
2002,4,29.54,40.0,20.22
2002,5,31.68,43.11,19.61
2002,6,27.59,36.89,20.72
2002,7,26.72,35.22,22.39
2002,8,24.44,30.78,20.61
2002,9,25.74,33.39,18.39
2002,10,25.11,34.89,12.11
2002,11,21.38,32.11,7.78
2002,12,20.16,31.89,9.28
2003,1,19.87,34.0,4.72
2003,2,24.07,33.39,13.11
2003,3,25.58,36.78,11.0
2003,4,29.38,40.11,19.5
2003,5,33.63,44.78,22.78
2003,6,30.53,45.5,21.11
2003,7,24.89,31.39,20.78
2003,8,25.03,31.72,20.89
2003,9,25.43,31.28,20.78
2003,10,24.47,32.39,17.5
2003,11,21.31,32.11,8.78
2003,12,18.35,31.61,8.28
2004,1,19.08,30.61,7.39
2004,2,21.13,34.78,7.22
2004,3,27.0,39.11,12.0
2004,4,29.27,40.28,17.22
2004,5,29.7,42.0,20.5
2004,6,26.56,37.0,18.5
2004,7,25.14,32.0,19.78
2004,8,24.82,31.72,19.78
2004,9,25.53,33.22,19.28
2004,10,24.23,32.28,15.5
2004,11,21.11,31.89,9.78
2004,12,19.04,30.22,8.5
2005,1,20.34,31.11,8.61
2005,2,23.56,35.11,11.89
2005,3,27.32,39.39,16.0
2005,4,29.12,40.0,19.39
2005,5,30.63,41.61,19.39
2005,6,29.28,41.28,21.28
2005,7,25.27,33.11,21.39
2005,8,24.99,32.89,20.11
2005,9,25.56,36.5,21.0
2005,10,25.0,34.0,19.61
2005,11,20.34,30.22,9.61
2005,12,19.35,30.72,8.0
2006,1,20.44,32.78,6.61
2006,2,24.03,36.28,9.39
2006,3,25.61,37.78,15.61
2006,4,28.97,39.72,17.0
2006,5,28.86,40.39,20.5
2006,6,28.06,37.5,21.78
2006,7,25.37,32.0,21.0
2006,8,24.76,31.72,20.61
2006,9,25.43,39.0,19.22
2006,10,25.05,34.28,17.22
2006,11,22.09,30.72,11.5
2006,12,20.05,30.11,9.0
2007,1,20.03,32.78,8.78
2007,2,22.45,33.39,10.61
2007,3,27.11,39.22,10.11
2007,4,29.36,40.28,19.39
2007,5,30.28,41.0,21.0
2007,6,27.59,39.89,21.78
2007,7,26.04,33.22,21.61
2007,8,25.52,38.0,21.22
2007,9,25.49,32.11,21.5
2007,10,24.33,32.28,14.78
2007,11,21.49,32.5,9.5
2007,12,20.49,31.78,9.28
2008,1,20.26,31.28,8.0
2008,2,22.02,33.61,9.61
2008,3,25.98,36.0,11.0
2008,4,29.03,40.61,17.61
2008,5,31.17,41.11,19.61
2008,6,26.42,39.11,16.11
2008,7,25.03,32.72,21.0
2008,8,24.94,31.61,21.0
2008,9,25.25,31.78,20.5
2008,10,25.02,35.78,14.0
2008,11,22.5,33.11,11.5
2008,12,20.32,32.11,8.39
2009,1,21.29,34.78,9.78
2009,2,24.67,37.11,12.0
2009,3,26.59,38.11,15.0
2009,4,30.79,41.22,20.0
2009,5,30.25,41.5,20.39
2009,6,29.16,40.28,21.0
2009,7,24.89,33.22,17.72
2009,8,25.72,37.0,21.0
2009,9,26.67,33.78,21.0
2009,10,24.33,33.0,12.5
2009,11,23.06,34.11,9.11
2009,12,19.83,30.11,8.0
2010,1,19.41,31.11,8.0
2010,2,23.61,35.11,9.5
2010,3,28.12,39.11,15.39
2010,4,30.63,40.61,14.61
2010,5,30.84,41.28,20.89
2010,6,28.3,41.72,21.0
2010,7,25.25,32.72,20.11
2010,8,25.61,33.11,20.89
2010,9,25.53,32.28,20.5
2010,10,24.71,32.39,17.0
2010,11,23.57,31.28,16.28
2010,12,18.71,29.11,6.61
2011,1,19.15,31.11,6.39
2011,2,22.14,32.72,9.78
2011,3,26.96,38.0,14.61
2011,4,27.42,37.39,18.5
2011,5,29.4,39.78,19.28
2011,6,27.32,36.39,21.0
2011,7,25.84,32.78,21.39
2011,8,25.46,32.39,22.0
2011,9,25.15,32.28,20.11
2011,10,25.22,33.28,15.61
2011,11,21.93,31.72,10.61
2011,12,19.52,31.0,6.0
2012,1,20.17,30.39,4.11
2012,2,24.82,35.61,10.39
2012,3,27.43,38.72,12.22
2012,4,29.27,40.11,17.11
2012,5,31.1,43.28,19.61
2012,6,29.06,43.72,20.0
2012,7,24.51,37.61,20.0
2012,8,24.42,31.5,20.78
2012,9,25.13,32.0,21.0
2012,10,24.28,32.0,15.22
2012,11,21.61,30.78,8.5
