Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,14.22,29.0,2.0
1975,2,17.47,35.0,0.0
1975,3,24.41,40.0,11.0
1975,4,29.93,42.0,14.0
1975,5,33.19,42.0,22.0
1975,7,31.28,41.0,23.0
1975,8,30.23,41.0,21.0
1975,9,28.76,37.0,21.0
1975,10,26.02,37.0,11.0
1975,11,19.62,32.0,7.0
1975,12,16.41,29.0,6.0
1976,1,15.56,27.0,5.0
1976,2,19.04,31.0,10.0
1976,3,24.52,35.0,12.0
1976,4,28.49,41.0,17.0
1976,5,33.14,46.0,23.0
1976,6,33.02,49.0,25.0
1976,7,30.42,41.0,25.0
1976,8,28.89,37.0,20.0
1976,9,27.68,38.0,22.0
1976,10,28.56,38.0,19.0
1976,11,22.19,35.0,8.0
1976,12,15.44,27.0,4.0
1977,1,13.83,30.0,-2.0
1977,2,19.47,34.0,2.0
1977,3,25.88,47.0,8.0
1977,4,29.8,41.0,19.0
1977,5,34.18,45.0,23.0
1977,6,34.21,45.0,22.0
1977,7,32.01,41.0,23.0
1977,8,30.81,39.0,22.0
1977,9,30.85,39.0,22.0
1977,10,30.01,40.0,18.0
1977,11,24.51,38.0,10.0
1977,12,18.31,31.0,3.0
1978,1,15.9,28.0,-1.0
1978,2,19.08,34.0,3.0
1978,3,24.18,37.0,11.0
1978,4,31.12,42.0,18.0
1978,5,35.41,45.0,24.0
1978,6,34.12,45.0,20.0
1978,7,30.4,5537.72,21.0
1978,8,30.57,39.0,24.0
1978,9,29.88,40.0,22.0
1978,10,29.18,38.0,15.0
1978,11,22.55,38.0,5.0
1978,12,17.75,32.0,5.0
1979,1,15.98,30.0,3.0
1979,2,18.51,32.0,2.0
1979,3,23.34,37.0,5.0
1979,4,30.96,42.0,17.0
1979,5,32.96,43.0,19.0
1979,6,36.41,48.0,24.0
1979,7,33.95,47.0,25.0
1979,8,30.71,40.0,23.0
1979,9,30.86,40.0,21.0
1979,10,28.76,39.0,18.0
1979,11,23.14,37.0,10.0
1979,12,17.95,33.0,3.0
1980,1,15.9,33.0,5.0
1980,2,20.46,35.0,2.0
1980,3,24.54,39.0,9.0
1980,4,32.86,43.0,20.0
1980,5,35.25,45.0,24.0
1980,6,36.03,46.0,26.0
1980,7,32.15,42.0,24.0
1980,8,31.63,41.0,20.0
1980,9,31.65,41.0,23.0
1980,10,30.2,39.0,19.0
1980,11,22.63,34.0,8.0
1980,12,16.98,30.0,0.0
1981,1,17.3,29.0,3.0
1981,2,21.04,35.0,4.0
1981,3,25.14,40.0,10.0
1981,4,31.49,43.0,15.0
1981,5,35.41,46.0,20.0
1981,6,35.77,47.0,24.0
1981,7,32.33,41.0,23.0
1981,8,31.31,39.0,24.0
1981,9,31.77,41.0,24.0
1981,10,29.37,39.0,16.0
1981,11,22.02,32.0,7.0
1981,12,18.46,28.0,5.0
1982,1,15.85,27.22,3.61
1982,2,17.96,29.22,4.89
1982,3,23.21,38.61,8.11
1982,4,29.97,41.11,15.22
1982,5,33.12,43.0,20.5
1982,6,35.27,45.5,24.89
1982,7,33.44,41.89,21.61
1982,8,31.0,38.5,23.89
1982,9,31.73,43.0,20.39
1982,10,30.16,40.61,17.72
1982,11,23.49,34.72,6.78
1982,12,18.02,27.61,6.0
1983,1,15.65,26.89,2.28
1983,2,19.46,34.28,3.11
1983,3,24.72,36.78,10.22
1983,4,27.45,40.5,15.61
1983,5,35.07,47.0,22.28
1983,6,35.57,44.61,20.22
1983,7,33.27,43.28,24.22
1983,8,31.05,39.11,24.61
1983,9,31.16,40.78,22.5
1983,10,28.81,40.61,10.61
1983,11,22.58,38.39,8.39
1983,12,17.41,28.0,2.72
1984,1,15.02,26.11,2.22
1984,2,17.71,32.0,0.72
1984,3,28.25,41.72,11.11
1984,4,30.97,43.28,19.39
1984,5,36.45,46.11,20.78
1984,6,34.2,43.39,23.28
1984,7,31.24,41.39,24.61
1984,8,30.87,40.39,22.72
1984,9,30.21,39.11,21.39
1984,10,27.96,37.61,12.11
1984,11,23.35,33.72,8.39
1984,12,18.08,31.61,-4.11
1985,1,16.61,28.28,2.61
1985,2,20.8,34.22,5.61
1985,3,29.2,40.11,14.11
1985,4,30.34,41.78,17.22
1985,5,35.38,45.39,22.89
1985,6,34.01,42.89,23.5
1985,7,31.99,40.22,24.72
1985,8,31.21,40.11,21.28
1985,9,32.03,40.11,20.39
1985,10,29.34,40.28,16.11
1985,11,24.94,34.5,9.28
1985,12,18.31,31.0,4.5
1986,1,15.76,26.5,1.61
1986,2,19.15,31.89,4.61
1986,3,25.73,37.78,7.89
1986,4,31.9,41.5,15.22
1986,5,36.11,46.5,23.39
1986,6,35.85,45.22,25.72
1986,7,32.72,42.0,25.22
1986,8,30.85,38.78,22.61
1986,9,32.24,39.78,22.28
1986,10,29.68,40.28,14.78
1986,11,23.04,38.78,8.22
1986,12,17.03,32.61,1.28
1987,1,17.29,29.72,4.61
1987,2,20.69,30.72,6.78
1987,3,27.32,37.22,13.28
1987,4,32.08,42.61,18.89
1987,5,34.63,43.11,23.78
1987,6,36.61,45.0,20.78
1987,7,34.17,42.11,24.22
1987,8,33.11,43.28,25.0
1987,9,32.21,41.89,23.0
1987,10,30.37,41.5,11.22
1987,11,24.34,35.89,8.89
1987,12,17.76,29.72,2.22
1988,1,17.89,28.61,4.61
1988,2,20.88,33.72,0.39
1988,3,26.38,37.61,10.89
1988,4,31.8,41.0,16.89
1988,5,36.36,46.28,22.5
1988,6,35.29,46.0,20.89
1988,7,32.74,39.61,26.39
1988,8,31.57,43.78,23.39
1988,9,32.59,41.72,24.0
1988,10,30.17,38.5,19.78
1988,11,23.58,36.61,7.78
1988,12,18.73,30.5,6.39
1989,1,15.82,27.0,2.28
1989,2,19.23,30.5,4.11
1989,3,25.58,35.78,7.5
1989,4,30.63,41.5,11.11
1989,5,35.32,46.22,18.72
1989,6,34.61,42.39,25.61
1989,7,32.8,40.11,26.22
1989,8,31.14,37.89,24.72
1989,9,31.33,39.5,23.28
1989,10,29.21,38.78,16.39
1989,11,23.66,35.11,10.0
1989,12,17.31,29.78,3.0
1990,1,19.04,31.39,4.61
1990,2,19.44,31.22,9.11
1990,3,25.18,37.78,10.61
1990,4,31.19,42.5,16.61
1990,5,35.95,45.72,25.22
1990,6,38.85,44.0,30.11
1990,7,32.61,41.39,25.39
1990,8,31.57,39.5,25.61
1990,9,30.64,40.11,21.11
1990,10,29.87,39.78,14.61
1990,11,23.64,35.5,10.0
1990,12,18.39,31.11,2.39
1991,1,17.29,32.0,1.22
1991,2,18.28,31.28,4.22
1991,3,24.48,36.39,12.0
1991,4,29.43,39.72,14.5
1991,5,34.38,44.0,25.0
1991,6,36.34,48.22,25.5
1991,7,35.79,42.0,25.78
1991,8,32.2,38.61,25.28
1991,9,30.5,39.5,22.61
1991,10,30.02,38.61,19.39
1991,11,23.88,34.72,13.39
1991,12,21.08,31.72,6.0
1992,1,16.94,29.0,5.22
1992,2,20.93,31.0,6.89
1992,3,24.88,38.0,13.78
1992,4,29.3,43.0,18.39
1992,5,34.85,45.61,23.0
1992,6,37.32,48.11,26.28
1992,7,33.0,39.78,23.61
1992,8,30.32,37.39,24.11
1992,9,29.47,38.11,22.39
1992,10,29.46,38.5,16.5
1992,11,24.5,34.89,8.61
1992,12,20.1,31.0,6.28
1993,1,17.23,29.22,4.22
1993,2,21.48,37.61,7.5
1993,3,24.91,36.28,11.0
1993,4,32.09,43.89,19.89
1993,5,36.01,45.72,24.11
1993,6,34.89,47.28,17.0
1993,7,31.91,42.72,25.0
1993,8,31.06,38.72,24.39
1993,9,31.35,41.0,22.61
1993,10,30.54,39.78,18.78
1993,11,26.0,35.89,10.5
1993,12,19.85,33.11,5.28
1994,1,17.98,29.39,6.22
1994,2,19.31,31.61,6.39
1994,3,29.44,40.39,12.0
1994,4,29.64,41.28,14.61
1994,5,35.71,49.72,23.61
1994,6,35.68,47.22,25.28
1994,7,30.99,38.89,26.0
1994,8,29.83,38.89,20.89
1994,9,30.01,38.89,21.0
1994,10,29.72,38.72,14.22
1994,11,24.65,36.22,10.0
1994,12,19.15,32.39,2.78
1995,1,17.45,28.89,4.5
1995,2,21.07,34.11,9.28
1995,3,25.24,37.78,9.0
1995,4,30.26,40.0,15.72
1995,5,36.75,46.61,24.28
1995,6,35.0,48.22,20.0
1995,7,30.99,40.89,23.78
1995,8,29.98,40.0,24.72
1995,9,31.12,40.61,22.39
1995,10,28.77,39.78,17.11
1995,11,22.89,35.22,8.22
1995,12,18.04,29.72,2.11
1996,1,16.3,29.0,4.22
1996,2,20.06,32.78,9.0
1996,3,27.25,41.11,16.89
1996,4,30.45,44.28,16.5
1996,5,32.67,44.22,20.61
1996,6,32.94,45.28,24.28
1996,7,31.85,41.61,23.11
1996,8,31.92,40.39,23.5
1996,9,31.17,40.28,22.11
1996,10,29.9,40.39,16.5
1996,11,22.48,36.22,9.11
1996,12,17.92,30.72,7.0
1997,1,16.71,27.39,6.28
1997,2,20.2,36.28,7.78
1997,3,24.65,36.28,10.61
1997,4,29.58,40.61,15.72
1997,5,33.15,45.39,22.0
1997,6,33.08,43.0,19.89
1997,7,33.05,41.5,26.61
1997,8,30.84,39.72,21.61
1997,9,30.39,39.5,23.28
1997,10,26.01,37.11,15.61
1997,11,21.56,32.5,11.0
1997,12,15.85,26.78,5.11
1998,1,17.22,27.28,6.5
1998,2,19.88,39.72,10.0
1998,3,24.96,38.28,4.61
1998,4,32.0,42.11,20.61
1998,5,35.32,47.22,18.22
1998,6,35.21,45.5,19.89
1998,7,32.81,43.39,25.11
1998,8,32.6,43.11,25.0
1998,9,31.17,40.72,23.11
1998,10,28.36,41.0,16.72
1998,11,23.63,32.89,11.89
1998,12,19.62,31.39,7.5
1999,1,15.67,29.72,6.28
1999,2,20.19,32.72,7.22
1999,3,26.89,42.61,12.61
1999,4,31.54,44.22,19.0
1999,5,32.92,45.11,22.28
1999,6,32.7,42.72,25.28
1999,7,32.1,41.11,17.11
1999,8,29.77,36.22,23.39
1999,9,30.97,40.72,22.39
1999,10,30.04,38.61,16.72
1999,11,24.17,36.22,10.11
1999,12,18.84,32.28,7.61
2000,1,17.16,30.22,4.11
2000,2,19.06,34.61,3.11
2000,3,25.31,39.39,10.11
2000,4,32.83,45.72,20.0
2000,5,34.3,45.72,17.22
2000,6,34.22,45.28,25.0
2000,7,31.37,44.22,16.78
2000,8,30.84,41.61,24.5
2000,9,30.8,41.5,21.72
2000,10,30.7,41.39,19.22
2000,11,23.5,35.28,11.11
2000,12,19.29,32.28,7.5
2001,1,16.39,29.0,5.61
2001,2,20.69,33.22,6.11
2001,3,26.59,37.72,12.78
2001,4,30.16,43.22,18.22
2001,5,34.48,47.0,20.61
2001,6,33.4,44.22,25.0
2001,7,30.15,38.78,24.11
2001,8,29.5,37.78,23.61
2001,9,31.12,41.5,22.28
2001,10,30.32,41.0,18.61
2001,11,24.33,38.72,12.89
2001,12,20.1,33.0,8.5
2002,1,16.39,30.61,5.5
2002,2,19.71,32.72,5.61
2002,3,26.49,40.72,11.78
2002,4,31.93,43.0,21.22
2002,5,35.65,46.89,21.61
2002,6,34.23,46.0,23.72
2002,7,31.71,40.72,25.22
2002,8,32.0,42.11,24.0
2002,9,31.23,40.72,22.5
2002,10,30.3,41.61,18.61
2002,11,24.03,36.0,12.72
2002,12,19.02,32.39,8.72
2003,1,17.33,31.72,6.0
2003,2,20.41,34.61,7.72
2003,3,26.14,39.22,8.89
2003,4,31.34,41.72,20.5
2003,5,34.33,45.0,20.61
2003,6,34.49,45.11,24.0
2003,7,31.03,43.72,23.78
2003,8,30.27,40.0,23.72
2003,9,29.85,39.0,22.78
2003,10,29.44,39.78,18.0
2003,11,22.46,35.39,9.5
2003,12,18.03,34.0,6.61
2004,1,16.93,31.0,4.0
2004,2,21.29,36.0,7.61
2004,3,29.09,42.0,14.0
2004,4,32.64,44.22,21.61
2004,5,34.71,45.5,23.11
2004,6,34.06,45.22,21.0
2004,7,32.89,42.0,25.5
2004,8,31.85,41.28,23.39
2004,9,31.55,41.0,21.89
2004,10,27.37,37.89,15.72
2004,11,24.3,34.22,14.5
2004,12,19.04,31.61,8.5
2005,1,14.84,25.89,6.39
2005,2,18.36,31.28,3.78
2005,3,25.62,37.61,15.0
2005,4,30.12,42.22,14.78
2005,5,33.28,44.72,19.11
2005,6,34.58,45.0,23.11
2005,7,32.35,40.89,23.72
2005,8,30.87,39.89,23.61
2005,9,30.55,41.89,22.78
2005,10,28.5,37.72,18.22
2005,11,23.95,35.0,9.22
2005,12,16.79,29.22,6.78
2006,1,16.3,30.11,4.11
2006,2,23.62,35.11,12.61
2006,3,25.12,36.28,14.72
2006,4,31.17,43.11,19.22
2006,5,35.19,49.0,24.39
2006,6,34.1,45.72,22.0
2006,7,33.39,44.89,21.11
2006,8,29.01,38.89,23.28
2006,9,30.6,39.89,22.39
2006,10,28.93,40.22,18.78
2006,11,23.48,35.11,10.72
2006,12,16.62,28.22,6.28
2007,1,16.31,27.72,6.28
2007,2,20.59,31.0,10.5
2007,3,24.17,39.22,9.78
2007,4,32.16,43.11,18.22
2007,5,34.06,44.61,23.78
2007,6,34.04,44.78,25.78
2007,7,32.68,42.78,23.22
2007,8,30.9,39.78,23.78
2007,9,31.02,43.22,20.89
2007,10,28.39,38.78,18.28
2007,11,24.73,37.11,11.78
2007,12,16.44,28.0,5.22
2008,1,14.63,27.61,2.28
2008,2,18.47,36.11,3.0
2008,3,28.36,40.0,16.0
2008,4,30.6,43.28,18.22
2008,5,33.43,44.5,21.28
2008,6,33.14,42.28,22.78
2008,7,32.21,42.28,25.28
2008,8,30.0,39.28,22.39
2008,9,31.12,40.72,22.28
2008,10,30.13,41.72,19.28
2008,11,23.38,36.28,10.22
2008,12,18.05,31.5,6.72
2009,1,16.76,27.39,7.0
2009,2,21.32,34.72,9.39
2009,3,26.54,37.89,10.0
2009,4,30.2,43.11,16.89
2009,5,35.68,47.22,22.78
2009,6,34.12,43.61,21.39
2009,7,33.1,46.11,26.22
2009,8,31.41,39.61,19.22
2009,9,31.53,43.0,22.61
2009,10,29.42,41.39,17.61
2009,11,22.73,37.22,12.0
2009,12,18.47,29.78,8.22
2010,1,16.53,28.89,3.0
2010,2,20.65,35.0,6.61
2010,3,29.48,41.28,16.22
2010,4,33.05,44.11,22.0
2010,5,36.23,48.0,22.78
2010,6,33.81,46.89,19.28
2010,7,32.32,42.78,25.39
2010,8,30.3,41.0,24.78
2010,9,29.79,39.78,20.39
2010,10,29.47,40.28,16.89
2010,11,22.49,33.28,9.22
2010,12,16.43,28.28,6.78
