Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,18.32,28.0,6.0
1975,2,21.63,31.0,10.0
1975,3,27.27,38.0,14.0
1975,4,32.5,42.0,23.0
1975,5,32.1,44.0,22.0
1975,6,30.62,41.0,24.0
1975,7,28.8,33.0,24.0
1975,8,27.3,5537.72,20.0
1975,9,27.43,33.0,23.0
1975,10,27.94,38.0,20.0
1975,11,20.93,29.0,9.0
1975,12,17.43,29.0,7.0
1976,1,18.28,30.0,5.0
1976,2,22.62,35.0,10.0
1976,3,27.02,37.0,12.0
1976,4,30.14,41.0,17.0
1976,5,31.16,42.0,23.0
1976,6,30.11,39.0,20.0
1976,7,28.27,34.0,23.0
1976,8,27.77,34.0,20.0
1976,9,27.57,33.0,21.0
1976,10,26.71,35.0,18.0
1976,11,25.29,36.0,18.0
1976,12,19.92,31.0,5.0
1977,1,18.94,33.0,6.0
1977,2,21.91,35.0,6.0
1977,3,28.52,41.0,15.0
1977,4,29.18,41.0,19.0
1977,5,29.69,42.0,19.0
1977,6,29.68,44.0,21.0
1977,7,28.14,35.0,23.0
1977,8,27.7,33.0,22.0
1977,9,28.22,34.0,10.0
1977,10,27.05,34.0,19.0
1977,11,24.22,34.0,16.0
1977,12,18.57,33.0,10.0
1978,1,17.55,35.0,7.0
1978,2,21.4,31.0,5.0
1978,3,24.83,36.0,14.0
1978,4,30.59,41.0,18.0
1978,5,32.45,44.0,21.0
1978,6,29.83,42.0,23.0
1978,7,28.13,38.0,22.0
1978,8,27.77,33.0,21.0
1978,9,26.81,5537.72,20.0
1978,10,25.89,33.0,18.0
1978,11,23.18,35.0,15.0
1978,12,17.86,28.0,6.0
1979,1,19.73,34.0,7.0
1979,2,20.43,33.0,9.0
1979,3,26.17,39.0,13.0
1979,4,31.23,41.0,20.0
1979,5,33.72,45.0,23.0
1979,6,32.07,44.0,22.0
1979,7,29.31,37.0,23.0
1979,8,28.62,36.0,23.0
1979,9,28.54,35.0,22.0
1979,10,27.78,36.0,19.0
1979,11,25.47,34.0,14.0
1979,12,19.83,29.0,10.0
1980,1,20.08,37.0,7.0
1980,2,23.21,36.0,8.0
1980,3,27.27,39.0,14.0
1980,4,31.54,44.0,20.0
1980,5,33.05,45.0,19.0
1980,6,29.28,39.0,24.0
1980,7,28.45,38.0,23.0
1980,8,28.96,34.0,24.0
1980,9,28.42,34.0,22.0
1980,10,26.73,34.0,16.0
1980,11,22.44,5537.72,11.0
