Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,2,21.61,28.0,14.0
1975,3,28.36,36.0,17.0
1975,5,35.43,45.0,28.0
1975,6,32.48,45.0,24.0
1975,7,27.21,31.0,23.0
1975,8,26.41,31.0,24.0
1975,9,27.01,38.0,23.0
1975,10,26.93,35.0,20.0
1975,11,21.13,31.0,10.0
1975,12,16.43,29.0,8.0
1976,1,18.19,31.0,6.0
1976,2,22.87,36.0,12.0
1976,3,28.05,43.0,13.0
1976,4,29.81,43.0,15.0
1976,5,34.43,44.0,25.0
1976,6,31.47,44.0,17.0
1976,7,27.39,33.0,24.0
1976,8,27.97,34.0,17.0
1976,9,27.38,35.0,17.0
1976,10,25.83,35.0,18.0
1976,11,26.54,36.0,18.0
1976,12,20.88,31.0,10.0
1977,1,19.78,31.0,7.0
1977,2,24.39,37.0,9.0
1977,3,30.23,40.0,18.0
1977,4,31.3,42.0,20.0
1977,5,32.04,44.0,20.0
1977,6,32.06,45.0,24.0
1977,7,27.87,36.0,9.0
1977,8,25.83,5537.72,23.0
1977,9,28.07,35.0,21.0
1977,10,28.01,35.0,18.0
1977,11,24.88,35.0,13.0
1977,12,20.23,30.0,10.0
1978,1,19.31,5537.72,7.0
1978,2,22.86,34.0,12.0
1978,3,26.57,39.0,12.0
1978,4,32.23,43.0,20.0
1978,5,35.63,45.0,23.0
1978,6,33.56,45.0,23.0
1978,7,27.82,39.0,23.0
1978,8,27.25,35.0,12.0
1978,9,26.98,36.0,23.0
1978,10,26.32,39.0,19.0
1978,11,24.45,33.0,9.0
1978,12,19.49,29.0,9.0
1979,1,21.64,32.0,9.0
1979,2,22.36,33.0,9.0
1979,3,27.96,40.0,13.0
1979,4,33.12,43.0,20.0
1979,5,35.33,45.0,20.0
1979,6,32.79,45.0,24.0
1979,7,28.52,37.0,23.0
1979,8,27.96,35.0,11.0
1979,9,28.52,35.0,23.0
1979,10,28.55,35.0,20.0
1979,11,27.13,35.0,16.0
1979,12,21.36,30.0,10.0
1980,1,22.12,33.0,8.0
1980,2,25.03,37.0,9.0
1980,3,29.31,41.0,15.0
1980,4,31.86,44.0,21.0
1980,5,37.1,46.0,24.0
1980,6,29.96,39.0,20.0
1980,7,27.9,34.0,23.0
1980,8,27.71,34.0,15.0
1980,9,28.03,35.0,23.0
1980,10,27.34,36.0,17.0
1980,11,24.43,32.0,13.0
1980,12,22.15,30.0,9.0
1981,1,20.58,31.0,9.0
1981,2,25.45,37.0,11.0
1981,3,28.0,37.0,14.0
1981,4,32.1,41.0,19.0
1981,5,32.28,44.0,23.0
1981,6,29.14,37.0,25.0
1981,7,26.5,30.0,25.0
1981,8,28.74,36.0,19.0
1981,9,27.64,32.0,23.0
1981,10,26.37,33.0,13.0
1981,11,23.4,34.0,11.0
1981,12,20.62,31.0,9.0
1982,1,22.29,30.28,11.39
1982,2,24.0,32.78,13.61
1982,3,28.32,36.61,16.78
1982,4,31.3,40.72,21.22
1982,5,34.64,44.22,25.78
