Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,16.26,28.0,3.0
1975,2,19.7,34.0,0.0
1975,3,24.94,39.0,7.0
1975,4,31.38,42.0,15.0
1975,5,34.4,44.0,20.0
1975,6,32.78,42.0,20.0
1975,7,29.87,39.0,23.0
1975,8,29.07,37.0,23.0
1975,9,28.19,42.0,21.0
1975,10,26.16,36.0,13.0
1975,11,20.56,33.0,3.0
1975,12,18.41,29.0,5.0
1976,1,17.87,29.0,2.0
1976,2,19.9,32.0,5.0
1976,3,25.89,39.0,11.0
1976,4,30.09,41.0,16.0
1976,5,34.62,44.0,21.0
1976,6,34.24,46.0,20.0
1976,7,31.1,40.0,20.0
1976,8,28.01,39.0,20.0
1976,9,27.29,35.0,20.0
1976,10,29.19,39.0,17.0
1976,11,23.12,39.0,15.0
1976,12,19.37,31.0,6.0
1977,1,18.36,32.0,4.0
1977,2,22.46,34.0,6.0
1977,3,28.1,42.0,9.0
1977,4,30.98,41.0,18.0
1977,5,33.35,42.0,21.0
1977,6,32.94,43.0,20.0
1977,7,28.81,37.0,16.0
1977,8,28.65,37.0,22.0
1977,9,28.89,39.0,20.0
1977,10,29.43,39.0,17.0
1977,11,24.85,38.0,11.0
1977,12,19.16,31.0,4.0
1978,1,17.07,28.0,2.0
1978,2,19.67,34.0,6.0
1978,3,25.3,38.0,12.0
1978,4,31.18,42.0,19.0
1978,5,35.89,46.0,25.0
1978,6,34.41,46.0,23.0
1978,7,28.97,40.0,22.0
1978,8,29.24,40.0,23.0
1978,9,28.85,37.0,21.0
1978,10,28.7,38.0,15.0
1978,11,23.66,35.0,5.0
1978,12,19.38,31.0,6.0
1979,1,18.19,31.0,4.0
1979,2,19.99,33.0,5.0
1979,3,25.15,38.0,7.0
1979,4,31.74,43.0,16.0
1979,5,33.82,44.0,18.0
1979,6,35.84,47.0,25.0
1979,7,32.1,40.0,25.0
1979,8,29.05,39.0,22.0
1979,9,30.39,40.0,19.0
1979,10,28.16,39.0,8.0
1979,11,23.29,36.0,5.0
1979,12,19.41,29.0,7.0
1980,1,17.65,29.0,4.0
1980,2,21.61,34.0,2.0
1980,3,25.75,37.0,8.0
1980,4,32.78,43.0,18.0
1980,5,35.03,45.0,20.0
1980,6,35.68,45.0,25.0
1980,7,30.9,40.0,22.0
1980,8,30.49,40.0,23.0
1980,9,31.18,40.0,22.0
1980,10,29.22,40.0,15.0
1980,11,23.77,34.0,8.0
1980,12,17.97,31.0,6.0
1981,1,17.45,28.0,5.0
1981,2,21.12,35.0,5.0
1981,3,26.17,40.0,12.0
1981,4,31.79,42.0,16.0
1981,5,34.43,45.0,19.0
1981,6,35.86,46.0,25.0
1981,7,31.22,42.0,16.0
1981,8,29.85,38.0,22.0
1981,9,30.81,39.0,22.0
1981,10,29.13,38.0,17.0
1981,11,21.14,32.0,8.0
1981,12,18.97,29.0,7.0
1982,1,16.9,29.5,4.78
1982,2,19.46,31.28,6.11
1982,3,23.61,38.11,7.28
1982,4,30.49,41.0,16.0
1982,5,32.62,42.39,19.5
1982,6,34.55,44.5,24.39
1982,7,31.87,41.5,22.39
1982,8,29.71,37.78,22.61
1982,9,30.88,38.5,22.39
1982,10,29.95,40.0,17.39
1982,11,23.57,35.0,8.5
1982,12,19.02,30.11,6.72
1983,1,17.32,29.89,4.39
1983,2,18.93,31.61,4.22
1983,3,25.05,35.61,10.0
1983,4,27.9,41.61,15.22
1983,5,34.58,42.39,20.0
1983,6,34.78,44.22,20.5
1983,7,31.26,37.28,25.22
1983,8,29.94,37.39,24.72
1983,9,30.57,38.22,22.0
1983,10,28.3,40.0,13.28
1983,11,22.07,32.78,8.0
1983,12,19.2,30.0,2.39
1984,1,16.84,28.22,3.28
1984,2,18.42,31.61,0.61
1984,3,28.86,41.5,11.0
1984,4,32.32,43.0,19.61
1984,5,36.03,44.39,23.61
1984,6,34.8,43.78,26.72
1984,7,31.41,41.0,23.5
1984,8,28.76,38.0,23.78
1984,10,26.92,40.0,12.0
1984,11,23.3,34.22,6.72
1984,12,18.69,31.22,2.78
1985,1,18.13,29.61,4.0
1985,2,21.36,37.0,4.61
1985,3,29.03,40.39,13.78
1985,4,32.08,42.28,19.0
1985,5,35.56,45.72,24.0
1985,6,33.57,41.39,20.78
1985,7,30.81,38.61,23.5
1985,8,29.56,38.39,23.5
1985,9,30.83,40.11,22.0
1985,10,28.09,40.28,15.0
1985,11,23.91,35.39,11.5
1985,12,19.15,31.72,4.78
1986,1,17.95,28.0,4.61
1986,2,19.72,32.61,6.5
1986,3,26.07,38.61,10.0
1986,4,32.02,43.0,17.0
1986,5,34.05,45.22,19.0
1986,6,35.06,44.72,23.0
1986,7,31.19,40.22,20.22
1986,8,29.0,36.0,23.39
1986,9,30.61,39.61,23.0
1986,10,29.69,40.22,15.39
1986,11,24.1,36.0,9.5
1986,12,16.84,32.61,-1.22
1987,1,18.62,31.0,3.5
1987,2,22.09,34.0,8.0
1987,3,27.52,38.0,14.28
1987,4,32.05,43.0,18.22
1987,5,33.94,43.72,21.78
1987,6,35.54,44.78,21.78
1987,7,33.88,40.28,17.39
1987,8,33.16,42.61,22.0
1987,9,32.58,41.0,20.5
1987,10,30.48,40.61,16.78
1987,11,23.54,37.22,8.5
1987,12,19.2,28.61,8.39
1988,1,19.21,30.0,7.61
1988,2,22.24,34.0,8.22
1988,3,25.59,35.78,12.39
1988,4,31.8,41.22,20.0
1988,5,35.81,43.78,25.39
1988,6,34.8,42.61,24.61
1988,7,31.07,39.78,25.39
1988,8,29.65,38.28,24.0
1988,9,30.85,40.61,23.61
1988,10,28.7,38.0,16.89
1988,11,23.29,36.5,8.22
1988,12,19.69,32.22,5.5
1989,1,16.8,30.61,2.28
1989,2,20.1,34.22,3.5
1989,3,25.72,37.22,8.0
1989,4,29.8,41.0,13.5
1989,5,35.62,46.11,17.61
1989,6,33.75,42.61,14.5
1989,7,31.66,41.39,23.22
1989,8,29.82,37.78,23.0
1989,9,29.85,38.61,23.0
1989,10,28.46,39.22,16.22
1989,11,23.71,37.0,9.89
1989,12,18.6,31.0,7.61
1990,1,19.56,32.72,7.78
1990,2,20.05,34.22,7.78
1990,3,24.36,36.0,11.0
1990,4,34.61,41.22,26.61
1990,5,34.79,44.78,24.39
1990,6,33.93,43.22,23.22
1990,7,31.01,38.61,24.78
1990,8,29.12,37.78,23.39
1990,9,27.44,34.39,23.0
1990,10,26.77,38.78,13.5
1990,11,23.63,36.11,10.22
1990,12,18.17,30.61,2.0
1991,1,12.44,23.61,0.28
1991,3,27.61,41.78,16.0
1991,4,28.9,40.39,19.78
1991,5,34.59,42.89,27.0
1991,6,34.12,46.5,23.78
1991,7,32.05,41.89,25.5
1991,8,29.46,37.11,23.78
1991,9,28.72,39.39,23.22
1991,10,27.66,39.0,16.28
1991,11,22.47,34.28,12.0
1991,12,18.51,32.0,7.11
1992,1,17.43,31.72,5.39
1992,2,19.32,31.78,8.0
1992,3,24.39,36.28,12.0
1992,4,30.02,43.61,20.22
1992,5,34.82,44.5,22.0
1992,6,36.55,47.0,26.78
1992,7,31.15,39.39,20.78
1992,8,29.07,35.78,22.72
1992,9,27.38,38.0,14.78
1992,10,27.58,37.11,15.89
1992,11,22.63,33.39,11.22
1992,12,19.26,30.89,8.78
1993,1,17.51,29.72,8.22
1993,2,21.15,36.11,6.61
1993,3,24.93,36.11,12.78
1993,4,30.68,42.5,19.0
1993,5,35.25,44.61,21.5
1993,6,34.49,45.39,24.39
1993,7,30.36,41.72,24.61
1993,8,31.1,38.0,24.39
1993,9,29.98,38.61,24.0
1993,10,29.24,39.39,14.39
