Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,23.16,30.0,9.0
1975,2,26.4,34.0,22.0
1975,3,28.21,36.0,22.0
1975,4,31.41,38.0,26.0
1975,5,32.86,42.0,27.0
1975,6,27.56,37.0,21.0
1975,7,29.01,35.0,20.0
1975,8,28.93,36.0,24.0
1975,9,27.29,34.0,23.0
1975,10,27.55,39.0,23.0
1975,11,24.7,38.0,15.0
1975,12,23.22,30.0,9.0
1976,1,23.18,30.0,16.0
1976,2,24.35,35.0,18.0
1976,3,28.53,38.0,20.0
1976,4,30.09,39.0,24.0
1976,5,32.47,45.0,26.0
1976,6,31.99,42.0,24.0
1976,7,28.01,36.0,13.0
1976,8,27.98,37.0,20.0
1976,9,29.39,38.0,24.0
1976,10,29.35,36.0,22.0
1976,11,27.06,39.0,20.0
1976,12,24.52,33.0,18.0
1977,1,24.41,36.0,17.0
1977,2,25.78,38.0,10.0
1977,3,28.36,38.0,20.0
1977,4,29.91,38.0,20.0
1977,5,31.23,42.0,24.0
1977,6,30.4,42.0,20.0
1977,7,28.99,38.0,23.0
1977,8,28.3,35.0,23.0
1977,9,28.96,37.0,21.0
1977,10,28.34,34.0,23.0
1977,11,27.16,33.0,22.0
1977,12,24.19,31.0,12.0
1978,1,24.39,32.0,17.0
1978,2,25.7,38.0,19.0
1978,3,27.56,39.0,20.0
1978,4,30.12,40.0,20.0
1978,5,33.37,47.0,18.0
1978,6,30.45,44.0,23.0
1978,7,28.69,35.0,24.0
1978,8,27.46,34.0,23.0
1978,9,28.69,38.0,16.0
1978,10,28.63,35.0,20.0
1978,11,27.14,38.0,21.0
1978,12,24.68,39.0,18.0
1979,1,24.46,31.0,18.0
1979,2,26.53,36.0,19.0
1979,3,28.01,37.0,21.0
1979,4,30.65,40.0,21.0
1979,5,31.48,44.0,20.0
1979,6,30.6,41.0,24.0
1979,7,30.42,38.0,25.0
1979,8,29.78,37.0,24.0
1979,9,28.61,34.0,19.0
1979,10,28.7,36.0,23.0
1979,11,27.06,37.0,21.0
1979,12,25.2,33.0,18.0
1980,1,25.05,33.0,19.0
1980,2,26.59,36.0,20.0
1980,3,28.6,38.0,21.0
1980,4,31.05,41.0,22.0
1980,5,32.58,44.0,25.0
1980,6,29.26,37.0,22.0
1980,7,29.09,36.0,23.0
1980,8,28.38,36.0,22.0
1980,9,28.73,38.0,22.0
1980,10,28.35,37.0,20.0
1980,11,25.89,34.0,18.0
1980,12,24.75,37.0,17.0
1981,1,23.55,31.0,17.0
1981,2,26.06,36.0,18.0
1981,3,27.78,36.0,21.0
1981,4,30.53,39.0,20.0
1981,5,31.46,44.0,21.0
1981,6,31.55,43.0,23.0
1981,7,29.17,38.0,21.0
1981,8,28.44,35.0,23.0
1981,9,28.65,35.0,23.0
1981,10,28.41,35.0,22.0
1981,11,26.0,32.0,18.0
1981,12,24.3,38.0,16.0
1982,1,24.3,31.11,13.28
1982,2,25.97,33.22,20.11
1982,3,28.31,37.0,21.28
1982,4,30.2,39.39,13.28
1982,5,32.1,43.22,25.72
1982,6,31.35,40.5,24.28
1982,7,29.87,41.72,23.0
1982,8,28.11,35.0,23.72
1982,9,28.52,35.39,23.22
1982,10,28.21,35.0,22.61
1982,11,26.6,33.89,20.61
1982,12,24.53,30.22,18.11
1983,1,24.53,32.72,14.78
1983,2,26.8,34.11,21.22
1983,3,28.87,38.39,22.28
1983,4,30.64,39.5,20.78
1983,5,31.41,42.61,22.22
1983,6,31.27,42.22,23.39
1983,7,29.45,37.89,24.72
1983,8,28.54,34.61,17.11
1983,9,28.1,34.5,24.22
1983,10,27.99,37.5,22.89
1983,11,26.13,32.5,19.72
1983,12,24.56,30.0,18.72
1984,1,24.93,32.22,4.39
1984,2,25.63,34.22,19.78
1984,3,28.03,37.39,19.28
1984,4,30.5,40.89,23.0
1984,5,31.97,41.0,23.0
1984,6,30.84,43.11,24.39
1984,7,28.76,37.0,23.78
1984,8,29.59,36.0,23.61
1984,9,28.98,35.89,23.39
1984,10,28.08,35.0,22.22
1984,11,25.95,31.72,18.61
1984,12,25.17,34.0,16.28
1985,1,24.53,30.0,18.72
1985,2,26.52,34.78,19.89
1985,3,29.19,38.5,22.22
1985,4,31.78,41.39,23.72
1985,5,32.96,44.61,20.72
1985,6,30.48,39.0,24.11
1985,7,28.07,35.72,22.72
1985,8,28.72,35.28,22.78
1985,9,29.16,35.61,24.61
1985,10,27.14,35.39,20.22
1985,11,25.83,32.72,17.5
1985,12,24.56,30.39,18.72
1986,1,23.59,31.0,15.39
1986,2,25.62,31.5,19.22
1986,3,28.43,37.61,14.0
1986,4,30.24,38.39,20.11
1986,5,31.92,44.39,22.22
1986,6,30.74,43.0,22.72
1986,7,29.66,39.0,20.78
1986,8,29.14,36.72,23.5
1986,9,29.28,36.39,21.61
1986,10,28.1,34.72,23.11
1986,11,26.58,34.39,20.0
1986,12,25.22,39.61,18.11
1987,1,24.82,29.61,17.89
1987,2,25.3,33.61,19.39
1987,3,27.84,37.28,20.0
1987,4,30.56,40.39,23.28
1987,5,31.54,40.39,21.78
1987,6,32.12,41.89,22.72
1987,7,29.67,36.61,24.11
1987,8,29.13,36.61,22.0
1987,9,29.65,36.61,23.78
1987,10,28.35,34.11,20.0
1987,11,26.36,31.61,18.89
1987,12,24.95,34.61,18.5
1988,1,24.84,32.5,18.72
1988,2,26.39,38.39,18.61
1988,3,29.02,38.61,23.28
1988,4,30.07,5537.72,20.11
1988,5,32.26,41.78,20.11
1988,6,32.21,41.0,25.78
1988,7,27.83,35.39,20.11
1988,8,28.48,34.89,20.11
1988,9,28.59,35.0,20.11
1988,10,28.05,36.11,22.89
1988,11,25.54,32.0,18.22
1988,12,24.89,30.89,17.78
1989,1,24.28,31.11,19.0
1989,2,25.59,35.22,19.39
1989,3,27.76,36.89,20.22
1989,4,30.38,40.78,22.78
1989,5,31.85,43.0,24.5
1989,6,29.97,39.89,23.28
1989,7,28.89,36.39,23.72
1989,8,28.05,34.72,23.72
1989,9,28.32,37.78,23.5
1989,10,28.7,36.0,21.72
1989,11,26.39,32.61,19.22
1989,12,24.06,29.5,17.5
1990,1,24.93,38.0,17.72
1990,2,25.87,32.61,20.5
1990,3,28.14,36.11,22.39
1990,4,30.26,41.39,22.72
1990,5,29.81,39.78,20.61
1990,6,30.15,5537.72,24.5
1990,7,28.9,35.5,23.28
1990,8,28.79,39.78,23.78
1990,9,28.69,36.0,23.28
1990,10,27.21,38.0,16.39
1990,11,26.59,34.11,15.5
1990,12,24.79,31.61,17.22
1991,1,25.15,34.61,19.39
1991,2,26.59,34.89,19.61
1991,3,28.64,38.72,21.5
1991,4,31.04,42.39,21.0
1991,5,32.43,39.61,26.11
1991,6,29.6,37.0,22.61
1991,7,28.93,35.22,24.72
1991,8,28.65,35.89,23.72
1991,9,29.01,35.72,24.28
1991,10,27.56,35.28,22.72
1991,11,25.2,30.89,11.5
1991,12,23.58,30.22,16.61
1992,1,23.05,31.61,16.61
1992,2,26.17,34.0,18.61
1992,3,28.26,40.0,21.22
1992,4,30.15,40.11,23.5
1992,5,31.41,41.72,22.0
1992,6,30.97,39.0,23.72
1992,7,28.92,38.89,20.61
1992,8,27.97,34.61,20.0
1992,9,28.67,34.61,24.0
1992,10,28.32,35.28,22.22
