Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,15.39,25.0,0.0
1975,2,20.24,27.0,10.0
1975,3,29.4,37.0,20.0
1975,4,26.14,36.0,22.0
1975,5,36.96,43.0,26.0
1975,6,30.78,34.0,27.0
1975,7,29.49,38.0,21.0
1975,8,27.58,32.0,23.0
1976,12,17.26,32.0,6.0
1977,1,17.14,31.0,6.0
1977,2,20.57,35.0,10.0
1977,3,27.32,39.0,16.0
1977,4,31.6,40.0,20.0
1977,5,33.31,43.0,20.0
1977,6,33.56,45.0,11.0
1977,7,28.21,35.0,24.0
1977,8,28.08,39.0,21.0
1977,9,28.09,35.0,22.0
1977,10,28.8,37.0,18.0
1977,11,24.43,37.0,15.0
1977,12,19.77,33.0,8.0
1978,1,16.94,28.0,7.0
1978,2,19.22,33.0,6.0
1978,3,24.63,35.0,14.0
1978,4,31.4,44.0,20.0
1978,5,37.11,45.0,20.0
1978,6,32.99,45.0,22.0
1978,7,28.25,35.0,25.0
1978,8,27.48,34.0,21.0
1978,9,29.07,37.0,20.0
1978,10,27.93,36.0,18.0
1978,11,24.2,35.0,10.0
1978,12,17.83,27.0,8.0
1979,1,18.1,30.0,10.0
1979,2,19.04,31.0,8.0
1979,3,24.77,38.0,11.0
1979,4,31.86,42.0,21.0
1979,5,33.91,44.0,20.0
1979,6,35.01,47.0,23.0
1979,7,30.41,41.0,22.0
1979,8,28.51,37.0,24.0
1979,9,31.03,38.0,23.0
1979,10,29.4,38.0,20.0
1979,11,23.81,34.0,16.0
1979,12,19.13,28.0,9.0
1980,1,17.63,28.0,8.0
1980,2,21.82,35.0,9.0
1980,3,26.15,37.0,13.0
1980,4,32.8,42.0,21.0
1980,5,37.42,45.0,23.0
1980,6,33.65,45.0,21.0
1980,7,30.06,42.0,17.0
1980,8,29.76,39.0,21.0
1980,9,30.96,43.0,22.0
1980,10,30.23,39.0,20.0
1980,11,23.67,34.0,10.0
1980,12,18.37,29.0,10.0
1981,1,17.53,29.0,8.0
1981,2,21.72,35.0,10.0
1981,3,25.92,39.0,17.0
1981,4,31.72,43.0,16.0
1981,5,36.37,46.0,20.0
1981,6,36.13,46.0,25.0
1981,7,29.62,5537.72,24.0
1981,8,28.3,36.0,24.0
1981,9,29.87,37.0,21.0
1981,10,28.51,37.0,17.0
1981,11,21.96,32.0,12.0
1981,12,18.48,29.0,10.0
1982,1,17.48,29.61,3.78
1982,2,19.2,30.11,10.0
1982,3,24.41,38.72,13.11
1982,4,31.52,44.61,15.0
1982,5,33.26,43.72,17.0
1982,6,35.69,44.5,24.78
1982,7,31.64,41.61,22.0
1982,8,28.4,34.72,21.11
1982,9,30.97,37.89,20.0
1982,10,29.49,38.0,20.28
1982,11,22.71,39.11,11.89
1982,12,19.7,29.39,10.5
