Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,26.25,32.0,19.0
1975,2,27.24,32.0,21.0
1975,3,28.57,39.0,23.0
1975,4,29.44,33.0,23.0
1975,5,28.48,39.0,24.0
1975,6,25.59,36.0,22.0
1975,7,25.21,30.0,21.0
1975,8,24.87,29.0,22.0
1975,9,26.53,31.0,22.0
1975,10,25.81,31.0,21.0
1975,11,26.81,32.0,21.0
1975,12,25.69,32.0,20.0
1976,1,25.69,36.0,18.0
1976,2,26.04,32.0,19.0
1976,3,28.71,39.0,17.0
1976,4,28.8,33.0,22.0
1976,5,29.29,40.0,19.0
1976,6,27.67,32.0,22.0
1976,7,25.59,30.0,16.0
1976,8,25.92,31.0,18.0
1976,9,27.2,33.0,23.0
1976,10,27.52,33.0,22.0
1976,11,27.13,43.0,17.0
1976,12,27.53,32.0,21.0
1977,1,26.85,37.0,18.0
1977,2,27.87,34.0,20.0
1977,3,29.37,42.0,20.0
1977,4,30.14,35.0,24.0
1977,5,28.3,35.0,21.0
1977,6,26.57,39.0,23.0
1977,7,25.26,5537.72,18.0
1977,8,26.41,5537.72,20.0
1977,9,26.63,33.0,20.0
1977,10,27.11,37.0,20.0
1977,11,26.71,33.0,12.0
1977,12,26.68,33.0,12.0
1978,1,26.81,33.0,18.0
1978,2,27.65,32.0,22.0
1978,3,28.75,36.0,20.0
1978,4,29.96,34.0,22.0
1978,5,28.44,35.0,12.0
1978,6,25.39,33.0,22.0
1978,7,25.0,33.0,16.0
1978,8,25.41,31.0,22.0
1978,9,26.36,31.0,14.0
1978,10,27.46,33.0,14.0
1978,11,26.88,33.0,20.0
1978,12,27.23,38.0,21.0
1979,1,27.43,33.0,22.0
1979,2,27.97,40.0,20.0
1979,3,29.12,33.0,20.0
1979,4,29.53,41.0,20.0
1979,5,29.19,34.0,23.0
1979,6,27.46,40.0,20.0
1979,7,25.25,31.0,16.0
1979,8,25.73,30.0,21.0
1979,9,26.76,33.0,22.0
1979,10,27.5,33.0,23.0
1979,11,27.07,40.0,22.0
1979,12,27.49,33.0,21.0
1980,1,26.59,38.0,20.0
1980,2,27.75,33.0,22.0
1980,3,29.04,35.0,23.0
1980,4,29.67,34.0,23.0
1980,5,29.87,40.0,23.0
1980,6,26.28,33.0,12.0
1980,7,25.65,38.0,17.0
1980,8,25.68,36.0,16.0
1980,9,26.4,38.0,10.0
1980,10,27.33,32.0,23.0
1980,11,27.66,33.0,19.0
1980,12,27.44,37.0,15.0
1981,1,26.87,33.0,20.0
1981,2,27.72,33.0,21.0
1981,3,29.32,34.0,21.0
1981,4,30.16,38.0,22.0
1981,5,29.37,35.0,24.0
1981,6,25.65,40.0,22.0
1981,7,26.05,5537.72,16.0
1981,8,25.65,30.0,16.0
1981,9,26.07,32.0,16.0
1981,10,26.97,36.0,22.0
1981,11,26.89,33.0,20.0
1981,12,26.76,33.0,18.0
1982,1,26.82,32.5,20.78
1982,2,27.76,32.89,21.61
1982,3,28.6,34.11,20.5
1982,4,29.86,33.78,23.39
1982,5,29.28,33.5,23.0
1982,6,26.85,32.22,22.22
1982,7,25.8,31.72,22.39
1982,8,25.46,31.0,22.0
1982,9,26.94,31.5,21.39
1982,10,27.89,32.61,21.0
1982,11,27.8,33.89,22.5
1982,12,26.9,33.5,20.78
1983,1,26.75,34.61,19.61
1983,2,27.18,39.89,20.22
1983,3,28.46,33.0,22.0
1983,4,29.39,33.89,23.5
1983,5,30.12,36.39,22.72
1983,6,28.22,33.5,23.39
1983,7,26.77,33.72,22.5
1983,8,25.86,30.5,22.78
1983,9,26.29,30.89,22.28
1983,10,26.93,32.39,22.72
1983,11,27.22,32.5,20.61
1983,12,27.82,33.39,22.0
1984,1,27.48,32.89,21.0
1984,2,28.48,33.39,22.5
1984,3,28.9,33.89,20.22
1984,4,29.02,37.22,22.61
1984,5,29.84,38.22,23.11
1984,6,25.85,39.89,21.78
1984,7,25.72,30.0,22.0
1984,8,25.62,30.28,22.0
1984,9,26.17,34.0,22.39
1984,10,26.22,39.28,18.61
1984,11,27.48,33.39,21.78
1984,12,26.33,32.89,19.72
1985,1,27.31,33.11,20.89
1985,2,27.88,33.72,22.5
1985,3,29.34,34.78,23.78
1985,4,29.96,33.89,24.28
1985,5,29.24,33.89,22.0
1985,6,25.58,30.89,21.72
1985,7,25.3,30.11,22.0
1985,8,25.4,30.11,22.0
1985,9,26.38,31.28,22.78
1985,10,26.86,32.39,21.61
1985,11,26.81,32.39,20.39
1985,12,27.13,32.72,20.5
1986,1,26.87,32.5,20.0
1986,2,27.49,41.0,20.61
1986,3,29.23,33.89,13.78
1986,4,29.99,34.28,19.78
1986,5,29.88,38.0,22.39
1986,6,26.52,32.0,21.78
1986,7,26.07,31.11,20.5
1986,8,24.95,34.78,22.0
1986,9,26.54,32.22,23.0
1986,10,27.16,32.39,23.0
1986,11,26.93,32.5,20.72
1986,12,27.99,39.61,20.61
1987,1,26.93,32.39,21.61
1987,2,27.54,32.89,20.61
1987,3,28.86,33.78,22.72
1987,4,30.13,34.22,23.61
1987,5,29.79,37.89,23.78
1987,6,26.71,33.39,22.22
1987,7,27.09,31.5,22.72
1987,8,26.46,33.0,23.0
1987,9,27.19,31.78,20.72
1987,10,27.64,47.22,23.39
1987,11,27.06,32.39,20.89
1987,12,27.5,33.61,21.22
1988,1,26.75,33.0,19.78
1988,2,28.11,33.5,20.11
1988,3,29.11,33.89,22.61
1988,4,29.25,39.39,22.39
1988,5,29.83,39.78,21.72
1988,6,26.82,31.61,22.5
1988,7,25.88,32.89,22.61
1988,8,26.18,36.39,23.22
1988,9,26.32,30.61,22.61
1988,10,27.06,32.72,23.78
1988,11,27.45,37.22,21.61
1988,12,26.74,33.11,20.39
1989,1,26.37,33.78,20.61
1989,2,27.27,32.78,19.22
1989,3,28.65,34.0,22.61
1989,4,29.46,39.39,22.22
1989,5,29.11,33.39,22.5
1989,6,25.82,31.39,21.72
1989,7,25.58,29.89,22.28
1989,8,25.78,39.22,21.5
1989,9,25.99,31.78,20.39
1989,10,26.98,32.11,23.0
1989,11,27.69,33.72,20.0
1989,12,27.46,33.28,21.0
1990,1,26.61,32.28,18.39
1990,2,27.41,37.0,20.5
1990,3,28.54,38.22,22.72
1990,4,29.77,34.0,20.5
1990,5,28.51,38.22,23.0
1990,6,26.49,31.22,22.61
1990,7,25.2,38.11,21.78
1990,8,25.51,30.11,20.61
1990,9,26.46,33.22,23.39
1990,10,27.14,33.0,22.89
1990,11,26.45,31.39,23.22
1990,12,27.11,33.39,20.5
1991,1,27.32,38.22,20.39
1991,2,27.63,34.22,19.61
1991,3,29.44,34.78,22.78
1991,4,29.9,34.78,23.22
1991,5,30.61,39.89,25.0
1991,6,27.03,33.22,21.72
1991,7,26.41,31.22,21.78
1991,8,25.51,30.39,22.39
1991,9,26.75,31.89,22.89
1991,10,27.05,32.22,22.89
1991,11,27.2,35.22,20.0
1991,12,26.31,32.22,14.39
1992,1,26.17,32.39,19.39
1992,2,27.12,32.61,21.22
1992,3,28.55,32.78,23.61
