Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,13.92,25.0,0.0
1975,2,18.01,31.0,0.0
1975,3,23.59,38.0,9.0
1975,4,31.02,42.0,16.0
1975,5,34.3,45.0,21.0
1975,6,31.94,44.0,20.0
1975,7,28.32,39.0,23.0
1975,8,28.89,36.0,23.0
1975,9,27.91,35.0,16.0
1975,10,26.79,37.0,13.0
1975,11,18.48,32.0,5.0
1975,12,14.6,27.0,4.0
1976,1,14.95,29.0,4.0
1976,2,18.34,30.0,8.0
1976,3,24.1,39.0,9.0
1976,4,29.24,42.0,15.0
1976,5,32.04,43.0,16.0
1976,6,31.91,45.0,22.0
1976,7,29.6,40.0,24.0
1976,8,27.86,35.0,22.0
1976,9,28.35,36.0,22.0
1976,10,26.3,38.0,14.0
1976,11,21.14,33.0,9.0
1976,12,16.44,31.0,3.0
1977,1,14.48,27.0,2.0
1977,2,17.9,33.0,3.0
1977,3,24.89,40.0,9.0
1977,4,28.97,42.0,10.0
1977,5,30.68,43.0,18.0
1977,6,32.65,44.0,20.0
1977,7,28.82,37.0,24.0
1977,8,28.96,36.0,22.0
1977,9,27.74,35.0,21.0
1977,10,25.75,37.0,17.0
1977,11,21.88,34.0,11.0
1977,12,16.4,28.0,5.0
1978,1,14.42,33.0,1.0
1978,2,16.42,30.0,3.0
1978,3,21.5,35.0,8.0
1978,4,28.47,42.0,14.0
1978,5,34.23,45.0,21.0
1978,6,31.67,44.0,23.0
1978,7,28.79,36.0,20.0
1978,8,28.72,35.0,23.0
1978,9,27.56,37.0,20.0
1978,10,25.38,34.0,15.0
1978,11,20.73,33.0,6.0
1978,12,15.26,27.0,3.0
1979,1,15.54,26.0,0.0
1979,2,16.84,34.0,5.0
1979,3,22.22,38.0,5.0
1979,4,29.75,43.0,17.0
1979,5,31.78,43.0,17.0
1979,6,32.63,45.0,20.0
1979,7,29.79,40.0,24.0
1979,8,29.87,38.0,24.0
1979,9,29.54,39.0,18.0
1979,10,26.59,37.0,16.0
1979,11,22.79,34.0,13.0
1979,12,15.97,27.0,3.0
1980,1,14.57,28.0,3.0
1980,2,18.27,32.0,4.0
1980,3,23.38,36.0,8.0
1980,4,31.53,44.0,15.0
1980,5,33.71,45.0,22.0
1980,6,30.69,45.0,22.0
1980,7,28.28,37.0,16.0
1980,8,28.24,37.0,16.0
1980,9,28.6,37.0,21.0
1980,10,25.84,37.0,16.0
1980,11,20.15,36.0,10.0
1980,12,16.07,27.0,6.0
1981,1,14.71,26.0,4.0
1981,2,18.87,33.0,6.0
1981,3,22.67,37.0,9.0
1981,4,29.09,40.0,14.0
1981,5,31.49,43.0,21.0
1981,6,32.67,44.0,21.0
1981,7,28.66,36.0,24.0
1981,8,29.21,37.0,23.0
1981,9,28.29,37.0,22.0
1981,10,25.34,34.0,15.0
1981,11,19.1,30.0,8.0
1981,12,14.91,26.0,4.0
1982,1,15.64,26.11,4.61
1982,2,16.57,29.0,6.11
1982,3,21.49,35.22,8.78
1982,4,28.22,39.0,15.72
1982,5,31.1,43.0,19.78
1982,6,31.28,42.0,21.22
1982,7,31.74,44.22,24.5
1982,8,28.78,35.61,23.22
1982,9,27.81,35.72,20.22
1982,10,25.51,35.0,17.22
1982,11,20.65,31.78,8.0
1982,12,16.06,29.0,6.39
1983,1,12.86,25.61,4.78
1983,2,16.97,29.39,4.61
1983,3,22.94,35.11,7.39
1983,4,27.01,41.22,11.61
1983,5,30.69,42.5,19.28
1983,6,32.79,44.78,20.28
1983,7,29.94,39.5,24.0
1983,8,29.38,36.22,24.61
1983,9,28.29,35.61,23.5
1983,10,24.58,35.89,14.0
1983,11,18.71,36.0,8.78
1983,12,15.46,27.39,5.22
1984,1,15.08,27.0,3.39
1984,2,16.85,27.0,3.39
1984,3,24.2,40.39,9.28
1984,4,30.14,42.78,15.89
1984,5,33.88,44.78,20.0
1984,6,31.19,42.61,20.72
1984,7,29.06,36.5,23.28
1984,8,28.98,38.0,23.61
1984,9,27.5,34.78,17.78
1984,10,24.93,36.0,14.78
1984,11,19.44,32.0,7.0
1984,12,16.19,29.0,1.11
1985,1,15.16,26.0,5.78
1985,2,17.93,32.78,6.72
1985,3,25.07,39.5,11.22
1985,4,30.42,42.78,16.5
1985,5,33.35,44.39,20.0
1985,6,33.3,43.78,22.28
1985,7,28.93,40.39,23.0
1985,8,29.15,36.89,24.39
1985,9,27.71,38.0,22.0
1985,10,24.21,34.28,15.5
1985,11,20.34,31.22,8.78
1985,12,17.1,29.5,6.61
1986,1,14.69,26.39,3.5
1986,2,17.63,28.0,7.22
1986,3,24.4,39.78,11.0
1986,4,29.18,41.0,13.11
1986,5,30.98,41.61,20.0
1986,6,33.61,44.5,23.28
1986,7,29.08,37.78,22.61
1986,8,29.64,38.22,23.11
1986,9,28.79,37.78,21.5
1986,10,25.39,35.22,13.22
1986,11,21.05,32.78,9.28
1986,12,16.15,27.5,2.61
1987,1,14.58,26.5,5.22
1987,2,19.39,31.39,8.0
1987,3,24.09,38.0,10.0
1987,4,29.57,41.78,16.78
1987,5,31.27,43.78,17.0
1987,6,35.51,44.78,25.22
1987,7,31.6,42.61,24.22
1987,8,30.87,39.78,23.28
1987,9,28.97,38.61,22.39
1987,10,25.83,37.0,15.0
1987,11,20.03,31.61,8.72
1987,12,16.24,28.61,1.78
1988,1,16.15,29.39,5.22
1988,2,18.86,30.22,6.28
1988,3,24.47,36.61,11.22
1988,4,30.75,42.22,12.39
1988,5,33.87,45.78,21.61
1988,6,32.36,43.22,22.22
1988,7,28.76,35.0,14.72
1988,8,29.11,35.78,24.0
1988,9,29.88,37.28,21.78
1988,10,25.27,37.78,15.5
1988,11,20.3,32.61,9.0
1988,12,16.98,27.78,7.22
1989,1,13.76,27.0,0.5
1989,2,16.37,27.61,6.11
1989,3,23.97,35.89,11.5
1989,4,29.45,42.0,12.0
1989,5,33.58,43.61,22.0
1989,6,31.08,42.78,24.39
1989,7,29.5,38.5,21.5
1989,8,29.16,35.39,23.72
1989,9,27.88,36.5,23.22
1989,10,24.99,35.72,14.5
1989,11,19.6,33.89,9.0
1989,12,14.93,26.89,4.39
1990,1,15.78,29.78,1.72
1990,2,17.76,28.89,8.22
1990,3,22.12,36.11,8.22
1990,4,28.9,42.22,12.78
1990,5,31.29,41.0,20.39
1990,6,33.31,43.78,25.39
1990,7,28.52,36.11,24.0
1990,8,29.22,38.11,24.28
1990,9,27.97,38.0,23.61
1990,10,24.56,37.78,13.39
1990,11,20.33,32.72,11.61
1990,12,15.99,27.28,6.11
1991,1,13.78,29.11,3.22
1991,2,19.13,32.78,6.61
1991,3,23.11,38.78,10.61
1991,4,29.8,42.28,16.0
1991,5,33.56,44.11,21.5
1991,6,32.41,43.22,24.22
1991,7,31.62,42.39,25.61
1991,8,28.29,36.0,23.39
1991,9,28.09,35.61,20.78
1991,10,24.45,36.0,15.11
1991,11,18.83,31.78,9.28
1991,12,15.61,28.78,7.39
1992,1,14.94,29.61,5.0
1992,2,16.35,30.61,6.22
1992,3,23.76,37.39,10.39
1992,4,30.05,41.5,16.61
1992,5,31.18,43.61,21.0
1992,6,33.07,45.39,17.39
1992,7,29.63,40.5,24.39
1992,8,29.09,37.39,23.78
1992,9,27.98,37.28,22.39
1992,10,24.61,36.61,15.28
1992,11,20.34,34.0,9.39
1992,12,15.48,26.78,6.39
1993,1,14.61,27.78,3.5
1993,2,18.75,32.72,6.39
1993,3,21.2,35.0,11.22
1993,4,28.29,45.5,12.22
1993,5,31.35,45.0,20.5
1993,6,31.33,44.22,24.22
1993,7,30.31,39.61,24.11
1993,8,29.62,37.78,24.0
1993,9,27.04,35.61,14.0
1993,10,25.18,36.0,13.22
1993,11,20.26,33.22,9.39
1993,12,15.78,29.0,5.28
1994,1,15.47,29.61,5.11
1994,2,17.21,30.89,7.89
1994,3,24.32,38.22,8.78
1994,4,28.23,41.22,12.22
1994,5,32.88,45.89,20.22
1994,6,32.63,45.11,21.5
1994,7,29.29,37.22,21.39
1994,8,28.84,39.89,24.0
1994,9,27.83,35.78,18.0
1994,10,24.44,37.28,14.22
1994,11,19.81,32.28,11.0
1994,12,15.71,29.78,4.0
1995,1,13.56,27.78,4.0
1995,2,17.81,30.22,6.72
1995,3,23.03,38.5,11.61
1995,4,30.19,43.22,14.22
1995,5,34.66,46.5,23.61
1995,6,34.7,47.22,23.61
1995,7,29.91,39.5,25.61
1995,8,28.6,35.0,23.61
1995,9,28.24,36.61,22.0
1995,10,26.16,37.61,14.0
1995,11,20.53,33.0,10.78
1995,12,16.56,29.72,5.61
1996,1,14.74,25.11,1.11
1996,2,17.49,30.0,8.0
1996,3,23.18,38.39,10.72
1996,4,29.73,43.0,14.61
1996,5,33.91,48.0,22.5
1996,6,32.7,42.61,22.0
1996,7,29.99,38.0,21.61
1996,8,28.73,39.0,24.11
1996,9,28.47,39.78,21.72
1996,10,24.88,34.0,15.39
1996,11,20.58,32.72,8.78
1996,12,15.44,27.0,4.5
1997,1,14.13,24.89,0.89
1997,2,17.63,30.11,7.78
1997,3,23.04,34.61,10.61
1997,4,28.36,41.0,15.0
1997,5,32.19,43.78,21.22
1997,6,32.99,43.78,20.28
1997,7,29.95,38.78,23.0
1997,8,29.15,36.5,24.0
1997,9,27.77,35.39,21.61
1997,10,23.97,34.28,13.78
1997,11,19.74,30.22,10.61
1997,12,14.08,26.89,3.61
1998,1,13.11,24.78,3.78
1998,2,17.75,30.39,7.0
1998,3,21.41,34.0,11.0
1998,4,29.05,41.22,16.11
1998,5,32.77,45.0,20.0
1998,6,33.36,45.22,21.89
1998,7,29.56,37.22,14.11
1998,8,29.04,43.22,24.0
1998,9,29.06,37.0,24.0
1998,10,27.05,35.61,14.72
1998,11,21.84,32.0,10.78
1998,12,15.12,28.39,3.22
1999,1,13.03,27.22,3.28
1999,2,18.8,31.39,6.78
1999,3,24.86,40.39,12.61
1999,4,31.41,45.0,18.0
1999,5,33.19,45.0,21.78
1999,6,32.88,43.5,24.39
1999,7,30.41,40.39,24.39
1999,8,29.36,37.0,25.0
1999,9,28.02,36.0,22.0
1999,10,25.77,34.72,17.5
1999,11,20.17,33.61,10.39
1999,12,16.4,28.5,8.0
2000,1,14.11,26.78,6.0
2000,2,16.03,29.72,6.5
2000,3,22.57,39.0,10.5
2000,4,29.96,42.39,16.78
2000,5,32.42,43.61,19.78
2000,6,30.15,38.5,22.28
2000,7,29.19,39.89,22.0
2000,8,29.48,37.61,23.61
2000,9,28.09,35.72,20.61
2000,10,26.43,36.22,16.5
2000,11,21.7,33.78,10.22
2000,12,16.43,29.0,6.39
2001,1,13.26,27.0,2.89
2001,2,18.56,32.0,4.22
2001,3,23.28,37.78,9.5
2001,4,29.7,44.22,15.78
2001,5,31.52,43.61,20.39
