Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,25.28,35.0,8.0
1975,2,26.72,36.0,21.0
1975,3,27.94,34.0,17.0
1975,4,29.17,35.0,24.0
1975,5,28.68,35.0,21.0
1975,6,25.5,31.0,22.0
1975,7,24.96,31.0,22.0
1975,8,24.77,33.0,21.0
1975,9,25.82,31.0,22.0
1975,10,25.55,38.0,22.0
1975,11,25.74,33.0,17.0
1975,12,24.91,34.0,15.0
1976,1,25.14,33.0,18.0
1976,2,26.37,36.0,19.0
1976,3,27.94,39.0,11.0
1976,4,28.59,34.0,22.0
1976,5,28.15,34.0,22.0
1976,6,26.14,32.0,15.0
1976,7,25.06,30.0,7.0
1976,8,24.93,30.0,10.0
1976,9,25.84,33.0,20.0
1976,10,27.61,34.0,21.0
1976,11,27.17,35.0,22.0
1976,12,26.43,35.0,13.0
1977,1,26.16,35.0,17.0
1977,2,27.35,36.0,21.0
1977,3,28.75,37.0,20.0
1977,4,29.66,38.0,22.0
1977,5,28.4,34.0,23.0
1977,6,26.48,33.0,23.0
1977,7,25.12,39.0,16.0
1977,8,25.47,30.0,18.0
1977,9,26.08,32.0,10.0
1977,10,27.07,33.0,22.0
1977,11,26.97,38.0,22.0
1977,12,25.93,40.0,18.0
1978,1,26.37,34.0,19.0
1978,2,26.47,36.0,19.0
1978,3,27.47,36.0,21.0
1978,4,28.9,35.0,20.0
1978,5,28.17,35.0,22.0
1978,6,24.85,33.0,12.0
1978,7,24.55,32.0,21.0
1978,8,25.2,33.0,13.0
1978,9,25.54,35.0,21.0
1978,10,26.81,35.0,21.0
1978,11,26.55,34.0,20.0
1978,12,27.21,35.0,20.0
1979,1,26.61,35.0,20.0
1979,2,26.68,37.0,20.0
1979,3,28.3,37.0,22.0
1979,4,29.14,36.0,23.0
1979,5,29.07,35.0,20.0
1979,6,27.05,35.0,13.0
1979,7,24.71,32.0,9.0
1979,8,25.82,38.0,21.0
1979,9,26.04,32.0,23.0
1979,10,27.08,35.0,22.0
1979,11,26.85,39.0,21.0
1979,12,27.39,34.0,19.0
1980,1,26.06,38.0,18.0
1980,2,27.04,36.0,17.0
1980,3,28.28,39.0,22.0
1980,4,28.97,36.0,21.0
1980,5,29.0,41.0,16.0
1980,6,26.05,31.0,16.0
1980,7,25.94,34.0,20.0
1980,8,24.96,30.0,22.0
1980,9,26.09,34.0,19.0
1980,10,26.87,33.0,21.0
1980,11,26.87,34.0,20.0
1980,12,26.25,35.0,19.0
1981,1,25.86,35.0,17.0
1981,2,26.92,37.0,20.0
1981,3,28.67,37.0,21.0
1981,4,29.21,35.0,20.0
1981,5,29.37,35.0,22.0
1981,6,25.56,5537.72,19.0
1981,7,25.54,30.0,16.0
1981,8,25.2,30.0,21.0
1981,9,25.95,31.0,16.0
1981,10,26.58,38.0,22.0
1981,11,26.26,36.0,17.0
1981,12,26.25,35.0,16.0
1982,1,25.85,34.28,18.72
1982,2,26.92,38.61,19.72
1982,3,27.32,34.72,21.5
1982,4,28.9,34.89,23.72
1982,5,28.91,35.5,22.39
1982,6,26.72,33.0,22.28
1982,7,25.37,32.78,20.0
1982,8,24.98,30.61,21.61
1982,9,26.17,31.39,21.89
1982,10,26.92,34.61,22.0
1982,11,27.15,35.78,20.22
1982,12,26.61,37.0,19.39
1983,1,25.81,38.61,18.11
1983,2,25.52,34.22,19.39
1983,3,26.87,33.72,20.89
1983,4,28.25,34.78,22.78
1983,5,28.87,38.0,23.0
1983,6,27.84,34.22,22.0
1983,7,25.8,39.0,22.22
1983,8,25.35,30.22,18.0
1983,9,25.46,30.61,21.61
1983,10,26.26,34.22,21.28
1983,11,26.13,34.28,17.89
1983,12,27.1,34.5,20.39
1984,1,26.58,34.0,15.11
1984,2,28.02,35.61,22.0
1984,3,28.25,36.0,21.78
1984,4,29.01,36.39,21.72
1984,5,29.53,35.5,22.22
1984,6,25.4,37.28,21.22
1984,7,25.8,30.5,21.22
1984,8,25.72,33.39,20.61
1984,9,25.92,31.72,21.72
1984,10,25.83,32.89,20.72
1984,11,27.05,35.0,19.11
1984,12,26.44,34.5,18.28
1985,1,26.93,34.89,20.5
1985,2,27.01,36.11,20.78
1985,3,28.85,39.78,22.39
1985,4,29.18,34.89,20.28
1985,5,29.01,35.78,23.22
1985,6,25.82,31.78,21.22
1985,7,25.37,30.28,21.22
1985,8,25.09,29.5,21.61
1985,9,26.02,31.78,19.78
1985,10,26.32,37.61,15.22
1985,11,26.38,34.5,18.39
1985,12,26.76,35.0,19.28
1986,1,25.94,34.0,10.11
1986,2,26.18,34.0,18.11
1986,3,28.54,36.61,22.28
1986,4,29.48,35.22,22.78
1986,5,29.54,34.89,20.78
1986,6,26.32,37.78,21.78
1986,7,26.07,31.5,22.22
1986,8,25.45,30.78,21.39
1986,9,26.09,34.39,22.22
1986,10,27.06,34.78,21.61
