Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,26.26,31.0,21.0
1975,2,26.91,5537.72,22.0
1975,3,27.76,37.0,22.0
1975,4,28.64,32.0,22.0
1975,5,28.33,33.0,22.0
1975,6,28.15,30.0,23.0
1975,7,27.13,5537.72,23.0
1975,8,27.0,5537.72,22.0
1975,9,26.69,30.0,22.0
1975,10,26.83,30.0,23.0
1975,11,26.3,32.0,22.0
1975,12,24.78,31.0,14.0
1976,1,25.1,31.0,18.0
1976,2,24.99,31.0,10.0
1976,3,27.63,33.0,22.0
1976,4,28.04,33.0,23.0
1976,5,29.69,37.0,25.0
1976,6,28.16,34.0,22.0
1976,7,27.67,32.0,22.0
1976,8,27.25,31.0,22.0
1976,9,27.6,31.0,24.0
1976,10,27.75,33.0,23.0
1976,11,27.15,33.0,23.0
1976,12,27.1,35.0,22.0
1977,1,26.55,31.0,17.0
1977,2,27.36,37.0,21.0
1977,3,27.34,5537.72,-3.0
1977,4,29.49,38.0,25.0
1977,5,28.28,37.0,24.0
1977,6,28.18,36.0,22.0
1977,7,27.92,33.0,18.0
1977,8,27.84,32.0,23.0
1977,9,27.81,31.0,22.0
1977,10,26.66,5537.72,22.0
1977,11,27.23,33.0,21.0
1977,12,26.53,33.0,16.0
1978,1,26.23,39.0,4.0
1978,2,27.5,38.0,10.0
1978,3,28.36,33.0,19.0
1978,4,29.4,39.0,23.0
1978,5,28.48,38.0,20.0
1978,6,27.6,32.0,22.0
1978,7,27.91,38.0,20.0
1978,8,26.97,36.0,23.0
1978,9,27.59,33.0,22.0
1978,10,27.68,39.0,24.0
1978,11,27.51,33.0,22.0
1978,12,27.81,36.0,22.0
1979,1,27.87,38.0,20.0
1979,2,27.87,33.0,16.0
1979,3,28.58,33.0,23.0
1979,4,29.31,34.0,21.0
1979,5,29.48,35.0,25.0
1979,6,28.19,33.0,23.0
1979,7,28.08,33.0,23.0
1979,8,27.9,39.0,21.0
1979,9,27.63,33.0,23.0
1979,10,27.83,38.0,14.0
1979,11,27.43,37.0,22.0
1979,12,27.44,38.0,23.0
1980,1,27.21,32.0,19.0
1980,2,27.28,32.0,21.0
1980,3,28.29,33.0,20.0
1980,4,29.64,34.0,23.0
1980,5,29.53,38.0,21.0
1980,6,29.11,36.0,24.0
1980,7,28.15,32.0,21.0
1980,8,27.51,31.0,10.0
1980,9,27.85,38.0,23.0
1980,10,27.93,35.0,23.0
1980,11,28.24,32.0,23.0
1980,12,27.67,33.0,11.0
1981,1,27.4,33.0,20.0
1981,2,27.53,33.0,10.0
1981,3,28.87,33.0,16.0
1981,4,29.67,33.0,25.0
1981,5,29.36,41.0,22.0
1981,6,27.7,32.0,23.0
1981,7,28.19,38.0,12.0
1981,8,28.1,39.0,23.0
1981,9,27.06,35.0,23.0
1981,10,27.64,40.0,22.0
1981,11,27.55,33.0,23.0
1981,12,27.53,33.0,21.0
1982,1,27.23,31.89,21.61
1982,2,27.45,31.72,22.22
1982,3,28.57,32.5,22.72
1982,4,29.83,33.11,24.72
1982,5,29.58,38.61,23.22
1982,6,28.22,32.0,23.22
1982,7,27.74,31.61,23.22
1982,8,28.33,35.0,22.0
1982,9,27.9,31.22,23.0
1982,10,28.08,32.72,23.72
1982,11,27.78,32.89,22.72
1982,12,27.77,31.78,21.0
1983,1,27.29,32.78,20.72
1983,2,27.67,31.22,21.78
1983,3,28.89,37.11,23.39
1983,4,29.48,37.22,24.72
1983,5,29.82,38.39,23.89
1983,6,29.1,33.11,22.78
1983,7,28.81,32.28,23.11
1983,8,28.2,31.78,23.22
1983,9,27.81,31.22,23.61
1983,10,28.59,32.28,23.5
1983,11,27.63,31.72,22.5
1983,12,27.91,32.0,23.22
1984,1,27.46,32.11,22.0
1984,2,27.62,34.0,23.39
1984,3,28.44,32.39,20.39
1984,4,28.96,32.89,23.5
1984,5,29.95,33.11,23.61
1984,6,28.2,31.72,22.72
1984,7,27.78,31.22,23.0
1984,8,27.8,38.72,22.39
1984,9,27.82,31.22,23.39
1984,10,27.32,31.61,21.11
1984,11,27.63,31.89,22.28
1984,12,27.64,31.78,21.39
1985,1,27.75,32.28,21.11
1985,2,28.14,37.0,21.61
1985,3,28.73,33.39,22.78
1985,4,30.13,35.0,24.39
1985,5,29.77,38.39,23.72
1985,6,27.15,30.22,22.78
1985,7,28.15,32.28,21.22
1985,8,27.76,32.61,21.5
1985,9,28.1,38.39,22.5
1985,10,28.34,32.39,22.5
1985,11,27.59,37.0,22.22
1985,12,27.68,31.11,21.5
1986,1,27.5,31.39,22.0
1986,2,27.9,32.0,21.11
1986,3,29.16,37.61,23.5
1986,4,29.94,33.89,24.72
1986,5,29.92,34.5,24.39
1986,6,28.46,32.72,22.89
1986,7,28.69,32.39,22.61
1986,8,28.15,32.22,23.0
1986,9,27.9,31.22,23.5
1986,10,29.07,32.61,24.0
1986,11,28.62,31.0,22.5
1986,12,29.3,30.61,21.5
1987,2,28.89,32.22,23.61
1987,3,29.61,33.0,23.0
1987,4,30.74,34.22,25.0
1987,5,31.08,34.89,25.0
1987,6,29.49,33.89,22.72
1987,7,29.3,33.22,23.78
1987,8,28.87,32.39,24.0
1987,9,28.52,32.5,24.0
1987,10,29.06,33.11,23.78
1987,11,29.1,33.22,23.0
1987,12,29.17,32.0,24.0
1988,1,29.05,32.11,23.22
1988,2,28.87,33.11,23.11
1988,3,29.64,34.28,24.0
1988,4,29.71,36.0,24.28
1988,5,30.16,34.61,25.22
1988,6,28.52,33.28,23.39
1988,7,28.44,33.0,23.0
1988,8,28.28,32.61,23.22
1988,9,27.88,32.0,21.5
