Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,16.23,23.0,7.0
1975,2,20.31,29.0,8.0
1975,3,25.15,35.0,13.0
1975,4,32.0,38.0,23.0
1975,5,31.55,39.0,20.0
1975,6,29.48,39.0,19.0
1975,7,25.43,30.0,21.0
1975,8,24.74,30.0,20.0
1975,9,25.26,33.0,21.0
1975,10,24.62,30.0,20.0
1975,11,19.22,27.0,8.0
1975,12,16.25,30.0,8.0
1976,1,16.13,28.0,7.0
1976,2,20.4,31.0,9.0
1976,3,25.8,34.0,16.0
1976,4,27.63,39.0,18.0
1976,5,30.32,40.0,21.0
1976,6,28.09,38.0,12.0
1976,7,25.2,33.0,20.0
1976,8,24.59,31.0,20.0
1976,9,24.41,32.0,19.0
1976,10,24.75,40.0,16.0
1976,11,22.98,30.0,14.0
1976,12,18.6,33.0,1.0
1977,1,17.07,28.0,0.0
1977,2,19.33,31.0,5.0
1977,3,26.16,37.0,15.0
1977,4,27.57,39.0,6.0
1977,5,27.52,38.0,18.0
1977,6,27.26,40.0,21.0
1977,7,25.59,39.0,20.0
1977,8,25.25,35.0,21.0
1977,9,25.49,33.0,20.0
1977,10,24.13,32.0,17.0
1977,11,21.32,33.0,14.0
1977,12,16.91,33.0,8.0
1978,1,15.68,27.0,4.0
1978,2,17.71,28.0,2.0
1978,3,22.73,33.0,11.0
1978,4,28.77,38.0,17.0
1978,5,30.83,43.0,20.0
1978,6,26.97,41.0,12.0
1978,7,25.12,31.0,21.0
1978,8,25.23,32.0,21.0
1978,9,24.39,34.0,20.0
1978,10,23.07,33.0,15.0
1978,11,21.44,29.0,12.0
1978,12,16.3,29.0,6.0
1979,1,18.31,28.0,7.0
1979,2,17.93,28.0,8.0
1979,3,23.72,35.0,9.0
1979,4,28.77,39.0,18.0
1979,5,31.84,41.0,17.0
1979,6,29.43,40.0,19.0
1979,7,26.84,34.0,21.0
1979,8,26.06,33.0,21.0
1979,9,25.59,33.0,9.0
1979,10,25.87,32.0,15.0
1979,11,23.5,31.0,12.0
1979,12,17.61,30.0,6.0
1980,1,17.85,27.0,6.0
1980,2,21.44,32.0,7.0
1980,3,25.59,36.0,12.0
1980,4,31.23,41.0,19.0
1980,5,31.53,42.0,18.0
1980,6,26.28,36.0,6.0
1980,7,25.75,31.0,21.0
1980,8,25.47,5537.72,21.0
1980,9,25.61,30.0,21.0
1980,10,24.7,41.0,15.0
1980,11,20.8,32.0,11.0
1980,12,17.98,25.0,6.0
1981,1,16.01,27.0,1.0
1981,2,20.69,33.0,9.0
1981,3,24.53,33.0,11.0
1981,4,27.87,37.0,17.0
1981,5,28.12,40.0,18.0
1981,6,27.48,39.0,12.0
1981,7,25.4,31.0,21.0
1981,8,25.58,31.0,21.0
1981,9,25.79,31.0,17.0
1981,10,24.54,30.0,13.0
1981,11,19.88,32.0,9.0
1981,12,16.61,25.0,6.0
1982,1,18.13,26.89,8.0
1982,2,19.6,28.28,8.28
1982,3,23.33,34.22,11.89
1982,4,28.61,37.0,17.78
1982,5,30.88,39.0,19.5
1982,6,28.24,37.0,14.39
1982,7,27.43,37.39,21.22
1982,8,25.37,35.61,20.5
1982,9,27.0,37.39,18.22
1982,10,24.69,35.39,15.0
1982,11,20.67,31.0,9.39
1982,12,17.85,26.39,6.61
1983,1,16.54,30.39,1.39
1983,2,19.89,28.28,6.72
1983,3,24.6,35.5,9.89
1983,4,30.34,37.0,20.0
1983,5,30.42,38.28,18.39
1983,6,32.64,41.39,22.5
1983,7,27.1,31.0,23.22
1983,8,25.6,29.61,22.0
1983,9,25.53,34.0,22.28
1983,10,24.23,29.61,15.5
1983,11,19.33,25.22,10.89
1983,12,17.1,25.22,6.72
1984,1,16.84,23.78,7.0
1984,2,19.36,26.28,8.28
1984,3,25.55,34.89,12.22
1984,4,30.18,40.5,19.0
1984,5,32.44,42.72,20.39
1984,7,25.89,29.78,21.28
1984,8,25.32,30.28,20.89
1984,9,25.11,31.0,19.61
1984,10,24.72,32.39,15.5
1984,11,20.83,28.5,10.28
1984,12,17.62,25.0,7.22
1985,1,17.62,25.78,8.39
1985,2,20.06,29.78,3.89
1985,3,27.69,37.0,13.39
1985,4,30.03,39.39,18.61
1985,5,30.66,42.39,21.22
1985,6,29.2,39.0,22.0
1985,7,25.65,29.39,21.39
1985,8,25.38,37.78,20.5
1985,9,25.86,30.5,20.61
1985,10,24.21,38.78,15.0
1985,11,19.68,26.0,12.0
1985,12,18.83,27.61,10.61
1986,1,17.56,26.61,5.28
1986,2,19.66,27.0,10.39
1986,3,26.61,36.39,13.22
1986,4,29.44,39.0,18.39
1986,5,28.51,37.39,20.39
1986,6,28.81,40.61,21.5
1986,7,25.31,29.78,20.78
1986,8,26.2,32.0,21.5
1986,9,25.6,36.0,20.0
1986,10,25.09,32.22,19.28
1986,11,20.54,26.28,11.78
1986,12,18.29,26.28,9.39
1987,1,16.02,23.22,7.22
1987,2,19.41,29.22,10.39
1987,3,24.2,35.11,13.39
1987,4,29.1,38.5,16.11
1987,5,30.55,39.0,16.22
1987,6,30.94,39.0,24.11
1987,7,26.35,31.61,22.39
1987,8,26.52,37.39,21.78
1987,9,26.22,32.0,22.11
1987,10,24.33,31.0,10.22
1987,11,20.73,32.78,10.0
1987,12,17.02,26.5,8.22
1988,1,18.42,26.61,8.22
1988,2,20.49,31.11,9.11
1988,3,24.93,36.0,14.61
1988,4,29.38,38.61,19.11
1988,5,31.59,42.72,21.28
1988,6,26.85,36.61,19.39
1988,7,25.93,31.61,22.22
1988,8,26.22,32.39,21.78
1988,9,25.7,31.5,20.39
1988,10,23.68,30.22,15.61
1988,11,20.67,28.0,11.5
1988,12,17.67,27.0,9.0
1989,1,15.73,28.61,4.22
1989,2,19.94,33.89,5.0
1989,3,22.05,32.5,11.39
1989,4,29.52,39.39,17.39
1989,5,28.82,41.78,20.28
1989,6,27.79,38.0,21.61
1989,7,26.27,31.11,22.11
1989,8,25.3,29.61,21.5
1989,9,25.48,30.39,21.61
1989,10,24.85,31.0,15.89
1989,11,20.04,28.39,11.0
1989,12,15.17,25.39,1.5
1990,1,18.44,26.22,7.5
1990,2,19.89,29.39,11.61
1990,3,22.7,34.39,13.22
1990,4,27.77,39.0,10.22
1990,5,26.28,33.0,17.0
1990,6,25.9,39.5,20.78
1990,7,24.98,29.39,21.78
1990,8,25.43,29.78,21.89
1990,9,27.61,30.61,22.28
1990,10,22.51,31.39,13.61
1990,11,18.52,25.39,8.39
1990,12,18.6,23.78,8.61
1991,1,16.38,25.0,9.61
1991,2,21.97,32.0,12.0
1991,3,24.79,35.39,15.22
1991,4,28.79,38.22,19.78
1991,5,33.53,41.39,22.61
1991,6,27.93,38.0,20.39
1991,7,26.81,33.39,22.22
1991,8,25.69,34.0,22.39
1991,9,25.81,38.22,20.0
1991,10,23.81,31.0,15.28
1991,11,19.99,28.78,9.39
1991,12,16.63,26.39,7.5
1992,1,16.26,29.11,5.22
1992,2,18.72,32.0,6.5
1992,3,26.05,35.39,13.22
1992,4,29.84,39.61,16.11
1992,5,29.14,39.78,17.39
1992,6,28.89,39.22,21.0
1992,7,27.3,34.61,22.22
1992,8,25.01,30.22,21.28
1992,9,25.49,31.61,20.5
1992,10,23.92,32.61,13.39
1992,11,20.14,29.11,10.39
1992,12,16.95,26.22,7.89
1993,1,16.98,28.61,6.0
1993,2,20.49,34.0,8.22
1993,3,24.51,34.61,12.39
1993,4,27.93,40.22,17.0
1993,5,30.36,42.28,20.22
1993,6,27.79,38.11,20.72
1993,7,26.93,34.0,21.78
1993,8,26.08,31.78,21.61
1993,9,24.81,31.0,21.39
1993,10,24.49,31.28,13.72
1993,11,20.55,29.22,8.61
1993,12,16.42,27.89,6.72
1994,1,17.74,29.28,6.22
1994,2,20.34,31.0,9.0
1994,3,26.55,38.22,11.22
1994,4,27.63,37.0,15.78
1994,5,31.02,40.22,20.22
1994,6,28.26,42.11,22.39
1994,7,25.23,32.5,21.72
1994,8,25.24,30.89,21.72
1994,9,24.88,31.61,18.72
1994,10,23.87,31.78,16.61
1994,11,19.82,28.61,10.78
1994,12,17.27,27.39,6.61
1995,1,15.85,25.61,5.28
1995,2,19.63,31.11,8.0
1995,3,23.49,36.0,13.0
1995,4,29.72,40.22,17.39
1995,5,30.8,42.72,18.39
1995,6,30.25,43.28,19.61
1995,7,25.99,34.11,21.39
1995,8,25.66,31.11,22.22
1995,9,25.12,32.0,19.39
1995,10,24.51,31.39,12.72
1995,11,19.65,28.39,9.11
1995,12,16.92,27.0,7.78
1996,1,16.58,25.22,7.5
1996,2,19.67,31.0,7.22
1996,3,25.6,38.0,12.22
1996,4,28.93,39.39,15.39
1996,5,32.06,42.39,22.0
1996,6,27.29,38.0,21.22
1996,7,26.77,34.0,21.28
1996,8,25.38,30.78,21.39
1996,9,26.06,32.0,21.72
1996,10,23.53,31.22,15.0
1996,11,20.31,30.5,9.11
1996,12,16.22,26.11,5.5
1997,1,15.43,26.0,5.72
1997,2,20.31,32.78,6.89
1997,3,25.33,34.78,12.0
1997,4,26.53,37.5,15.78
1997,5,30.81,41.5,21.61
1997,6,29.87,39.39,22.0
1997,7,26.06,31.5,22.5
1997,8,25.89,31.72,22.0
1997,9,25.15,31.78,20.28
1997,10,22.71,30.5,16.0
1997,11,21.17,28.5,14.28
1997,12,17.08,27.0,6.72
1998,1,15.89,25.39,7.39
1998,2,19.33,28.89,9.22
1998,3,21.7,32.89,11.22
1998,4,27.72,38.0,16.22
1998,5,30.34,42.0,18.0
1998,6,30.18,42.28,22.39
1998,7,26.12,33.28,22.5
1998,8,26.13,32.11,22.72
1998,9,25.52,33.0,21.39
1998,10,24.63,31.61,15.5
1998,11,21.53,30.0,10.61
1998,12,17.02,27.28,6.0
1999,1,16.63,29.22,5.72
1999,2,22.3,33.5,9.78
1999,3,27.46,37.22,12.72
1999,4,31.49,40.11,19.39
1999,5,29.16,41.78,18.61
1999,6,26.33,38.5,16.0
1999,7,25.94,32.5,22.22
1999,8,25.43,32.0,21.39
1999,9,25.07,31.61,19.22
1999,10,23.77,30.11,17.11
1999,11,20.15,29.0,9.5
1999,12,17.07,26.39,7.5
2000,1,17.11,29.5,5.5
2000,2,18.06,28.22,9.78
2000,3,24.6,35.78,12.22
2000,4,30.12,40.89,19.61
2000,5,29.64,40.61,19.22
2000,6,26.97,43.0,19.5
2000,7,25.76,33.61,19.78
2000,8,25.93,33.0,20.5
2000,9,25.0,31.61,18.39
2000,10,24.35,32.61,14.72
2000,11,20.97,30.22,10.72
2000,12,16.06,26.39,6.39
2001,1,16.03,30.0,3.22
2001,2,20.92,33.5,8.0
2001,3,24.02,35.0,12.61
2001,4,29.24,41.22,16.72
2001,5,29.53,41.22,17.39
2001,6,25.57,35.0,19.22
2001,7,25.35,31.0,21.0
2001,8,26.13,32.61,21.39
2001,9,26.17,32.5,20.0
2001,10,24.22,31.22,15.5
2001,11,21.23,32.0,10.89
2001,12,18.16,28.22,6.5
2002,1,17.25,28.78,4.89
2002,2,19.67,32.11,6.28
2002,3,24.82,37.0,10.72
2002,4,29.12,40.0,16.28
2002,5,30.47,42.0,17.0
2002,6,28.25,37.72,21.22
2002,7,27.01,35.72,20.11
2002,8,25.08,31.5,20.5
2002,9,24.73,31.0,20.0
2002,10,23.29,31.78,12.22
2002,11,19.0,28.22,9.39
2002,12,17.09,28.28,5.22
2003,1,15.25,27.22,3.39
2003,2,19.5,30.78,10.78
2003,3,23.21,34.22,8.61
2003,4,28.74,40.22,16.0
2003,5,30.46,41.0,19.61
2003,6,28.11,41.0,21.0
2003,7,26.11,33.39,20.11
2003,8,25.89,31.78,21.28
2003,9,25.38,32.28,20.28
2003,10,23.41,31.22,14.22
2003,11,19.62,29.78,7.39
2003,12,16.15,26.5,5.61
2004,1,15.86,27.61,4.78
2004,2,19.1,32.78,5.61
2004,3,25.99,39.0,12.72
2004,4,28.74,40.72,16.61
2004,5,30.47,41.0,19.5
2004,6,27.12,36.39,18.5
2004,7,25.69,35.61,20.39
2004,8,25.49,31.78,21.22
2004,9,25.31,32.0,18.5
2004,10,22.87,32.0,13.39
2004,11,19.24,28.22,9.89
2004,12,16.83,27.0,5.0
2005,1,16.39,28.0,5.61
2005,2,20.3,31.22,7.22
2005,3,25.14,35.72,15.39
2005,4,29.07,39.28,15.78
2005,5,31.02,42.28,18.22
2005,6,30.97,44.39,21.22
2005,7,25.59,32.61,19.61
2005,8,26.07,33.5,20.72
2005,9,25.47,33.39,18.39
2005,10,23.66,32.0,15.39
2005,11,18.97,27.61,9.0
2005,12,16.02,26.0,7.0
2006,1,17.65,30.0,6.72
2006,2,22.55,34.72,9.11
2006,3,24.23,36.61,10.61
2006,4,29.22,40.0,15.0
2006,5,28.21,40.22,17.61
2006,6,27.29,37.5,18.89
2006,7,25.43,32.61,19.22
2006,8,24.94,39.78,19.61
2006,9,25.11,32.11,18.22
2006,10,24.01,32.39,14.89
2006,11,20.31,29.28,9.22
2006,12,17.21,28.5,7.28
2007,1,16.57,30.0,6.0
2007,2,18.86,31.39,9.61
2007,3,22.77,36.39,10.39
2007,4,28.1,41.78,18.28
2007,5,28.84,39.61,18.39
2007,6,28.11,40.61,21.11
2007,7,25.58,33.0,20.78
2007,8,25.5,32.0,21.0
2007,9,24.99,31.28,20.11
2007,10,23.54,30.61,12.72
2007,11,19.9,29.78,9.61
2007,12,16.66,30.78,4.28
2008,1,16.86,29.11,3.22
2008,2,18.02,31.11,3.5
2008,3,25.15,34.61,11.0
2008,4,29.11,39.61,14.39
2008,5,30.08,40.22,16.0
2008,6,26.31,37.0,12.61
2008,7,25.37,31.5,19.78
2008,8,25.43,32.0,20.0
2008,9,25.19,32.11,18.72
2008,10,23.66,31.5,12.61
2008,11,20.14,29.5,8.22
2008,12,17.62,28.78,6.11
2009,1,18.42,31.61,7.11
2009,2,21.32,33.5,7.78
2009,3,25.15,35.61,11.22
2009,4,30.25,42.22,17.0
2009,5,28.47,43.0,19.22
2009,6,29.98,41.28,20.61
2009,7,26.04,33.0,22.72
2009,8,26.15,34.78,22.0
2009,9,26.12,32.61,21.0
2009,10,22.91,36.0,12.0
2009,11,20.23,30.39,9.0
2009,12,16.88,27.39,7.39
2010,1,15.57,26.28,4.89
2010,2,20.25,31.61,9.5
2010,3,27.3,38.72,15.39
2010,4,32.05,42.39,15.78
2010,5,30.2,41.72,16.61
2010,6,30.16,42.22,23.0
2010,7,26.54,34.39,22.39
2010,8,26.34,33.39,22.22
2010,9,25.75,32.89,19.5
2010,10,24.03,32.5,13.22
2010,11,21.43,30.28,11.22
2010,12,16.22,27.11,5.61
2011,1,15.47,28.22,4.22
2011,2,19.82,31.28,8.61
2011,3,25.21,36.61,11.78
2011,4,26.75,37.72,16.78
2011,5,29.48,40.11,20.11
2011,6,26.82,38.0,15.61
2011,7,26.27,33.78,20.0
2011,8,25.34,33.78,21.22
2011,9,24.95,31.61,20.28
2011,10,23.88,31.22,14.28
2011,11,20.23,29.39,10.78
2011,12,16.32,28.0,5.78
2012,1,15.88,27.0,4.72
2012,2,19.84,32.0,8.0
2012,3,24.61,36.39,12.0
2012,4,28.68,40.22,16.39
2012,5,31.53,42.0,19.0
2012,6,30.89,42.22,22.0
2012,7,26.08,33.78,21.22
2012,8,25.71,32.39,21.0
2012,9,25.63,32.11,15.89
2012,10,24.02,31.89,12.61
2012,11,19.35,27.39,9.78
2012,12,16.99,29.0,5.89
2013,1,16.11,31.22,5.0
2013,2,19.23,30.61,9.0
2013,3,24.56,35.5,12.11
2013,4,27.88,38.78,16.61
2013,5,30.56,41.5,21.0
2013,6,26.63,36.0,21.39
2013,7,26.29,33.78,21.61
2013,8,25.53,31.89,22.0
2013,9,25.87,34.61,21.72
2013,10,23.08,30.22,14.0
2013,11,19.52,29.78,9.22
2013,12,16.6,26.61,7.11
2014,1,16.29,26.22,6.0
2014,2,18.51,29.78,8.22
2014,3,23.19,36.22,11.22
2014,4,29.09,40.39,20.0
2014,5,29.71,39.89,20.39
2014,6,29.82,41.39,22.61
2014,7,26.1,34.22,22.0
2014,8,25.92,34.0,21.78
2014,9,26.05,34.22,21.61
2014,10,24.02,32.39,15.78
2014,11,19.4,30.61,9.39
2014,12,16.38,28.78,6.0
2015,1,16.23,28.78,7.0
2015,2,20.68,33.78,8.0
2015,3,24.09,36.5,12.61
2015,4,26.57,39.0,11.78
2015,5,30.31,41.61,18.61
2015,6,28.08,41.0,21.72
2015,7,26.28,35.78,21.22
2015,8,26.69,34.5,21.28
2015,9,27.17,34.28,20.0
2015,10,25.15,35.22,14.5
2015,11,21.43,30.72,11.39
2015,12,18.15,30.5,5.28
2016,1,18.26,29.0,5.5
2016,2,22.72,34.22,9.39
2016,3,26.85,38.72,14.5
2016,4,33.1,41.5,19.39
2016,5,30.89,41.5,20.78
2016,6,29.76,40.61,22.5
2016,7,26.39,33.5,21.0
2016,8,26.46,34.0,21.22
2016,9,26.47,33.39,21.61
2016,10,25.3,33.72,14.0
2016,11,21.15,30.72,10.22
2016,12,18.54,30.0,8.0
2017,1,18.27,28.5,5.11
2017,2,21.91,33.0,9.5
2017,3,25.75,39.0,12.0
2017,4,31.89,40.78,18.78
2017,5,31.24,43.22,21.0
2017,6,28.61,43.0,19.61
2017,7,25.42,31.78,20.11
2017,8,26.36,32.78,21.11
2017,9,26.65,34.0,20.0
2017,10,24.97,34.0,15.0
