Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,23.63,34.0,17.0
1975,2,27.16,34.0,20.0
1975,3,28.79,39.0,20.0
1975,4,31.18,40.0,23.0
1975,5,33.31,43.0,27.0
1975,6,32.09,41.0,24.0
1975,7,30.07,39.0,24.0
1975,8,30.8,38.0,24.0
1975,9,29.25,37.0,20.0
1975,10,27.62,34.0,21.0
1975,11,25.29,38.0,20.0
1975,12,23.44,30.0,10.0
1976,1,23.31,30.0,18.0
1976,2,25.15,36.0,18.0
1976,3,27.8,37.0,20.0
1976,4,30.61,41.0,24.0
1976,5,33.93,45.0,25.0
1976,6,32.29,41.0,23.0
1976,7,29.8,38.0,23.0
1976,8,28.76,36.0,23.0
1976,9,30.66,38.0,24.0
1976,10,28.89,36.0,23.0
1976,11,26.16,32.0,12.0
1976,12,25.24,33.0,19.0
1977,1,24.48,32.0,18.0
1977,2,26.45,34.0,20.0
1977,3,28.65,37.0,19.0
1977,4,30.72,43.0,25.0
1977,5,32.83,43.0,20.0
1977,6,33.13,43.0,25.0
1977,7,31.64,39.0,24.0
1977,8,30.56,39.0,23.0
1977,9,31.14,39.0,22.0
1977,10,27.54,35.0,20.0
1977,11,26.98,32.0,22.0
1977,12,24.76,38.0,17.0
1978,1,24.91,32.0,18.0
1978,2,26.39,35.0,20.0
1978,3,27.93,41.0,22.0
1978,4,30.5,41.0,23.0
1978,5,33.46,44.0,22.0
1978,6,31.43,42.0,23.0
1978,7,30.27,37.0,23.0
1978,8,30.12,39.0,24.0
1978,9,29.77,38.0,23.0
1978,10,28.9,37.0,23.0
1978,11,26.76,33.0,16.0
1978,12,24.78,38.0,12.0
1979,1,25.08,33.0,16.0
1979,2,27.4,35.0,21.0
1979,3,28.72,38.0,21.0
1979,4,30.99,42.0,23.0
1979,5,32.46,43.0,25.0
1979,6,32.67,42.0,25.0
1979,7,31.79,40.0,24.0
1979,8,31.41,39.0,21.0
1979,9,29.13,39.0,23.0
1979,10,28.88,38.0,16.0
1979,11,26.19,32.0,20.0
1979,12,25.39,31.0,19.0
1980,1,25.52,34.0,19.0
1980,2,26.47,38.0,20.0
1980,3,28.84,39.0,20.0
1980,4,31.28,41.0,25.0
1980,5,33.8,47.0,23.0
1980,6,32.25,40.0,23.0
1980,7,31.24,39.0,24.0
1980,8,29.6,37.0,22.0
1980,9,30.43,38.0,23.0
1980,10,28.41,39.0,20.0
1980,11,25.87,32.0,21.0
1980,12,24.84,31.0,18.0
1981,1,24.65,34.0,19.0
