Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,25.03,35.0,16.0
1975,2,25.91,38.0,17.0
1975,3,26.96,32.0,20.0
1975,4,28.98,34.0,20.0
1975,5,29.55,39.0,25.0
1975,6,27.02,39.0,23.0
1975,7,25.49,30.0,8.0
1975,8,25.95,30.0,22.0
1975,9,25.81,31.0,22.0
1975,10,26.56,32.0,22.0
1975,11,25.24,33.0,16.0
1975,12,24.73,37.0,17.0
1976,1,24.67,42.0,16.0
1976,2,25.37,35.0,17.0
1976,3,28.1,35.0,20.0
1976,4,28.11,33.0,20.0
1976,5,28.2,40.0,18.0
1976,6,27.03,32.0,22.0
1976,7,26.27,30.0,23.0
1976,8,26.2,30.0,23.0
1976,9,26.66,33.0,23.0
1976,10,28.46,36.0,21.0
1976,11,27.82,38.0,21.0
1976,12,26.63,35.0,19.0
1977,1,24.85,36.0,10.0
1977,2,26.58,35.0,14.0
1977,3,28.53,37.0,20.0
1977,4,29.11,35.0,22.0
1977,5,29.63,34.0,22.0
1977,6,27.5,35.0,23.0
1977,7,26.32,30.0,22.0
1977,8,26.57,33.0,23.0
1977,9,26.55,31.0,22.0
1977,10,27.68,36.0,23.0
1977,11,27.61,35.0,22.0
1977,12,25.68,34.0,18.0
1978,1,25.44,33.0,18.0
1978,2,25.24,35.0,18.0
1978,3,26.34,33.0,19.0
1978,4,28.6,35.0,21.0
1978,5,29.32,38.0,22.0
1978,6,26.36,36.0,11.0
1978,7,25.9,34.0,21.0
1978,8,26.24,30.0,23.0
1978,9,25.81,33.0,22.0
1978,10,27.61,35.0,22.0
1978,11,27.36,35.0,20.0
1978,12,27.15,35.0,19.0
1979,1,25.94,35.0,19.0
1979,2,25.13,32.0,18.0
1979,3,27.23,39.0,19.0
1979,4,28.76,34.0,19.0
1979,5,29.27,39.0,23.0
1979,6,28.11,35.0,23.0
1979,7,27.0,31.0,22.0
1979,8,26.35,32.0,23.0
1979,9,26.67,33.0,23.0
1979,10,27.73,36.0,23.0
1979,11,27.38,35.0,23.0
1979,12,26.4,38.0,19.0
1980,1,25.19,34.0,19.0
1980,2,26.56,36.0,20.0
1980,3,27.5,38.0,20.0
1980,4,29.71,36.0,20.0
1980,5,30.36,35.0,25.0
1980,6,26.75,33.0,23.0
1980,7,26.86,31.0,23.0
1980,8,26.12,30.0,22.0
1980,9,26.52,32.0,22.0
1980,10,27.7,35.0,21.0
1980,11,27.48,37.0,21.0
1980,12,24.96,35.0,17.0
1981,1,24.77,35.0,16.0
1981,2,26.22,36.0,18.0
1981,3,27.71,39.0,21.0
1981,4,29.04,37.0,23.0
1981,5,30.28,39.0,22.0
1981,6,26.47,5537.72,22.0
1981,7,26.63,31.0,16.0
1981,8,26.11,32.0,23.0
1981,9,26.64,36.0,23.0
1981,10,27.53,34.0,22.0
1981,11,26.41,34.0,8.0
1981,12,25.99,35.0,16.0
1982,1,25.37,33.0,19.72
1982,2,25.86,33.0,18.11
1982,3,26.75,38.61,19.22
1982,4,28.2,33.5,23.5
1982,5,29.47,35.22,20.11
1982,6,27.87,33.61,22.22
1982,7,26.82,32.11,22.78
1982,8,26.57,30.39,22.0
1982,9,26.4,31.39,22.28
1982,10,27.97,36.0,23.0
1982,11,26.97,34.72,21.39
1982,12,26.24,35.22,19.72
1983,1,24.97,35.0,16.89
1983,2,24.29,32.89,9.22
1983,3,25.78,33.61,19.0
1983,4,27.32,32.78,22.0
1983,5,29.58,34.28,23.78
1983,6,28.78,35.0,22.22
1983,7,26.83,31.39,22.22
1983,8,26.29,31.0,23.0
1983,9,26.08,30.61,21.61
1983,10,26.8,37.89,20.28
1983,11,25.5,37.39,17.61
1983,12,25.98,34.0,14.0
1984,1,25.13,33.28,16.5
1984,2,26.96,38.0,19.5
1984,3,28.72,38.0,21.28
1984,4,29.98,36.72,22.78
1984,5,30.18,34.61,25.78
1984,6,27.11,34.11,22.72
1984,7,26.18,30.5,17.72
1984,8,26.25,29.78,22.89
1984,9,26.08,32.89,19.39
1984,10,27.02,34.61,21.11
1984,11,26.53,35.39,17.39
1984,12,26.01,34.78,18.22
1985,1,25.88,35.28,19.0
1985,2,25.87,33.5,18.78
1985,3,28.48,37.5,22.5
1985,4,28.86,35.39,23.22
1985,5,29.51,35.11,23.72
1985,6,26.33,32.22,22.11
1985,7,26.15,30.28,22.28
1985,8,25.89,30.11,16.22
1985,9,26.7,33.22,22.72
1985,10,26.15,34.28,20.28
1985,11,26.19,34.78,19.22
