Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,3,21.5,31.0,13.0
1975,4,26.8,38.0,15.0
1975,5,33.07,42.0,19.0
1975,6,31.78,44.0,23.0
1975,7,28.75,40.0,21.0
1975,8,27.81,36.0,21.0
1976,12,13.27,24.0,3.0
1977,1,12.02,31.0,2.0
1977,2,15.4,29.0,4.0
1977,3,21.63,35.0,8.0
1977,4,25.91,39.0,16.0
1977,5,29.78,42.0,17.0
1977,6,31.0,44.0,20.0
1977,7,28.33,35.0,23.0
1977,8,28.68,37.0,23.0
1977,9,26.97,34.0,20.0
1977,10,23.95,37.0,14.0
1977,11,19.75,32.0,1.0
1977,12,14.62,31.0,5.0
1978,1,11.32,22.0,-2.0
1978,2,13.68,27.0,2.0
1978,3,18.1,31.0,9.0
1978,4,25.87,38.0,10.0
1978,5,32.95,44.0,20.0
1978,6,31.67,44.0,20.0
1978,7,28.71,36.0,23.0
1978,8,28.31,35.0,12.0
1978,9,27.93,35.0,21.0
1978,10,23.65,34.0,10.0
1978,11,18.24,31.0,5.0
1978,12,14.1,28.0,3.0
1979,1,14.13,25.0,0.0
1979,2,15.09,25.0,6.0
1979,3,18.47,33.0,4.0
1979,4,26.56,42.0,16.0
1979,5,30.08,42.0,19.0
1979,6,33.15,45.0,21.0
1979,7,29.9,39.0,19.0
1979,8,30.05,39.0,20.0
1979,9,27.28,37.0,17.0
1979,10,24.92,35.0,15.0
1979,11,19.94,31.0,9.0
1979,12,14.83,25.0,5.0
1980,1,13.34,23.0,3.0
1980,2,16.88,30.0,2.0
1980,3,20.31,31.0,8.0
1980,4,27.33,42.0,13.0
1980,5,33.68,43.0,21.0
1980,6,32.77,42.0,19.0
1980,7,29.63,38.0,22.0
1980,8,29.33,40.0,22.0
1980,9,28.24,35.0,20.0
1980,10,24.49,34.0,13.0
1980,11,18.87,28.0,9.0
1980,12,14.15,23.0,5.0
1981,1,13.25,22.0,3.0
1981,2,15.6,29.0,6.0
1981,3,19.64,30.0,9.0
1981,4,27.81,39.0,13.0
1981,5,32.8,43.0,22.0
1981,6,33.86,44.0,19.0
1981,7,29.57,39.0,24.0
1981,8,29.99,37.0,24.0
1981,9,28.33,36.0,19.0
1981,10,23.48,34.0,11.0
1981,11,17.42,28.0,1.0
1981,12,13.39,27.0,4.0
1982,1,12.71,22.0,4.72
1982,2,13.45,27.39,3.28
1982,3,17.41,30.0,7.39
1982,4,24.31,36.28,14.0
1982,5,28.23,42.28,16.0
1982,6,32.65,43.28,21.61
1982,7,31.54,42.28,24.28
1982,8,28.94,37.0,20.0
1982,9,27.88,36.0,17.22
1982,10,23.7,33.28,10.0
1982,11,18.26,30.0,5.5
1982,12,13.75,26.39,3.78
1983,1,11.15,22.11,3.22
1983,2,13.91,23.61,5.0
1983,3,18.25,35.72,7.61
1983,4,22.96,37.78,11.61
1983,5,28.99,40.39,17.5
1983,6,31.47,43.22,19.39
1983,7,30.05,39.28,22.89
1983,8,28.62,34.89,23.0
1983,9,28.47,34.72,19.78
1983,10,22.84,34.28,5.22
1983,11,17.03,32.0,7.5
1983,12,13.52,26.0,4.11
1984,1,10.95,21.28,2.28
1984,2,13.44,23.89,2.0
1984,3,21.73,33.5,5.39
1984,4,26.4,38.5,13.72
1984,5,34.35,45.89,19.0
1984,6,32.64,44.78,22.39
1984,7,29.51,37.22,22.11
1984,8,28.95,36.11,24.0
1984,9,26.76,35.5,18.0
1984,10,22.98,32.89,11.22
1984,11,17.72,29.78,6.0
1984,12,13.75,29.39,2.11
1985,1,12.54,21.89,4.11
1985,2,16.0,30.11,4.61
1985,3,22.64,35.5,10.28
1985,4,28.71,41.28,15.78
1985,5,33.69,44.11,19.22
1985,6,33.33,44.0,22.78
1985,7,29.26,40.39,21.39
1985,8,28.88,35.39,22.61
1985,9,27.97,34.5,21.39
1985,10,23.32,34.39,12.0
1985,11,18.7,34.0,7.11
1985,12,15.29,26.61,3.11
1986,1,12.23,29.0,2.5
1986,2,14.31,24.78,5.5
1986,3,20.25,32.78,9.28
1986,4,26.39,40.39,11.78
1986,5,29.89,41.39,16.0
1986,6,32.29,45.22,19.39
1986,7,29.07,36.11,20.89
1986,8,29.33,43.39,22.72
1986,9,27.84,35.89,19.72
1986,10,23.7,38.39,12.22
1986,11,19.65,29.89,8.0
1986,12,13.1,24.72,3.0
1987,1,13.23,28.61,1.0
1987,2,16.72,26.89,6.89
1987,3,21.22,33.5,10.39
1987,4,28.41,40.28,11.78
1987,5,27.97,44.39,15.78
1987,6,33.47,48.39,20.22
1987,7,33.29,42.61,23.0
1987,8,30.89,39.61,22.89
1987,9,30.39,37.39,21.61
1987,10,25.64,39.0,12.89
1987,11,19.02,30.22,6.0
1987,12,14.09,27.61,4.11
1988,1,13.76,23.11,3.72
1988,2,16.37,27.0,6.11
1988,3,20.68,32.61,9.22
1988,4,28.56,40.5,12.61
1988,5,34.52,46.28,21.28
1988,6,33.45,43.39,22.39
1988,7,29.19,36.61,20.78
1988,8,28.68,34.72,23.0
1988,9,28.17,35.89,20.0
1988,10,23.57,40.0,14.0
1988,11,19.1,29.11,6.39
1988,12,14.79,26.0,5.61
1989,1,11.42,21.22,2.11
1989,2,14.44,28.0,3.22
1989,3,19.81,31.5,6.22
1989,4,25.83,39.0,11.28
1989,5,30.8,43.11,17.22
1989,6,31.03,42.28,20.39
1989,7,30.94,39.61,23.0
1989,8,28.12,35.11,21.0
1989,9,27.41,34.61,17.5
1989,10,24.07,34.61,13.22
1989,11,18.51,30.61,0.22
1989,12,13.33,23.28,5.0
