Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,15.95,26.0,0.0
1975,2,19.28,31.0,6.0
1975,3,24.61,38.0,10.0
1975,4,31.33,42.0,17.0
1975,5,33.04,43.0,23.0
1975,6,32.59,44.0,24.0
1975,7,29.14,35.0,24.0
1975,8,29.84,36.0,16.0
1975,9,29.4,35.0,21.0
1975,10,28.2,43.0,21.0
1975,11,20.61,30.0,8.0
1975,12,16.53,27.0,7.0
1976,1,16.32,27.0,7.0
1976,2,19.53,31.0,1.0
1976,3,25.85,37.0,11.0
1976,4,30.23,41.0,17.0
1976,5,29.21,41.0,20.0
1976,6,31.8,41.0,21.0
1976,7,29.95,37.0,21.0
1976,8,28.83,35.0,19.0
1976,9,28.08,34.0,23.0
1976,10,27.09,34.0,19.0
1976,11,23.2,33.0,11.0
1976,12,16.85,33.0,5.0
1977,1,15.96,29.0,1.0
1977,2,19.09,33.0,6.0
1977,3,26.4,40.0,11.0
1977,4,29.83,41.0,17.0
1977,5,29.91,43.0,19.0
1977,6,30.23,44.0,22.0
1977,7,28.99,36.0,20.0
1977,8,29.7,43.0,23.0
1977,9,28.79,38.0,21.0
1977,10,26.01,33.0,20.0
1977,11,23.57,32.0,10.0
1977,12,17.59,33.0,8.0
1978,1,15.33,28.0,5.0
1978,2,18.06,38.0,7.0
1978,3,22.49,35.0,11.0
1978,4,29.52,40.0,16.0
1978,5,31.46,44.0,22.0
1978,6,30.5,39.0,23.0
1978,7,29.47,36.0,23.0
1978,8,29.67,35.0,23.0
1978,9,28.07,34.0,20.0
1978,10,26.12,34.0,20.0
1978,11,22.62,32.0,9.0
1978,12,17.21,33.0,6.0
1979,1,17.19,27.0,7.0
1979,2,18.06,30.0,6.0
1979,3,23.81,39.0,8.0
1979,4,30.54,41.0,17.0
1979,5,32.98,43.0,20.0
1979,6,32.98,47.0,23.0
1979,7,29.6,39.0,25.0
1979,8,29.97,39.0,19.0
1979,9,29.4,37.0,23.0
1979,10,26.85,35.0,19.0
1979,11,23.84,33.0,15.0
1979,12,17.34,27.0,7.0
1980,1,16.28,29.0,0.0
1980,2,19.84,32.0,6.0
1980,3,24.87,39.0,10.0
1980,4,32.42,45.0,19.0
1980,5,31.3,45.0,18.0
1980,6,30.31,40.0,23.0
1980,7,29.11,36.0,24.0
1980,8,29.54,36.0,22.0
1980,9,29.29,39.0,23.0
1980,10,26.53,35.0,17.0
1980,11,22.01,34.0,12.0
1980,12,17.49,28.0,8.0
1981,1,16.33,26.0,1.0
1981,2,19.54,33.0,8.0
1981,3,24.48,36.0,12.0
1981,4,28.35,38.0,17.0
1981,5,30.15,40.0,20.0
1981,6,31.95,43.0,24.0
1981,7,28.84,38.0,24.0
1981,8,29.59,38.0,16.0
1981,9,29.08,35.0,23.0
1981,10,26.13,34.0,16.0
1981,11,20.97,32.0,9.0
1981,12,16.68,30.0,6.0
1982,1,16.93,27.89,6.22
1982,2,18.46,31.22,7.28
1982,3,22.61,36.39,10.0
1982,4,29.53,40.0,13.28
1982,5,32.32,43.0,19.22
1982,6,29.9,41.39,23.5
1982,7,30.89,40.61,24.0
1982,8,29.83,35.78,23.61
1982,9,29.23,35.61,21.0
1982,10,26.44,39.11,11.39
1982,11,21.71,32.11,8.61
1982,12,17.26,27.22,6.89
1983,1,13.81,27.0,3.89
1983,2,18.63,30.22,5.39
1983,3,24.44,36.78,9.22
1983,4,27.79,38.78,15.11
1983,5,30.7,47.61,20.0
1983,6,32.8,44.61,22.39
1983,7,30.04,38.61,23.22
1983,8,30.4,37.11,23.11
1983,9,29.23,37.39,23.28
1983,10,25.99,35.39,13.72
1983,11,21.39,31.5,11.39
1983,12,16.84,27.78,5.22
1984,1,15.9,28.22,5.39
1984,2,16.97,28.0,6.72
