Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,19.19,32.0,6.0
1975,2,22.52,34.0,8.0
1975,3,26.49,38.0,10.0
1975,4,30.64,41.0,16.0
1975,5,28.31,40.0,19.0
1975,6,26.13,39.0,21.0
1975,7,24.26,32.0,20.0
1975,8,23.68,30.0,21.0
1975,9,23.74,32.0,17.0
1975,10,24.47,33.0,17.0
1975,11,19.8,31.0,8.0
1975,12,18.15,31.0,5.0
1976,1,19.17,31.0,7.0
1976,2,22.13,35.0,7.0
1976,3,26.82,38.0,11.0
1976,4,28.57,40.0,15.0
1976,5,28.23,39.0,15.0
1976,6,26.08,34.0,21.0
1976,7,24.37,32.0,21.0
1976,8,23.89,36.0,21.0
1976,9,24.33,33.0,19.0
1976,10,26.81,37.0,16.0
1976,11,24.93,36.0,13.0
1976,12,21.42,32.0,9.0
1977,1,20.33,32.0,5.0
1977,2,23.5,36.0,9.0
1977,3,28.0,39.0,15.0
1977,4,28.59,41.0,16.0
1977,5,28.47,39.0,18.0
1977,6,26.33,36.0,11.0
1977,7,24.49,43.0,21.0
1977,8,23.84,30.0,20.0
1977,9,24.07,34.0,17.0
1977,10,24.69,39.0,14.0
1977,11,24.12,37.0,14.0
1977,12,19.46,30.0,5.0
1978,1,20.58,31.0,7.0
1978,2,21.83,34.0,6.0
1978,3,24.58,37.0,9.0
1978,4,28.33,40.0,16.0
1978,5,29.04,41.0,19.0
1978,6,25.31,35.0,21.0
1978,7,24.35,31.0,20.0
1978,8,23.5,29.0,21.0
1978,9,23.88,32.0,17.0
1978,10,24.62,35.0,12.0
1978,11,23.49,33.0,12.0
1978,12,20.68,31.0,9.0
1979,1,21.35,32.0,9.0
1979,2,21.41,37.0,7.0
1979,3,25.18,38.0,9.0
1979,4,29.1,41.0,14.0
1979,5,29.07,41.0,19.0
1979,6,27.2,38.0,17.0
1979,7,24.7,37.0,21.0
1979,8,23.52,31.0,18.0
1979,9,24.15,32.0,16.0
1979,10,25.29,33.0,17.0
1979,11,23.62,32.0,11.0
1979,12,20.59,31.0,10.0
1980,1,20.56,32.0,9.0
1980,2,22.98,36.0,8.0
1980,3,25.84,38.0,10.0
1980,4,29.9,40.0,18.0
1980,5,29.73,41.0,19.0
1980,6,25.64,36.0,21.0
1980,7,24.14,31.0,21.0
1980,8,23.47,31.0,16.0
1980,9,24.32,35.0,18.0
1980,10,25.56,35.0,10.0
1980,11,23.37,35.0,11.0
1980,12,19.04,31.0,7.0
1981,1,19.14,33.0,6.0
1981,2,22.3,36.0,5.0
1981,3,25.28,38.0,11.0
1981,4,28.78,42.0,14.0
1981,5,29.26,39.0,19.0
1981,6,26.9,37.0,12.0
1981,7,24.08,29.0,21.0
1981,8,23.75,32.0,20.0
1981,9,24.42,32.0,20.0
1981,10,24.89,34.0,13.0
1981,11,21.14,33.0,7.0
1981,12,20.16,38.0,5.0
1982,1,20.73,31.72,9.72
1982,2,22.34,35.28,8.72
1982,3,25.61,40.0,8.78
1982,4,28.08,38.78,15.61
1982,5,28.61,39.61,19.72
1982,6,27.13,35.61,19.78
1982,7,25.2,32.39,21.61
1982,8,24.23,32.72,20.0
1982,9,24.41,32.72,18.61
1982,10,25.2,34.39,15.5
1982,11,23.09,31.61,12.89
1982,12,20.63,31.39,8.39
1983,1,19.46,32.39,6.39
1983,2,20.9,35.39,7.0
1983,3,25.33,38.72,9.39
1983,4,27.54,42.5,14.78
1983,5,30.27,42.22,18.0
1983,6,27.14,37.5,22.11
1983,7,25.63,39.5,21.89
1983,8,24.4,30.0,21.22
1983,9,24.29,31.22,19.78
1983,10,23.97,32.39,11.39
1983,11,20.71,32.72,7.11
1983,12,19.97,30.39,6.78
1984,1,20.13,32.22,5.11
1984,2,22.01,38.61,9.28
1984,3,26.9,40.0,10.11
1984,4,29.0,40.61,15.72
1984,5,30.04,41.28,19.78
1984,6,26.07,37.28,21.28
1984,7,23.72,30.5,20.5
1984,8,23.16,27.89,20.0
1984,9,23.73,32.28,17.72
1984,10,24.29,32.61,15.11
1984,11,20.38,31.39,6.22
1984,12,20.87,32.5,7.0
1985,1,21.23,32.39,8.11
1985,2,22.14,37.11,5.5
1985,3,26.76,38.28,11.28
1985,4,28.71,40.5,15.61
1985,5,29.5,41.89,18.0
1985,6,26.0,34.61,21.11
1985,7,24.27,31.28,20.22
1985,8,23.67,29.78,19.0
1985,9,24.88,34.5,18.78
1985,10,23.47,32.89,10.89
1985,11,21.11,31.78,8.39
1985,12,20.57,31.89,8.11
1986,1,20.33,31.89,5.89
1986,2,22.84,34.5,9.39
1986,3,26.85,39.78,10.61
1986,4,29.27,40.5,12.5
1986,5,28.66,40.22,16.39
1986,6,25.74,36.11,20.39
1986,7,24.15,31.11,20.5
1986,8,23.2,29.0,18.0
1986,9,24.58,33.89,17.61
1986,10,25.8,36.89,11.78
1986,11,23.78,34.22,9.39
1986,12,20.1,32.11,8.89
1987,1,21.8,33.5,8.78
1987,2,22.41,34.11,8.61
1987,3,26.53,39.39,11.11
1987,4,29.43,41.61,16.39
1987,5,28.96,40.28,19.22
1987,6,26.85,38.61,21.0
1987,7,25.29,31.28,20.72
1987,8,25.04,31.78,14.0
1987,9,25.66,35.0,16.39
1987,10,24.54,33.89,11.11
1987,11,23.32,32.78,10.78
1987,12,20.09,31.72,7.0
1988,1,20.9,32.61,10.22
1988,2,23.22,36.0,8.72
1988,3,25.79,37.39,12.0
1988,4,28.37,39.89,16.78
1988,5,29.56,41.78,19.22
1988,6,26.92,37.72,20.5
1988,7,24.76,32.89,21.22
1988,8,24.5,30.22,21.22
1988,9,24.78,31.89,20.5
1988,10,23.35,33.28,13.72
1988,11,21.0,31.61,8.5
1988,12,19.21,30.28,7.39
1989,1,19.81,32.72,8.5
1989,2,21.45,34.89,6.61
1989,3,25.19,37.78,12.22
1989,4,28.37,39.5,14.5
1989,5,28.75,41.28,18.61
1989,6,24.96,35.11,20.39
1989,7,24.77,31.61,21.11
1989,8,23.34,28.28,19.89
1989,9,24.0,31.61,18.39
1989,10,24.49,35.0,12.5
1989,11,22.6,32.72,11.5
1989,12,19.37,5537.72,7.11
1990,1,19.82,34.0,8.0
1990,2,21.75,34.22,6.72
1990,3,24.58,37.0,8.61
1990,4,28.43,41.28,13.5
1990,5,28.19,40.0,17.78
1990,6,25.56,33.61,21.11
1990,7,23.88,30.22,20.0
1990,8,23.27,28.72,20.78
1990,9,23.78,31.0,17.61
1990,10,23.94,32.0,13.5
1990,11,22.49,31.5,11.0
1990,12,20.36,32.0,8.5
1991,1,19.19,33.39,2.78
1991,2,22.11,34.28,6.28
1991,3,26.13,39.61,11.39
1991,4,28.15,40.22,15.72
1991,5,29.39,41.5,18.5
1991,6,26.19,41.22,21.22
1991,7,23.97,29.39,21.5
1991,8,23.2,28.22,20.0
1991,9,24.48,33.0,17.78
1991,10,24.11,34.28,10.61
1991,11,22.8,32.0,10.0
1991,12,18.38,31.11,7.22
1992,1,19.11,32.39,5.11
1992,2,20.76,35.0,8.22
1992,3,26.54,39.11,10.22
1992,4,28.67,40.0,15.39
1992,5,29.73,40.39,16.78
1992,6,27.39,39.28,20.61
1992,7,25.2,33.0,20.39
1992,8,23.77,30.22,20.28
1992,9,24.03,33.5,16.89
1992,10,24.19,33.0,12.5
1992,11,22.6,32.61,10.39
1992,12,18.93,30.78,6.61
1993,1,19.9,32.72,8.61
1993,2,21.23,34.61,5.61
1993,3,25.16,37.22,10.61
1993,4,28.59,41.28,14.22
1993,5,29.99,41.61,18.11
1993,6,26.95,40.89,20.22
1993,7,24.43,32.22,21.0
1993,8,23.98,30.11,19.0
1993,9,23.8,32.28,19.22
1993,10,24.22,33.72,13.39
1993,11,21.95,31.0,8.0
1993,12,18.19,29.22,7.22
1994,1,19.59,31.78,4.39
1994,2,21.15,34.22,7.61
1994,3,27.19,39.39,12.11
1994,4,27.69,38.78,15.39
1994,5,28.79,40.61,17.28
1994,6,25.24,34.39,20.89
1994,7,23.55,28.39,20.22
1994,8,23.66,36.0,20.89
1994,9,23.6,33.5,13.22
1994,10,24.63,33.72,13.39
1994,11,21.82,32.0,8.39
1994,12,18.28,32.0,6.39
1995,1,17.8,31.5,6.78
1995,2,22.05,35.0,9.39
1995,3,25.67,37.78,11.5
1995,4,28.27,40.28,15.0
1995,5,28.51,40.72,19.39
1995,6,27.86,37.89,21.89
1995,7,25.21,34.39,22.28
1995,8,24.9,31.28,20.0
1995,9,24.3,31.28,17.61
1995,10,24.18,32.61,13.78
1995,11,21.57,31.89,10.0
1995,12,20.39,31.39,9.22
1996,1,20.94,33.22,7.89
1996,2,22.62,35.72,8.39
1996,3,26.84,39.22,11.78
1996,4,28.25,39.22,13.61
1996,5,29.05,41.0,15.78
1996,6,26.7,37.89,20.61
1996,7,24.87,31.89,21.11
1996,8,23.71,30.39,19.89
1996,9,24.11,32.61,17.89
1996,10,23.74,32.61,13.22
1996,11,21.1,31.89,9.89
1996,12,19.58,30.72,6.11
1997,1,19.19,32.28,4.72
1997,2,20.63,35.89,6.11
1997,3,26.36,37.61,11.0
1997,4,27.56,39.28,10.78
1997,5,28.95,40.0,16.89
1997,6,26.23,36.22,19.61
1997,7,25.1,30.89,21.28
1997,8,23.97,29.11,19.89
1997,9,24.77,31.78,17.72
1997,10,25.32,34.72,16.5
1997,11,24.24,32.22,15.89
1997,12,21.32,30.78,10.22
1998,1,20.64,32.39,8.5
1998,2,21.82,34.72,8.5
1998,3,26.35,39.22,10.22
1998,4,30.3,40.5,16.39
1998,5,31.25,42.39,18.28
1998,6,27.85,40.72,21.11
1998,7,25.29,37.61,21.28
1998,8,24.95,31.72,20.0
1998,9,24.74,31.28,20.0
1998,10,24.44,32.28,11.22
1998,11,22.81,32.22,8.28
1998,12,19.14,29.78,6.11
1999,1,19.1,31.89,7.0
1999,2,23.99,35.78,7.28
1999,3,27.66,39.39,13.0
1999,4,29.86,41.22,16.89
1999,5,28.57,40.61,18.5
1999,6,25.8,34.5,20.22
1999,7,24.54,32.89,21.5
1999,8,23.88,30.0,18.89
1999,9,24.21,31.28,18.0
1999,10,24.29,32.0,12.78
1999,11,22.26,38.5,8.11
1999,12,19.75,30.89,6.72
2000,1,21.09,33.72,5.89
2000,2,21.47,32.89,8.61
2000,3,25.52,38.89,10.39
2000,4,29.77,40.61,15.78
2000,5,28.03,41.22,16.89
2000,6,25.96,34.61,20.22
2000,7,24.32,31.22,19.72
2000,8,24.43,32.0,20.28
2000,9,24.74,33.11,17.28
2000,10,25.3,34.22,13.11
2000,11,22.12,33.39,10.0
2000,12,19.06,32.0,5.61
2001,1,21.11,34.5,8.0
2001,2,23.01,37.72,7.28
2001,3,25.61,37.22,9.22
2001,4,29.47,41.39,15.0
2001,5,28.95,42.11,20.39
2001,6,26.04,35.61,21.0
2001,7,24.02,29.0,21.28
2001,8,23.79,29.0,20.89
2001,9,24.95,32.89,19.0
2001,10,24.33,33.89,12.0
2001,11,22.31,32.61,9.72
2001,12,20.26,31.72,7.61
2002,1,18.98,32.39,5.5
2002,2,23.78,36.39,9.39
2002,3,26.58,38.89,12.72
2002,4,30.18,41.28,16.5
2002,5,29.6,42.39,22.72
2002,6,26.24,36.5,13.89
2002,7,25.15,30.28,21.22
2002,8,23.57,29.61,18.72
2002,9,24.56,35.11,18.61
2002,10,25.49,36.89,11.22
2002,11,22.57,33.78,9.5
2002,12,20.83,33.89,9.0
2003,1,21.16,34.0,6.89
2003,2,23.92,36.78,10.72
2003,3,26.6,38.5,9.89
2003,4,29.64,41.0,16.28
2003,5,29.73,42.39,13.78
2003,6,26.77,38.22,20.78
2003,7,25.05,32.0,21.89
2003,8,23.94,34.0,20.0
2003,9,24.13,32.78,19.0
2003,10,25.19,35.11,12.22
2003,11,22.82,33.89,10.28
2003,12,20.07,32.11,8.39
2004,1,20.33,33.39,8.22
2004,2,23.2,36.78,7.28
2004,3,27.58,40.11,11.72
2004,4,29.05,40.11,14.11
2004,5,28.51,41.28,19.39
2004,6,26.01,36.39,20.0
2004,7,24.68,31.5,20.0
2004,8,23.54,29.22,20.0
2004,9,24.69,32.22,19.11
2004,10,24.04,32.78,12.72
2004,11,22.52,32.89,10.11
2004,12,19.63,32.11,8.11
2005,1,20.15,32.89,5.89
2005,2,22.01,35.89,5.72
2005,3,25.89,38.72,11.28
2005,4,28.86,40.5,15.11
2005,5,29.41,41.78,16.39
2005,6,27.03,38.11,21.0
2005,7,24.7,32.0,20.28
2005,8,23.82,32.11,18.78
2005,9,24.09,33.22,18.0
2005,10,24.13,32.78,12.5
2005,11,20.59,32.22,8.28
2005,12,19.04,30.89,6.28
2006,1,19.48,33.72,4.72
2006,2,22.93,36.5,9.11
2006,3,25.56,38.0,10.89
2006,4,28.7,39.28,15.72
2006,5,29.61,40.5,20.5
2006,6,26.24,34.72,21.11
2006,7,24.0,29.28,20.28
2006,8,23.51,28.72,19.89
2006,9,24.9,32.72,20.28
2006,10,25.03,32.72,15.11
2006,11,23.13,31.72,12.61
2006,12,20.49,31.39,9.11
2007,1,21.13,33.11,10.39
2007,2,22.92,35.28,11.28
2007,3,26.46,39.61,11.5
2007,4,29.52,41.39,16.22
2007,5,29.08,41.89,21.0
2007,6,26.68,37.5,22.28
2007,7,25.12,33.0,20.22
2007,8,24.34,31.39,20.5
2007,9,24.99,32.89,20.28
2007,10,24.94,34.28,13.39
2007,11,22.49,34.22,8.28
2007,12,21.19,33.5,10.89
2008,1,19.79,33.28,5.78
2008,2,21.9,35.61,6.39
2008,3,26.87,38.61,12.72
2008,4,29.16,42.11,14.78
2008,5,29.02,38.89,20.61
2008,6,25.95,37.39,20.39
2008,7,24.75,32.0,21.28
2008,8,24.04,33.5,19.0
2008,9,24.29,32.11,17.72
2008,10,24.1,34.11,11.61
2008,11,23.19,33.78,9.89
2008,12,21.31,31.89,8.61
2009,1,21.14,35.28,9.39
2009,2,23.28,37.78,9.39
2009,3,26.93,39.22,12.72
2009,4,30.54,41.72,15.11
2009,5,29.8,40.28,20.0
2009,6,27.53,37.11,20.39
2009,7,24.55,31.39,22.0
2009,8,24.68,33.0,21.61
2009,9,25.25,34.11,19.61
2009,10,24.46,34.28,12.78
2009,11,22.9,32.5,11.39
2009,12,20.77,31.5,8.5
2010,1,20.35,31.0,9.11
2010,2,23.2,36.28,10.39
