Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,20.07,34.0,6.0
1975,2,22.03,35.0,8.0
1975,3,26.42,40.0,11.0
1975,4,31.09,42.0,17.0
1975,5,31.69,42.0,20.0
1975,6,30.69,40.0,25.0
1975,7,28.4,37.0,24.0
1975,8,27.08,34.0,22.0
1975,9,27.2,35.0,21.0
1975,10,28.15,35.0,18.0
1975,11,25.14,34.0,12.0
1975,12,22.18,32.0,11.0
1976,1,20.62,31.0,9.0
1976,2,23.61,34.0,13.0
1976,3,27.51,39.0,17.0
1976,4,29.28,39.0,18.0
1976,5,31.14,41.0,20.0
1976,6,29.92,38.0,22.0
1976,7,28.49,38.0,20.0
1976,8,27.17,33.0,22.0
1976,9,26.89,39.0,21.0
1976,10,30.59,39.0,20.0
1976,11,27.95,40.0,15.0
1976,12,22.27,33.0,6.0
1977,1,20.3,33.0,7.0
1977,2,23.69,35.0,10.0
1977,3,29.34,41.0,14.0
1977,4,30.53,41.0,20.0
1977,5,31.88,43.0,20.0
1977,6,30.12,46.0,20.0
1977,7,27.54,35.0,21.0
1977,8,27.46,38.0,21.0
1977,9,27.26,37.0,20.0
1977,10,29.98,39.0,20.0
1977,11,27.63,38.0,18.0
1977,12,23.04,33.0,10.0
1978,1,20.3,31.0,6.0
1978,2,22.89,35.0,7.0
1978,3,25.25,37.0,11.0
1978,4,30.06,40.0,20.0
1978,5,31.94,47.0,20.0
1978,6,29.94,41.0,23.0
1978,7,27.65,36.0,22.0
1978,8,27.14,33.0,22.0
1978,9,27.0,38.0,20.0
1978,10,29.4,38.0,18.0
1978,11,26.02,36.0,11.0
1978,12,23.12,33.0,12.0
1979,1,19.94,34.0,1.0
1979,2,21.67,34.0,9.0
1979,3,24.62,36.0,9.0
1979,4,30.21,43.0,19.0
1979,5,31.31,44.0,18.0
1979,6,31.19,43.0,21.0
1979,7,29.19,37.0,24.0
1979,8,26.29,34.0,13.0
1979,9,27.89,39.0,20.0
1979,10,27.31,37.0,11.0
1979,11,25.54,37.0,12.0
1979,12,22.01,30.0,12.0
1980,1,19.44,33.0,9.0
1980,2,22.65,37.0,8.0
1980,3,26.39,39.0,9.0
1980,4,31.4,43.0,19.0
1980,5,32.43,44.0,21.0
1980,6,30.54,41.0,23.0
1980,7,28.04,38.0,10.0
1980,8,27.45,34.0,23.0
1980,9,27.8,38.0,22.0
1980,10,29.1,40.0,19.0
1980,11,25.75,35.0,16.0
1980,12,21.41,33.0,9.0
1981,1,20.82,33.0,9.0
1981,2,22.96,37.0,9.0
1981,3,26.82,42.0,17.0
1981,4,30.12,42.0,18.0
1981,5,31.94,42.0,20.0
1981,6,31.61,43.0,20.0
1981,7,28.21,37.0,22.0
1981,8,26.83,34.0,22.0
1981,9,28.03,37.0,20.0
1981,10,28.27,43.0,20.0
1981,11,22.97,38.0,14.0
1981,12,21.17,31.0,9.0
1982,1,19.94,30.0,7.28
1982,2,22.0,33.28,12.0
1982,3,25.36,40.61,10.72
1982,4,29.0,39.5,18.22
1982,5,30.79,41.28,20.22
1982,6,31.55,40.0,23.28
1982,7,28.78,37.39,23.39
1982,8,27.58,39.0,14.39
1982,9,28.11,38.0,21.89
1982,10,29.87,39.0,20.11
1982,11,24.91,35.89,13.61
1982,12,21.74,32.22,11.39
1983,1,19.64,32.0,9.0
1983,2,21.45,33.22,8.78
1983,3,25.12,37.39,14.39
1983,4,27.76,42.61,16.72
1983,5,32.1,42.0,22.0
1983,6,30.78,40.61,22.28
1983,7,28.48,38.5,22.61
1983,8,27.46,32.78,23.61
1983,9,28.15,36.39,23.11
1983,10,27.81,36.61,17.61
1983,11,24.47,34.78,13.61
1983,12,20.38,31.22,7.0
1984,1,18.63,30.22,8.22
1984,2,20.18,34.0,0.78
1984,3,27.51,40.11,16.11
1984,4,31.15,41.22,20.61
1984,5,31.95,41.61,21.22
1984,6,31.02,41.28,24.28
1984,7,28.1,35.0,23.5
1984,8,25.91,38.78,22.61
1984,9,27.05,36.61,21.5
1984,10,27.98,38.22,16.11
1984,11,25.48,35.39,13.72
1984,12,21.45,33.78,8.61
1985,1,20.05,31.11,7.89
1985,2,22.89,37.28,10.61
1985,3,28.2,38.78,16.11
1985,4,29.23,40.5,20.28
1985,5,32.11,42.72,23.11
1985,6,31.45,38.78,25.11
1985,7,28.66,36.61,23.61
1985,8,27.09,34.0,23.0
1985,9,27.71,38.28,22.22
1985,10,28.73,39.5,19.5
1985,11,25.96,35.0,14.78
1985,12,22.23,32.39,9.0
1986,1,20.46,32.22,9.5
1986,2,22.69,34.22,10.89
1986,3,26.96,39.61,10.22
1986,4,30.42,41.11,17.61
1986,5,32.44,43.22,21.5
1986,6,31.05,41.11,23.0
1986,7,29.21,35.61,23.28
1986,8,27.45,34.39,21.78
1986,9,28.57,38.39,16.28
1986,10,29.33,39.78,19.0
1986,11,27.07,37.11,12.0
1986,12,21.3,34.61,1.39
1987,1,20.93,33.22,8.39
1987,2,23.77,36.11,9.78
1987,3,27.41,39.39,14.39
1987,4,29.84,42.39,20.11
1987,5,31.72,41.78,22.61
1987,6,32.27,42.22,23.78
1987,7,30.65,39.0,25.28
1987,8,29.88,38.78,22.78
1987,9,30.33,40.22,22.0
1987,10,31.87,40.39,21.0
1987,11,27.31,38.39,11.39
1987,12,22.53,33.39,10.78
1988,1,22.65,33.0,10.22
1988,2,24.44,35.22,13.39
1988,3,26.35,42.0,15.72
1988,4,30.86,42.61,19.61
1988,5,32.32,44.61,23.39
1988,6,31.97,42.22,25.0
1988,7,28.24,38.0,23.28
1988,8,27.55,33.72,24.0
1988,9,28.48,35.89,23.5
1988,10,28.42,36.22,21.11
1988,11,24.58,34.78,10.0
1988,12,22.55,35.61,11.22
1989,1,18.71,31.28,8.11
1989,2,21.39,35.28,8.39
1989,3,25.58,37.0,12.28
1989,4,29.73,42.61,17.61
1989,5,32.19,43.78,22.39
1989,6,30.02,41.28,23.5
1989,7,27.45,35.28,23.78
1989,8,27.16,34.78,22.78
1989,9,28.04,36.39,22.61
1989,10,28.37,37.39,19.22
1989,11,26.51,36.78,15.39
1989,12,21.82,32.61,10.0
1990,1,21.61,34.78,9.72
1990,2,22.94,37.39,11.5
1990,3,25.19,37.61,11.0
1990,4,29.91,42.0,19.22
1990,5,31.73,47.0,24.5
1990,6,31.11,40.61,25.61
1990,7,28.72,35.0,24.61
1990,8,27.2,35.61,23.61
1990,9,27.22,34.22,22.22
1990,10,28.25,37.22,17.22
1990,11,25.83,36.0,9.0
1990,12,21.14,32.22,7.11
1991,1,19.49,36.39,7.0
1991,2,21.89,34.22,7.0
1991,3,27.34,43.5,15.39
1991,4,30.11,41.11,20.78
1991,5,31.86,42.78,24.39
1991,6,32.01,45.78,23.78
1991,7,28.63,38.28,23.39
1991,8,26.89,32.5,23.22
1991,9,27.64,38.28,21.78
