Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,2,26.18,32.0,17.0
1975,3,29.91,40.0,20.0
1975,6,30.11,34.0,25.0
1975,7,28.68,34.0,23.0
1975,8,28.58,37.0,24.0
1975,9,27.44,35.0,23.0
1975,10,27.5,34.0,22.0
1975,11,22.46,31.0,13.0
1975,12,20.38,31.0,10.0
1976,1,21.58,31.0,11.0
1976,2,25.69,37.0,15.0
1976,3,30.64,40.0,14.0
1976,4,32.66,43.0,21.0
1976,5,36.1,44.0,24.0
1976,6,32.06,41.0,20.0
1976,7,27.87,36.0,23.0
1976,8,27.65,34.0,9.0
1976,9,28.68,37.0,22.0
1976,10,28.63,37.0,13.0
1976,11,26.97,35.0,17.0
1976,12,23.62,35.0,11.0
1977,1,23.06,35.0,9.0
1977,2,27.18,38.0,12.0
1977,3,31.11,42.0,20.0
1977,4,32.97,43.0,19.0
1977,5,34.19,45.0,24.0
1977,6,32.89,45.0,24.0
1977,7,29.03,38.0,23.0
1977,8,27.48,34.0,9.0
1977,9,28.33,37.0,21.0
1977,10,28.3,37.0,18.0
1977,11,27.04,41.0,19.0
1977,12,22.43,34.0,12.0
1978,1,23.32,37.0,11.0
1978,2,25.68,36.0,15.0
1978,3,29.32,40.0,18.0
1978,4,33.12,44.0,23.0
1978,5,36.75,47.0,27.0
1978,6,30.87,44.0,16.0
1978,7,27.06,37.0,22.0
1978,8,26.82,33.0,22.0
1978,9,27.84,38.0,20.0
1978,10,28.02,36.0,18.0
1978,11,26.15,36.0,16.0
1978,12,22.44,32.0,13.0
1979,1,24.13,34.0,10.0
1979,2,25.62,39.0,16.0
1979,3,29.86,42.0,14.0
1979,4,33.31,45.0,20.0
1979,5,34.76,49.0,15.0
1979,6,33.83,47.0,16.0
1979,7,29.9,37.0,20.0
1979,8,28.63,38.0,20.0
1979,9,28.32,38.0,20.0
1979,10,28.52,38.0,20.0
1979,11,26.68,37.0,17.0
1979,12,23.14,33.0,13.0
1980,1,24.79,35.0,15.0
1980,2,27.96,39.0,18.0
1980,3,30.79,42.0,16.0
