Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,24.24,35.0,6.0
1975,2,24.89,35.0,15.0
1975,3,25.98,32.0,12.0
1975,4,28.73,39.0,22.0
1975,5,29.69,33.0,25.0
1975,6,27.31,39.0,23.0
1975,7,26.76,39.0,23.0
1975,8,25.94,5537.72,10.0
1975,9,26.45,31.0,23.0
1975,10,26.39,33.0,20.0
1975,11,26.14,35.0,17.0
1975,12,24.57,35.0,16.0
1976,1,24.24,33.0,17.0
1976,2,25.18,38.0,17.0
1976,3,27.04,37.0,19.0
1976,4,27.03,32.0,21.0
1976,5,28.58,33.0,21.0
1976,6,27.23,32.0,23.0
1976,7,26.69,36.0,22.0
1976,8,26.31,31.0,22.0
1976,9,26.8,39.0,22.0
1976,10,28.76,37.0,22.0
1976,11,28.39,37.0,21.0
1976,12,26.8,35.0,18.0
1977,1,25.15,43.0,17.0
1977,2,26.0,38.0,18.0
1977,3,28.44,36.0,21.0
1977,4,28.95,34.0,24.0
1977,5,29.84,34.0,26.0
1977,6,28.01,35.0,22.0
1977,7,26.44,5537.72,16.0
1977,8,26.52,37.0,23.0
1977,9,26.69,33.0,22.0
1977,10,28.75,37.0,20.0
1977,11,27.47,39.0,21.0
1977,12,26.31,38.0,17.0
1978,1,25.06,33.0,17.0
1978,2,24.82,35.0,16.0
1978,3,25.68,32.0,18.0
1978,4,28.11,38.0,22.0
1978,5,29.65,37.0,20.0
1978,6,26.51,33.0,18.0
1978,7,26.09,30.0,16.0
1978,8,25.85,29.0,18.0
1978,9,25.74,35.0,22.0
1978,10,27.88,36.0,22.0
1978,11,27.59,36.0,16.0
1978,12,26.88,35.0,20.0
1979,1,25.36,35.0,17.0
1979,2,24.69,35.0,16.0
1979,3,26.47,38.0,17.0
1979,4,27.93,37.0,20.0
1979,5,28.82,38.0,20.0
1979,6,27.91,5537.72,16.0
1979,7,27.14,5537.72,23.0
1979,8,26.35,42.0,23.0
1979,9,26.95,34.0,23.0
1979,10,28.41,36.0,24.0
1979,11,27.73,37.0,22.0
1979,12,26.67,34.0,17.0
1980,1,25.2,38.0,18.0
1980,2,25.64,34.0,16.0
1980,3,26.84,38.0,19.0
1980,4,29.64,41.0,24.0
1980,5,30.3,38.0,20.0
1980,6,26.67,33.0,16.0
1980,7,27.11,30.0,18.0
1980,8,26.24,30.0,23.0
1980,9,26.63,32.0,22.0
1980,10,27.96,36.0,22.0
1980,11,27.87,37.0,20.0
1980,12,25.36,36.0,16.0
1981,1,24.93,36.0,15.0
