Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,16.67,28.0,6.0
1975,2,20.94,31.0,4.0
1975,3,25.41,39.0,16.0
1975,4,31.19,40.0,20.0
1975,5,35.18,42.0,27.0
1975,6,29.78,36.0,25.0
1975,7,24.68,30.0,21.0
1975,8,24.07,29.0,20.0
1975,9,25.22,42.0,20.0
1975,10,24.54,31.0,17.0
1975,11,18.02,33.0,0.0
1975,12,16.82,5537.72,0.0
1976,1,17.6,29.0,6.0
1976,2,20.19,33.0,9.0
1976,3,25.4,37.0,12.0
1976,4,28.81,41.0,17.0
1976,5,32.64,40.0,24.0
1976,6,27.91,38.0,12.0
1976,7,25.53,43.0,19.0
1976,8,25.18,36.0,21.0
1976,9,25.26,33.0,20.0
1976,10,24.42,38.0,15.0
1976,11,23.44,33.0,13.0
1976,12,19.41,32.0,9.0
1977,1,17.76,29.0,7.0
1977,2,22.06,32.0,5.0
1977,3,27.14,38.0,12.0
1977,4,28.51,40.0,18.0
1977,5,29.79,43.0,19.0
1977,7,25.87,34.0,23.0
1977,8,25.42,33.0,20.0
1977,9,24.45,32.0,20.0
1977,10,24.07,32.0,16.0
1977,11,21.83,33.0,13.0
1977,12,16.98,26.0,6.0
1978,1,16.39,28.0,6.0
1978,2,18.64,30.0,9.0
1978,3,22.71,33.0,9.0
1978,4,29.22,40.0,18.0
1978,5,33.22,42.0,24.0
1978,6,27.95,42.0,20.0
1978,7,25.06,30.0,21.0
1978,8,24.68,34.0,21.0
1978,9,24.96,30.0,21.0
1978,10,22.89,32.0,14.0
1978,11,21.23,31.0,13.0
1978,12,15.61,27.0,6.0
1979,1,17.65,28.0,6.0
1979,2,17.7,33.0,0.0
1979,3,23.63,37.0,9.0
1979,4,29.79,42.0,18.0
1979,5,30.97,42.0,20.0
1979,6,30.46,43.0,22.0
1979,7,26.83,33.0,22.0
1979,8,25.67,32.0,11.0
1979,9,26.08,33.0,20.0
1979,10,24.87,34.0,13.0
1979,11,23.46,33.0,10.0
1979,12,18.07,30.0,8.0
1980,1,18.64,30.0,7.0
1980,2,21.43,34.0,7.0
1980,3,24.41,35.0,14.0
1980,4,32.35,39.0,22.0
1980,5,32.7,43.0,25.0
1980,6,28.17,40.0,22.0
1980,7,25.44,38.0,22.0
1980,8,25.14,35.0,21.0
1980,9,25.2,33.0,16.0
1980,10,24.03,34.0,13.0
1980,11,21.34,37.0,12.0
1980,12,17.46,29.0,7.0
1981,1,16.16,29.0,5.0
1981,2,21.01,34.0,7.0
1981,3,24.28,35.0,13.0
1981,4,29.69,40.0,17.0
1981,5,31.93,43.0,19.0
1981,6,30.36,43.0,20.0
1981,7,25.12,5537.72,16.0
1981,8,25.92,42.0,22.0
1981,9,24.97,33.0,20.0
1981,10,23.37,33.0,10.0
1981,11,19.65,33.0,10.0
1981,12,16.37,33.0,8.0
1982,1,18.25,32.78,10.5
1982,2,19.31,30.0,9.28
1982,3,23.46,35.22,11.78
1982,4,30.14,43.28,17.5
1982,5,30.23,40.89,15.78
1982,6,29.6,40.28,22.28
1982,7,26.87,39.61,21.61
1982,8,24.93,36.0,21.22
1982,9,25.34,32.61,17.11
1982,10,23.05,31.22,10.78
1982,11,20.05,34.61,9.0
1982,12,18.27,33.0,8.0
1983,1,17.0,28.28,6.72
1983,2,19.1,31.0,6.0
1983,3,25.3,36.72,12.39
1983,4,28.76,41.39,18.39
1983,5,30.37,40.89,20.11
1983,6,31.02,42.0,21.5
1983,7,26.94,34.22,21.61
1983,8,26.59,38.61,21.11
1983,9,25.34,33.28,21.72
1983,10,21.59,29.5,12.89
1983,11,19.29,33.28,9.61
1983,12,18.19,24.61,10.5
1984,1,18.62,25.39,13.39
1984,2,17.14,27.11,6.78
1984,3,25.4,38.5,11.61
1984,4,29.43,40.5,16.72
1984,5,34.08,43.61,21.39
1984,6,27.77,40.5,20.0
1984,7,25.52,35.39,20.78
1984,8,24.6,31.28,20.89
1984,9,24.69,31.78,18.5
1984,10,24.06,32.78,14.72
1984,11,20.51,29.0,11.11
1984,12,17.01,25.39,6.0
1985,1,16.54,25.0,9.0
1985,3,30.21,37.0,18.28
1985,4,31.22,40.61,20.0
1985,5,32.5,42.5,20.39
1985,6,30.39,40.5,22.0
1985,7,24.92,35.28,20.5
1985,8,24.88,31.78,19.22
1985,9,25.43,32.11,20.39
1985,10,23.15,31.28,13.78
1985,11,20.51,29.5,11.61
1985,12,18.77,29.5,8.89
1986,1,17.48,28.39,4.61
1986,2,19.08,33.89,10.89
