Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,13.28,23.0,0.0
1975,2,16.44,30.0,4.0
1975,3,22.95,34.0,11.0
1975,4,30.29,40.0,18.0
1975,5,34.48,43.0,22.0
1975,6,31.94,43.0,22.0
1975,7,29.91,40.0,23.0
1975,8,28.88,42.0,24.0
1975,9,27.49,37.0,22.0
1975,10,26.13,36.0,13.0
1975,11,18.54,32.0,7.0
1975,12,15.27,27.0,0.0
1976,1,15.48,28.0,6.0
1976,2,17.4,27.0,8.0
1976,3,22.23,33.0,12.0
1976,4,28.27,41.0,13.0
1976,5,31.62,42.0,21.0
1976,6,31.74,43.0,20.0
1976,7,30.5,44.0,24.0
1976,8,28.0,36.0,16.0
1976,9,29.01,35.0,22.0
1976,10,27.31,38.0,16.0
1976,11,21.37,35.0,10.0
1976,12,15.13,28.0,6.0
1977,1,14.01,25.0,4.0
1977,2,17.34,30.0,7.0
1977,3,24.29,37.0,10.0
1977,4,28.03,41.0,18.0
1977,5,30.81,42.0,19.0
1977,6,32.22,44.0,21.0
1977,7,28.12,36.0,21.0
1977,8,29.53,36.0,25.0
1977,9,28.03,36.0,23.0
1977,10,26.55,38.0,18.0
1977,11,22.09,33.0,11.0
1977,12,16.22,33.0,7.0
1978,1,13.81,27.0,4.0
1978,2,15.69,28.0,1.0
1978,3,20.56,33.0,9.0
1978,4,28.73,41.0,16.0
1978,5,35.18,45.0,24.0
1978,6,33.0,44.0,23.0
1978,7,29.06,36.0,24.0
1978,8,28.56,36.0,24.0
1978,9,28.64,35.0,23.0
1978,10,26.05,36.0,17.0
1978,11,20.53,33.0,7.0
1978,12,14.97,30.0,4.0
1979,1,14.89,25.0,1.0
1979,2,16.04,31.0,0.0
1979,3,21.18,34.0,6.0
1979,4,29.46,43.0,17.0
1979,5,31.08,43.0,21.0
1979,6,33.46,44.0,21.0
1979,7,30.94,43.0,23.0
1979,8,30.74,38.0,25.0
1979,9,29.33,39.0,20.0
1979,10,26.81,36.0,18.0
1979,11,21.58,32.0,10.0
1979,12,15.56,27.0,5.0
1980,1,13.49,27.0,0.0
1980,2,18.39,31.0,4.0
1980,3,21.7,33.0,10.0
1980,4,31.01,42.0,17.0
1980,5,34.51,43.0,23.0
1980,6,32.66,43.0,23.0
1980,7,29.38,37.0,15.0
1980,8,30.28,37.0,23.0
1980,9,29.29,38.0,22.0
1980,10,26.48,37.0,16.0
1980,11,19.83,31.0,11.0
1980,12,15.06,25.0,6.0
1981,1,14.31,25.0,5.0
1981,2,17.6,30.0,7.0
1981,3,21.73,33.0,12.0
1981,4,29.64,41.0,17.0
1981,5,32.75,43.0,22.0
1981,6,34.16,44.0,24.0
1981,7,29.93,37.0,25.0
1981,8,30.29,37.0,25.0
1981,9,30.07,38.0,21.0
1981,10,25.63,36.0,14.0
1981,11,18.77,29.0,10.0
1981,12,14.29,24.0,6.0
1982,1,14.05,24.39,5.89
1982,2,15.78,26.0,7.22
1982,3,19.74,32.78,7.5
1982,4,27.22,38.0,15.78
1982,5,29.44,42.22,15.72
1982,6,33.02,43.28,21.89
1982,7,31.99,42.0,24.39
1982,8,29.51,36.61,23.72
1982,9,29.84,37.78,19.5
1982,10,26.21,35.61,16.78
1982,11,20.38,32.28,7.28
1982,12,15.33,28.89,6.28
1983,1,12.84,23.5,4.61
1983,2,16.04,27.5,5.78
1983,3,21.64,33.11,10.0
1983,4,25.5,40.5,14.11
1983,5,30.71,41.28,20.5
1983,6,32.12,43.28,22.0
1983,7,30.23,38.39,22.61
1983,8,29.16,35.5,23.11
1983,9,29.47,38.61,23.89
1983,10,24.99,37.11,13.72
1983,11,18.63,31.39,10.0
1983,12,14.65,25.5,5.5
1984,1,12.7,22.89,3.72
1984,2,14.89,26.11,4.72
1984,3,24.2,37.5,10.11
1984,4,28.93,41.22,16.22
1984,5,34.94,45.22,22.28
1984,6,33.81,43.61,21.89
1984,7,29.7,36.39,23.22
1984,8,29.33,37.89,22.39
1984,9,27.92,34.72,19.89
1984,10,24.89,35.0,14.61
1984,11,19.08,31.11,8.78
1984,12,15.07,27.39,5.0
1985,1,13.6,23.78,6.28
1985,2,17.35,32.5,6.61
1985,3,24.43,37.0,13.0
1985,4,29.42,41.39,18.11
1985,5,33.69,44.0,22.39
1985,6,33.67,42.61,21.72
1985,7,29.44,41.11,21.0
1985,8,29.7,36.61,23.61
1985,9,28.89,37.11,22.61
1985,10,23.88,35.78,15.11
1985,11,19.44,32.89,9.72
1985,12,15.9,27.0,5.11
1986,1,13.36,25.72,3.72
1986,2,16.03,26.72,7.11
1986,3,22.33,36.11,11.5
1986,4,28.88,41.0,15.0
1986,5,30.47,41.72,19.22
1986,6,33.27,44.5,21.72
1986,7,30.09,38.5,20.28
1986,8,30.32,40.11,23.78
1986,9,28.96,38.28,20.78
1986,10,25.42,34.61,13.28
1986,11,20.42,32.28,9.28
1986,12,13.55,26.28,3.5
1987,1,14.15,24.72,5.39
1987,2,18.29,29.61,8.72
1987,3,23.29,35.28,12.0
1987,4,29.34,41.72,16.89
1987,5,29.67,42.39,16.78
1987,6,34.47,45.0,22.5
1987,7,34.21,43.5,24.5
1987,8,32.07,42.0,23.61
1987,9,31.05,38.78,24.11
1987,10,26.93,38.28,15.39
1987,11,19.66,31.72,8.28
1987,12,14.51,29.28,4.11
1988,1,14.81,26.0,5.72
1988,2,18.09,29.61,8.11
1988,3,22.45,35.28,11.11
1988,4,30.22,41.22,16.61
1988,5,35.32,45.72,24.78
1988,6,32.32,44.5,22.5
1988,7,29.74,36.5,24.22
1988,8,28.82,35.89,18.11
1988,9,29.78,38.61,22.61
1988,10,25.29,34.89,16.61
1988,11,19.31,32.0,9.0
1988,12,15.05,26.78,6.28
1989,1,12.56,25.0,2.78
1989,2,16.2,30.89,4.78
1989,3,21.62,32.61,8.89
1989,4,27.33,39.28,13.39
1989,5,32.81,43.0,19.61
1989,6,32.5,47.89,23.22
1989,7,31.2,40.5,24.5
1989,8,29.8,38.0,24.11
1989,9,28.86,37.22,21.39
1989,10,25.69,36.89,14.78
1989,11,19.44,33.78,8.5
1989,12,13.49,25.39,3.61
1990,1,15.84,28.78,5.22
1990,2,16.33,26.89,7.28
1990,3,20.91,32.89,8.28
1990,4,28.43,42.0,13.5
1990,5,31.52,42.72,17.89
1990,6,34.04,42.5,25.11
1990,7,29.92,37.39,23.11
1990,8,29.67,36.5,23.39
1990,9,28.42,37.22,23.5
1990,10,25.14,34.39,13.11
1990,11,19.73,31.22,9.78
