Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,15.09,27.0,0.0
1975,2,18.83,31.0,6.0
1975,3,24.91,36.0,12.0
1975,4,31.83,41.0,18.0
1975,5,36.16,44.0,24.0
1975,6,31.94,45.0,25.0
1975,7,27.23,35.0,22.0
1975,8,27.47,38.0,23.0
1975,9,27.13,39.0,23.0
1975,10,26.47,33.0,17.0
1975,11,19.75,30.0,7.0
1975,12,16.13,27.0,0.0
1976,1,17.23,30.0,4.0
1976,2,19.26,32.0,7.0
1976,3,26.08,37.0,9.0
1976,4,29.92,42.0,16.0
1976,5,34.22,43.0,23.0
1976,6,31.58,45.0,22.0
1976,7,28.02,39.0,6.0
1976,8,27.22,37.0,23.0
1976,9,26.99,34.0,22.0
1976,10,26.28,36.0,15.0
1976,11,23.63,33.0,12.0
1976,12,19.51,31.0,5.0
1977,1,17.87,5537.72,8.0
1977,2,20.05,39.0,7.0
1977,3,28.2,40.0,12.0
1977,4,29.81,43.0,16.0
1977,5,32.75,43.0,21.0
1977,6,32.83,45.0,24.0
1977,7,27.74,40.0,16.0
1977,8,27.66,34.0,5.0
1977,9,26.22,33.0,5.0
1977,10,25.67,35.0,18.0
1977,11,22.98,35.0,11.0
1977,12,18.14,28.0,8.0
1978,1,16.08,30.0,4.0
1978,2,18.79,33.0,8.0
1978,3,23.26,35.0,11.0
1978,4,29.99,42.0,16.0
1978,5,36.3,49.0,18.0
1978,6,32.42,44.0,24.0
1978,7,27.88,33.0,20.0
1978,8,26.88,37.0,23.0
1978,9,26.35,32.0,20.0
1978,10,25.08,34.0,14.0
1978,11,22.06,34.0,8.0
1978,12,15.93,27.0,0.0
1979,1,16.99,30.0,6.0
1979,2,17.92,30.0,8.0
1979,3,23.48,37.0,8.0
1979,4,30.35,47.0,18.0
1979,5,33.33,48.0,22.0
1979,6,34.53,46.0,24.0
1979,7,29.43,38.0,16.0
1979,8,28.42,39.0,23.0
1979,9,29.66,43.0,22.0
1979,10,27.76,38.0,18.0
1979,11,25.12,34.0,14.0
1979,12,18.7,33.0,8.0
1980,1,17.1,33.0,5.0
1980,2,21.09,34.0,5.0
1980,3,25.32,38.0,12.0
1980,4,32.55,44.0,19.0
1980,5,36.73,46.0,26.0
1980,6,30.81,42.0,23.0
1980,7,27.82,34.0,23.0
1980,8,27.03,34.0,6.0
1980,9,28.36,35.0,22.0
1980,10,26.8,38.0,15.0
1980,11,22.51,33.0,12.0
1980,12,18.25,30.0,1.0
1981,1,16.8,29.0,6.0
1981,2,21.04,34.0,8.0
1981,3,25.4,38.0,13.0
1981,4,32.43,44.0,17.0
1981,5,35.36,44.0,23.0
1981,6,34.9,47.0,22.0
1981,7,28.39,36.0,24.0
1981,8,27.98,35.0,22.0
1981,9,27.84,38.0,6.0
1981,10,26.44,35.0,10.0
1981,11,21.0,33.0,8.0
1981,12,17.36,30.0,6.0
1982,1,17.58,29.39,8.22
1982,2,19.3,31.22,8.11
1982,3,23.83,37.11,11.0
1982,4,30.53,40.0,16.61
1982,5,32.66,42.22,16.61
1982,6,33.41,43.78,19.22
1982,7,30.69,43.0,23.0
1982,8,27.09,33.11,22.11
1982,9,27.81,38.5,20.11
1982,10,27.02,35.0,17.5
1982,11,21.96,31.22,8.22
1982,12,18.31,28.39,7.28
1983,1,16.12,29.0,4.61
1983,2,19.05,30.5,6.28
1983,3,25.56,37.39,12.5
1983,4,28.82,42.28,13.89
1983,5,33.3,43.22,21.61
1983,6,35.03,43.89,23.28
1983,7,29.12,38.22,23.72
1983,8,28.4,34.11,23.5
1983,9,27.9,38.39,23.72
1983,10,25.42,33.61,13.61
1983,11,20.27,30.0,9.11
1983,12,17.82,28.28,5.39
1984,1,16.7,28.0,6.5
1984,2,18.65,28.78,5.39
1984,3,26.73,40.61,10.61
1984,4,32.06,42.0,18.0
1984,5,37.14,45.5,24.11
1984,6,32.64,43.72,23.39
1984,7,29.9,35.61,23.22
1984,8,26.52,34.0,23.22
1984,9,28.03,34.72,20.5
1984,10,27.91,34.89,18.11
1984,11,22.13,30.72,7.39
1984,12,18.04,28.22,4.89
1985,1,17.08,28.78,4.72
1985,2,20.52,33.61,6.78
1985,3,28.62,39.78,13.0
1985,4,29.62,38.72,19.22
1985,5,34.33,39.78,26.22
1985,6,33.92,43.72,25.28
1985,8,27.31,33.72,23.22
1985,9,28.13,31.89,24.0
1985,10,26.41,31.0,21.39
1985,12,23.78,27.72,8.0
1986,1,19.53,25.89,6.61
1986,2,19.61,23.61,11.39
1986,3,25.03,32.0,12.61
1986,5,37.5,41.39,23.22
1986,7,32.33,34.78,28.61
1986,8,25.72,28.61,24.22
1986,9,28.89,34.5,23.72
1986,11,27.35,33.5,11.22
1986,12,17.86,22.11,8.0
