Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,22.78,33.0,6.0
1975,2,26.04,36.0,10.0
1975,3,30.66,40.0,17.0
1975,4,34.15,43.0,20.0
1975,5,32.65,42.0,21.0
1975,6,28.15,38.0,20.0
1975,7,26.01,39.0,20.0
1975,8,26.0,34.0,15.0
1975,9,25.45,36.0,10.0
1975,10,25.54,33.0,6.0
1975,11,22.8,31.0,12.0
1975,12,21.98,38.0,10.0
1976,1,22.47,37.0,11.0
1976,2,25.41,37.0,8.0
1976,3,30.34,40.0,16.0
1976,4,31.88,47.0,21.0
1976,5,32.68,47.0,21.0
1976,6,27.43,38.0,21.0
1976,7,26.93,45.0,21.0
1976,8,26.17,38.0,13.0
1976,9,27.62,36.0,20.0
1976,10,28.87,37.0,19.0
1976,11,26.45,34.0,12.0
1976,12,24.8,34.0,14.0
1977,1,24.36,33.0,12.0
1977,2,28.08,38.0,11.0
1977,3,31.14,41.0,19.0
1977,4,32.04,42.0,21.0
1977,5,32.32,42.0,22.0
1977,6,28.78,40.0,21.0
1977,7,27.01,35.0,21.0
1977,8,26.97,36.0,22.0
1977,9,27.98,37.0,21.0
1977,10,27.35,36.0,20.0
1977,11,26.73,35.0,18.0
1977,12,23.15,32.0,11.0
1978,1,24.42,33.0,13.0
1978,2,25.69,35.0,15.0
1978,3,29.39,39.0,15.0
1978,4,31.35,43.0,22.0
1978,5,32.59,44.0,20.0
1978,6,27.51,38.0,22.0
1978,7,26.02,35.0,22.0
1978,8,25.06,33.0,20.0
1978,9,25.97,35.0,20.0
1978,10,26.5,38.0,17.0
1978,11,25.89,33.0,17.0
1978,12,23.73,31.0,11.0
1979,1,24.97,33.0,16.0
1979,2,26.27,35.0,15.0
1979,3,29.88,40.0,15.0
1979,4,33.31,43.0,22.0
1979,5,32.47,44.0,20.0
1979,6,29.92,43.0,22.0
1979,7,27.3,36.0,21.0
1979,8,26.32,35.0,21.0
1979,9,26.12,35.0,20.0
1979,10,27.83,36.0,19.0
1979,11,25.08,33.0,17.0
1979,12,23.54,32.0,14.0
1980,1,24.39,33.0,15.0
1980,2,27.92,38.0,17.0
1980,3,30.13,40.0,17.0
1980,4,32.46,43.0,20.0
1980,5,34.11,43.0,23.0
1980,6,27.54,37.0,12.0
1980,7,27.2,35.0,22.0
1980,8,25.35,34.0,20.0
1980,9,27.21,37.0,21.0
1980,10,28.93,39.0,16.0
1980,11,26.54,38.0,16.0
1980,12,23.43,33.0,13.0
