Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,0.7,7.0,-5.0
1975,2,3.32,14.0,-2.0
1975,3,7.94,20.0,-1.0
1975,4,13.75,24.0,0.0
1975,5,17.01,30.0,5.0
1975,6,21.24,34.0,9.0
1975,7,23.05,34.0,11.0
1975,8,22.91,33.0,11.0
1975,9,19.49,30.0,7.0
1975,10,14.25,31.0,0.0
1975,11,5.97,20.0,-10.0
1975,12,3.12,18.0,-9.0
1976,1,2.65,15.0,-7.0
1976,2,3.66,20.0,-4.0
1976,3,7.93,22.0,-2.0
1976,4,13.38,27.0,0.0
1976,5,18.79,33.0,6.0
1976,6,22.05,35.0,7.0
1976,7,26.36,37.0,15.0
1976,8,22.22,33.0,13.0
1976,9,20.19,31.0,10.0
1976,10,14.27,27.0,4.0
1976,11,8.36,22.0,-2.0
1976,12,2.91,13.0,-5.0
1977,1,2.15,11.0,-9.0
1977,2,3.91,17.0,-7.0
1977,3,12.1,25.0,-1.0
1977,4,14.03,30.0,2.0
1977,5,17.23,30.0,4.0
1977,6,22.98,36.0,11.0
1977,7,25.2,35.0,16.0
1977,8,23.58,36.0,11.0
1977,9,20.01,31.0,9.0
1977,10,14.53,30.0,0.0
1977,11,9.05,22.0,-1.0
1977,12,3.72,14.0,-3.0
1978,1,1.44,12.0,-6.0
1978,2,4.18,17.0,-6.0
1978,3,7.2,26.0,-1.0
1978,4,14.58,28.0,3.0
1978,5,20.0,38.0,9.0
1978,6,25.18,38.0,13.0
1978,7,24.46,36.0,17.0
1978,8,24.26,35.0,15.0
1978,9,19.69,32.0,8.0
1978,10,14.2,28.0,3.0
1978,11,7.04,22.0,-3.0
1978,12,3.61,15.0,-6.0
1979,1,2.98,16.0,-7.0
1979,2,4.53,15.0,-9.0
1979,3,8.31,21.0,-3.0
1979,4,16.28,30.0,5.0
1979,5,15.65,28.0,7.0
1979,6,22.71,37.0,9.0
1979,7,25.23,36.0,15.0
1979,8,23.16,35.0,12.0
1979,9,17.78,33.0,7.0
1979,10,14.79,28.0,0.0
1979,11,8.14,23.0,0.0
1979,12,3.43,11.0,-3.0
1980,1,2.09,11.0,-5.0
1980,2,3.47,15.0,-7.0
