Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,21.7,43.0,11.0
1975,2,23.92,38.0,12.0
1975,3,27.0,42.0,17.0
1975,4,30.46,43.0,21.0
1975,5,30.22,38.0,25.0
1975,6,29.15,36.0,24.0
1975,7,28.94,38.0,23.0
1975,8,27.48,33.0,12.0
1975,9,27.86,35.0,24.0
1975,10,28.54,39.0,20.0
1975,11,24.73,35.0,13.0
1975,12,22.25,35.0,13.0
1976,1,22.32,34.0,12.0
1976,2,25.32,37.0,16.0
1976,3,28.63,42.0,18.0
1976,4,29.01,39.0,20.0
1976,5,30.07,38.0,24.0
1976,6,29.8,41.0,23.0
1976,7,28.36,37.0,23.0
1976,8,27.68,35.0,22.0
1976,9,27.76,34.0,22.0
1976,10,31.03,40.0,21.0
1976,11,28.59,38.0,17.0
1976,12,24.77,36.0,14.0
1977,1,22.75,35.0,7.0
1977,2,24.62,37.0,12.0
1977,3,29.53,42.0,18.0
1977,4,29.69,41.0,23.0
1977,5,30.76,40.0,22.0
1977,6,30.2,37.0,24.0
1977,7,27.85,33.0,16.0
1977,8,28.16,38.0,22.0
1977,9,28.18,38.0,16.0
1977,10,30.04,40.0,19.0
1977,11,28.59,38.0,20.0
1977,12,24.6,34.0,9.0
1978,1,22.24,34.0,9.0
1978,2,24.56,39.0,11.0
1978,3,25.94,37.0,16.0
1978,4,29.75,41.0,19.0
1978,5,31.25,41.0,22.0
1978,6,29.47,38.0,20.0
1978,7,28.58,38.0,21.0
1978,8,27.75,34.0,21.0
1978,9,28.27,35.0,20.0
1978,10,29.87,39.0,19.0
1978,11,27.58,38.0,12.0
1978,12,24.38,34.0,13.0
1979,1,22.59,35.0,11.0
1979,2,23.15,36.0,10.0
1979,3,26.81,37.0,9.0
1979,4,29.8,44.0,19.0
1979,5,30.06,44.0,20.0
1979,6,29.84,41.0,22.0
1979,7,28.49,33.0,16.0
1979,8,26.92,36.0,20.0
1979,9,28.54,36.0,24.0
1979,10,28.63,37.0,20.0
1979,11,26.84,38.0,19.0
1979,12,24.01,34.0,11.0
1980,1,21.93,33.0,11.0
1980,2,24.78,39.0,12.0
1980,3,27.46,40.0,18.0
1980,4,30.66,43.0,20.0
1980,5,30.92,39.0,20.0
1980,6,29.5,36.0,23.0
1980,7,27.99,33.0,23.0
1980,8,27.3,33.0,23.0
1980,9,28.84,36.0,23.0
1980,10,29.77,40.0,21.0
1980,11,27.56,42.0,18.0
1980,12,22.87,36.0,11.0
1981,1,22.2,35.0,11.0
1981,2,24.57,39.0,11.0
1981,3,28.06,41.0,13.0
1981,4,29.82,43.0,20.0
1981,5,31.2,48.0,20.0
1981,6,30.42,39.0,24.0
1981,7,27.84,33.0,22.0
1981,8,27.55,33.0,23.0
1981,9,28.72,37.0,23.0
1981,10,29.01,38.0,20.0
1981,11,24.96,36.0,14.0
1981,12,23.48,37.0,14.0
1982,1,23.25,34.0,11.72
1982,2,24.01,35.78,14.61
1982,3,26.49,43.22,14.89
1982,4,29.07,40.0,21.72
1982,5,30.63,40.39,21.72
1982,6,30.94,36.0,14.89
1982,7,28.48,34.28,23.78
1982,8,27.7,32.61,24.28
1982,9,28.51,39.0,23.61
1982,10,29.98,40.61,23.0
1982,11,26.54,36.22,16.61
1982,12,24.46,35.22,13.61
1983,1,21.87,35.0,11.72
1983,2,23.11,33.5,11.5
1983,3,26.31,37.78,17.28
1983,4,27.99,40.39,19.28
1983,5,30.68,43.61,24.11
1983,6,30.13,39.22,22.72
1983,7,28.5,34.0,23.78
1983,8,28.1,33.0,23.61
1983,9,28.25,38.0,22.39
1983,10,28.0,38.72,19.22
1983,11,25.46,35.89,8.61
1983,12,22.73,33.78,9.22
1984,1,21.3,33.0,11.0
1984,2,23.01,38.22,10.22
1984,3,28.34,41.5,16.22
1984,4,30.67,41.78,22.22
1984,5,31.04,40.89,22.22
