Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,26.4,38.0,19.0
1975,2,27.19,37.0,20.0
1975,3,28.26,34.0,19.0
1975,4,28.76,34.0,23.0
1975,5,27.61,33.0,20.0
1975,6,25.57,33.0,21.0
1975,7,25.81,31.0,22.0
1975,8,25.5,30.0,21.0
1975,9,26.17,31.0,22.0
1975,10,25.67,30.0,21.0
1975,11,25.75,5537.72,22.0
1975,12,26.52,33.0,20.0
1976,1,26.41,33.0,20.0
1976,2,27.07,38.0,20.0
1976,3,28.19,35.0,12.0
1976,4,28.15,39.0,23.0
1976,5,28.08,33.0,24.0
1976,6,27.75,38.0,22.0
1976,7,25.77,33.0,6.0
1976,8,26.25,33.0,22.0
1976,9,27.0,32.0,23.0
1976,10,26.76,32.0,22.0
1976,11,26.13,31.0,16.0
1976,12,27.02,32.0,21.0
1977,1,26.92,42.0,20.0
1977,2,26.97,33.0,10.0
1977,3,28.42,36.0,22.0
1977,4,28.48,39.0,21.0
1977,5,27.14,33.0,22.0
1977,6,26.44,32.0,22.0
1977,7,26.24,33.0,22.0
1977,8,26.73,39.0,22.0
1977,9,26.69,33.0,20.0
1977,10,26.25,32.0,11.0
1977,11,26.53,33.0,10.0
1977,12,27.06,33.0,20.0
1978,1,27.0,33.0,19.0
1978,2,27.7,34.0,20.0
1978,3,28.23,43.0,21.0
1978,4,29.05,39.0,23.0
1978,5,27.45,37.0,22.0
1978,6,25.84,37.0,16.0
1978,7,25.5,38.0,22.0
1978,8,25.42,38.0,22.0
1978,9,26.29,32.0,22.0
1978,10,26.59,33.0,20.0
1978,11,26.11,32.0,21.0
1978,12,27.05,35.0,21.0
1979,1,27.34,34.0,21.0
1979,2,27.72,34.0,20.0
1979,3,28.58,34.0,23.0
1979,4,29.18,36.0,22.0
1979,5,28.37,34.0,22.0
1979,6,27.13,33.0,22.0
1979,7,25.94,31.0,16.0
1979,8,26.21,38.0,20.0
1979,9,26.35,32.0,16.0
1979,10,26.8,37.0,16.0
1979,11,26.01,32.0,15.0
1979,12,27.15,33.0,20.0
1980,1,27.15,34.0,20.0
1980,2,27.53,34.0,21.0
1980,3,28.55,36.0,23.0
1980,4,29.02,36.0,20.0
1980,5,28.98,34.0,21.0
1980,6,26.68,37.0,23.0
1980,7,25.9,31.0,20.0
1980,8,26.24,32.0,22.0
1980,9,26.86,33.0,20.0
1980,10,26.66,32.0,16.0
1980,11,26.81,33.0,22.0
1980,12,27.14,34.0,21.0
1981,1,26.7,35.0,20.0
1981,2,27.32,34.0,20.0
1981,3,28.62,35.0,22.0
1981,4,28.81,35.0,23.0
1981,5,28.52,38.0,22.0
1981,6,25.72,33.0,16.0
1981,7,26.22,32.0,22.0
1981,8,26.34,33.0,22.0
1981,9,26.16,32.0,22.0
1981,10,26.5,5537.72,21.0
1981,11,26.11,32.0,16.0
1981,12,26.96,36.0,20.0
1982,1,26.49,32.72,19.39
1982,2,27.19,34.39,20.61
1982,3,28.75,34.72,22.61
1982,4,29.22,34.78,23.11
1982,5,28.48,33.5,22.61
1982,6,26.37,31.61,22.11
1982,7,25.92,31.11,21.78
1982,8,26.14,31.28,21.61
1982,9,27.07,33.5,22.5
1982,10,26.95,33.11,22.22
1982,11,27.11,33.28,22.72
1982,12,27.0,34.0,19.61
1983,1,27.03,34.5,15.0
1983,2,27.93,34.11,22.5
1983,3,28.97,34.72,22.89
1983,4,29.49,36.0,24.0
1983,5,29.2,34.0,23.11
1983,6,28.06,34.0,23.61
1983,7,27.07,37.61,22.22
1983,8,26.37,31.61,22.5
1983,9,26.35,31.78,21.72
1983,10,27.09,34.0,22.61
1983,11,26.73,39.11,21.78
1983,12,26.89,33.0,22.0
1984,1,26.65,33.5,20.28
1984,2,26.66,34.28,20.0
1984,3,27.58,38.78,20.72
1984,4,27.44,34.0,22.72
1984,5,28.62,34.39,22.28
1984,6,26.12,31.5,21.61
1984,7,25.68,30.78,22.11
1984,8,26.59,33.0,22.28
1984,9,26.39,32.72,22.28
1984,10,25.95,32.22,20.11
1984,11,26.6,37.22,22.11
1984,12,26.51,33.78,19.5
1985,1,26.8,33.72,15.0
1985,2,27.41,34.89,20.78
1985,3,28.76,37.11,22.61
1985,4,29.14,38.22,23.5
1985,5,28.0,35.28,22.39
1985,6,25.25,30.5,21.5
1985,7,26.03,31.0,21.39
1985,8,26.13,31.72,21.39
1985,9,26.66,33.11,21.89
1985,10,26.43,31.78,21.78
1985,11,25.97,32.61,17.0
1985,12,27.05,34.72,21.11
1986,1,27.14,33.72,20.61
1986,2,27.12,33.22,20.61
1986,3,28.43,35.5,21.89
1986,4,28.95,38.61,22.5
1986,5,28.6,34.22,22.61
1986,6,26.93,32.78,22.5
1986,7,26.34,35.61,22.28
1986,8,25.88,35.0,20.72
1986,9,26.42,32.61,22.0
1986,10,27.21,36.0,22.72
1986,11,26.67,34.11,20.0
1986,12,27.6,33.39,21.28
1987,1,27.47,35.78,20.78
1987,2,27.69,33.72,21.11
1987,3,28.72,35.39,22.22
1987,4,29.18,35.22,21.89
1987,5,28.97,35.22,22.72
1987,6,26.99,33.5,22.11
1987,7,27.65,32.72,22.72
1987,8,26.53,31.89,22.5
1987,9,27.19,34.5,21.0
1987,10,26.86,38.61,23.11
1987,11,26.79,36.0,22.11
1987,12,26.86,32.5,21.61
1988,1,27.24,34.0,20.22
1988,2,28.03,35.22,21.11
1988,3,29.18,37.72,22.78
1988,4,28.21,34.28,22.39
1988,5,29.04,34.5,23.78
1988,6,26.55,38.0,22.5
1988,7,26.49,32.89,21.5
1988,8,26.32,31.0,22.61
1988,9,26.26,31.61,22.22
1988,10,27.66,34.28,23.39
1988,11,26.53,33.22,20.61
1988,12,26.96,34.39,20.72
1989,1,26.39,34.11,20.78
1989,2,26.51,34.78,18.78
1989,3,27.86,34.0,20.61
1989,4,28.62,34.0,23.11
1989,5,28.22,36.0,23.0
1989,6,25.58,31.5,21.78
1989,7,26.04,38.78,21.89
1989,8,26.04,31.0,20.0
1989,9,26.09,32.22,21.78
1989,10,26.34,32.5,22.39
1989,11,26.98,34.0,21.39
1989,12,27.35,34.39,21.39
1990,1,26.52,37.5,19.5
1990,2,27.83,34.89,21.39
1990,3,28.68,35.0,15.0
1990,4,29.72,35.0,23.39
1990,5,27.88,34.0,22.78
1990,6,26.71,31.0,22.28
1990,7,25.71,31.22,21.61
1990,8,26.51,32.28,21.5
1990,9,27.15,33.39,23.28
1990,10,26.86,33.0,22.78
1990,11,26.9,34.0,22.11
1990,12,27.65,34.22,21.28
1991,1,27.54,33.89,20.78
1991,2,27.46,34.61,19.72
1991,3,28.93,35.22,23.78
1991,4,29.28,35.11,22.28
1991,5,29.5,35.11,22.11
1991,6,26.2,32.78,22.0
1991,7,26.31,33.89,21.5
1991,8,26.24,31.5,22.0
1991,9,27.55,33.72,23.0
1991,10,26.23,32.61,21.5
1991,11,26.71,32.5,21.72
1991,12,26.57,33.72,20.22
1992,1,26.46,34.22,19.78
1992,2,27.32,33.11,21.5
1992,3,28.38,38.61,21.0
1992,4,29.36,34.5,22.72
1992,5,28.04,35.11,22.72
1992,6,26.74,39.39,22.28
1992,7,25.57,32.22,21.5
1992,8,25.8,31.22,22.39
1992,9,26.38,32.5,22.28
1992,10,26.16,32.22,21.78
1992,11,26.19,33.0,21.0
1992,12,26.54,34.28,11.78
1993,1,26.09,33.28,19.39
1993,2,26.95,34.39,20.78
1993,3,28.2,35.61,16.0
1993,4,28.78,35.22,23.0
1993,5,28.47,34.61,22.78
1993,6,26.8,35.78,22.5
1993,7,25.41,31.11,21.11
1993,8,26.39,37.0,22.28
1993,9,27.01,33.72,22.28
1993,10,26.05,32.61,21.72
1993,11,25.93,32.0,21.39
1993,12,26.52,32.39,22.0
1994,1,26.61,34.28,20.11
1994,2,26.99,33.78,21.78
1994,3,28.09,35.22,20.22
1994,4,28.38,35.28,22.78
1994,5,28.42,38.22,22.5
1994,6,26.46,37.0,22.11
1994,7,25.78,32.22,21.28
1994,8,26.04,32.39,21.0
1994,9,26.79,32.78,22.39
1994,10,26.02,36.11,22.0
1994,11,26.76,33.72,22.0
1994,12,27.4,34.0,20.0
1995,1,27.61,34.11,20.89
1995,2,27.94,34.78,21.72
1995,3,28.77,35.28,22.0
1995,4,27.99,34.5,22.61
1995,5,28.17,33.78,23.89
1995,6,27.26,32.89,22.89
1995,7,26.35,31.72,22.39
1995,8,26.82,31.72,15.39
1995,9,26.77,32.11,22.89
1995,10,26.77,32.5,22.11
1995,11,26.93,32.61,21.28
1995,12,27.71,35.28,20.22
1996,1,26.74,35.0,20.11
1996,2,27.68,34.0,20.61
1996,3,28.38,37.0,21.11
1996,4,28.24,36.0,22.61
1996,5,28.96,34.72,23.61
1996,6,26.51,32.72,20.39
1996,7,25.81,32.89,22.11
1996,8,26.0,32.28,21.5
1996,9,26.2,31.5,22.22
1996,10,26.29,32.89,19.0
1996,11,26.55,32.39,20.22
1996,12,26.18,33.61,20.22
1997,1,26.92,34.22,20.28
1997,2,27.34,35.28,21.11
1997,3,28.43,36.0,22.0
1997,4,28.98,35.22,23.78
1997,5,28.62,34.89,22.39
1997,6,27.42,35.5,22.22
1997,7,26.33,31.78,15.0
1997,8,26.52,31.72,22.5
1997,9,26.74,32.61,22.0
1997,10,26.86,33.22,22.5
1997,11,26.68,33.22,22.5
1997,12,27.46,34.72,22.22
1998,1,28.18,35.78,22.11
1998,2,28.66,34.72,22.72
1998,3,29.29,36.5,23.28
1998,4,29.93,37.0,24.5
1998,5,29.05,35.0,23.39
1998,6,27.3,33.61,22.39
1998,7,26.51,32.0,22.11
1998,8,26.76,32.89,21.22
1998,9,26.39,31.72,21.72
1998,10,26.26,32.0,22.22
1998,11,26.56,32.28,22.0
1998,12,26.34,33.0,19.5
1999,1,26.76,34.0,20.28
1999,2,27.5,34.78,21.28
1999,3,28.73,35.28,22.5
1999,4,27.98,35.78,22.78
1999,5,26.98,33.78,22.11
1999,6,26.33,32.0,15.0
1999,7,25.9,31.61,22.0
1999,8,26.74,33.0,22.61
1999,9,27.37,35.39,22.61
1999,10,25.76,32.11,14.0
1999,11,26.69,33.61,22.28
1999,12,26.76,34.22,19.61
2000,1,27.21,35.0,20.5
2000,2,27.43,34.11,21.11
2000,3,28.71,35.0,22.72
2000,4,28.54,38.61,22.78
2000,5,29.03,38.61,23.39
2000,6,26.18,32.61,15.61
2000,7,26.63,32.72,21.22
2000,8,25.75,32.78,19.28
2000,9,26.65,32.11,22.89
2000,10,26.68,32.89,22.11
2000,11,26.98,33.5,20.78
2000,12,26.68,34.11,20.0
2001,1,27.18,33.89,21.28
2001,2,27.7,34.61,21.11
2001,3,28.9,36.22,22.61
2001,4,27.71,34.78,23.28
2001,5,28.25,33.72,21.5
2001,6,26.2,33.22,21.11
2001,7,25.94,32.0,20.78
2001,8,26.29,31.39,20.72
2001,9,26.69,34.89,20.89
2001,10,26.87,33.0,22.5
2001,11,26.9,33.61,20.39
2001,12,27.15,34.28,19.61
2002,1,27.2,34.0,19.11
2002,2,27.36,35.61,16.11
2002,3,28.39,35.39,21.61
2002,4,28.76,36.11,22.39
2002,5,28.19,34.89,21.28
2002,6,27.41,32.22,21.61
2002,7,26.81,32.11,22.11
2002,8,26.7,34.0,20.72
2002,9,27.53,34.11,21.72
2002,10,26.43,33.0,22.11
2002,11,26.72,33.22,22.11
2002,12,27.21,34.78,19.78
2003,1,27.22,35.28,19.61
2003,2,27.68,35.0,21.5
2003,3,28.33,35.78,21.5
2003,4,29.01,36.89,22.78
2003,5,29.19,35.78,23.0
2003,6,27.73,35.78,22.0
2003,7,26.83,33.39,21.22
2003,8,27.01,33.22,21.61
2003,9,27.75,34.39,22.22
2003,10,26.88,33.78,20.78
2003,11,26.96,34.28,20.78
2003,12,27.01,34.28,18.5
2004,1,27.27,34.5,19.11
2004,2,28.1,35.11,20.39
2004,3,29.03,36.5,21.22
2004,4,28.91,35.72,21.72
2004,5,27.06,33.61,20.11
2004,6,26.48,32.22,20.78
2004,7,26.23,31.72,22.0
2004,8,26.51,32.28,22.0
2004,9,26.39,32.39,21.22
2004,10,26.66,33.11,22.39
2004,11,26.74,33.39,22.0
2004,12,26.99,34.22,20.11
2005,1,27.21,34.78,20.61
2005,2,28.11,36.28,20.89
2005,3,29.04,38.0,22.72
2005,4,28.12,34.61,22.5
2005,5,28.88,38.0,22.72
2005,6,26.93,32.39,22.5
2005,7,26.39,31.78,22.11
2005,8,27.33,33.72,22.39
2005,9,26.69,33.5,21.28
2005,10,27.09,34.28,23.0
2005,11,26.13,33.5,22.28
2005,12,26.52,33.39,20.11
2006,1,26.69,34.0,19.72
2006,2,27.72,35.22,21.0
2006,3,28.61,35.28,23.28
2006,4,29.04,35.11,18.22
2006,5,28.19,34.5,22.11
2006,6,27.6,33.0,22.28
2006,7,26.71,39.0,22.0
2006,8,26.78,33.11,22.0
2006,9,26.64,33.61,21.78
2006,10,26.4,32.28,21.72
2006,11,26.57,33.0,21.11
2006,12,27.18,35.5,19.61
2007,1,27.3,39.61,19.61
2007,2,27.56,34.78,20.39
2007,3,28.92,35.28,22.22
2007,4,28.91,38.0,22.78
2007,5,28.7,35.39,22.39
2007,6,27.04,34.22,22.0
2007,7,26.37,31.89,20.78
2007,8,26.86,33.11,22.39
2007,9,26.65,32.22,22.61
2007,10,26.55,32.22,21.78
2007,11,26.87,33.72,20.0
2007,12,27.0,35.39,19.78
2008,1,27.33,35.22,20.5
2008,2,27.76,35.78,22.28
2008,3,27.11,35.39,22.0
2008,4,28.03,34.0,22.39
2008,5,28.7,34.0,22.78
2008,6,27.29,33.0,22.28
2008,7,26.29,32.89,21.39
2008,8,26.87,33.39,21.78
2008,9,26.99,34.22,21.39
2008,10,27.15,35.0,22.28
2008,11,26.76,33.11,21.89
2008,12,26.91,33.72,19.22
2009,1,26.9,35.28,18.5
2009,2,27.63,35.72,20.28
2009,3,28.76,35.5,21.89
2009,4,29.31,36.5,23.5
2009,5,29.04,38.39,23.11
2009,6,27.14,33.22,22.61
2009,7,26.56,32.28,21.5
2009,8,27.04,32.89,23.11
2009,9,26.91,32.5,22.39
2009,10,27.59,34.11,22.39
2009,11,26.93,33.89,21.22
2009,12,27.51,34.0,21.78
2010,1,27.09,34.28,19.22
2010,2,28.14,34.78,21.0
2010,3,29.44,37.5,21.72
2010,4,29.12,35.5,15.5
2010,5,28.65,35.5,23.78
2010,6,27.13,34.28,22.0
