Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,24.97,32.0,17.0
1975,2,27.52,35.0,18.0
1975,3,29.05,39.0,22.0
1975,4,32.19,39.0,23.0
1975,5,31.31,41.0,20.0
1975,6,30.99,38.0,19.0
1975,7,29.68,37.0,21.0
1975,8,29.85,37.0,23.0
1975,9,28.31,38.0,22.0
1975,10,27.22,34.0,21.0
1975,11,25.66,32.0,20.0
1975,12,24.59,30.0,10.0
1976,1,24.22,31.0,17.0
1976,2,25.53,35.0,17.0
1976,3,28.18,37.0,19.0
1976,4,30.73,38.0,23.0
1976,5,31.94,40.0,21.0
1976,6,31.18,39.0,21.0
1976,7,30.4,38.0,21.0
1976,8,29.31,38.0,23.0
1976,9,28.83,36.0,24.0
1976,10,28.27,35.0,23.0
1976,11,26.66,34.0,23.0
1976,12,25.2,31.0,19.0
1977,1,25.01,32.0,17.0
1977,2,26.34,33.0,13.0
1977,3,28.63,36.0,15.0
1977,4,30.88,48.0,20.0
1977,5,30.4,39.0,20.0
1977,6,31.23,39.0,22.0
1977,7,30.4,38.0,20.0
1977,8,29.54,39.0,22.0
1977,9,29.45,37.0,23.0
1977,10,26.72,34.0,21.0
1977,11,26.32,38.0,16.0
1977,12,25.29,33.0,19.0
1978,1,25.29,32.0,12.0
1978,2,26.54,37.0,20.0
1978,3,28.67,38.0,20.0
1978,4,31.11,40.0,21.0
1978,5,31.73,40.0,20.0
1978,6,30.67,38.0,20.0
1978,7,29.84,38.0,20.0
1978,8,30.16,38.0,22.0
1978,9,29.47,38.0,22.0
1978,10,28.06,36.0,23.0
1978,11,26.12,32.0,12.0
1978,12,24.91,33.0,20.0
1979,1,25.12,33.0,18.0
1979,2,27.35,35.0,20.0
1979,3,29.04,37.0,20.0
1979,4,31.76,41.0,23.0
1979,5,32.22,40.0,25.0
1979,6,31.18,5537.72,23.0
1979,7,29.68,38.0,22.0
1979,8,29.46,37.0,21.0
1979,9,28.11,35.0,23.0
1979,10,27.69,35.0,20.0
1979,11,25.42,32.0,16.0
1979,12,25.19,38.0,19.0
1980,1,24.35,33.0,17.0
1980,2,26.22,36.0,18.0
1980,3,29.04,37.0,20.0
1980,4,31.15,40.0,22.0
1980,5,32.73,41.0,25.0
