Year,Month,Temperature (°C),Max_Temp_C,Min_Temp_C
1975,1,21.03,32.0,10.0
1975,2,22.03,35.0,10.0
1975,3,23.89,36.0,14.0
1975,4,26.95,41.0,19.0
1975,5,28.76,33.0,23.0
1975,6,29.42,38.0,25.0
1975,7,28.04,31.0,25.0
1975,8,27.45,5537.72,25.0
1975,9,27.34,37.0,23.0
1975,10,28.0,36.0,17.0
1975,11,24.81,37.0,11.0
1975,12,22.56,35.0,14.0
1976,1,21.14,31.0,10.0
1976,2,23.06,35.0,13.0
1976,3,25.2,39.0,15.0
1976,4,26.09,33.0,19.0
1976,5,28.42,33.0,23.0
1976,6,29.57,5537.72,25.0
1976,7,29.29,37.0,22.0
1976,8,27.6,33.0,16.0
1976,9,27.41,33.0,22.0
1976,10,29.08,42.0,21.0
1976,11,27.75,37.0,18.0
1976,12,23.98,32.0,10.0
1977,1,21.69,33.0,10.0
1977,2,22.88,33.0,13.0
1977,3,26.43,41.0,17.0
1977,4,27.52,38.0,21.0
1977,5,28.58,38.0,24.0
1977,6,29.39,38.0,25.0
1977,7,28.56,38.0,20.0
1977,8,27.95,33.0,22.0
1977,9,27.41,38.0,22.0
1977,10,28.86,40.0,20.0
1977,11,27.65,37.0,21.0
1977,12,24.02,34.0,11.0
1978,1,21.61,35.0,10.0
1978,2,22.78,33.0,10.0
1978,3,23.97,35.0,14.0
1978,4,27.11,39.0,20.0
1978,5,28.93,38.0,21.0
1978,6,29.0,39.0,6.0
1978,7,28.29,33.0,20.0
1978,8,27.03,36.0,25.0
1978,9,27.46,37.0,20.0
1978,10,27.57,37.0,20.0
1978,11,26.63,37.0,18.0
1978,12,23.18,33.0,9.0
1979,1,21.8,33.0,11.0
1979,2,21.43,34.0,2.0
1979,3,23.46,37.0,12.0
1979,4,26.74,40.0,18.0
1979,5,27.9,41.0,20.0
1979,6,29.37,37.0,25.0
1979,7,28.81,38.0,20.0
1979,8,27.13,36.0,23.0
1979,9,28.02,35.0,21.0
1979,10,27.32,36.0,20.0
1979,11,26.64,38.0,19.0
1979,12,23.67,33.0,14.0
1980,1,21.44,31.0,12.0
1980,2,23.13,36.0,12.0
1980,3,24.93,42.0,10.0
1980,4,27.76,42.0,19.0
1980,5,29.59,37.0,20.0
1980,6,29.87,38.0,21.0
1980,7,28.06,31.0,22.0
1980,8,27.8,32.0,20.0
1980,9,27.84,33.0,20.0
1980,10,28.01,39.0,17.0
1980,11,26.58,37.0,15.0
1980,12,23.19,34.0,9.0
1981,1,21.53,32.0,8.0
1981,2,22.66,39.0,7.0
1981,3,25.72,38.0,15.0
1981,4,27.33,38.0,14.0
1981,5,29.22,39.0,21.0
1981,6,29.6,35.0,16.0
1981,7,28.4,39.0,24.0
1981,8,27.28,33.0,23.0
1981,9,28.04,34.0,23.0
1981,10,28.15,38.0,21.0
1981,11,24.71,36.0,15.0
1981,12,22.4,32.0,7.0
1982,1,21.68,31.11,11.11
1982,2,23.09,32.39,13.5
1982,3,24.67,40.0,12.28
1982,4,26.53,33.11,15.5
1982,5,28.88,33.78,15.39
1982,6,30.17,35.0,16.61
1982,7,29.13,33.78,25.39
1982,8,27.82,31.0,25.11
1982,9,28.15,32.0,22.28
1982,10,28.68,38.89,20.61
1982,11,26.71,37.0,15.28
1982,12,24.31,37.22,12.61
1983,1,21.62,30.72,11.72
1983,2,22.16,32.28,12.22
1983,3,23.94,33.28,15.28
1983,4,25.9,37.0,17.11
1983,5,28.69,37.78,21.39
1983,6,29.54,33.61,25.0
1983,7,28.97,33.0,20.61
1983,8,27.78,31.28,22.89
1983,9,28.46,33.28,22.39
1983,10,27.66,36.0,19.11
1983,11,25.22,35.0,15.61
1983,12,22.32,32.89,8.28
1984,1,21.17,31.22,10.0
1984,2,21.97,33.22,8.72
1984,3,26.02,39.11,16.78
1984,4,28.54,40.89,20.22
1984,5,29.37,36.78,23.28
1984,6,29.72,33.28,21.22
1984,7,28.01,31.89,23.89
1984,8,26.7,29.5,24.22
1984,9,26.67,33.78,20.89
1984,10,27.47,38.78,17.5
1984,11,25.23,35.78,10.0
1984,12,23.64,34.61,9.22
1985,1,21.99,33.61,10.22
1985,2,22.68,34.11,12.22
1985,3,25.39,40.61,15.78
1985,4,27.05,39.22,20.39
1985,5,28.79,33.11,23.61
1985,6,30.09,33.11,26.39
1985,7,28.7,32.39,24.5
1985,8,27.55,30.89,23.39
1985,9,27.94,33.11,23.0
1985,10,27.8,38.72,19.39
1985,11,25.96,35.39,15.78
1985,12,23.4,33.61,10.39
1986,1,22.33,31.89,12.78
1986,2,22.88,34.61,14.39
1986,3,25.07,39.0,12.78
1986,4,27.33,38.78,18.78
1986,5,29.38,33.5,22.22
1986,6,29.97,38.78,23.11
1986,7,28.44,32.22,25.5
1986,8,26.58,30.0,23.61
1986,9,27.17,31.0,22.72
1986,10,26.93,37.78,18.89
1986,11,26.22,36.78,17.22
1986,12,22.57,34.39,9.61
1987,1,22.78,32.22,13.0
1987,2,23.09,34.61,13.5
1987,3,25.48,40.39,11.39
1987,4,27.61,40.39,20.0
1987,5,28.78,33.22,22.61
1987,6,30.43,34.0,21.61
1987,7,30.18,34.28,26.0
1987,8,29.2,33.0,25.39
1987,9,28.89,37.61,23.39
1987,10,29.38,38.89,20.0
1987,11,27.92,39.78,18.5
1987,12,24.22,35.0,15.28
1988,1,23.68,33.11,12.61
1988,2,24.36,35.5,12.28
1988,3,25.13,34.61,15.11
1988,4,28.03,40.5,17.89
1988,5,29.71,36.0,21.5
1988,6,30.5,33.78,26.11
1988,7,28.92,33.28,16.5
1988,8,28.5,31.78,23.0
1988,9,28.94,38.78,22.22
1988,10,27.99,36.89,19.61
1988,11,25.66,36.61,12.5
1988,12,23.64,33.72,12.78
1989,1,21.45,31.0,9.89
1989,2,22.29,36.0,9.78
1989,3,24.58,36.5,11.0
1989,4,26.58,39.28,15.61
1989,5,28.74,40.89,19.11
1989,6,29.3,33.78,22.89
1989,7,28.03,31.78,24.39
1989,8,27.41,31.11,23.39
1989,9,28.06,37.0,23.39
1989,10,27.29,37.28,19.22
1989,11,26.32,37.0,16.78
1989,12,23.09,34.5,11.78
1990,1,22.95,34.39,11.78
1990,2,23.35,33.22,12.89
1990,3,24.27,36.5,8.61
1990,4,26.86,36.0,16.39
1990,5,29.43,33.72,23.22
1990,6,29.95,34.0,23.28
1990,7,28.44,31.78,23.5
1990,8,27.01,30.78,21.39
1990,9,28.32,32.22,21.0
1990,10,28.86,37.22,18.72
1990,11,27.1,36.28,16.61
1990,12,23.58,34.72,8.61
1991,1,21.41,37.0,5.39
1991,2,22.2,33.0,7.22
1991,3,25.05,40.78,12.78
1991,4,27.61,40.78,17.22
1991,5,29.21,38.78,21.78
1991,6,29.31,33.0,23.22
1991,7,27.95,32.22,21.22
1991,8,27.35,30.5,20.39
1991,9,27.49,33.0,19.0
1991,10,26.9,37.78,16.39
1991,11,26.35,39.89,18.61
1991,12,23.31,37.11,13.39
1992,1,21.5,31.0,10.89
1992,2,22.42,33.39,11.11
1992,3,24.7,37.61,17.39
1992,4,25.91,38.22,19.78
1992,5,28.92,40.0,23.78
1992,6,29.62,33.5,22.78
1992,7,28.86,34.0,25.61
1992,8,28.19,32.22,24.61
1992,9,27.5,37.89,23.22
1992,10,28.0,38.5,21.0
1992,11,26.4,36.28,18.39
1992,12,24.05,33.39,12.39
1993,1,22.96,33.5,15.0
1993,2,24.25,36.39,15.39
1993,3,25.51,38.0,16.22
1993,4,26.8,36.78,20.61
1993,5,29.17,33.28,24.11
1993,6,29.85,34.22,24.39
1993,7,29.21,33.78,19.22
1993,8,28.68,32.11,25.28
1993,9,27.8,32.5,23.11
1993,10,28.26,38.39,22.72
1993,11,26.74,35.78,17.22
1993,12,23.9,35.0,15.39
1994,1,22.67,34.22,11.5
1994,2,22.94,34.5,13.5
1994,3,25.65,40.22,17.22
1994,4,27.06,37.5,19.61
1994,5,28.96,33.0,23.61
1994,6,29.74,39.61,26.11
1994,7,28.04,34.0,23.61
1994,8,27.44,31.11,23.0
1994,9,27.68,35.11,21.78
1994,10,28.7,39.22,19.89
1994,11,26.81,36.22,17.22
1994,12,22.88,33.22,9.89
1995,1,21.15,32.5,11.78
1995,2,23.26,33.28,13.78
1995,3,24.62,36.72,15.61
1995,4,26.92,39.78,19.0
1995,5,29.14,38.78,23.61
1995,6,30.4,34.78,26.61
1995,7,28.99,34.0,18.11
1995,8,28.4,31.89,25.0
1995,9,28.19,32.61,23.61
1995,10,29.13,38.61,22.5
1995,11,26.28,36.11,17.22
1995,12,23.93,33.22,14.89
1996,1,22.14,32.61,12.5
1996,2,23.62,38.0,13.22
1996,3,26.12,38.89,16.72
1996,4,27.46,36.89,18.5
1996,5,29.16,33.39,24.11
1996,6,30.3,37.61,24.0
1996,7,29.23,32.89,24.0
1996,8,27.18,31.39,23.5
1996,9,27.38,32.28,20.61
1996,10,27.55,38.28,20.5
1996,11,25.28,36.0,17.0
1996,12,23.73,32.61,12.0
1997,1,21.42,31.22,11.89
1997,2,22.62,33.39,13.0
1997,3,25.6,38.0,15.39
1997,4,26.76,36.11,18.0
1997,5,28.85,33.39,22.28
1997,6,29.84,33.61,22.39
1997,7,29.42,33.11,19.61
1997,8,28.45,31.78,23.0
1997,9,28.71,32.72,24.78
1997,10,28.61,36.28,20.72
1997,11,27.19,37.22,18.22
1997,12,22.16,31.11,11.28
1998,1,22.34,32.39,11.78
1998,2,23.19,33.61,13.39
1998,3,25.33,37.11,15.78
1998,4,28.04,40.78,20.39
1998,5,29.75,40.11,23.78
1998,6,30.27,39.78,21.39
1998,7,29.35,33.22,24.11
1998,8,28.46,33.22,25.39
1998,9,28.35,35.78,24.78
1998,10,28.58,36.78,21.39
1998,11,26.76,36.0,17.11
1998,12,24.12,34.5,12.61
1999,1,22.04,32.61,12.61
1999,2,24.21,37.0,10.72
1999,3,25.57,41.11,16.78
1999,4,26.97,37.0,19.0
1999,5,29.36,33.5,20.72
1999,6,29.7,33.5,26.39
1999,7,28.5,31.78,20.39
1999,8,27.78,31.78,24.89
1999,9,28.42,32.61,24.0
1999,10,28.33,37.72,21.39
1999,11,26.88,36.61,9.39
